Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,stage,year,▼▲
33.0,108.0,178.0,+54:23,,168.0,Renshaw Mark,178.0,Team Dimension Data,54:23 54:23,+17:12,,,7,2016,▼10
29.0,8.0,179.0,+54:45,,170.0,Stannard Ian,179.0,Team Sky,54:45 54:45,+17:12,,,7,2016,▼9
32.0,92.0,180.0,+55:04,,179.0,Bookwalter Brent,180.0,BMC Racing Team,55:04 55:04,+14:27,,,7,2016,▼1
28.0,134.0,181.0,+55:10,,180.0,Benedetti Cesare,181.0,Bora - Argon 18,55:10 55:10,+14:27,,,7,2016,▼1
26.0,95.0,182.0,+55:18,,181.0,Dennis Rohan,182.0,BMC Racing Team,55:18 55:18,+14:28,,,7,2016,▼1
32.0,138.0,183.0,+55:40,,184.0,Schillinger Andreas,183.0,Bora - Argon 18,55:40 55:40,+14:28,,,7,2016,▲1
31.0,125.0,184.0,+56:02,,186.0,Pineau Cédric,184.0,FDJ,56:02 56:02,+14:28,,,7,2016,▲2
27.0,206.0,185.0,+56:21,,187.0,Juul-Jensen Christopher,185.0,ORICA-BikeExchange,56:21 56:21,+14:28,,,7,2016,▲2
25.0,102.0,186.0,+56:22,,195.0,Berhane Natnael,186.0,Team Dimension Data,56:22 56:22,+10:23,,,7,2016,▲9
23.0,47.0,187.0,+57:06,,188.0,Gougeard Alexis,187.0,AG2R La Mondiale,57:06 57:06,+14:27,,,7,2016,▲1
31.0,33.0,188.0,+57:16,,176.0,Bodnar Maciej,188.0,Tinkoff,57:16 57:16,+17:12,,,7,2016,▼12
32.0,14.0,189.0,+57:19,,177.0,Erviti Imanol,189.0,Movistar Team,57:19 57:19,+17:11,,,7,2016,▼12
34.0,169.0,190.0,+57:35,,178.0,Sieberg Marcel,190.0,Lotto Soudal,57:35 57:35,+17:12,,,7,2016,▼12
26.0,189.0,191.0,+59:08,,193.0,Vermote Julien,191.0,Etixx - Quick Step,59:08 59:08,+14:28,,,7,2016,▲2
26.0,77.0,192.0,+1:00:10,,194.0,Howard Leigh,192.0,IAM Cycling,1:00:10 1:00:10,+14:28,,,7,2016,▲2
35.0,105.0,193.0,+1:00:13,,189.0,Eisel Bernhard,193.0,Team Dimension Data,1:00:13 1:00:13,+17:12,,,7,2016,▼4
25.0,143.0,194.0,+1:00:29,,190.0,Haller Marco,194.0,Team Katusha,1:00:29 1:00:29,+17:12,,,7,2016,▼4
27.0,132.0,195.0,+1:01:04,,192.0,Archbold Shane,195.0,Bora - Argon 18,1:01:04 1:01:04,+17:12,,,7,2016,▼3
36.0,162.0,196.0,+1:15:48,,196.0,Bak Lars Ytting,196.0,Lotto Soudal,1:15:48 1:15:48,+17:12,,,7,2016,-
25.0,135.0,197.0,+1:19:43,,197.0,Bennett Sam,197.0,Bora - Argon 18,1:19:43 1:19:43,+17:12,,,7,2016,-
31.0,146.0,198.0,+1:38:25,,198.0,Mørkøv Michael,198.0,Team Katusha,1:38:25 1:38:25,+21:38,,,7,2016,-
31.0,1.0,1.0,+0:00,,6.0,Froome Chris,1.0,Team Sky,39:13:04 39:13:04,+0:00,25.0,,8,2016,▲5
23.0,209.0,2.0,+0:16,,2.0,Yates Adam,2.0,ORICA-BikeExchange,0:16 0:16,+0:23,,,8,2016,-
37.0,141.0,3.0,+0:16,,5.0,Rodríguez Joaquim,3.0,Team Katusha,",, 0:16",+0:19,,,8,2016,▲2
29.0,184.0,4.0,+0:17,,10.0,Martin Dan,4.0,Etixx - Quick Step,0:17 0:17,+0:17,,,8,2016,▲6
