Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
29,1,+0:00,,,Armstrong Lance,1,US Postal Service,9:44 9:44,+0:00,,0,2001
32,2,+0:05,,,Jalabert Laurent,2,CSC ProTeam - Tiscali,0:05 0:05,+0:05,,0,2001
30,3,+0:05,,,Hamilton Tyler,3,US Postal Service,",, 0:05",+0:05,,0,2001
35,4,+0:05,,,Ekimov Viatcheslav,4,US Postal Service,",, 0:05",+0:05,,0,2001
30,5,+0:07,,,Zberg Beat,5,Rabobank ProTeam,0:07 0:07,+0:07,,0,2001
30,6,+0:07,,,Knaven Servais,6,Domo - Farm Frites,",, 0:07",+0:07,,0,2001
27,7,+0:09,,,Hincapie George,7,US Postal Service,0:09 0:09,+0:09,,0,2001
25,8,+0:09,,,Niermann Grischa,8,Rabobank ProTeam,",, 0:09",+0:09,,0,2001
32,9,+0:09,,,Wauters Marc,9,Rabobank ProTeam,",, 0:09",+0:09,,0,2001
28,10,+0:09,,,Jalabert Nicolas,10,CSC ProTeam - Tiscali,",, 0:09",+0:09,,0,2001
29,1,+0:00,,1.0,Armstrong Lance,1,US Postal Service,4:36:33 4:36:33,+0:00,-,1,2001
30,2,+0:03,,6.0,Knaven Servais,2,Domo - Farm Frites,0:03 0:03,+-1:56,\u25b24,1,2001
32,3,+0:05,,2.0,Jalabert Laurent,3,CSC ProTeam - Tiscali,0:05 0:05,+0:00,\u25bc1,1,2001
30,4,+0:05,,3.0,Hamilton Tyler,4,US Postal Service,",, 0:05",+0:00,\u25bc1,1,2001
35,5,+0:05,,4.0,Ekimov Viatcheslav,5,US Postal Service,",, 0:05",+0:00,\u25bc1,1,2001
30,6,+0:06,,5.0,Zberg Beat,6,Rabobank ProTeam,0:06 0:06,+-1:59,\u25bc1,1,2001
27,7,+0:09,,7.0,Hincapie George,7,US Postal Service,0:09 0:09,+0:00,-,1,2001
25,8,+0:09,,8.0,Niermann Grischa,8,Rabobank ProTeam,",, 0:09",+0:00,-,1,2001
32,9,+0:09,,9.0,Wauters Marc,9,Rabobank ProTeam,",, 0:09",+0:00,-,1,2001
28,10,+0:10,,10.0,Jalabert Nicolas,10,CSC ProTeam - Tiscali,0:10 0:10,+0:01,-,1,2001
32,1,+0:00,,,Bortolami Gianluca,1,Tacconi Sport - Vini Caldirola,8:23:20 8:23:20,+0:00,-,2,2001
27,2,+0:06,,,Wrolich Peter,2,Gerolsteiner,0:06 0:06,+0:06,-,2,2001
29,3,+2:35,,1.0,Armstrong Lance,3,US Postal Service,2:35 2:35,+-274:02,\u25bc2,2,2001
30,4,+2:38,,2.0,Knaven Servais,4,Domo - Farm Frites,2:38 2:38,+-274:02,\u25bc2,2,2001
32,5,+2:40,,3.0,Jalabert Laurent,5,CSC ProTeam - Tiscali,2:40 2:40,+-274:02,\u25bc2,2,2001
30,6,+2:40,,4.0,Hamilton Tyler,6,US Postal Service,",, 2:40",+-274:02,\u25bc2,2,2001
35,7,+2:40,,5.0,Ekimov Viatcheslav,7,US Postal Service,",, 2:40",+-274:02,\u25bc2,2,2001
30,8,+2:41,,6.0,Zberg Beat,8,Rabobank ProTeam,2:41 2:41,+-274:02,\u25bc2,2,2001
27,9,+2:44,,7.0,Hincapie George,9,US Postal Service,2:44 2:44,+-274:02,\u25bc2,2,2001
25,10,+2:44,,8.0,Niermann Grischa,10,Rabobank ProTeam,",, 2:44",+-274:02,\u25bc2,2,2001
32,1,+0:00,,1.0,Bortolami Gianluca,1,Tacconi Sport - Vini Caldirola,12:04:56 12:04:56,+0:00,-,3,2001
27,2,+0:14,,,Vinokourov Alexandre,2,Team Telekom,0:14 0:14,+503:34,-,3,2001
27,3,+0:15,,2.0,Wrolich Peter,3,Gerolsteiner,0:15 0:15,+0:09,\u25bc1,3,2001
32,4,+0:24,,5.0,Jalabert Laurent,4,CSC ProTeam - Tiscali,0:24 0:24,+-3:44,\u25b21,3,2001
29,5,+0:26,,3.0,Armstrong Lance,5,US Postal Service,0:26 0:26,+-3:51,\u25bc2,3,2001
30,6,+0:32,,8.0,Zberg Beat,6,Rabobank ProTeam,0:32 0:32,+-3:51,\u25b22,3,2001
30,7,+0:35,,6.0,Hamilton Tyler,7,US Postal Service,0:35 0:35,+-3:55,\u25bc1,3,2001
27,8,+0:36,,,Schnider Daniel,8,La Fran\xe7aise des Jeux,0:36 0:36,+503:56,-,3,2001
32,9,+0:37,,,Cuesta \xcd\xf1igo,9,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",0:37 0:37,+503:57,-,3,2001
27,10,+0:38,,,Garzelli Stefano,10,Mapei - Quickstep,0:38 0:38,+503:58,-,3,2001
30,1,+0:00,,,Belli Wladimir,1,Fassa Bortolo,18:03:39 18:03:39,+0:00,-,4,2001
29,2,+0:01,,,Simoni Gilberto,2,Lampre - Daikin,0:01 0:01,+0:01,-,4,2001
29,3,+0:25,,5.0,Armstrong Lance,3,US Postal Service,0:25 0:25,+-725:03,\u25b22,4,2001
30,4,+0:30,,,Beltran Manuel,4,Mapei - Quickstep,0:30 0:30,+0:30,-,4,2001
30,5,+0:31,,6.0,Zberg Beat,5,Rabobank ProTeam,0:31 0:31,+-725:03,\u25b21,4,2001
25,6,+0:39,,,Garate Juan Manuel,6,Lampre - Daikin,0:39 0:39,+0:39,-,4,2001
27,7,+1:20,,2.0,Vinokourov Alexandre,7,Team Telekom,1:20 1:20,+-724:10,\u25bc5,4,2001
32,8,+1:28,,4.0,Jalabert Laurent,8,CSC ProTeam - Tiscali,1:28 1:28,+-724:08,\u25bc4,4,2001
27,9,+1:42,,8.0,Schnider Daniel,9,La Fran\xe7aise des Jeux,1:42 1:42,+-724:10,\u25bc1,4,2001
30,10,+1:52,,,Totschnig Georg,10,Gerolsteiner,1:52 1:52,+1:52,-,4,2001
30,1,+0:00,,1.0,Belli Wladimir,1,Fassa Bortolo,22:04:11 22:04:11,+0:00,-,5,2001
29,2,+0:01,,2.0,Simoni Gilberto,2,Lampre - Daikin,0:01 0:01,+0:00,-,5,2001
