Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
25,58,1,+0:00,,,P\xf6stlberger Lukas,1,BORA - hansgrohe,5:13:25 5:13:25,+0:00,20.0,,1,2017
22,123,2,+0:04,,,Ewan Caleb,2,ORICA-Scott,0:04 0:04,+0:04,,,1,2017
34,100,3,+0:06,,,Greipel Andr\xe9,3,Lotto Soudal,0:06 0:06,+0:06,,,1,2017
35,92,4,+0:08,,,Brutt Pavel,4,Gazprom-RusVelo,0:08 0:08,+0:08,,,1,2017
28,196,5,+0:10,,,Nizzolo Giacomo,5,Trek - Segafredo,0:10 0:10,+0:10,,,1,2017
29,205,6,+0:10,,,Modolo Sacha,6,UAE Team Emirates,",, 0:10",+0:10,,,1,2017
26,147,7,+0:10,,,Sbaragli Kristian,7,Team Dimension Data,",, 0:10",+0:10,,,1,2017
25,199,8,+0:10,,,Stuyven Jasper,8,Trek - Segafredo,",, 0:10",+0:10,,,1,2017
22,145,9,+0:10,,,Gibbons Ryan,9,Team Dimension Data,",, 0:10",+0:10,,,1,2017
26,53,10,+0:10,,,Bennett Sam,10,BORA - hansgrohe,",, 0:10",+0:10,,,1,2017
22,182,11,+0:10,,,Bauhaus Phil,11,Team Sunweb,",, 0:10",+0:10,,,1,2017
23,56,12,+0:10,,,M\xfchlberger Gregor,12,BORA - hansgrohe,",, 0:10",+0:10,,,1,2017
22,135,13,+0:10,,,Gaviria Fernando,13,Quick-Step Floors,",, 0:10",+0:10,,,1,2017
27,162,14,+0:10,,,Battaglin Enrico,14,Team LottoNL-Jumbo,",, 0:10",+0:10,,,1,2017
27,156,15,+0:10,,,Kuznetsov Viacheslav,15,Team Katusha - Alpecin,",, 0:10",+0:10,,,1,2017
24,131,16,+0:10,,,Jungels Bob,16,Quick-Step Floors,",, 0:10",+0:10,,,1,2017
23,216,17,+0:10,,,Mareczko Jakub,17,Wilier Triestina - Selle Italia,",, 0:10",+0:10,,,1,2017
27,34,18,+0:10,,,Barbin Enrico,18,Bardiani - CSF,",, 0:10",+0:10,,,1,2017
30,179,19,+0:10,,,Thomas Geraint,19,Team Sky,",, 0:10",+0:10,,,1,2017
30,76,20,+0:10,,,Ponzi Simone,20,CCC Sprandi Polkowice,",, 0:10",+0:10,,,1,2017
