Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
25,197,1.0,+0:00,,,Kittel Marcel,1,Team Argos - Shimano,4:56:52 4:56:52,1,2013,
19,208,3.0,+0:00,,,van Poppel Danny,2,Vacansoleil - DCM,",, ,,",1,2013,
23,158,5.0,+0:00,,,Trentin Matteo,3,Omega Pharma - Quick-Step,",, ,,",1,2013,
24,168,12.0,+0:00,,,Vanmarcke Sep,4,Belkin-Pro Cycling Team,",, ,,",1,2013,
23,153,29.0,+0:00,,,Kwiatkowski Michał,5,Omega Pharma - Quick-Step,",, ,,",1,2013,
22,82,30.0,+0:00,,,Bardet Romain,6,AG2R La Mondiale,",, ,,",1,2013,
23,128,47.0,+0:00,,,Quintana Nairo,7,Movistar Team,",, ,,",1,2013,
25,207,52.0,+0:00,,,van Poppel Boy,8,Vacansoleil - DCM,",, ,,",1,2013,
22,194,54.0,+0:00,,,Dumoulin Tom,9,Team Argos - Shimano,",, ,,",1,2013,
25,119,56.0,+0:00,,,Sicard Romain,10,Euskaltel - Euskadi,",, ,,",1,2013,
23,71,57.0,+0:00,,,Pinot Thibaut,11,FDJ.fr,",, ,,",1,2013,
24,3,62.0,+0:00,,,Kennaugh Peter,12,Sky Procycling,",, ,,",1,2013,
23,138,74.0,+0:00,,,Molard Rudy,13,"Cofidis, Solutions Crédits",",, ,,",1,2013,
24,114,81.0,+0:00,,,Izagirre Ion,14,Euskaltel - Euskadi,",, ,,",1,2013,
25,219,83.0,+0:00,,,Vuillermoz Alexis,15,Sojasun,",, ,,",1,2013,
23,212,86.0,+0:00,,,Delaplace Anthony,16,Sojasun,",, ,,",1,2013,
22,73,88.0,+0:00,,,Bouhanni Nacer,17,FDJ.fr,",, ,,",1,2013,
25,76,92.0,+0:00,,,Geniez Alexandre,18,FDJ.fr,",, ,,",1,2013,
24,79,104.0,+0:00,,,Vichot Arthur,19,FDJ.fr,",, ,,",1,2013,
25,57,105.0,+0:00,,,Reza Kévin,20,Team Europcar,",, ,,",1,2013,
24,191,108.0,+0:00,,,Degenkolb John,21,Team Argos - Shimano,",, ,,",1,2013,
24,178,110.0,+0:00,,,Talansky Andrew,22,Garmin Sharp,",, ,,",1,2013,
25,177,125.0,+0:00,,,Navardauskas Ramūnas,23,Garmin Sharp,",, ,,",1,2013,
24,115,134.0,+0:00,,,Lobato Juan José,24,Euskaltel - Euskadi,",, ,,",1,2013,
22,17,142.0,+0:00,,,Moser Moreno,25,Cannondale Pro Cycling Team,",, ,,",1,2013,
25,146,149.0,+0:00,,,Malori Adriano,26,Lampre - Merida,",, ,,",1,2013,
25,187,150.0,+0:00,,,Meyer Cameron,27,Orica GreenEDGE,",, ,,",1,2013,
23,11,154.0,+0:00,,,Sagan Peter,28,Cannondale Pro Cycling Team,",, ,,",1,2013,
23,174,165.0,+0:00,,,Dennis Rohan,29,Garmin Sharp,",, ,,",1,2013,
23,143,168.0,+0:00,,,Cimolai Davide,30,Lampre - Merida,",, ,,",1,2013,
24,144,170.0,+0:00,,,Favilli Elia,31,Lampre - Merida,",, ,,",1,2013,
24,53,182.0,+0:00,,,Cousin Jérôme,32,Team Europcar,",, ,,",1,2013,
20,68,186.0,+0:00,,,Lutsenko Alexey,33,Astana Pro Team,",, ,,",1,2013,
25,44,187.0,+0:00,,,Gallopin Tony,34,RadioShack - Leopard,",, ,,",1,2013,
24,39,139.0,+0:00,,,van Garderen Tejay,35,BMC Racing Team,",, ,,",1,2013,
23,153,7.0,+0:01,,5.0,Kwiatkowski Michał,1,Omega Pharma - Quick-Step,8:40:04 8:40:04,2,2013,▲4
22,82,12.0,+0:01,,6.0,Bardet Romain,2,AG2R La Mondiale,",, ,,",2,2013,▲4
23,128,25.0,+0:01,,7.0,Quintana Nairo,3,Movistar Team,",, ,,",2,2013,▲4
24,114,26.0,+0:01,,14.0,Izagirre Ion,4,Euskaltel - Euskadi,",, ,,",2,2013,▲10
23,138,35.0,+0:01,,13.0,Molard Rudy,5,"Cofidis, Solutions Crédits",",, ,,",2,2013,▲8
23,71,39.0,+0:01,,11.0,Pinot Thibaut,6,FDJ.fr,",, ,,",2,2013,▲5
24,79,43.0,+0:01,,19.0,Vichot Arthur,7,FDJ.fr,",, ,,",2,2013,▲12
23,11,57.0,+0:01,,28.0,Sagan Peter,8,Cannondale Pro Cycling Team,",, ,,",2,2013,▲20
23,212,53.0,+0:01,,16.0,Delaplace Anthony,9,Sojasun,",, ,,",2,2013,▲7
24,3,51.0,+0:01,,12.0,Kennaugh Peter,10,Sky Procycling,",, ,,",2,2013,▲2
25,219,54.0,+0:01,,15.0,Vuillermoz Alexis,11,Sojasun,",, ,,",2,2013,▲4
23,143,63.0,+0:01,,30.0,Cimolai Davide,12,Lampre - Merida,",, ,,",2,2013,▲18
24,144,70.0,+0:01,,31.0,Favilli Elia,13,Lampre - Merida,",, ,,",2,2013,▲18
25,76,74.0,+0:01,,18.0,Geniez Alexandre,14,FDJ.fr,",, ,,",2,2013,▲4
24,178,67.0,+0:01,,22.0,Talansky Andrew,15,Garmin Sharp,",, ,,",2,2013,▲7
22,17,85.0,+0:01,,25.0,Moser Moreno,16,Cannondale Pro Cycling Team,",, ,,",2,2013,▲9
25,44,87.0,+0:01,,34.0,Gallopin Tony,17,RadioShack - Leopard,",, ,,",2,2013,▲17
24,39,61.0,+0:01,,35.0,van Garderen Tejay,18,BMC Racing Team,",, ,,",2,2013,▲17
23,174,118.0,+9:06,,29.0,Dennis Rohan,19,Garmin Sharp,9:05 9:05,2,2013,▲10
24,168,119.0,+12:44,,4.0,Vanmarcke Sep,20,Belkin-Pro Cycling Team,12:43 12:43,2,2013,▼16
25,207,123.0,+12:44,,8.0,van Poppel Boy,21,Vacansoleil - DCM,",, 12:43",2,2013,▼13
22,194,124.0,+12:44,,9.0,Dumoulin Tom,22,Team Argos - Shimano,",, 12:43",2,2013,▼13
24,191,127.0,+12:44,,21.0,Degenkolb John,23,Team Argos - Shimano,",, 12:43",2,2013,▼2
20,68,139.0,+12:44,,33.0,Lutsenko Alexey,24,Astana Pro Team,",, 12:43",2,2013,▲9
25,197,142.0,+17:35,,1.0,Kittel Marcel,25,Team Argos - Shimano,17:34 17:34,2,2013,▼24
19,208,143.0,+17:35,,2.0,van Poppel Danny,26,Vacansoleil - DCM,",, 17:34",2,2013,▼24
23,158,144.0,+17:35,,3.0,Trentin Matteo,27,Omega Pharma - Quick-Step,",, 17:34",2,2013,▼24
25,119,154.0,+17:35,,10.0,Sicard Romain,28,Euskaltel - Euskadi,",, 17:34",2,2013,▼18
22,73,168.0,+17:35,,17.0,Bouhanni Nacer,29,FDJ.fr,",, 17:34",2,2013,▼12
24,115,172.0,+17:35,,24.0,Lobato Juan José,30,Euskaltel - Euskadi,",, 17:34",2,2013,▼6
25,187,179.0,+17:35,,27.0,Meyer Cameron,31,Orica GreenEDGE,",, 17:34",2,2013,▼4
25,177,177.0,+17:35,,23.0,Navardauskas Ramūnas,32,Garmin Sharp,",, 17:34",2,2013,▼9
25,57,174.0,+17:35,,20.0,Reza Kévin,33,Team Europcar,",, 17:34",2,2013,▼13
25,146,185.0,+17:35,,26.0,Malori Adriano,34,Lampre - Merida,",, 17:34",2,2013,▼8
24,53,197.0,+17:35,,32.0,Cousin Jérôme,35,Team Europcar,",, 17:34",2,2013,▼3
23,153,4.0,+0:01,,1.0,Kwiatkowski Michał,1,Omega Pharma - Quick-Step,12:21:28 12:21:28,3,2013,-
22,82,10.0,+0:01,,2.0,Bardet Romain,2,AG2R La Mondiale,",, ,,",3,2013,-
23,11,29.0,+0:01,,8.0,Sagan Peter,3,Cannondale Pro Cycling Team,",, ,,",3,2013,▲5
23,128,33.0,+0:01,,3.0,Quintana Nairo,4,Movistar Team,",, ,,",3,2013,▼1
24,39,38.0,+0:01,,18.0,van Garderen Tejay,5,BMC Racing Team,",, ,,",3,2013,▲13
24,144,40.0,+0:01,,13.0,Favilli Elia,6,Lampre - Merida,",, ,,",3,2013,▲7
23,71,42.0,+0:01,,6.0,Pinot Thibaut,7,FDJ.fr,",, ,,",3,2013,▼1
24,178,53.0,+0:01,,15.0,Talansky Andrew,8,Garmin Sharp,",, ,,",3,2013,▲7
25,76,65.0,+0:01,,14.0,Geniez Alexandre,9,FDJ.fr,",, ,,",3,2013,▲5
25,219,75.0,+2:30,,11.0,Vuillermoz Alexis,10,Sojasun,2:29 2:29,3,2013,▲1
24,114,77.0,+3:41,,4.0,Izagirre Ion,11,Euskaltel - Euskadi,3:40 3:40,3,2013,▼7
23,138,79.0,+3:41,,5.0,Molard Rudy,12,"Cofidis, Solutions Crédits",",, 3:40",3,2013,▼7
23,212,81.0,+3:41,,9.0,Delaplace Anthony,13,Sojasun,",, 3:40",3,2013,▼4
25,44,87.0,+5:03,,17.0,Gallopin Tony,14,RadioShack - Leopard,5:02 5:02,3,2013,▲3
24,79,98.0,+9:16,,7.0,Vichot Arthur,15,FDJ.fr,9:15 9:15,3,2013,▼8
24,3,99.0,+9:16,,10.0,Kennaugh Peter,16,Sky Procycling,",, 9:15",3,2013,▼6
23,143,100.0,+9:16,,12.0,Cimolai Davide,17,Lampre - Merida,",, 9:15",3,2013,▼5
22,17,101.0,+9:16,,16.0,Moser Moreno,18,Cannondale Pro Cycling Team,",, 9:15",3,2013,▼2
22,194,109.0,+13:01,,22.0,Dumoulin Tom,19,Team Argos - Shimano,13:00 13:00,3,2013,▲3
23,174,121.0,+17:32,,19.0,Dennis Rohan,20,Garmin Sharp,17:31 17:31,3,2013,▼1
25,187,125.0,+17:35,,31.0,Meyer Cameron,21,Orica GreenEDGE,17:34 17:34,3,2013,▲10
25,207,127.0,+17:46,,21.0,van Poppel Boy,22,Vacansoleil - DCM,17:45 17:45,3,2013,▼1
24,191,135.0,+21:10,,23.0,Degenkolb John,23,Team Argos - Shimano,21:09 21:09,3,2013,-
24,168,142.0,+21:59,,20.0,Vanmarcke Sep,24,Belkin-Pro Cycling Team,21:58 21:58,3,2013,▼4
20,68,146.0,+21:59,,24.0,Lutsenko Alexey,25,Astana Pro Team,",, 21:58",3,2013,▼1
23,158,151.0,+26:01,,27.0,Trentin Matteo,26,Omega Pharma - Quick-Step,26:00 26:00,3,2013,▲1
25,119,152.0,+26:01,,28.0,Sicard Romain,27,Euskaltel - Euskadi,",, 26:00",3,2013,▲1
24,115,160.0,+26:01,,30.0,Lobato Juan José,28,Euskaltel - Euskadi,",, 26:00",3,2013,▲2
25,57,163.0,+26:01,,33.0,Reza Kévin,29,Team Europcar,",, 26:00",3,2013,▲4
25,177,166.0,+26:01,,32.0,Navardauskas Ramūnas,30,Garmin Sharp,",, 26:00",3,2013,▲2
24,53,172.0,+26:01,,35.0,Cousin Jérôme,31,Team Europcar,",, 26:00",3,2013,▲4
19,208,176.0,+26:50,,26.0,van Poppel Danny,32,Vacansoleil - DCM,26:49 26:49,3,2013,▼6
25,197,178.0,+26:50,,25.0,Kittel Marcel,33,Team Argos - Shimano,",, 26:49",3,2013,▼8
25,146,186.0,+26:50,,34.0,Malori Adriano,34,Lampre - Merida,",, 26:49",3,2013,-
22,73,196.0,+34:19,,29.0,Bouhanni Nacer,35,FDJ.fr,34:18 34:18,3,2013,▼6
