Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,116,178,+11:58,31.0,Mazzoleni Eddy,31,Saeco Macchine da Caffe' - Cannondale,11:58 11:58,-,6,1998
24,117,181,+17:40,32.0,Mori Massimiliano,32,Saeco Macchine da Caffe' - Cannondale,17:40 17:40,-,6,1998
24,1,1,+0:00,3.0,Ullrich Jan,1,Team Telekom - ARD,31:24:37 31:24:37,\u25b22,7,1998
24,84,8,+1:53,1.0,O'Grady Stuart,2,GAN,1:53 1:53,\u25bc1,7,1998
25,187,21,+3:53,2.0,Hincapie George,3,US Postal Service,3:53 3:53,\u25bc1,7,1998
24,176,30,+4:36,11.0,Gonzalez Santos,4,Kelme - Costa Blanca,4:36 4:36,\u25b27,7,1998
24,48,31,+4:37,10.0,Perez Luis,5,O.N.C.E.,4:37 4:37,\u25b25,7,1998
25,137,32,+4:39,13.0,Livingston Kevin,6,Cofidis,4:39 4:39,\u25b27,7,1998
24,139,36,+4:54,7.0,Rinero Christophe,7,Cofidis,4:54 4:54,-,7,1998
25,134,40,+4:58,23.0,Jalabert Nicolas,8,Cofidis,4:58 4:58,\u25b215,7,1998
21,146,42,+5:01,12.0,Jaksche Jorg,9,Polti,5:01 5:01,\u25b23,7,1998
23,104,47,+5:18,25.0,Ivanov Serguei,10,TVM - Farm Frites,5:18 5:18,\u25b215,7,1998
24,173,59,+5:51,16.0,Alberto Contreras Carlos,11,Kelme - Costa Blanca,5:51 5:51,\u25b25,7,1998
24,32,60,+5:54,4.0,Di Grande Giuseppe,12,Mapei - Bricobi,5:54 5:54,\u25bc8,7,1998
24,56,62,+6:02,9.0,Moerenhout Koos,13,Rabobank ProTeam,6:02 6:02,\u25bc4,7,1998
24,69,91,+7:31,15.0,Salmon Benoit,14,Casino - AG2R,7:31 7:31,\u25b21,7,1998
24,161,93,+7:34,6.0,Blanco Santiago,15,Vitalicio Seguros,7:34 7:34,\u25bc9,7,1998
24,175,102,+7:50,18.0,Gomez Jose Javier,16,Kelme - Costa Blanca,7:50 7:50,\u25b22,7,1998
23,98,110,+8:16,26.0,Verbrugghe Rik,17,Lotto - Mobistar,8:16 8:16,\u25b29,7,1998
24,122,114,+8:28,14.0,Bouyer Franck,18,La Fran\xe7aise des Jeux,8:28 8:28,\u25bc4,7,1998
25,174,119,+8:55,21.0,De Los Angeles Juan Jos\xe9,19,Kelme - Costa Blanca,8:55 8:55,\u25b22,7,1998
23,82,125,+9:32,8.0,B\xe4ckstedt Magnus,20,GAN,9:32 9:32,\u25bc12,7,1998
25,133,127,+9:40,5.0,Gaumont Philippe,21,Cofidis,9:40 9:40,\u25bc16,7,1998
22,159,129,+9:53,22.0,Turicchia Alain,22,Asics - CGA,9:53 9:53,-,7,1998
25,99,130,+9:56,19.0,Verheyen Geert,23,Lotto - Mobistar,9:56 9:56,\u25bc4,7,1998
24,145,141,+10:39,20.0,Guidi Leonardo,24,Polti,10:39 10:39,\u25bc4,7,1998
24,103,142,+10:48,17.0,de Jongh Steven,25,TVM - Farm Frites,10:48 10:48,\u25bc8,7,1998
24,149,148,+11:30,24.0,Sacchi Fabio,26,Polti,11:30 11:30,\u25bc2,7,1998
23,152,153,+13:10,27.0,Bongioni Alessio,27,Asics - CGA,13:10 13:10,-,7,1998
23,199,166,+16:45,28.0,Spezialetti Alessandro,28,Riso Scotti - MG,16:45 16:45,-,7,1998
25,195,167,+17:56,29.0,Casagranda Stefano,29,Riso Scotti - MG,17:56 17:56,-,7,1998
24,128,168,+18:16,30.0,Nazon Damien,30,La Fran\xe7aise des Jeux,18:16 18:16,-,7,1998
24,116,169,+19:38,31.0,Mazzoleni Eddy,31,Saeco Macchine da Caffe' - Cannondale,19:38 19:38,-,7,1998
24,117,172,+23:27,32.0,Mori Massimiliano,32,Saeco Macchine da Caffe' - Cannondale,23:27 23:27,-,7,1998
24,1,5,+3:21,1.0,Ullrich Jan,1,Team Telekom - ARD,36:13:17 36:13:17,-,8,1998
24,84,12,+5:14,2.0,O'Grady Stuart,2,GAN,1:53 1:53,-,8,1998
25,133,20,+6:44,21.0,Gaumont Philippe,3,Cofidis,3:23 3:23,\u25b218,8,1998
24,149,22,+6:58,26.0,Sacchi Fabio,4,Polti,3:37 3:37,\u25b222,8,1998
25,187,27,+7:14,3.0,Hincapie George,5,US Postal Service,3:53 3:53,\u25bc2,8,1998
24,176,35,+7:57,4.0,Gonzalez Santos,6,Kelme - Costa Blanca,4:36 4:36,\u25bc2,8,1998
24,48,36,+7:58,5.0,Perez Luis,7,O.N.C.E.,4:37 4:37,\u25bc2,8,1998
25,137,37,+8:00,6.0,Livingston Kevin,8,Cofidis,4:39 4:39,\u25bc2,8,1998
24,139,41,+8:15,7.0,Rinero Christophe,9,Cofidis,4:54 4:54,\u25bc2,8,1998
25,134,44,+8:19,8.0,Jalabert Nicolas,10,Cofidis,4:58 4:58,\u25bc2,8,1998
21,146,46,+8:22,9.0,Jaksche Jorg,11,Polti,5:01 5:01,\u25bc2,8,1998
23,104,51,+8:39,10.0,Ivanov Serguei,12,TVM - Farm Frites,5:18 5:18,\u25bc2,8,1998
24,173,62,+9:12,11.0,Alberto Contreras Carlos,13,Kelme - Costa Blanca,5:51 5:51,\u25bc2,8,1998
24,32,63,+9:15,12.0,Di Grande Giuseppe,14,Mapei - Bricobi,5:54 5:54,\u25bc2,8,1998
24,56,65,+9:23,13.0,Moerenhout Koos,15,Rabobank ProTeam,6:02 6:02,\u25bc2,8,1998
24,69,93,+10:52,14.0,Salmon Benoit,16,Casino - AG2R,7:31 7:31,\u25bc2,8,1998
24,161,95,+10:55,15.0,Blanco Santiago,17,Vitalicio Seguros,7:34 7:34,\u25bc2,8,1998
24,175,104,+11:11,16.0,Gomez Jose Javier,18,Kelme - Costa Blanca,7:50 7:50,\u25bc2,8,1998
