stage_type,Stage,Winner,Leader after stage,year,stage,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
2.0,Stage 13 - Muret › Rodez,VAN AVERMAET Greg,Froome Christopher,2015,12,0,0,0,1
5.0,Stage 14 - Rodez › Mende,CUMMINGS Stephen,Froome Christopher,2015,13,0,0,1,0
2.0,Stage 15 - Mende › Valence,GREIPEL André,Froome Christopher,2015,14,0,0,0,1
4.0,Stage 16 - Bourg-de-Péage › Gap,PLAZA Rubén,Froome Christopher,2015,15,0,0,1,0
5.0,Stage 17 - Digne-Les-Bains › Pra-Loup,GESCHKE Simon,Froome Christopher,2015,16,0,0,1,0
4.0,Stage 18 - Gap › St-Jean-de-Maurienne,BARDET Romain,Froome Christopher,2015,17,0,0,1,0
5.0,Stage 19 - St-Jean-de-Maurienne › La Toussuire - Les Sybelles,NIBALI Vincenzo,Froome Christopher,2015,18,0,0,1,0
5.0,Stage 20 - Modane › l'Alpe d'Huez,PINOT Thibaut,Froome Christopher,2015,19,0,0,1,0
1.0,Stage 21 - Sèvres › Paris,GREIPEL André,Froome Christopher,2015,20,0,0,0,1
2.0,Stage 1 - Leeds › Harrogate,KITTEL Marcel,Kittel Marcel,2014,0,0,0,0,1
2.0,Stage 2 - York › Sheffield,NIBALI Vincenzo,Nibali Vincenzo,2014,1,0,0,0,1
1.0,Stage 3 - Cambridge › London,KITTEL Marcel,Nibali Vincenzo,2014,2,0,0,0,1
1.0,Stage 4 - Le Touquet Paris-Plage › Lille,KITTEL Marcel,Nibali Vincenzo,2014,3,0,0,0,1
1.0,Stage 5 - Ypres › Arenberg Porte du Hainaut,BOOM Lars,Nibali Vincenzo,2014,4,0,0,0,1
1.0,Stage 6 - Arras › Reims,GREIPEL André,Nibali Vincenzo,2014,5,0,0,0,1
1.0,Stage 7 - Epernay › Nancy,TRENTIN Matteo,Nibali Vincenzo,2014,6,0,0,0,1
5.0,Stage 8 - Tomblaine › Gerardmer,KADRI Blel,Nibali Vincenzo,2014,7,0,0,1,0
4.0,Stage 9 - Gerardmer › Mulhouse,MARTIN Tony,Gallopin Tony,2014,8,0,0,1,0
5.0,Stage 10 - Mulhouse › La planche des Belles Filles,NIBALI Vincenzo,Nibali Vincenzo,2014,9,0,0,1,0
2.0,Stage 11 - Besancon › Oyonnax,GALLOPIN Tony,Nibali Vincenzo,2014,10,0,0,0,1
2.0,Stage 12 - Bourg-en-Bresse › Saint-Etienne,KRISTOFF Alexander,Nibali Vincenzo,2014,11,0,0,0,1
5.0,Stage 13 - Saint-Etienne › Chamrousse,NIBALI Vincenzo,Nibali Vincenzo,2014,12,0,0,1,0
5.0,Stage 14 - Grenoble › Risoul,MAJKA Rafał,Nibali Vincenzo,2014,13,0,0,1,0
1.0,Stage 15 - Tallard › Nîmes,KRISTOFF Alexander,Nibali Vincenzo,2014,14,0,0,0,1
4.0,Stage 16 - Carcassonne › Bagneres-de-Luchon,ROGERS Michael,Nibali Vincenzo,2014,15,0,0,1,0
5.0,Stage 17 - Saint-Gaudens › Saint-Lary-Soulan (Pla d'Adet),MAJKA Rafał,Nibali Vincenzo,2014,16,0,0,1,0
5.0,Stage 18 - Pau › Hautacam,NIBALI Vincenzo,Nibali Vincenzo,2014,17,0,0,1,0
1.0,Stage 19 - Maubourguet val d'Adour › Bergerac,NAVARDAUSKAS Ramunas,Nibali Vincenzo,2014,18,0,0,0,1
3.0,Stage 20 (ITT) - Bergerac › Perigueux,MARTIN Tony,Nibali Vincenzo,2014,19,1,0,0,0
1.0,Stage 21 - Evry › Paris,KITTEL Marcel,Nibali Vincenzo,2014,20,0,0,0,1
1.0,Stage 1 - Porto-Vecchio › Bastia,KITTEL Marcel,Kittel Marcel,2013,0,0,0,0,1
4.0,Stage 2 - Bastia › Ajaccio,BAKELANTS Jan,Bakelants Jan,2013,1,0,0,1,0
2.0,Stage 3 - Ajaccio › Calvi,GERRANS Simon,Bakelants Jan,2013,2,0,0,0,1
1.0,Team Time Trial - Nice › Nice,Orica GreenEDGE,Gerrans Simon,2013,3,0,1,0,0
2.0,Stage 5 - Cagnes-sur-Mer › Marseille,CAVENDISH Mark,Gerrans Simon,2013,4,0,0,0,1
1.0,Stage 6 - Aix-en-Provence › Montpellier,GREIPEL André,Impey Daryl,2013,5,0,0,0,1
