stage_type,Stage,Winner,Leader after stage,year,stage,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
0.0,Stage 16 - Orthez › Gourette - Col d'Aubisque,RASMUSSEN Michael,Rasmussen Michael,2007,16,0,0,0,1
0.0,Stage 17 - Pau › Castelsarrasin,BENNATI Daniele,Contador Alberto,2007,17,0,0,0,1
0.0,Stage 18 - Cahors › Angoulême,CASAR Sandy,Contador Alberto,2007,18,0,0,0,1
0.0,Stage 19 (ITT) - Cognac › Angoulême,EVANS Cadel,Contador Alberto,2007,19,1,0,0,0
0.0,Stage 20 - Marcoussis › Paris,BENNATI Daniele,Contador Alberto,2007,20,0,0,0,1
0.0,Prologue - Strasbourg › Strasbourg,HUSHOVD Thor,Hushovd Thor,2006,0,1,0,0,0
0.0,Stage 1 - Strasbourg › Strasbourg,CASPER Jimmy,Casper Jimmy,2006,1,0,0,0,1
0.0,Stage 2 - Obernai › Esch-sur-Alzette,MCEWEN Robbie,Hushovd Thor,2006,2,0,0,0,1
0.0,Stage 3 - Esch-sur-Alzette › Valkenburg,KESSLER Matthias,Boonen Tom,2006,3,0,0,0,1
0.0,Stage 4 - Huy › Saint-Quentin,MCEWEN Robbie,Boonen Tom,2006,4,0,0,0,1
0.0,Stage 5 - Beauvais › Caen,FREIRE Oscar,Boonen Tom,2006,5,0,0,0,1
0.0,Stage 6 - Lisieux › Vitré,MCEWEN Robbie,Boonen Tom,2006,6,0,0,0,1
0.0,Stage 7 (ITT) - Saint-Grégoire › Rennes,HONCHAR Serhiy,Honchar Serhiy,2006,7,1,0,0,0
0.0,Stage 8 - Saint-Méen-le-Grand › Lorient,CALZATI Sylvain,Honchar Serhiy,2006,8,0,0,0,1
0.0,Stage 9 - Bordeaux › Dax,FREIRE Oscar,Honchar Serhiy,2006,9,0,0,0,1
0.0,Stage 10 - Cambo-les-Bains › Pau,MERCADO Juan Miguel,Dessel Cyril,2006,10,0,0,0,1
0.0,Stage 11 - Tarbes › Val d'Aran - Pla-de-Beret,MENCHOV Denis,Dessel Cyril,2006,11,0,0,0,1
0.0,Stage 12 - Luchon › Carcassonne,POPOVYCH Yaroslav,Dessel Cyril,2006,12,0,0,0,1
0.0,Stage 13 - Béziers › Montélimar,VOIGT Jens,Pereiro Oscar,2006,13,0,0,0,1
0.0,Stage 14 - Montélimar › Gap,FEDRIGO Pierrick,Pereiro Oscar,2006,14,0,0,0,1
0.0,Stage 15 - Gap › L'Alpe d'Huez,SCHLECK Fränk,Pereiro Oscar,2006,15,0,0,0,1
0.0,Stage 16 - Le Bourg d'Oisans › La Toussuire - Les Sybelles,RASMUSSEN Michael,Pereiro Oscar,2006,16,0,0,0,1
0.0,Stage 17 - St-Jean-de-Maurienne › Morzine,SASTRE Carlos,Pereiro Oscar,2006,17,0,0,0,1
0.0,Stage 18 - Morzine › Mâcon,TOSATTO Matteo,Pereiro Oscar,2006,18,0,0,0,1
0.0,Stage 19 (ITT) - Le Creusot › Montceau-les-Mines,HONCHAR Serhiy,Pereiro Oscar,2006,19,1,0,0,0
0.0,Stage 20 - Sceaux - Antony › Paris,HUSHOVD Thor,Pereiro Oscar,2006,20,0,0,0,1
0.0,Individual Time Trial - Fromentine en l'Ile › Noirmoutier,,,2005,0,1,0,0,0
0.0,Stage 2 - Challans › Les Essarts,BOONEN Tom,Boonen Tom,2005,1,0,0,0,1
0.0,Stage 3 - La Châtaigneraie › Tours,BOONEN Tom,Boonen Tom,2005,2,0,0,0,1
0.0,Team Time Trial - Tours › Blois,,,2005,3,0,1,0,0
0.0,Stage 5 - Chambord › Montargis,MCEWEN Robbie,McEwen Robbie,2005,4,0,0,0,1
0.0,Stage 6 - Troyes › Nancy,BERNUCCI Lorenzo,Bernucci Lorenzo,2005,5,0,0,0,1
0.0,Stage 7 - Lunéville › Karlsruhe,MCEWEN Robbie,McEwen Robbie,2005,6,0,0,0,1
0.0,Stage 8 - Pforzheim › Gérardmer,WEENING Pieter,Weening Pieter,2005,7,0,0,0,1
0.0,Stage 9 - Gérardmer › Mulhouse,RASMUSSEN Michael,Voigt Jens,2005,8,0,0,0,1
0.0,Stage 10 - Brignoud › Courchevel,VALVERDE Alejandro,Valverde Alejandro,2005,9,0,0,0,1
4.0,Stage 11 - Courchevel › Briançon,VINOKOUROV Alexandre,Vinokourov Alexandre,2005,10,0,0,1,0
0.0,Stage 12 - Briançon › Digne-les-Bains,MONCOUTIÉ David,Moncoutié David,2005,11,0,0,0,1
0.0,Stage 13 - Miramas › Montpellier,MCEWEN Robbie,McEwen Robbie,2005,12,0,0,0,1
0.0,Stage 14 - Agde › Ax 3 domaines,TOTSCHNIG Georg,Totschnig Georg,2005,13,0,0,0,1
0.0,Stage 15 - Lézat-sur-Leze › Saint-Lary-Soulan,,,2005,14,0,0,0,1
0.0,Stage 16 - Mourenx › Pau,PEREIRO Oscar,Pereiro Oscar,2005,15,0,0,0,1
0.0,Stage 17 - Pau › Revel,SAVOLDELLI Paolo,Savoldelli Paolo,2005,16,0,0,0,1
0.0,Stage 18 - Albi › Mende,SERRANO Marcos Antonio,Serrano Marcos Antonio,2005,17,0,0,0,1
0.0,Stage 19 - Issoire › Le Puy en Velay,GUERINI Giuseppe,Guerini Giuseppe,2005,18,0,0,0,1
0.0,Stage 20 (ITT) - Saint-Etienne › Saint-Etienne,,,2005,19,1,0,0,0
0.0,Stage 21 - Corbeil-Essonnes › Paris,VINOKOUROV Alexandre,Vinokourov Alexandre,2005,20,0,0,0,1
0.0,Prologue - Liege › Liege,CANCELLARA Fabian,Cancellara Fabian,2004,0,1,0,0,0
0.0,Stage 1 - Liege › Charleroi,KIRSIPUU Jaan,Cancellara Fabian,2004,1,0,0,0,1
0.0,Stage 2 - Charleroi › Namur,MCEWEN Robbie,Hushovd Thor,2004,2,0,0,0,1
0.0,Stage 3 - Waterloo › Wasquehal,NAZON Jean-Patrick,McEwen Robbie,2004,3,0,0,0,1
0.0,Team Time Trial - Cambrai › Arras,US Postal Service,,2004,4,0,1,0,0
0.0,Stage 5 - Amiens › Chartres,O'GRADY Stuart,Voeckler Thomas,2004,5,0,0,0,1
0.0,Stage 6 - Bonneval › Angers,BOONEN Tom,Voeckler Thomas,2004,6,0,0,0,1
0.0,Stage 7 - Châteaubriant › Saint-Brieuc,POZZATO Filippo,Voeckler Thomas,2004,7,0,0,0,1
0.0,Stage 8 - Lamballe › Quimper,HUSHOVD Thor,Voeckler Thomas,2004,8,0,0,0,1
0.0,Stage 9 - Saint-Léonard-de-Noblat  › Guéret,MCEWEN Robbie,Voeckler Thomas,2004,9,0,0,0,1
0.0,Stage 10 - Limoges › Saint-Flour,VIRENQUE Richard,Voeckler Thomas,2004,10,0,0,0,1
0.0,Stage 11 - Saint-Flour › Figeac,MONCOUTIÉ David,Voeckler Thomas,2004,11,0,0,0,1
0.0,Stage 12 - Castelsarrasin › La Mongie,BASSO Ivan,Voeckler Thomas,2004,12,0,0,0,1
0.0,Stage 13 - Lannemezan › Plateau de Beille,,Voeckler Thomas,2004,13,0,0,0,1
0.0,Stage 14 - Carcassonne › Nîmes,GONZALEZ JIMENEZ Aitor,Voeckler Thomas,2004,14,0,0,0,1
0.0,Stage 15 - Valréas › Villard de Lans,,,2004,15,0,0,0,1
0.0,Stage 16 (ITT) - Bourg d'Oisans › L'Alpe d'Huez,,,2004,16,1,0,0,0
4.0,Stage 17 - Bourg d'Oisans › Le Grand Bornand,,,2004,17,0,0,1,0
2.0,Stage 18 - Annemasse › Lons le Saunier,MERCADO Juan Miguel,Mercado Juan Miguel,2004,18,0,0,0,1
0.0,Stage 19 (ITT) - Besançon › Besançon,,,2004,19,1,0,0,0
0.0,Stage 20 - Montereau › Paris,BOONEN Tom,Boonen Tom,2004,20,0,0,0,1
0.0,Prologue - Paris › Paris,MCGEE Bradley,McGee Bradley,2003,0,1,0,0,0
0.0,Stage 1 - Saint-Denis-Montgeron › Meaux,PETACCHI Alessandro,McGee Bradley,2003,1,0,0,0,1
0.0,Stage 2 - La Ferté-sous-Jouarre › Sedan,COOKE Baden,McGee Bradley,2003,2,0,0,0,1
0.0,Stage 3 - Charleville-Mézières › Saint-Dizier,PETACCHI Alessandro,Nazon Jean-Patrick,2003,3,0,0,0,1
0.0,Stage 4 (ITT) - Joinville › Saint-Dizier,,Peña Victor Hugo,2003,4,1,0,0,0
0.0,Stage 5 - Troyes › Nevers,PETACCHI Alessandro,Peña Victor Hugo,2003,5,0,0,0,1
0.0,Stage 6 - Nevers › Lyon,PETACCHI Alessandro,Peña Victor Hugo,2003,6,0,0,0,1
0.0,Stage 7 - Lyon › Morzine,VIRENQUE Richard,Virenque Richard,2003,7,0,0,0,1
0.0,Stage 8 - Sallanches › L'Alpe d'Huez,MAYO Iban,Mayo Iban,2003,8,0,0,0,1
0.0,Stage 9 - Bourg d'Oisans › Gap,VINOKOUROV Alexandre,Vinokourov Alexandre,2003,9,0,0,0,1
0.0,Stage 10 - Gap › Marseille,PIIL Jakob,Piil Jakob,2003,10,0,0,0,1
0.0,Stage 11 - Narbonne › Toulouse,FLECHA Juan Antonio,Flecha Juan Antonio,2003,11,0,0,0,1
0.0,Stage 12 (ITT) - Gaillac › Cap Découverte,ULLRICH Jan,Ullrich Jan,2003,12,1,0,0,0
0.0,Stage 13 - Toulouse › Ax 3 Domaines,SASTRE Carlos,Sastre Carlos,2003,13,0,0,0,1
0.0,Stage 14 - Saint-Girons › Loudenvielle-Le-Louron,SIMONI Gilberto,Simoni Gilberto,2003,14,0,0,0,1
0.0,Stage 15 - Bagnères-de-Bigorre › Luz-Ardiden,,,2003,15,0,0,0,1
0.0,Stage 16 - Pau › Bayonne,HAMILTON Tyler,Hamilton Tyler,2003,16,0,0,0,1
0.0,Stage 17 - Dax › Bordeaux,KNAVEN Servais,Knaven Servais,2003,17,0,0,0,1
0.0,Stage 18 - Bordeaux › Saint-Maixent-l'Ecole,LASTRAS Pablo,Lastras Pablo,2003,18,0,0,0,1
0.0,Stage 19 (ITT) - Pornic › Nantes,MILLAR David,Millar David,2003,19,1,0,0,0
0.0,Stage 20 - Ville d'Avray › Paris,NAZON Jean-Patrick,Nazon Jean-Patrick,2003,20,0,0,0,1
1.0,Prologue - Luxembourg › Luxembourg,,,2002,0,1,0,0,0
1.0,Stage 1 - Luxembourg › Luxembourg,BERTOGLIATI Rubens,Bertogliati Rubens,2002,1,0,0,0,1
1.0,Stage 2 - Luxembourg › Saarbrücken,FREIRE Oscar,Bertogliati Rubens,2002,2,0,0,0,1
1.0,Stage 3 - Metz › Reims,MCEWEN Robbie,Zabel Erik,2002,3,0,0,0,1
1.0,Team Time Trial - Epernay › Château-Thierry,,Gonzalez De Galdeano Igor,2002,4,0,1,0,0
1.0,Stage 5 - Soissons › Rouen,KIRSIPUU Jaan,Gonzalez De Galdeano Igor,2002,5,0,0,0,1
1.0,Stage 6 - Forges-les-Eaux › Alencon,ZABEL Erik,Gonzalez De Galdeano Igor,2002,6,0,0,0,1
1.0,Stage 7 - Bagnoles De l'Orne › Avranches,MCGEE Bradley,Gonzalez De Galdeano Igor,2002,7,0,0,0,1
1.0,Stage 8 - Saint-Martin-de-Landelles › Plouay,KROON Karsten,Gonzalez De Galdeano Igor,2002,8,0,0,0,1
1.0,Stage 9 (ITT) - Lanester › Lorient,BOTERO Santiago,Gonzalez De Galdeano Igor,2002,9,1,0,0,0
1.0,Stage 10 - Bazas › Pau,HALGAND Patrice,Gonzalez De Galdeano Igor,2002,10,0,0,0,1
5.0,Stage 11 - Pau › La Mongie,,,2002,11,0,0,1,0
0.0,Stage 12 - Lannemezan › Plateau de Beille,,,2002,12,0,0,0,1
1.0,Stage 13 - Lavelanet › Béziers,MILLAR David,Millar David,2002,13,0,0,0,1
5.0,Stage 14 - Lodève › Mont Ventoux,VIRENQUE Richard,Virenque Richard,2002,14,0,0,1,0
5.0,Stage 15 - Vaison-le-Romaine › Les deux Alpes,BOTERO Santiago,Botero Santiago,2002,15,0,0,1,0
5.0,Stage 16 - Les Deux Alpes › La Plagne,BOOGERD Michael,Boogerd Michael,2002,16,0,0,1,0
4.0,Stage 17 - Aime › Cluses,FRIGO Dario,Frigo Dario,2002,17,0,0,1,0
2.0,Stage 18 - Cluses › Bourg-en-Bresse,HUSHOVD Thor,Hushovd Thor,2002,18,0,0,0,1
1.0,Stage 19 (ITT) - Regnier-Durette › Macon,,,2002,19,1,0,0,0
1.0,Stage 20 - Melun › Paris,MCEWEN Robbie,McEwen Robbie,2002,20,0,0,0,1
1.0,Prologue - Dunkirk › Dunkirk,MOREAU Christophe,Moreau Christophe,2001,0,1,0,0,0
1.0,Stage 1 - Saint-Omer › Boulogne-sur-Mer,ZABEL Erik,Moreau Christophe,2001,1,0,0,0,1
1.0,Stage 2 - Calais › Antwerpen,WAUTERS Marc,Wauters Marc,2001,2,0,0,0,1
2.0,Stage 3 - Antwerpen › Seraing,ZABEL Erik,O'Grady Stuart,2001,3,0,0,0,1
1.0,Stage 4 - Huy › Verdun,JALABERT Laurent,O'Grady Stuart,2001,4,0,0,0,1
1.0,Team Time Trial - Verdun › Bar-le-Duc,,O'Grady Stuart,2001,5,0,1,0,0
2.0,Stage 6 - Commercy › Strasbourg,KIRSIPUU Jaan,O'Grady Stuart,2001,6,0,0,0,1
2.0,Stage 7 - Strasbourg › Colmar,JALABERT Laurent,Voigt Jens,2001,7,0,0,0,1
1.0,Stage 8 - Colmar › Pontarlier,DEKKER Erik,O'Grady Stuart,2001,8,0,0,0,1
1.0,Stage 9 - Pontarlier › Aix-Les-Bains,IVANOV Serguei,O'Grady Stuart,2001,9,0,0,0,1
5.0,Stage 10 - Aix-Les-Bains › L'Alpe d'Huez,,Simon François,2001,10,0,0,1,0
5.0,Stage 11 (ITT) - Grenoble › Chamrousse,,Simon François,2001,11,1,0,1,0
5.0,Stage 12 - Perpignan › Ax-les-Thermes,RAFAEL CARDENAS Félix,Simon François,2001,12,0,0,1,0
5.0,Stage 13 - Foix › Saint-Lary-Soulan,,,2001,13,0,0,1,0
5.0,Stage 14 - Tarbes › Luz Ardiden,LAISEKA JAIO Roberto,Laiseka jaio Roberto,2001,14,0,0,1,0
1.0,Stage 15 - Pau › Lavaur,VERBRUGGHE Rik,Verbrugghe Rik,2001,15,0,0,0,1
1.0,Stage 16 - Castelsarrasin › Sarran,VOIGT Jens,Voigt Jens,2001,16,0,0,0,1
1.0,Stage 17 - Brive-la-Gaillarde › Montlucon,BAGUET Serge,Baguet Serge,2001,17,0,0,0,1
1.0,Stage 18 (ITT) - Montlucon › Saint-Amand-Montrond,,,2001,18,1,0,0,0
1.0,Stage 19 - Orleans › Evry,ZABEL Erik,Zabel Erik,2001,19,0,0,0,1
1.0,Stage 20 - Corbeil-Essones › Paris,SVORADA Jan,Svorada Jan,2001,20,0,0,0,1
1.0,Individual Time Trial - Futuroscope › Futuroscope,MILLAR David,Millar David,2000,0,1,0,0,0
1.0,Stage 2 - Futuroscope › Loudun,STEELS Tom,Millar David,2000,1,0,0,0,1
1.0,Stage 3 - Loudun › Nantes,STEELS Tom,Millar David,2000,2,0,0,0,1
1.0,Team Time Trial - Nantes › Saint-Nazaire,O.N.C.E. - Deutsche Bank,Jalabert Laurent,2000,3,0,1,0,0
1.0,Stage 5 - Vannes › Vitre,WÜST Marcel,Jalabert Laurent,2000,4,0,0,0,1
1.0,Stage 6 - Vitre › Tours,VAN BON Léon,Elli Alberto,2000,5,0,0,0,1
1.0,Stage 7 - Tours › Limoges,AGNOLUTTO Christophe,Elli Alberto,2000,6,0,0,0,1
1.0,Stage 8 - Limoges › Villeneuve sur Lot,DEKKER Erik,Elli Alberto,2000,7,0,0,0,1
1.0,Stage 9 - Agen › Dax,BETTINI Paolo,Elli Alberto,2000,8,0,0,0,1
5.0,Stage 10 - Dax › Hautacam,OTXOA Javier,Otxoa Javier,2000,9,0,0,1,0
1.0,Stage 11 - Bagneres-De-Bigorre › Revel,DEKKER Erik,Dekker Erik,2000,10,0,0,0,1
5.0,Stage 12 - Carpentras › Mont Ventoux,PANTANI Marco,Pantani Marco,2000,11,0,0,1,0
1.0,Stage 13 - Avignon › Draguignan,GARCIA Jose Vicente,Garcia Jose Vicente,2000,12,0,0,0,1
5.0,Stage 14 - Draguignan › Briancon,BOTERO Santiago,Botero Santiago,2000,13,0,0,1,0
5.0,Stage 15 - Briancon › Courchevel,PANTANI Marco,Pantani Marco,2000,14,0,0,1,0
4.0,Stage 16 - Courchevel › Morzine,VIRENQUE Richard,Virenque Richard,2000,15,0,0,1,0
2.0,Stage 17 - Evian-Les-Bains › Lausanne,DEKKER Erik,Dekker Erik,2000,16,0,0,0,1
1.0,Stage 18 - Lausanne › Fribourg-En-Brisgau,COMMESSO Salvatore,Commesso Salvatore,2000,17,0,0,0,1
1.0,Stage 19 (ITT) - Fribourg-En-Brisgau › Mulhouse,,,2000,18,1,0,0,0
1.0,Stage 20 - Belfort › Troyes,ZABEL Erik,Zabel Erik,2000,19,0,0,0,1
1.0,Stage 21 - Paris › Paris,ZANINI Stefano,Zanini Stefano,2000,20,0,0,0,1
1.0,Prologue - Puy-du-Fou › Puy-du-Fou,,,1999,0,1,0,0,0
1.0,Stage 1 - Montaigu › Challans,KIRSIPUU Jaan,Kirsipuu Jaan,1999,1,0,0,0,1
1.0,Stage 2 - Challans › Saint-Nazaire,STEELS Tom,Kirsipuu Jaan,1999,2,0,0,0,1
1.0,Stage 3 - Nantes › Laval,STEELS Tom,Kirsipuu Jaan,1999,3,0,0,0,1
1.0,Stage 4 - Laval › Blois,CIPOLLINI Mario,Kirsipuu Jaan,1999,4,0,0,0,1
1.0,Stage 5 - Bonneval › Amiens,CIPOLLINI Mario,Kirsipuu Jaan,1999,5,0,0,0,1
1.0,Stage 6 - Amiens › Maubeuge,CIPOLLINI Mario,Kirsipuu Jaan,1999,6,0,0,0,1
1.0,Stage 7 - Avesnes-sur-Helpe › Thionville,CIPOLLINI Mario,Cipollini Mario,1999,7,0,0,0,1
1.0,Stage 8 (ITT) - Metz › Metz,,,1999,8,1,0,0,0
5.0,Stage 9 - Le Grand Bornand › Sestrières,,,1999,9,0,0,1,0
5.0,Stage 10 - Sestrières › L'Alpe d'Huez,GUERINI Giuseppe,Guerini Giuseppe,1999,10,0,0,1,0
2.0,Stage 11 - Le Bourg d'Oisans › Saint-Etienne,DIERCKXSENS Ludo,Dierckxsens Ludo,1999,11,0,0,0,1
3.0,Stage 12 - Saint-Galmier › Saint-Flour,ETXEBARRIA David,Etxebarria David,1999,12,0,0,0,1
2.0,Stage 13 - Saint-Flour › Albi,COMMESSO Salvatore,Commesso Salvatore,1999,13,0,0,0,1
1.0,Stage 14 - Castres › Saint-Gaudens,KONISHEV Dimitri,Konishev Dimitri,1999,14,0,0,0,1
5.0,Stage 15 - Saint-Gaudens › Piau-Engaly,ESCARTIN Fernando,Escartin Fernando,1999,15,0,0,1,0
4.0,Stage 16 - Lannemezan › Pau,ETXEBARRIA David,Etxebarria David,1999,16,0,0,1,0
1.0,Stage 17 - Mourenx › Bordeaux,STEELS Tom,Steels Tom,1999,17,0,0,0,1
1.0,Stage 18 - Jonzac › Futuroscope,MONDINI Gianpaolo,Mondini Gianpaolo,1999,18,0,0,0,1
1.0,Stage 19 (ITT) - Futuroscope › Futuroscope,,,1999,19,1,0,0,0
1.0,Stage 20 - Arpajon › Paris,MCEWEN Robbie,McEwen Robbie,1999,20,0,0,0,1
1.0,Prologue - Dublin › Dublin,BOARDMAN Christopher,Boardman Christopher,1998,0,1,0,0,0
1.0,Stage 1 - Dublin › Dublin,STEELS Tom,Boardman Christopher,1998,1,0,0,0,1
1.0,Stage 2 - Enniscorthy › Cork,SVORADA Jan,Zabel Erik,1998,2,0,0,0,1
1.0,Stage 3 - Roscoff › Lorient,HEPPNER Jens,Hamburger Bo,1998,3,0,0,0,1
1.0,Stage 4 - Plouay › Cholet,BLIJLEVENS Jeroen,O'Grady Stuart,1998,4,0,0,0,1
1.0,Stage 5 - Cholet › Chateauroux,CIPOLLINI Mario,O'Grady Stuart,1998,5,0,0,0,1
1.0,Stage 6 - La Chatre › Brive-la-Gaillarde,CIPOLLINI Mario,O'Grady Stuart,1998,6,0,0,0,1
1.0,Stage 7 (ITT) - Merygnac l'Eglise › Correze,ULLRICH Jan,Ullrich Jan,1998,7,1,0,0,0
1.0,Stage 8 - Brive-La-Gaillarde › Montauban,DURAND Jacky,Desbiens Laurent,1998,8,0,0,0,1
4.0,Stage 9 - Montauban › Pau,VAN BON Léon,Desbiens Laurent,1998,9,0,0,1,0
5.0,Stage 10 - Pau › Luchon,MASSI Rodolfo,Ullrich Jan,1998,10,0,0,1,0
1.0,Stage 11 - Luchon › Plateau de Beille,PANTANI Marco,Ullrich Jan,1998,11,0,0,0,1
2.0,Stage 12 - Tarascon-sur-Ariège › Cap d'Agde,STEELS Tom,Ullrich Jan,1998,12,0,0,0,1
2.0,Stage 13 - Frontignan-La-Peyrade › Carpentras,NARDELLO Daniele,Ullrich Jan,1998,13,0,0,0,1
5.0,Stage 14 - Valréas › Grenoble,O'GRADY Stuart,Ullrich Jan,1998,14,0,0,1,0
4.0,Stage 15 - Grenoble › Les Deux Alpes,PANTANI Marco,Pantani Marco,1998,15,0,0,1,0
4.0,Stage 16 - Vizille › Albertville,ULLRICH Jan,Pantani Marco,1998,16,0,0,1,0
2.0,Stage 18 - Aix-les-Bains › Neuchâtel,STEELS Tom,Pantani Marco,1998,17,0,0,0,1
1.0,Stage 19 - La Chaux-de-Fonds › Autun,BÄCKSTEDT Magnus,Pantani Marco,1998,18,0,0,0,1
1.0,Stage 20 (ITT) - Montceau-les-Mines › Le Creusot,ULLRICH Jan,Pantani Marco,1998,19,1,0,0,0
1.0,Stage 21 - Melun › Paris,STEELS Tom,Pantani Marco,1998,20,0,0,0,1
