Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
27,,126.0,,+0:00,,Pozzi Oscar,65,Riso Scotti - Vinavil,",, ,,",1,1999
29,,119.0,,+0:00,,Zarrabeitia Mikel,66,O.N.C.E. - Deutsche Bank,",, ,,",1,1999
24,,47.0,,+0:00,,Magnani Marco,67,Cantina Tollo - Alexia Alluminio,",, ,,",1,1999
23,,,,+0:00,,Zanetti Aldo,68,,",, ,,",1,1999
24,,92.0,,+0:00,,Spezialetti Alessandro,69,Mobilvetta Design - Northwave,",, ,,",1,1999
26,,116.0,,+0:00,,Martin Perdiguero Miguel Angel,70,O.N.C.E. - Deutsche Bank,",, ,,",1,1999
27,,27.0,,+0:00,,Simoni Gilberto,71,,",, ,,",1,1999
25,,18.0,,+0:00,,Gili Marco,72,,",, ,,",1,1999
25,,12.0,,+0:00,,De Paoli Daniele,73,Amica Chips - Costa de Almeria,",, ,,",1,1999
23,,103.0,,+0:00,,Pieri Dario,74,Navigare - Gaerne,",, ,,",1,1999
24,,172.0,,+0:00,,Blanco Santiago,75,Vitalicio Seguros - Grupo Generali,",, ,,",1,1999
28,,177.0,,+0:00,,Cerezo Francisco,76,Vitalicio Seguros - Grupo Generali,",, ,,",1,1999
23,,128.0,,+0:00,,Turicchia Alain,77,Riso Scotti - Vinavil,",, ,,",1,1999
28,,49.0,,+0:00,,Hamburger Bo,78,Cantina Tollo - Alexia Alluminio,",, ,,",1,1999
26,,17.0,,+0:00,,Campagnari Simone,79,Amica Chips - Costa de Almeria,",, ,,",1,1999
37,,9.0,,+0:00,,Podenzana Massimo,80,Mercatone Uno - Bianchi,",, ,,",1,1999
26,,64.0,,+0:00,,Dellavedova Marco,81,,",, ,,",1,1999
27,,174.0,,+0:00,,Zintchenko Andrei,82,Vitalicio Seguros - Grupo Generali,",, ,,",1,1999
30,,34.0,,+0:00,,Z\xfclle Alex,83,Banesto,",, ,,",1,1999
29,,112.0,,+0:00,,Cuesta \xcd\xf1igo,84,O.N.C.E. - Deutsche Bank,",, ,,",1,1999
28,,94.0,,+0:00,,Valoti Paolo,85,Mobilvetta Design - Northwave,",, ,,",1,1999
23,,48.0,,+0:00,,Di Luca Danilo,86,Cantina Tollo - Alexia Alluminio,",, ,,",1,1999
27,,15.0,,+0:00,,Tronca Amilcare,87,Amica Chips - Costa de Almeria,",, ,,",1,1999
27,,141.0,,+0:00,,Cassani Enrico,88,Polti,",, ,,",1,1999
29,,23.0,,+0:00,,Ferrigato Andrea,89,,",, ,,",1,1999
30,,98.0,,+0:00,,Gualdi Mirko,90,Mobilvetta Design - Northwave,",, ,,",1,1999
29,,26.0,,+0:00,,Hvastija Martin,91,,",, ,,",1,1999
27,,127.0,,+0:00,,Simeoni Filippo,92,Riso Scotti - Vinavil,",, ,,",1,1999
27,,101.0,,+0:00,,Axelsson Niklas,93,Navigare - Gaerne,",, ,,",1,1999
25,,28.0,,+0:00,,Tosatto Matteo,94,,",, ,,",1,1999
33,,13.0,,+0:00,,Ekimov Viatcheslav,95,Amica Chips - Costa de Almeria,",, ,,",1,1999
33,,146.0,,+0:00,,Pellicioli Oscar,96,Polti,",, ,,",1,1999
24,,32.0,,+0:00,,Bruseghin Marzio,97,Banesto,",, ,,",1,1999
23,,16.0,,+0:00,,Caucchioli Pietro,98,Amica Chips - Costa de Almeria,",, ,,",1,1999
24,,166.0,,+0:00,,Sironi Gianluca,99,Vini Caldirola - Sidermec,",, ,,",1,1999
29,,6.0,,+0:00,,Brignoli Ermanno,100,Mercatone Uno - Bianchi,",, ,,",1,1999
25,,57.0,,+0:00,,Hernandez Eduardo,101,Kelme - Costa Blanca,",, ,,",1,1999
28,,38.0,,+0:00,,Pe\xf1a Miguel \xc1ngel,102,Banesto,",, ,,",1,1999
26,,139.0,,+0:00,,Secchiari Francesco,103,Saeco - Cannondale,",, ,,",1,1999
24,,22.0,,+0:00,,Baldo Filippo,104,,",, ,,",1,1999
27,,104.0,,+0:00,,Duma Vladimir,105,Navigare - Gaerne,",, ,,",1,1999
25,,106.0,,+0:00,,Petacchi Alessandro,106,Navigare - Gaerne,",, ,,",1,1999
32,,164.0,,+0:00,,Donati Massimo,107,Vini Caldirola - Sidermec,",, ,,",1,1999
27,,124.0,,+0:00,,Schiavina Samuele,108,Riso Scotti - Vinavil,",, ,,",1,1999
31,,167.0,,+0:00,,Radaelli Mauro,109,Vini Caldirola - Sidermec,",, ,,",1,1999
26,,169.0,,+0:00,,Zanetti Mauro,110,Vini Caldirola - Sidermec,",, ,,",1,1999
38,,29.0,,+0:00,,Ugrumov Piotr,111,,",, ,,",1,1999
28,,4.0,,+0:00,,Forconi Riccardo,112,Mercatone Uno - Bianchi,",, ,,",1,1999
27,,31.0,,+0:00,,Arrieta Jose Luis,113,Banesto,",, ,,",1,1999
31,,14.0,,+0:00,,Puttini Felice,114,Amica Chips - Costa de Almeria,",, ,,",1,1999
29,,161.0,,+0:00,,Apollonio Massimo,115,Vini Caldirola - Sidermec,",, ,,",1,1999
29,,55.0,,+0:00,,Cabello Francisco,116,Kelme - Costa Blanca,",, ,,",1,1999
30,,78.0,,+0:00,,Dotti Fausto,117,,",, ,,",1,1999
29,,59.0,,+0:00,,Uria Jos\xe9 Manuel,118,Kelme - Costa Blanca,",, ,,",1,1999
24,,62.0,,+0:00,,Bertoletti Simone,119,,",, ,,",1,1999
27,,77.0,,+0:00,,Ongarato Rodolfo,120,,",, ,,",1,1999
30,,,,+0:00,,Gonzalez Jos\xe9 Jaime,121,,",, ,,",1,1999
29,,24.0,,+0:00,,Gontsjenkov Alexander,122,,",, ,,",1,1999
25,,85.0,,+0:00,,Muller Dirk,123,Mapei - Quickstep,",, ,,",1,1999
28,,163.0,,+0:00,,Casagrande Filippo,124,Vini Caldirola - Sidermec,",, ,,",1,1999
26,,142.0,,+0:00,,Celestino Mirko,125,Polti,",, ,,",1,1999
24,,118.0,,+0:00,,Sastre Carlos,126,O.N.C.E. - Deutsche Bank,0:30 0:30,1,1999
25,,79.0,,+0:00,,Ivanov Ruslan,127,,",, 0:30",1,1999
28,,84.0,,+0:00,,Fornaciari Paolo,128,Mapei - Quickstep,0:33 0:33,1,1999
