BIB,GC,GC-Time,Prev,Rnk,Team,Time,stage,year,▼▲
,,+ -4:41:31,,1,Omega Pharma-Lotto,14:04:45 14:04:45,1,2011,
,,+ -4:41:31,,2,BMC Racing Team,0:03 0:03,1,2011,
,,+ -4:41:31,,3,Leopard Trek,0:06 0:06,1,2011,
,,+ -4:41:31,,4,HTC - High Road,",, 0:06",1,2011,
,,+ -4:41:31,,5,RadioShack,",, 0:06",1,2011,
,,+ -4:41:31,,6,"Cofidis, le Crédit en Ligne",",, 0:06",1,2011,
,,+ -4:41:31,,7,Lampre - ISD,",, 0:06",1,2011,
,,+ -4:41:31,,8,Sky Procycling,",, 0:06",1,2011,
,,+ -4:41:31,,9,Team Katusha,",, 0:06",1,2011,
,,+ -4:41:31,,10,Pro Team Astana,",, 0:06",1,2011,
,,+ -4:41:31,,11,Movistar Team,",, 0:06",1,2011,
,,+ -4:41:31,,12,Quickstep Cycling Team,",, 0:06",1,2011,
,,+ -4:41:31,,13,Team Europcar,",, 0:06",1,2011,
,,+ -4:41:31,,14,Team Garmin - Cervélo,",, 0:06",1,2011,
,,+ -4:41:31,,15,Liquigas - Cannondale,",, 0:06",1,2011,
,,+ -4:41:31,,16,FDJ,1:20 1:20,1,2011,
,,+ -4:41:31,,17,Rabobank Cycling Team,",, 1:20",1,2011,
,,+ -4:41:31,,18,Saur - Sojasun,1:55 1:55,1,2011,
,,+ -4:41:31,,19,AG2R La Mondiale,",, 1:55",1,2011,
,,+ -4:41:31,,20,Vacansoleil - DCM,3:09 3:09,1,2011,
,,+ -4:41:31,,21,Euskaltel - Euskadi,4:42 4:42,1,2011,
,,+ -4:41:31,,22,Saxo Bank - Sungard,4:58 4:58,1,2011,
,,+ -5:06:25,14.0,1,Team Garmin - Cervélo,14:29:39 14:29:39,2,2011,▲13
,,+ -5:06:25,2.0,2,BMC Racing Team,0:01 0:01,2,2011,-
,,+ -5:06:25,3.0,3,Leopard Trek,0:04 0:04,2,2011,-
,,+ -5:06:25,8.0,4,Sky Procycling,",, 0:04",2,2011,▲4
,,+ -5:06:25,4.0,5,HTC - High Road,0:05 0:05,2,2011,▼1
,,+ -5:06:25,5.0,6,RadioShack,0:10 0:10,2,2011,▼1
,,+ -5:06:25,10.0,7,Pro Team Astana,0:32 0:32,2,2011,▲3
,,+ -5:06:25,1.0,8,Omega Pharma-Lotto,0:33 0:33,2,2011,▼7
,,+ -5:06:25,13.0,9,Team Europcar,0:50 0:50,2,2011,▲4
,,+ -5:06:25,12.0,10,Quickstep Cycling Team,0:56 0:56,2,2011,▲2
,,+ -5:06:25,15.0,11,Liquigas - Cannondale,0:57 0:57,2,2011,▲4
,,+ -5:06:25,7.0,12,Lampre - ISD,1:04 1:04,2,2011,▼5
,,+ -5:06:25,9.0,13,Team Katusha,",, 1:04",2,2011,▼4
,,+ -5:06:25,11.0,14,Movistar Team,1:09 1:09,2,2011,▼3
,,+ -5:06:25,6.0,15,"Cofidis, le Crédit en Ligne",1:20 1:20,2,2011,▼9
,,+ -5:06:25,17.0,16,Rabobank Cycling Team,1:26 1:26,2,2011,▲1
,,+ -5:06:25,16.0,17,FDJ,2:00 2:00,2,2011,▼1
,,+ -5:06:25,20.0,18,Vacansoleil - DCM,2:29 2:29,2,2011,▲2
,,+ -5:06:25,19.0,19,AG2R La Mondiale,2:42 2:42,2,2011,-
,,+ -5:06:25,18.0,20,Saur - Sojasun,2:51 2:51,2,2011,▼2
,,+ -5:06:25,22.0,21,Saxo Bank - Sungard,5:20 5:20,2,2011,▲1
,,+ -5:06:25,21.0,22,Euskaltel - Euskadi,5:58 5:58,2,2011,▼1
,,+ -9:46:46,1.0,1,Team Garmin - Cervélo,28:30:42 28:30:42,3,2011,-
,,+ -9:46:46,2.0,2,BMC Racing Team,0:01 0:01,3,2011,-
,,+ -9:46:46,3.0,3,Leopard Trek,0:04 0:04,3,2011,-
,,+ -9:46:46,4.0,4,Sky Procycling,",, 0:04",3,2011,-
,,+ -9:46:46,5.0,5,HTC - High Road,0:05 0:05,3,2011,-
,,+ -9:46:46,6.0,6,RadioShack,0:10 0:10,3,2011,-
,,+ -9:46:46,7.0,7,Pro Team Astana,0:32 0:32,3,2011,-
,,+ -9:46:46,8.0,8,Omega Pharma-Lotto,0:33 0:33,3,2011,-
,,+ -9:46:46,9.0,9,Team Europcar,0:50 0:50,3,2011,-
,,+ -9:46:46,10.0,10,Quickstep Cycling Team,0:56 0:56,3,2011,-
,,+ -9:46:46,11.0,11,Liquigas - Cannondale,0:57 0:57,3,2011,-
,,+ -9:46:46,13.0,12,Team Katusha,1:04 1:04,3,2011,▲1
,,+ -9:46:46,12.0,13,Lampre - ISD,",, 1:04",3,2011,▼1
,,+ -9:46:46,14.0,14,Movistar Team,1:09 1:09,3,2011,-
,,+ -9:46:46,15.0,15,"Cofidis, le Crédit en Ligne",1:20 1:20,3,2011,-
,,+ -9:46:46,16.0,16,Rabobank Cycling Team,1:26 1:26,3,2011,-
,,+ -9:46:46,17.0,17,FDJ,2:00 2:00,3,2011,-
,,+ -9:46:46,18.0,18,Vacansoleil - DCM,2:29 2:29,3,2011,-
