Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
24,51,2,+0:00,,Sagan Peter,1,Cannondale,4:44:07 4:44:07,,,1,2014
22,153,4,+0:00,,Coquard Bryan,2,Team Europcar,",, ,,",,,1,2014
24,213,30,+0:00,,Delaplace Anthony,3,Bretagne - S\xe9ch\xe9 Environnement,",, ,,",,,1,2014
23,82,36,+0:00,,Bardet Romain,4,AG2R La Mondiale,",, ,,",,,1,2014
25,215,37,+0:00,,Fonseca Armindo,5,Bretagne - S\xe9ch\xe9 Environnement,",, ,,",,,1,2014
24,127,41,+0:00,,Pinot Thibaut,6,FDJ.fr,",, ,,",,,1,2014
25,98,43,+0:00,,Slagter Tom-Jelte,7,Garmin Sharp,",, ,,",,,1,2014
25,16,49,+0:00,,Izagirre Ion,8,Movistar Team,",, ,,",,,1,2014
20,167,51,+0:00,,van Poppel Danny,9,Trek Factory Racing,",, ,,",,,1,2014
22,121,60,+0:00,,D\xe9mare Arnaud,10,FDJ.fr,",, ,,",,,1,2014
21,189,61,+0:00,,Yates Simon,11,Orica GreenEDGE,",, ,,",,,1,2014
25,116,63,+0:00,,Oliveira Nelson,12,Lampre - Merida,",, ,,",,,1,2014
23,14,73,+0:00,,Herrada Jes\xfas,13,Movistar Team,",, ,,",,,1,2014
25,198,77,+0:00,,Reichenbach Sebastien,14,IAM Cycling,",, ,,",,,1,2014
23,106,85,+0:00,,Dumoulin Tom,15,Team Giant - Shimano,",, ,,",,,1,2014
24,176,86,+0:00,,Molard Rudy,16,"Cofidis, Solutions Cr\xe9dits",",, ,,",,,1,2014
25,104,92,+0:00,,Degenkolb John,17,Team Giant - Shimano,",, ,,",,,1,2014
25,95,96,+0:00,,King Benjamin,18,Garmin Sharp,",, ,,",,,1,2014
25,218,144,+0:00,,Jarrier Benoit,19,Bretagne - S\xe9ch\xe9 Environnement,",, ,,",,,1,2014
24,34,178,+1:30,,Majka Rafa\u0142,20,Tinkoff - Saxo,1:30 1:30,,,1,2014
23,184,164,+0:00,,Durbridge Luke,21,Orica GreenEDGE,1:38 1:38,,,1,2014
25,59,183,+2:05,,Viviani Elia,22,Cannondale,2:05 2:05,,,1,2014
23,177,187,+2:25,,Petit Adrien,23,"Cofidis, Solutions Cr\xe9dits",2:25 2:25,,,1,2014
24,74,168,+0:00,,Kwiatkowski Michal,24,Omega Pharma - Quick-Step,2:42 2:42,,,1,2014
24,79,170,+0:00,,Trentin Matteo,25,Omega Pharma - Quick-Step,2:49 2:49,,,1,2014
25,203,192,+3:11,,de la Cruz David,26,Team NetApp \u2013 Endura,3:11 3:11,,,1,2014
24,112,195,+8:52,,Cimolai Davide,27,Lampre - Merida,8:52 8:52,,,1,2014
24,51,2,+0:02,1.0,Sagan Peter,1,Cannondale,9:52:45 9:52:45,,-,2,2014
23,82,14,+0:02,4.0,Bardet Romain,2,AG2R La Mondiale,",, ,,",,\u25b22,2,2014
24,74,20,+0:02,24.0,Kwiatkowski Michal,3,Omega Pharma - Quick-Step,",, ,,",,\u25b221,2,2014
24,127,24,+0:16,6.0,Pinot Thibaut,4,FDJ.fr,0:14 0:14,,\u25b22,2,2014
23,106,34,+0:16,15.0,Dumoulin Tom,5,Team Giant - Shimano,",, 0:14",,\u25b210,2,2014
25,198,35,+0:16,14.0,Reichenbach Sebastien,6,IAM Cycling,",, 0:14",,\u25b28,2,2014
24,176,45,+0:35,16.0,Molard Rudy,7,"Cofidis, Solutions Cr\xe9dits",0:33 0:33,,\u25b29,2,2014
24,213,56,+1:45,3.0,Delaplace Anthony,8,Bretagne - S\xe9ch\xe9 Environnement,1:43 1:43,,\u25bc5,2,2014
25,98,58,+1:45,7.0,Slagter Tom-Jelte,9,Garmin Sharp,",, 1:43",,\u25bc2,2,2014
23,14,59,+1:45,13.0,Herrada Jes\xfas,10,Movistar Team,",, 1:43",,\u25b23,2,2014
21,189,68,+4:34,11.0,Yates Simon,11,Orica GreenEDGE,4:32 4:32,,-,2,2014
25,116,83,+10:31,12.0,Oliveira Nelson,12,Lampre - Merida,10:29 10:29,,-,2,2014
25,95,90,+10:31,18.0,King Benjamin,13,Garmin Sharp,",, 10:29",,\u25b25,2,2014
25,104,92,+10:31,17.0,Degenkolb John,14,Team Giant - Shimano,",, 10:29",,\u25b23,2,2014
24,79,105,+10:31,25.0,Trentin Matteo,15,Omega Pharma - Quick-Step,",, 10:29",,\u25b210,2,2014
22,153,111,+14:48,2.0,Coquard Bryan,16,Team Europcar,14:46 14:46,,\u25bc14,2,2014
25,16,113,+14:48,8.0,Izagirre Ion,17,Movistar Team,",, 14:46",,\u25bc9,2,2014
23,184,156,+15:39,21.0,Durbridge Luke,18,Orica GreenEDGE,15:37 15:37,,\u25b23,2,2014
24,34,160,+17:09,20.0,Majka Rafa\u0142,19,Tinkoff - Saxo,17:07 17:07,,\u25b21,2,2014
25,203,163,+18:50,26.0,de la Cruz David,20,Team NetApp \u2013 Endura,18:48 18:48,,\u25b26,2,2014
20,167,167,+19:50,9.0,van Poppel Danny,21,Trek Factory Racing,19:48 19:48,,\u25bc12,2,2014
25,215,168,+19:50,5.0,Fonseca Armindo,22,Bretagne - S\xe9ch\xe9 Environnement,",, 19:48",,\u25bc17,2,2014
22,121,171,+19:50,10.0,D\xe9mare Arnaud,23,FDJ.fr,",, 19:48",,\u25bc13,2,2014
25,218,182,+19:50,19.0,Jarrier Benoit,24,Bretagne - S\xe9ch\xe9 Environnement,",, 19:48",,\u25bc5,2,2014
25,59,188,+21:55,22.0,Viviani Elia,25,Cannondale,21:53 21:53,,\u25bc3,2,2014
23,177,189,+22:15,23.0,Petit Adrien,26,"Cofidis, Solutions Cr\xe9dits",22:13 22:13,,\u25bc3,2,2014
24,112,194,+28:42,27.0,Cimolai Davide,27,Lampre - Merida,28:40 28:40,,-,2,2014
24,51,2,+0:02,1.0,Sagan Peter,1,Cannondale,13:31:15 13:31:15,,-,3,2014
23,82,10,+0:02,2.0,Bardet Romain,2,AG2R La Mondiale,",, ,,",,-,3,2014
24,74,20,+0:02,3.0,Kwiatkowski Michal,3,Omega Pharma - Quick-Step,",, ,,",,-,3,2014
24,127,23,+0:16,4.0,Pinot Thibaut,4,FDJ.fr,0:14 0:14,,-,3,2014
23,106,27,+0:16,5.0,Dumoulin Tom,5,Team Giant - Shimano,",, 0:14",,-,3,2014
24,176,37,+0:35,7.0,Molard Rudy,6,"Cofidis, Solutions Cr\xe9dits",0:33 0:33,,\u25b21,3,2014
