Rider,year,stage_scores_giro,nr_stages_giro,Giro_max_total
Castelijns Twan,2016,0.0,21,0.0
Castelijns Twan,2017,0.0,21,0.0
Castroviejo Jonathan,2014,0.0,20,0.0
Cataldo Dario,2008,0.0,14,0.0
Cataldo Dario,2009,24.0,20,24.0
Cataldo Dario,2010,78.0,18,78.0
Cataldo Dario,2011,134.0,19,134.0
Cataldo Dario,2012,13.0,1,134.0
Cataldo Dario,2013,58.0,20,134.0
Cataldo Dario,2014,136.0,20,136.0
Cataldo Dario,2015,55.0,20,136.0
Cataldo Dario,2017,78.0,21,136.0
Cattai Stefano,1998,0.0,23,0.0
Cattai Stefano,2000,0.0,22,0.0
Cattai Stefano,2001,0.0,21,0.0
Cattaneo Mattia,2013,0.0,7,0.0
Cattaneo Mattia,2014,33.0,20,33.0
Caucchioli Pietro,1999,19.0,22,19.0
Caucchioli Pietro,2000,7.0,22,19.0
Caucchioli Pietro,2001,111.0,21,111.0
Caucchioli Pietro,2002,131.0,21,131.0
Caucchioli Pietro,2003,20.0,21,131.0
Caucchioli Pietro,2005,72.0,21,131.0
Caucchioli Pietro,2007,22.0,20,131.0
Cavagnis Oscar,2002,35.0,21,35.0
Cavendish Mark,2008,166.0,20,166.0
Cavendish Mark,2009,185.0,13,185.0
Cavendish Mark,2011,100.0,11,185.0
Cavendish Mark,2012,0.0,1,185.0
Cavendish Mark,2013,175.0,20,185.0
Cazaux Pierre,2011,0.0,19,0.0
Cazaux Pierre,2012,0.0,1,0.0
Cecchinel Giorgio,2014,0.0,5,0.0
Cei Luca,1999,62.0,12,62.0
Cei Luca,2000,43.0,14,62.0
Celestino Mirko,1999,0.0,22,0.0
Celestino Mirko,2005,88.0,21,88.0
Cenghialta Bruno,1998,24.0,23,24.0
Cerezo Francisco,1999,0.0,22,0.0
Cerezo Francisco,2002,0.0,21,0.0
Ch\xe9rel Micka\xebl,2008,40.0,17,40.0
Ch\xe9rel Micka\xebl,2011,34.0,19,40.0
Chainel Steve,2009,12.0,12,12.0
Chalapud Robinson,2013,0.0,20,0.0
Chalapud Robinson,2014,20.0,20,20.0
Charteau Anthony,2009,0.0,20,0.0
Charteau Anthony,2010,0.0,7,0.0
Chaurreau I\xf1igo,2006,0.0,20,0.0
Chavanel S\xe9bastien,2006,22.0,6,22.0
Chavanel S\xe9bastien,2014,10.0,20,22.0
Chavanel Sylvain,2015,71.0,20,71.0
Chaves Johan Esteban,2015,22.0,20,22.0
Chaves Johan Esteban,2016,209.0,21,209.0
Chernetski Sergei,2015,0.0,20,0.0
Chesini Nicola,2002,0.0,7,0.0
Cheula Giampaolo,2003,0.0,21,0.0
Cheula Giampaolo,2009,0.0,20,0.0
Cheula Giampaolo,2010,0.0,14,0.0
Cheula Giampaolo,2011,0.0,19,0.0
Chevrier Cl\xe9ment,2015,0.0,20,0.0
Chevrier Cl\xe9ment,2017,0.0,21,0.0
Chiappucci Claudio,1998,39.0,23,39.0
Chiarini Riccardo,2008,0.0,20,0.0
Chiarini Riccardo,2009,0.0,20,0.0
Chicchi Francesco,2011,30.0,12,30.0
Chicchi Francesco,2013,0.0,9,30.0
Chicchi Francesco,2014,59.0,8,59.0
Chirico Luca,2015,0.0,20,0.0
Chmielewski Piotr,2003,36.0,21,36.0
Christensen Mads,2005,0.0,21,0.0
Christensen Mads,2013,0.0,20,0.0
Ciccone Giulio,2016,41.0,19,41.0
Ciccone Giulio,2017,0.0,21,41.0
Ciolek Gerald,2011,49.0,11,49.0
Cioni Dario,2002,46.0,21,46.0
Cioni Dario,2003,0.0,18,46.0
Cioni Dario,2004,132.0,21,132.0
Cioni Dario,2005,132.0,21,132.0
Cioni Dario,2006,53.0,21,132.0
Cioni Dario,2007,17.0,20,132.0
Cioni Dario,2009,9.0,20,132.0
Cioni Dario,2010,32.0,20,132.0
Cioni Dario,2011,0.0,19,132.0
Cipollini Mario,1998,200.0,17,200.0
Cipollini Mario,1999,196.0,17,200.0
Cipollini Mario,2000,121.0,13,200.0
Cipollini Mario,2001,204.0,21,204.0
Cipollini Mario,2002,262.0,21,262.0
Cipollini Mario,2003,150.0,12,262.0
Cipollini Mario,2004,27.0,8,262.0
Clarke Simon,2015,39.0,20,39.0
Clarke Simon,2016,6.0,21,39.0
Claude Mathieu,2005,10.0,21,10.0
Claude Mathieu,2010,28.0,19,28.0
Clavero Daniel,1998,107.0,23,107.0
Clavero Daniel,1999,134.0,22,134.0
Clavero Daniel,2000,0.0,16,134.0
Clavero Daniel,2001,0.0,21,134.0
Clavero Daniel,2002,0.0,6,134.0
Clavero Daniel,2003,0.0,21,134.0
Clement Stef,2006,14.0,20,14.0
Clement Stef,2011,15.0,19,15.0
Clement Stef,2012,0.0,1,15.0
Clement Stef,2013,40.0,20,40.0
Clement Stef,2015,12.0,14,40.0
Clement Stef,2017,10.0,21,40.0
Clerc Aur\xe9lien,2005,96.0,21,96.0
Cobo Juan Jose,2005,0.0,14,0.0
Cobo Juan Jose,2013,15.0,20,15.0
Codol Massimo,1998,26.0,23,26.0
Codol Massimo,1999,94.0,20,94.0
Codol Massimo,2000,10.0,22,94.0
Codol Massimo,2001,0.0,21,94.0
Codol Massimo,2002,6.0,14,94.0
Codol Massimo,2003,66.0,21,94.0
Codol Massimo,2004,12.0,21,94.0
Codol Massimo,2005,0.0,21,94.0
Codol Massimo,2007,27.0,20,94.0
Codol Massimo,2009,0.0,15,94.0
Codol Massimo,2010,6.0,20,94.0
Codol Massimo,2011,0.0,19,94.0
Colbrelli Sonny,2012,0.0,1,0.0
Colbrelli Sonny,2013,26.0,20,26.0
Colbrelli Sonny,2014,29.0,20,29.0
Colbrelli Sonny,2015,43.0,20,43.0
Colbrelli Sonny,2016,64.0,21,64.0
Coledan Marco,2012,0.0,1,0.0
Coledan Marco,2015,0.0,20,0.0
Coledan Marco,2016,25.0,21,25.0
Colleoni Michele,2001,0.0,21,0.0
Colleoni Michele,2002,10.0,17,10.0
Colli Daniele,2014,22.0,15,22.0
Colli Daniele,2015,17.0,5,22.0
Colom Antonio,2008,20.0,20,20.0
Colombo Gabriele,1998,60.0,23,60.0
Colombo Gabriele,2001,58.0,21,60.0
Colombo Gabriele,2002,0.0,21,60.0
Colombo Gabriele,2003,52.0,21,60.0
Colombo Gabriele,2004,0.0,21,60.0
Colonna Federico,1998,55.0,18,55.0
Commesso Salvatore,2007,30.0,20,30.0
Contador Alberto,2008,223.0,20,223.0
Contador Alberto,2011,318.0,19,318.0
Contador Alberto,2015,253.0,20,318.0
Conte Biagio,1998,43.0,17,43.0
Conte Biagio,1999,43.0,22,43.0
Conte Biagio,2000,127.0,22,127.0
Conte Biagio,2001,0.0,21,127.0
Conte Biagio,2002,23.0,21,127.0
Conte Biagio,2003,0.0,17,127.0
Conti Roberto,1998,12.0,23,12.0
Conti Roberto,2000,19.0,22,19.0
Conti Roberto,2001,0.0,21,19.0
Conti Roberto,2002,0.0,21,19.0
Conti Roberto,2003,0.0,21,19.0
Conti Valerio,2016,12.0,21,12.0
Conti Valerio,2017,11.0,21,12.0
Contrini Daniele,2000,32.0,22,32.0
Contrini Daniele,2002,0.0,17,32.0
Contrini Daniele,2003,0.0,10,32.0
Contrini Daniele,2007,22.0,20,32.0
Cooke Baden,2005,83.0,14,83.0
Cooke Baden,2010,46.0,8,83.0
Coppolillo Michele,1998,0.0,23,0.0
Coppolillo Michele,2001,0.0,21,0.0
Corioni Claudio,2011,0.0,19,0.0
Cornu Dominique,2008,0.0,2,0.0
Corti Marco,2010,0.0,20,0.0
Cortinovis Alessandro,2001,0.0,21,0.0
Cortinovis Alessandro,2006,0.0,20,0.0
Cortinovis Alessandro,2007,0.0,20,0.0
Costa Rui,2017,122.0,21,122.0
Courteille Arnaud,2014,0.0,15,0.0
Courteille Arnaud,2015,0.0,20,0.0
Courteille Arnaud,2016,12.0,21,12.0
Crosbie Nicolas,2007,0.0,20,0.0
Cruz Antonio,2005,0.0,21,0.0
Cuenca Jos\xe9,2001,0.0,0,0.0
Cuesta \xcd\xf1igo,1999,0.0,22,0.0
Cuesta \xcd\xf1igo,2006,0.0,20,0.0
Cuesta \xcd\xf1igo,2010,0.0,20,0.0
Cummings Stephen,2007,0.0,20,0.0
Cummings Stephen,2008,42.0,20,42.0
Cummings Stephen,2010,22.0,20,42.0
Cummings Stephen,2013,0.0,20,42.0
Cunego Damiano,2003,9.0,21,9.0
Cunego Damiano,2004,259.0,21,259.0
Cunego Damiano,2005,146.0,21,259.0
Cunego Damiano,2006,153.0,21,259.0
Cunego Damiano,2007,185.0,20,259.0
Cunego Damiano,2009,76.0,20,259.0
Cunego Damiano,2010,143.0,20,259.0
Cunego Damiano,2012,0.0,1,259.0
Cunego Damiano,2014,23.0,20,259.0
Cunego Damiano,2015,32.0,17,259.0
Cunego Damiano,2016,22.0,21,259.0
Cusin Remi,2010,0.0,20,0.0
D Hollander Glenn,2001,0.0,9,0.0
D' Amore Crescenzo,2003,66.0,14,66.0
D' Amore Crescenzo,2004,126.0,21,126.0
D\xe9mare Arnaud,2016,91.0,14,91.0
Da Cruz Carlos,2003,19.0,21,19.0
Da Cruz Carlos,2005,33.0,21,33.0
Da Cruz Carlos,2006,35.0,20,35.0
Da Dalto Mauro,2009,0.0,20,0.0
Dall'Antonia Tiziano,2008,75.0,20,75.0
Dall'Antonia Tiziano,2010,26.0,20,75.0
Dall'Antonia Tiziano,2011,0.0,19,75.0
Dall'Antonia Tiziano,2013,0.0,20,75.0
Dall'Antonia Tiziano,2015,0.0,4,75.0
Damuseau Thomas,2013,0.0,20,0.0
Danielson Thomas,2005,0.0,10,0.0
Danielson Thomas,2006,92.0,20,92.0
Danielson Thomas,2009,0.0,20,92.0
Danielson Thomas,2013,29.0,20,92.0
Danielson Thomas,2015,0.0,14,92.0
Davis Allan,2009,172.0,20,172.0
Davis Scott,2003,0.0,18,0.0
Davis Scott,2004,0.0,21,0.0
Davis Scott,2006,0.0,20,0.0
De Angeli Luca,2003,24.0,21,24.0
De Clercq Bart,2011,35.0,19,35.0
De Clercq Bart,2012,0.0,1,35.0
De Clercq Bart,2017,0.0,15,35.0
De Clercq Hans,2001,0.0,21,0.0
De Gendt Thomas,2012,22.0,1,22.0
De Gendt Thomas,2014,62.0,20,62.0
De La Parte V\xedctor,2017,0.0,21,0.0
De Los Angeles Juan Jos\xe9,2000,0.0,22,0.0
De Los Angeles Juan Jos\xe9,2001,0.0,4,0.0
De Los Angeles Juan Jos\xe9,2002,0.0,21,0.0
De Marchi Alessandro,2011,0.0,19,0.0
De Marchi Alessandro,2012,0.0,1,0.0
De Marchi Alessandro,2016,22.0,21,22.0
De Negri Pier Paolo,2012,0.0,1,0.0
De Negri Pier Paolo,2015,0.0,20,0.0
De Paoli Daniele,1998,88.0,23,88.0
De Paoli Daniele,1999,96.0,22,96.0
De Paoli Daniele,2000,0.0,22,96.0
De Paoli Daniele,2001,24.0,21,96.0
De Paoli Daniele,2002,23.0,21,96.0
De Pasquale Maurizio,1998,8.0,23,8.0
De Pasquale Maurizio,2000,0.0,22,8.0
De Plus Laurens,2017,46.0,21,46.0
De Weert Kevin,2008,0.0,4,0.0
Dean Julian,2005,12.0,7,12.0
Dean Julian,2007,62.0,20,62.0
Dean Julian,2008,52.0,17,62.0
Dean Julian,2009,0.0,20,62.0
Dean Julian,2010,73.0,18,73.0
Degano Enrico,2000,24.0,14,24.0
Degano Enrico,2001,30.0,12,30.0
Degano Enrico,2002,36.0,21,36.0
Degenkolb John,2013,58.0,10,58.0
Dehaes Kenny,2013,47.0,20,47.0
Dehaes Kenny,2014,30.0,18,47.0
Deignan Philip,2008,0.0,20,0.0
Deignan Philip,2009,41.0,20,41.0
Deignan Philip,2011,25.0,19,41.0
Deignan Philip,2014,48.0,20,48.0
Deignan Philip,2016,0.0,19,48.0
Deignan Philip,2017,10.0,21,48.0
Dekker Erik,2000,22.0,22,22.0
Dekker Thomas,2005,31.0,21,31.0
Dekker Thomas,2013,0.0,20,31.0
Dekker Thomas,2014,0.0,15,31.0
Del Nero Jes\xfas,2009,0.0,5,0.0
Delage Micka\xebl,2006,12.0,20,12.0
Delage Micka\xebl,2012,0.0,1,12.0
Delage Micka\xebl,2016,9.0,21,12.0
Dellavedova Marco,1998,0.0,23,0.0
Dellavedova Marco,1999,0.0,22,0.0
Dellavedova Marco,2000,0.0,22,0.0
Denifl Stefan,2012,0.0,1,0.0
Denifl Stefan,2016,20.0,21,20.0
Dennis Rohan,2017,0.0,4,0.0
Derame Pascal,2001,0.0,20,0.0
Derepas David,2003,0.0,18,0.0
Derepas David,2004,17.0,21,17.0
Derganc Martin,2002,0.0,21,0.0
Derganc Martin,2004,0.0,21,0.0
Desbiens Laurent,2001,17.0,21,17.0
Dessel Cyril,2011,0.0,19,0.0
Detilloux Christophe,2002,33.0,21,33.0
Detilloux Christophe,2004,6.0,17,33.0
Detilloux Christophe,2005,0.0,4,33.0
Devenyns Dries,2008,11.0,20,11.0
Devenyns Dries,2009,55.0,20,55.0
Devenyns Dries,2017,20.0,21,55.0
Di Biase Moreno,2000,102.0,22,102.0
Di Biase Moreno,2001,55.0,21,102.0
Di Biase Moreno,2002,74.0,21,102.0
Di Biase Moreno,2003,27.0,18,102.0
Di Biase Moreno,2005,25.0,18,102.0
Di Grande Giuseppe,1999,53.0,22,53.0
Di Grande Giuseppe,2001,93.0,20,93.0
Di Grande Giuseppe,2004,78.0,21,93.0
Di Luca Danilo,1999,37.0,12,37.0
Di Luca Danilo,2000,111.0,17,111.0
Di Luca Danilo,2001,64.0,21,111.0
Di Luca Danilo,2005,258.0,21,258.0
Di Luca Danilo,2006,87.0,21,258.0
Di Luca Danilo,2007,229.0,20,258.0
Di Luca Danilo,2008,190.0,20,258.0
Di Luca Danilo,2009,305.0,20,305.0
Di Luca Danilo,2011,24.0,19,305.0
Di Luca Danilo,2013,91.0,19,305.0
Di Renzo Marco Antonio,1998,7.0,23,7.0
Didier Laurent,2010,14.0,20,14.0
Didier Laurent,2011,0.0,19,14.0
Didier Laurent,2016,0.0,21,14.0
Didier Laurent,2017,0.0,11,14.0
Diego Ramirez Juan,2002,29.0,17,29.0
Dierckxsens Ludo,2000,22.0,14,22.0
Dietziker Andreas,2012,0.0,1,0.0
Dillier Silvan,2015,23.0,20,23.0
Dillier Silvan,2016,23.0,3,23.0
Dillier Silvan,2017,42.0,21,42.0
Dion Renaud,2006,47.0,20,47.0
Dion Renaud,2009,18.0,20,47.0
Docker Mitchell,2014,0.0,14,0.0
Dockx Bart,2009,0.0,20,0.0
Dockx Gert,2011,0.0,19,0.0
Dockx Gert,2013,0.0,20,0.0
Dockx Gert,2014,0.0,20,0.0
Dombrowski Joe,2016,54.0,21,54.0
Dombrowski Joe,2017,9.0,21,54.0
Dominguez Juan Carlos,1998,99.0,23,99.0
Dominguez Juan Carlos,2000,17.0,8,99.0
Dominguez Juan Carlos,2002,51.0,21,99.0
Dominguez Juan Carlos,2004,16.0,9,99.0
Domont Axel,2014,12.0,20,12.0
Domont Axel,2015,0.0,20,12.0
Domont Axel,2016,17.0,21,17.0
Donati Alessandro,2009,9.0,20,9.0
Donati Alessandro,2010,14.0,20,14.0
Donati Massimo,1999,8.0,22,8.0
Donati Massimo,2000,6.0,22,8.0
Dotti Fausto,1999,0.0,22,0.0
Downing Russell,2011,32.0,19,32.0
Dowsett Alex,2013,52.0,20,52.0
Drancourt Pierre,2007,0.0,20,0.0
Duarte Fabio,2011,30.0,6,30.0
Duarte Fabio,2013,92.0,20,92.0
Duarte Fabio,2014,109.0,20,109.0
Duclos-Lassalle Herv\xe9,2007,72.0,20,72.0
Dufaux Laurent,2001,22.0,21,22.0
Duijn Marcel,2000,6.0,14,6.0
Duma Vladimir,1998,0.0,23,0.0
Duma Vladimir,1999,16.0,22,16.0
Duma Vladimir,2000,103.0,22,103.0
Duma Vladimir,2001,113.0,21,113.0
Duma Vladimir,2002,22.0,21,113.0
Duma Vladimir,2003,104.0,21,113.0
Duma Vladimir,2004,0.0,21,113.0
Dumoulin Tom,2016,100.0,11,100.0
Dumoulin Tom,2017,259.0,21,259.0
Dupont Hubert,2006,24.0,20,24.0
Dupont Hubert,2007,8.0,20,24.0
Dupont Hubert,2010,43.0,20,43.0
Dupont Hubert,2011,129.0,19,129.0
Dupont Hubert,2012,0.0,1,129.0
Dupont Hubert,2013,7.0,20,129.0
Dupont Hubert,2014,26.0,20,129.0
Dupont Hubert,2015,0.0,20,129.0
Dupont Hubert,2016,48.0,21,129.0
Dupont Hubert,2017,34.0,21,129.0
Duque Leonardo,2006,130.0,20,130.0
Duque Leonardo,2010,81.0,20,130.0
Duque Leonardo,2013,20.0,20,130.0
Duque Leonardo,2014,74.0,20,130.0
Durand Jacky,2004,0.0,19,0.0
Durasek Kristijan,2013,0.0,20,0.0
Durbridge Luke,2013,20.0,20,20.0
Durbridge Luke,2014,0.0,10,20.0
Durbridge Luke,2015,46.0,20,46.0
Dyachenko Alexandr,2010,0.0,10,0.0
Dyachenko Alexandr,2011,0.0,19,0.0
Dyachenko Alexandr,2012,0.0,1,0.0
Edaleine Christophe,2006,0.0,20,0.0
Edmondson Alexander,2017,8.0,16,8.0
Edo Angel,1998,173.0,18,173.0
Edo Angel,1999,90.0,22,173.0
Eeckhout Niko,2001,0.0,9,0.0
Efimkin Alexander,2008,26.0,20,26.0
Efimkin Alexander,2009,0.0,20,26.0
Efimkin Alexander,2010,58.0,20,58.0
Efimkin Vladimir,2006,51.0,20,51.0
Eibegger Markus,2010,35.0,20,35.0
Eichler Markus,2008,0.0,20,0.0
Eijssen Yannick,2014,0.0,9,0.0
Eisel Bernhard,2003,132.0,21,132.0
Eisel Bernhard,2012,0.0,1,132.0
Eisel Bernhard,2014,0.0,20,132.0
Eisel Bernhard,2015,0.0,20,132.0
Ekimov Viatcheslav,1999,27.0,22,27.0
Ekimov Viatcheslav,2006,28.0,20,28.0
Elijzen Michiel,2010,33.0,20,33.0
Elissonde Kenny,2015,18.0,20,18.0
Elissonde Kenny,2017,0.0,16,18.0
Elli Alberto,2001,16.0,21,16.0
Elmiger Martin,2006,28.0,20,28.0
Eltink Theo,2005,16.0,21,16.0
Eltink Theo,2006,31.0,20,31.0
Eltink Theo,2008,0.0,20,31.0
Engels Addy,2000,22.0,22,22.0
Engels Addy,2002,16.0,21,22.0
Engels Addy,2005,20.0,21,22.0
Engels Addy,2006,38.0,20,38.0
Engels Addy,2007,0.0,20,38.0
Engels Addy,2008,0.0,20,38.0
Engels Addy,2009,0.0,20,38.0
Engels Addy,2010,0.0,20,38.0
Engels Addy,2011,0.0,19,38.0
Ermeti Giairo,2008,11.0,20,11.0
Ermeti Giairo,2009,0.0,20,11.0
Ermeti Giairo,2011,0.0,19,11.0
Ermeti Giairo,2013,0.0,20,11.0
Ershov Artur,2016,0.0,16,0.0
Erviti Imanol,2006,6.0,20,6.0
Escartin Fernando,2002,115.0,21,115.0
Escobar Sergio,2005,42.0,18,42.0
Eskov Nikita,2009,0.0,20,0.0
Etxebarria Unai,2005,0.0,21,0.0
Evans Cadel,2002,150.0,21,150.0
Evans Cadel,2010,264.0,20,264.0
Evans Cadel,2013,227.0,20,264.0
Evans Cadel,2014,211.0,20,264.0
Ewan Caleb,2016,104.0,13,104.0
Ewan Caleb,2017,118.0,15,118.0
F\xf6rster Robert,2003,48.0,18,48.0
F\xf6rster Robert,2004,58.0,21,58.0
F\xf6rster Robert,2005,131.0,21,131.0
F\xf6rster Robert,2006,85.0,20,131.0
F\xf6rster Robert,2007,122.0,10,131.0
F\xf6rster Robert,2008,96.0,12,131.0
F\xf6rster Robert,2009,72.0,20,131.0
F\xf6rster Robert,2010,107.0,20,131.0
Facci Mauro,2007,11.0,20,11.0
Facci Mauro,2008,0.0,20,11.0
Facci Mauro,2009,20.0,20,20.0
Facci Mauro,2010,14.0,20,20.0
Fagnini Gian-matteo,1998,120.0,23,120.0
Fagnini Gian-matteo,1999,90.0,22,120.0
Failli Francesco,2009,0.0,20,0.0
Failli Francesco,2010,0.0,20,0.0
Failli Francesco,2011,0.0,3,0.0
Failli Francesco,2012,0.0,1,0.0
Fairly Caleb,2015,0.0,20,0.0
Faresin Gianni,1998,72.0,23,72.0
Faresin Gianni,2001,37.0,21,72.0
Faresin Gianni,2002,30.0,21,72.0
Faresin Gianni,2003,40.0,21,72.0
Faresin Gianni,2004,0.0,11,72.0
Farrar Tyler,2009,143.0,13,143.0
Farrar Tyler,2010,127.0,14,143.0
Farrar Tyler,2011,19.0,3,143.0
Farrar Tyler,2014,95.0,20,143.0
Faustini Stefano,1998,37.0,23,37.0
Faustini Stefano,1999,7.0,22,37.0
Favilli Elia,2011,15.0,19,15.0
Favilli Elia,2015,28.0,20,28.0
Fedi Andrea,2014,9.0,20,9.0
Feillu Brice,2011,0.0,3,0.0
Felline Fabio,2012,0.0,1,0.0
Felline Fabio,2013,60.0,20,60.0
Felline Fabio,2014,18.0,20,60.0
Felline Fabio,2015,91.0,20,91.0
Fern\xe1ndez Koldo,2006,57.0,6,57.0
Fern\xe1ndez Koldo,2008,108.0,12,108.0
Fern\xe1ndez Koldo,2014,0.0,1,108.0
Fern\xe1ndez Rub\xe9n,2015,0.0,20,0.0
Fernandez Alberto,2009,0.0,20,0.0
Fernandez Bingen,2007,0.0,20,0.0
Fernandez Bingen,2008,0.0,7,0.0
Fernandez Delio,2009,0.0,20,0.0
Ferrari Diego,1999,0.0,22,0.0
Ferrari Diego,2000,0.0,22,0.0
Ferrari Diego,2001,0.0,21,0.0
Ferrari Roberto,2011,122.0,19,122.0
Ferrari Roberto,2012,0.0,1,122.0
Ferrari Roberto,2013,65.0,20,122.0
Ferrari Roberto,2014,143.0,20,143.0
Ferrari Roberto,2015,0.0,20,143.0
Ferrari Roberto,2016,6.0,21,143.0
Ferrari Roberto,2017,101.0,21,143.0
Ferrigato Andrea,1998,65.0,23,65.0
Ferrigato Andrea,1999,29.0,15,65.0
Ferrigato Andrea,2000,37.0,22,65.0
Ferrigato Andrea,2004,0.0,21,65.0
Fertonani Marco,2004,0.0,21,0.0
Fertonani Marco,2005,14.0,14,14.0
Fertonani Marco,2006,0.0,17,14.0
Figueras Giuliano,1999,62.0,22,62.0
Figueras Giuliano,2000,12.0,7,62.0
Figueras Giuliano,2001,142.0,21,142.0
Figueras Giuliano,2003,96.0,21,142.0
Figueras Giuliano,2004,104.0,19,142.0
Filosi Iuri,2016,0.0,8,0.0
Fincato Marco,2000,13.0,22,13.0
Finco Carlo,1998,28.0,23,28.0
Finesso Stefano,1998,0.0,23,0.0
Finetto Mauro,2014,49.0,15,49.0
Finetto Mauro,2015,0.0,20,49.0
Firsanov Sergey,2016,100.0,21,100.0
Firsanov Sergey,2017,0.0,21,100.0
Fischer Murilo Antonio,2010,0.0,20,0.0
Fischer Murilo Antonio,2011,22.0,15,22.0
Fischer Murilo Antonio,2013,0.0,20,22.0
Fischer Murilo Antonio,2014,0.0,20,22.0
Fischer Murilo Antonio,2015,0.0,20,22.0
Fischer Murilo Antonio,2016,0.0,21,22.0
Flecha Juan Antonio,2012,0.0,1,0.0
Flens Rick,2010,0.0,20,0.0
Flens Rick,2011,9.0,19,9.0
Flens Rick,2014,0.0,20,9.0
Flens Rick,2015,0.0,20,9.0
Flickinger Andy,2006,0.0,10,0.0
Flores Iker,2006,18.0,20,18.0
Fofonov Dimitri,2005,30.0,21,30.0
Foliforov Alexander,2016,71.0,21,71.0
Foliforov Alexander,2017,0.0,21,71.0
Fontanelli Fabiano,1998,109.0,18,109.0
Fontanelli Fabiano,1999,39.0,20,109.0
Fontanelli Fabiano,2000,24.0,22,109.0
Fontanelli Fabiano,2002,0.0,21,109.0
Fontanelli Fabiano,2003,39.0,21,109.0
Fonzi Giuseppe,2017,0.0,21,0.0
Forconi Riccardo,1998,68.0,21,68.0
Forconi Riccardo,1999,0.0,20,68.0
Forconi Riccardo,2000,46.0,22,68.0
Forconi Riccardo,2001,0.0,18,68.0
Forconi Riccardo,2002,0.0,10,68.0
Formolo Davide,2015,69.0,20,69.0
Formolo Davide,2016,7.0,21,69.0
Formolo Davide,2017,101.0,21,101.0
Fornaciari Paolo,1999,0.0,22,0.0
Fornaciari Paolo,2000,21.0,22,21.0
Fornaciari Paolo,2001,0.0,21,21.0
Fornaciari Paolo,2002,0.0,21,21.0
Fornaciari Paolo,2003,0.0,21,21.0
Fornaciari Paolo,2004,0.0,21,21.0
Fornaciari Paolo,2005,0.0,21,21.0
Fornaciari Paolo,2006,0.0,20,21.0
Fothen Markus,2005,100.0,21,100.0
Fothen Markus,2009,0.0,20,100.0
Fothen Markus,2010,12.0,20,100.0
Fothen Thomas,2007,44.0,20,44.0
Fothen Thomas,2008,34.0,15,44.0
Fothen Thomas,2009,43.0,20,44.0
Fouchard Julien,2010,30.0,20,30.0
Fr\xf6hlinger Johannes,2008,30.0,20,30.0
Fragniere C\xe9dric,2002,0.0,2,0.0
Fraile Omar,2016,0.0,5,0.0
Fraile Omar,2017,66.0,21,66.0
Frank Mathias,2011,22.0,19,22.0
Frank Mathias,2012,0.0,1,22.0
Frapporti Marco,2010,0.0,20,0.0
Frapporti Marco,2011,9.0,19,9.0
Frapporti Marco,2014,32.0,20,32.0
Frapporti Marco,2015,0.0,20,32.0
Frattini Cristiano,1999,17.0,22,17.0
Frattini Cristiano,2000,0.0,10,17.0
Frattini Cristiano,2003,0.0,21,17.0
Frigo Dario,1998,38.0,23,38.0
Frigo Dario,1999,72.0,12,72.0
Frigo Dario,2000,116.0,22,116.0
Frigo Dario,2001,226.0,20,226.0
Frigo Dario,2002,134.0,21,226.0
Frigo Dario,2003,170.0,21,226.0
Fritsch Nicolas,2003,0.0,14,0.0
Fritsch Nicolas,2004,0.0,21,0.0
Froome Christopher,2009,26.0,20,26.0
Froome Christopher,2010,0.0,18,26.0
Frutti Matteo,1999,6.0,22,6.0
Fuglsang Jakob,2016,107.0,21,107.0
Furlan Angelo,2002,64.0,21,64.0
Furlan Angelo,2003,99.0,18,99.0
Furlan Angelo,2004,108.0,21,108.0
Furlan Angelo,2007,30.0,20,108.0
Furlan Giorgio,1998,0.0,23,0.0
G\xe1lvez Isaac,2002,98.0,21,98.0
G\xe1lvez Isaac,2003,96.0,12,98.0
G\xe1lvez Isaac,2005,164.0,21,164.0
Gadret John,2004,0.0,5,0.0
Gadret John,2006,61.0,17,61.0
Gadret John,2010,124.0,20,124.0
Gadret John,2011,200.0,19,200.0
Gadret John,2012,0.0,1,200.0
Gajicic Saj\xe0,2002,0.0,13,0.0
Galdos Aitor,2008,0.0,5,0.0
Galletti Alessio,1999,0.0,22,0.0
Galletti Alessio,2000,0.0,22,0.0
Galletti Alessio,2002,0.0,21,0.0
Galletti Alessio,2004,6.0,21,6.0
Galparsoro Dionisio,2007,29.0,10,29.0
Galparsoro Dionisio,2008,0.0,17,29.0
Garate Juan Manuel,2001,7.0,21,7.0
Garate Juan Manuel,2002,168.0,21,168.0
Garate Juan Manuel,2004,102.0,21,168.0
Garate Juan Manuel,2005,155.0,21,168.0
Garate Juan Manuel,2006,105.0,21,168.0
Garate Juan Manuel,2008,15.0,20,168.0
Garate Juan Manuel,2012,0.0,1,168.0
Garate Juan Manuel,2013,7.0,20,168.0
Garc\xeda Felix Manuel,1998,13.0,23,13.0
Garc\xeda Marcos,2009,0.0,20,0.0
Garcia David,2009,0.0,3,0.0
Garcia John Freddy,2001,0.0,9,0.0
Garcia John Freddy,2002,16.0,15,16.0
Garcia John Freddy,2003,0.0,18,16.0
Garcia Marcelino,2002,14.0,21,14.0
Garcia Quesada Adolfo,2003,22.0,21,22.0
Garcia Quesada Carlos,2001,0.0,7,0.0
Gardeyn Gorik,2004,14.0,21,14.0
Garrido Jos\xe9 Antonio,2005,0.0,21,0.0
