Rider,year,stage_scores_giro,nr_stages_giro,Giro_max_total
B\xe9rard Julien,2017,0.0,21,0.0
Baguet Serge,2006,0.0,16,0.0
Bailetti Paolo,2008,0.0,20,0.0
Bak Lars Ytting,2003,46.0,18,46.0
Bak Lars Ytting,2009,50.0,20,50.0
Bak Lars Ytting,2011,0.0,19,50.0
Bak Lars Ytting,2012,0.0,1,50.0
Bak Lars Ytting,2013,0.0,20,50.0
Bak Lars Ytting,2014,11.0,20,50.0
Bak Lars Ytting,2015,0.0,20,50.0
Bak Lars Ytting,2016,0.0,21,50.0
Bak Lars Ytting,2017,0.0,21,50.0
Bakelants Jan,2010,55.0,20,55.0
Bakelants Jan,2011,72.0,19,72.0
Bakelants Jan,2012,0.0,1,72.0
Baldato Fabio,1998,160.0,17,160.0
Baldato Fabio,1999,20.0,22,160.0
Baldato Fabio,2000,0.0,2,160.0
Baldato Fabio,2001,35.0,21,160.0
Baldato Fabio,2003,59.0,21,160.0
Baldato Fabio,2005,0.0,21,160.0
Baldato Fabio,2008,0.0,20,160.0
Baldo Filippo,1999,0.0,13,0.0
Baldo Filippo,2000,0.0,22,0.0
Balducci Gabriele,1999,111.0,22,111.0
Balducci Gabriele,2003,24.0,14,111.0
Balducci Gabriele,2007,68.0,10,111.0
Baliani Fortunato,2000,0.0,22,0.0
Baliani Fortunato,2001,43.0,21,43.0
Baliani Fortunato,2002,0.0,7,43.0
Baliani Fortunato,2003,17.0,21,43.0
Baliani Fortunato,2004,11.0,21,43.0
Baliani Fortunato,2006,48.0,20,48.0
Baliani Fortunato,2007,64.0,20,64.0
Baliani Fortunato,2008,59.0,20,64.0
Ballan Alessandro,2012,0.0,1,0.0
Bandiera Marco,2012,0.0,1,0.0
Bandiera Marco,2014,0.0,20,0.0
Bandiera Marco,2015,0.0,20,0.0
Baranowski Dariusz,2000,14.0,22,14.0
Baranowski Dariusz,2003,68.0,21,68.0
Baranowski Dariusz,2005,0.0,21,68.0
Baranowski Dariusz,2006,0.0,9,68.0
Barbero Sergio,2000,16.0,22,16.0
Barbero Sergio,2001,0.0,13,16.0
Barbero Sergio,2002,0.0,21,16.0
Barbero Sergio,2003,14.0,21,16.0
Barbero Sergio,2006,0.0,17,16.0
Barbin Enrico,2014,0.0,20,0.0
Barbin Enrico,2015,0.0,16,0.0
Barbin Enrico,2017,49.0,21,49.0
Barbosa Candido,2000,27.0,22,27.0
Barla Luca,2009,0.0,20,0.0
Baronti Alessandro,1998,7.0,18,7.0
Barry Michael,2005,12.0,21,12.0
Barry Michael,2009,0.0,20,12.0
Barry Michael,2010,0.0,20,12.0
Barry Michael,2011,13.0,19,13.0
Bartoli Michele,1998,271.0,18,271.0
Bartoli Michele,2002,0.0,1,271.0
Barton Chris,2011,0.0,3,0.0
Basso Ivan,1999,0.0,7,0.0
Basso Ivan,2000,24.0,22,24.0
Basso Ivan,2005,158.0,21,158.0
Basso Ivan,2006,274.0,21,274.0
Basso Ivan,2009,188.0,20,274.0
Basso Ivan,2010,209.0,20,274.0
Basso Ivan,2012,0.0,1,274.0
Basso Ivan,2014,49.0,20,274.0
Basso Ivan,2015,0.0,20,274.0
Battaglin Enrico,2012,0.0,1,0.0
Battaglin Enrico,2013,80.0,14,80.0
Battaglin Enrico,2014,141.0,20,141.0
Battaglin Enrico,2015,62.0,18,141.0
Battaglin Enrico,2016,40.0,21,141.0
Battaglin Enrico,2017,110.0,21,141.0
Bauer Jack,2012,0.0,1,0.0
Bauhaus Phil,2017,92.0,17,92.0
Baumann Eric,2005,9.0,21,9.0
Bazayev Assan,2007,121.0,20,121.0
Bazayev Assan,2008,85.0,20,121.0
Belgy Julien,2009,0.0,20,0.0
Belkov Maxim,2011,0.0,19,0.0
Belkov Maxim,2013,35.0,18,35.0
Belkov Maxim,2014,11.0,20,35.0
Belkov Maxim,2015,10.0,20,35.0
Belkov Maxim,2016,0.0,21,35.0
Belkov Maxim,2017,0.0,21,35.0
Bellemakers Dirk,2013,0.0,20,0.0
Belletti Manuel,2010,107.0,14,107.0
Belletti Manuel,2011,54.0,11,107.0
Belletti Manuel,2013,78.0,20,107.0
Belletti Manuel,2014,40.0,13,107.0
Belletti Manuel,2015,59.0,11,107.0
Belletti Manuel,2016,79.0,18,107.0
Belli Wladimir,1998,113.0,23,113.0
Belli Wladimir,2000,145.0,22,145.0
Belli Wladimir,2001,135.0,15,145.0
Belli Wladimir,2002,54.0,16,145.0
Belli Wladimir,2003,114.0,21,145.0
Belli Wladimir,2004,106.0,21,145.0
Belli Wladimir,2005,37.0,21,145.0
Belli Wladimir,2006,60.0,19,145.0
Bellotti Francesco,2005,6.0,21,6.0
Bellotti Francesco,2006,30.0,21,30.0
Bellotti Francesco,2007,0.0,12,30.0
Bellotti Francesco,2008,0.0,9,30.0
Bellotti Francesco,2009,0.0,20,30.0
Belohvosciks Raivis,2007,12.0,20,12.0
Belohvosciks Raivis,2008,0.0,15,12.0
Beloki Joseba,2005,0.0,14,0.0
Beltran Manuel,2001,15.0,15,15.0
Beltran Manuel,2002,0.0,21,15.0
Beltran Manuel,2006,16.0,20,16.0
Benedetti Cesare,2012,0.0,1,0.0
Benedetti Cesare,2017,0.0,21,0.0
Beneteau Walter,2005,18.0,21,18.0
Benitez Jos\xe9 Alberto,2008,0.0,20,0.0
Bennati Daniele,2003,92.0,18,92.0
Bennati Daniele,2004,0.0,3,92.0
Bennati Daniele,2008,261.0,20,261.0
Bennati Daniele,2013,30.0,14,261.0
Bennati Daniele,2017,0.0,16,261.0
Bennett George,2013,0.0,20,0.0
Bennett Sam,2017,125.0,21,125.0
Beppu Fumiyuki,2011,13.0,19,13.0
Beppu Fumiyuki,2012,0.0,1,13.0
Beppu Fumiyuki,2014,0.0,20,13.0
Beppu Fumiyuki,2015,0.0,20,13.0
Berhane Natnael,2017,0.0,21,0.0
Berlato Giacomo,2015,0.0,20,0.0
Berlato Giacomo,2016,0.0,14,0.0
Bernard Julien,2017,16.0,21,16.0
Bernaudeau Giovanni,2005,6.0,21,6.0
Bernaudeau Giovanni,2006,0.0,13,6.0
Bernucci Lorenzo,2002,33.0,21,33.0
Bernucci Lorenzo,2003,48.0,21,48.0
Bernucci Lorenzo,2007,68.0,20,68.0
Bertagnolli Leonardo,2003,53.0,21,53.0
Bertagnolli Leonardo,2004,6.0,21,53.0
Bertagnolli Leonardo,2005,14.0,14,53.0
Bertagnolli Leonardo,2006,0.0,4,53.0
Bertagnolli Leonardo,2009,35.0,20,53.0
Bertagnolli Leonardo,2010,0.0,15,53.0
Bertazzo Liam,2016,0.0,14,0.0
Berthou Eric,2007,11.0,20,11.0
Bertogliati Rubens,2004,37.0,21,37.0
Bertogliati Rubens,2007,0.0,13,37.0
Bertogliati Rubens,2009,43.0,20,43.0
Bertogliati Rubens,2010,40.0,20,43.0
Bertoletti Simone,1999,0.0,22,0.0
Bertoletti Simone,2000,7.0,22,7.0
Bertoletti Simone,2001,10.0,21,10.0
Bertoletti Simone,2002,0.0,17,10.0
Bertoletti Simone,2003,0.0,21,10.0
Bertolini Alessandro,2002,24.0,21,24.0
Bertolini Alessandro,2004,30.0,21,30.0
Bertolini Alessandro,2006,0.0,6,30.0
Bertolini Alessandro,2008,46.0,20,46.0
Bertolini Alessandro,2009,39.0,20,46.0
Bertolini Alessandro,2010,0.0,20,46.0
Berzin Yewgeni,1999,10.0,22,10.0
Bessy Fr\xe9d\xe9ric,1998,0.0,23,0.0
Bessy Fr\xe9d\xe9ric,2007,0.0,20,0.0
Betancur Carlos,2011,24.0,19,24.0
Betancur Carlos,2013,201.0,20,201.0
Betancur Carlos,2015,95.0,20,201.0
Betancur Carlos,2016,0.0,19,201.0
Bettini Paolo,1998,106.0,23,106.0
Bettini Paolo,1999,58.0,22,106.0
Bettini Paolo,2002,8.0,9,106.0
Bettini Paolo,2005,233.0,21,233.0
Bettini Paolo,2006,249.0,21,249.0
Bettini Paolo,2007,210.0,20,249.0
Bettini Paolo,2008,170.0,20,249.0
Bettiol Alberto,2016,16.0,21,16.0
Bewley Sam,2015,0.0,20,0.0
Bewley Sam,2016,0.0,21,0.0
Beyer Chad,2011,0.0,19,0.0
Bialoblocki Marcin,2017,15.0,21,15.0
Bianchi Carlo,1999,0.0,22,0.0
Bianchi Mario,1998,0.0,0,0.0
Bichot Freddy,2004,0.0,11,0.0
Bichot Freddy,2005,0.0,15,0.0
Bidard Fran\xe7ois,2017,0.0,21,0.0
Bilbao Pello,2017,24.0,21,24.0
Bileka Volodymyr,2002,9.0,17,9.0
Bileka Volodymyr,2003,12.0,21,12.0
Bileka Volodymyr,2004,0.0,21,12.0
Bileka Volodymyr,2005,90.0,21,90.0
Bileka Volodymyr,2007,43.0,20,90.0
Bisolti Alessandro,2010,0.0,20,0.0
