,Age,BIB,Rider,year,gc_extra_scores,gc_stage_scores,green_extra_scores,green_stage_scores,polka_extra_scores,polka_stage_scores,stage_scores,youth_extra_scores,youth_stage_scores,score
3858,35,13.0,Gadret John,2014,14.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,52.0
3859,35,18.0,S\xf8rensen Nicki,2010,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0
3860,35,19.0,Zubeldia Haimar,2012,35.0,70.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,174.0
3861,35,21.0,Rodr\xedguez Joaquim,2014,0.0,0.0,0.0,0.0,2.0,49.0,23.0,0.0,0.0,74.0
3862,35,23.0,Elli Alberto,1999,18.0,0.0,0.0,0.0,3.0,21.0,66.0,0.0,0.0,108.0
3863,35,23.0,Honchar Serhiy,2006,0.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,20.0
3864,35,24.0,Kl\xf6den Andr\xe9as,2010,26.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,102.0
3865,35,24.0,Leipheimer Levi,2009,0.0,65.0,0.0,5.0,0.0,0.0,60.0,0.0,0.0,130.0
3866,35,31.0,Moreau Christophe,2006,34.0,36.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,198.0
3867,35,32.0,Arrieta Jose Luis,2006,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0
3868,35,34.0,Garcia Jose Vicente,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3869,35,35.0,O'Grady Stuart,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3870,35,38.0,Voigt Jens,2007,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0
3871,35,44.0,Dumoulin Samuel,2016,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0
3872,35,44.0,Garate Juan Manuel,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3873,35,44.0,Horner Chris,2007,24.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,53.0
3874,35,45.0,Moinard Ama\xebl,2017,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0
3875,35,46.0,McEwen Robbie,2007,0.0,0.0,0.0,61.0,0.0,0.0,97.0,0.0,0.0,158.0
3876,35,46.0,Niermann Grischa,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3877,35,46.0,Rogers Michael,2015,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
3878,35,46.0,Totschnig Georg,2006,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,56.0
3879,35,47.0,Hincapie George,2008,0.0,8.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,63.0
3880,35,49.0,Vansevenant Wim,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3881,35,49.0,Zberg Beat,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3882,35,52.0,Boogerd Michael,2007,28.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,96.0
3883,35,52.0,Dean Julian,2010,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,106.0
3884,35,53.0,Rafael Cardenas F\xe9lix,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3885,35,54.0,Dekker Erik,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3886,35,58.0,Pozzovivo Domenico,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3887,35,58.0,Vande Velde Christian,2011,20.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,54.0
3888,35,59.0,Valverde Alejandro,2015,44.0,89.0,3.0,28.0,0.0,1.0,217.0,0.0,0.0,382.0
3889,35,62.0,Cancellara Fabian,2016,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0
3890,35,64.0,Hunter Robert,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3891,35,65.0,Lelli Massimiliano,2003,22.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,57.0
3892,35,65.0,Quinziato Manuel,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3893,35,66.0,Heppner Jens,2000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
3894,35,66.0,Millar David,2012,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,52.0
3895,35,66.0,Tankink Bram,2014,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0
3896,35,71.0,Peraud Jean-Christophe,2012,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0
3897,35,72.0,Bak Lars Ytting,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3898,35,73.0,Ivanov Serguei,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3899,35,74.0,Fontanelli Fabiano,2000,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0
3900,35,77.0,Siboni Marcello,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
