Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
28,22,1,+0:00,,,Cavendish Mark,1,Omega Pharma - Quick-Step,4:44:07 4:44:07,+0:00,10.0,,1,2014
25,84,2,+0:04,,,Degenkolb John,2,Team Giant - Shimano,0:04 0:04,+0:04,,,1,2014
22,74,3,+0:06,,,Hofland Moreno,3,Belkin-Pro Cycling Team,0:06 0:06,+0:06,,,1,2014
19,156,4,+0:06,,,Geoghegan Hart Tao,4,Bissell Development Team,",, 0:06",+0:06,,,1,2014
24,61,5,+0:10,,,Sagan Peter,5,Cannondale,0:10 0:10,+0:10,,,1,2014
20,35,6,+0:10,,,van Poppel Danny,6,Trek Factory Racing,",, 0:10",+0:10,,,1,2014
24,63,7,+0:10,,,Boivin Guillaume,7,Cannondale,",, 0:10",+0:10,,,1,2014
25,126,8,+0:10,,,Young Eric,8,Optum p/b Kelly Benefit Strategies,",, 0:10",+0:10,,,1,2014
27,51,9,+0:10,,,Goss Matthew,9,Orica GreenEDGE,",, 0:10",+0:10,,,1,2014
23,5,10,+0:10,,,Phinney Taylor,10,BMC Racing Team,",, 0:10",+0:10,,,1,2014
29,96,11,+0:10,,,Murphy John,11,UnitedHealthcare Pro Cycling Team,",, 0:10",+0:10,,,1,2014
20,152,12,+0:10,,,Br\xf8chner Nicolai,12,Bissell Development Team,",, 0:10",+0:10,,,1,2014
22,151,13,+0:10,,,Putt Tanner,13,Bissell Development Team,",, 0:10",+0:10,,,1,2014
32,94,14,+0:10,,,Hanson Ken,14,UnitedHealthcare Pro Cycling Team,",, 0:10",+0:10,,,1,2014
21,155,15,+0:10,,,Eastman Ryan,15,Bissell Development Team,",, 0:10",+0:10,,,1,2014
22,34,16,+0:10,,,Stuyven Jasper,16,Trek Factory Racing,",, 0:10",+0:10,,,1,2014
29,114,17,+0:10,,,Verschoor Martijn,17,Team Novo Nordisk,",, 0:10",+0:10,,,1,2014
26,103,18,+0:10,,,Dempster Zakkari,18,Team NetApp \u2013 Endura,",, 0:10",+0:10,,,1,2014
33,141,19,+0:10,,,Haedo Juan Jose,19,Jamis - Hagens Berman,",, 0:10",+0:10,,,1,2014
36,2,20,+0:10,,,Hushovd Thor,20,BMC Racing Team,",, 0:10",+0:10,,,1,2014
21,88,21,+0:10,,,Olivier Daan,21,Team Giant - Shimano,",, 0:10",+0:10,,,1,2014
25,85,22,+0:10,,,Haga Chad,22,Team Giant - Shimano,",, 0:10",+0:10,,,1,2014
24,67,23,+0:10,,,Bennett George,23,Cannondale,",, 0:10",+0:10,,,1,2014
29,24,24,+0:10,,,Terpstra Niki,24,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2014
22,81,25,+0:10,,,Craddock Lawson,25,Team Giant - Shimano,",, 0:10",+0:10,,,1,2014
28,104,26,+0:10,,,Machado Tiago,26,Team NetApp \u2013 Endura,",, 0:10",+0:10,,,1,2014
34,32,27,+0:10,,,Irizar Markel,27,Trek Factory Racing,",, 0:10",+0:10,,,1,2014
33,71,28,+0:10,,,ten Dam Laurens,28,Belkin-Pro Cycling Team,",, 0:10",+0:10,,,1,2014
25,124,29,+0:10,,,Jones Carter,29,Optum p/b Kelly Benefit Strategies,",, 0:10",+0:10,,,1,2014
