Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
21,1,25,+3:49,7.0,Powless Neilson,13,Team LottoNL-Jumbo,3:49 3:49,\u25bc6,2,2018
23,53,28,+4:12,28.0,Fabbro Matteo,14,Team Katusha - Alpecin,4:12 4:12,\u25b214,2,2018
21,105,30,+6:22,6.0,Oliveira Ivo,15,Hagens Berman Axeon,6:22 6:22,\u25bc9,2,2018
20,85,32,+6:22,18.0,Sivakov Pavel,16,Team Sky,",, 6:22",\u25b22,2,2018
23,32,33,+6:22,27.0,Asgreen Kasper,17,Quick-Step Floors,",, 6:22",\u25b210,2,2018
21,36,34,+6:22,29.0,Narvaez Jhonatan,18,Quick-Step Floors,",, 6:22",\u25b211,2,2018
25,142,37,+7:01,33.0,Ait El Abdia Anass,19,UAE-Team Emirates,7:01 7:01,\u25b214,2,2018
24,83,38,+7:07,22.0,Henao Sebasti\xe1n,20,Team Sky,7:07 7:07,\u25b22,2,2018
23,3,46,+9:41,21.0,Kuss Sepp,21,Team LottoNL-Jumbo,9:41 9:41,-,2,2018
22,133,48,+9:41,32.0,Hindley Jai,22,Team Sunweb,",, 9:41",\u25b210,2,2018
24,56,51,+10:55,41.0,Politt Nils,23,Team Katusha - Alpecin,10:55 10:55,\u25b218,2,2018
21,145,60,+14:34,30.0,Ganna Filippo,24,UAE-Team Emirates,14:34 14:34,\u25b26,2,2018
22,42,62,+14:34,34.0,Davies Scott,25,Team Dimension Data,",, 14:34",\u25b29,2,2018
22,92,64,+16:00,40.0,Cosnefroy Benoit,26,AG2R La Mondiale,16:00 16:00,\u25b214,2,2018
23,31,66,+18:30,1.0,Gaviria Fernando,27,Quick-Step Floors,18:30 18:30,\u25bc26,2,2018
23,73,67,+18:34,2.0,Ewan Caleb,28,Mitchelton-Scott,18:34 18:34,\u25bc26,2,2018
24,64,68,+18:34,12.0,De Vos Adam,29,Rally Cycling,",, 18:34",\u25bc17,2,2018
21,34,73,+18:39,3.0,Hodeg \xc1lvaro Jos\xe9,30,Quick-Step Floors,18:39 18:39,\u25bc27,2,2018
20,106,74,+18:40,4.0,Philipsen Jasper,31,Hagens Berman Axeon,18:40 18:40,\u25bc27,2,2018
24,136,75,+18:40,5.0,Walscheid Max,32,Team Sunweb,",, 18:40",\u25bc27,2,2018
