Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
23,168,1,27.0,Wolfe Ben,36,Jelly Belly p/b Maxxis,\u25bc9,3,2017
27,21,32,1.0,Sagan Peter,1,BORA - hansgrohe,-,4,2017
29,1,18,3.0,Kittel Marcel,2,Quick-Step Floors,\u25b21,4,2017
27,84,17,,Huffman Evan,3,Rally Cycling,-,4,2017
27,25,16,2.0,Majka Rafa\u0142,4,BORA - hansgrohe,\u25bc2,4,2017
27,62,15,4.0,Bennett George,5,Team LottoNL-Jumbo,\u25bc1,4,2017
32,81,14,,Britton Rob,6,Rally Cycling,-,4,2017
22,115,13,,Hofstede Lennard,7,Team Sunweb,-,4,2017
23,48,12,5.0,Zabel Rick,8,Team Katusha - Alpecin,\u25bc3,4,2017
30,13,12,6.0,Drucker Jean-Pierre,9,BMC Racing Team,\u25bc3,4,2017
22,74,11,,Le Turnier Mathias,10,"Cofidis, Solutions Cr\xe9dits",-,4,2017
28,51,11,13.0,Degenkolb John,11,Trek - Segafredo,\u25b22,4,2017
28,135,10,7.0,Janse van Rensburg Reinardt,12,Team Dimension Data,\u25bc5,4,2017
22,102,10,10.0,Consonni Simone,13,UAE Team Emirates,\u25bc3,4,2017
26,92,9,8.0,Boswell Ian,14,Team Sky,\u25bc6,4,2017
25,136,9,9.0,Morton Lachlan,15,Team Dimension Data,\u25bc6,4,2017
29,41,9,12.0,Kristoff Alexander,16,Team Katusha - Alpecin,\u25bc4,4,2017
28,91,9,11.0,Viviani Elia,17,Team Sky,\u25bc6,4,2017
23,108,6,14.0,Zurlo Federico,18,UAE Team Emirates,\u25bc4,4,2017
30,61,6,15.0,Gesink Robert,19,Team LottoNL-Jumbo,\u25bc4,4,2017
25,146,6,,Mannion Gavin,20,UnitedHealthcare Pro Cycling Team,-,4,2017
25,15,5,16.0,Gerts Floris,21,BMC Racing Team,\u25bc5,4,2017
32,143,5,17.0,Clarke Jonathan,22,UnitedHealthcare Pro Cycling Team,\u25bc5,4,2017
33,11,5,18.0,Bookwalter Brent,23,BMC Racing Team,\u25bc5,4,2017
22,95,4,19.0,Geoghegan Hart Tao,24,Team Sky,\u25bc5,4,2017
21,162,4,20.0,Bennett Sean,25,Jelly Belly p/b Maxxis,\u25bc5,4,2017
30,78,4,22.0,van Genechten Jonas,26,"Cofidis, Solutions Cr\xe9dits",\u25bc4,4,2017
26,36,4,21.0,Phinney Taylor,27,Cannondale-Drapac Pro Cycling Team,\u25bc6,4,2017
31,6,3,23.0,Stybar Zdenek,28,Quick-Step Floors,\u25bc5,4,2017
21,116,3,24.0,Oomen Sam,29,Team Sunweb,\u25bc5,4,2017
28,117,3,26.0,Sinkeldam Ramon,30,Team Sunweb,\u25bc4,4,2017
