Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
28,153,3,20.0,Lozano David,20,Team Novo Nordisk,-,6,2017
27,7,3,21.0,Trentin Matteo,21,Quick-Step Floors,-,6,2017
32,2,3,22.0,Bauer Jack,22,Quick-Step Floors,-,6,2017
23,168,2,23.0,Wolfe Ben,23,Jelly Belly p/b Maxxis,-,6,2017
21,162,1,24.0,Bennett Sean,24,Jelly Belly p/b Maxxis,-,6,2017
26,145,38,1.0,Jaramillo Daniel Alexander,1,UnitedHealthcare Pro Cycling Team,-,7,2017
27,84,38,3.0,Huffman Evan,2,Rally Cycling,\u25b21,7,2017
27,25,25,2.0,Majka Rafa\u0142,3,BORA - hansgrohe,\u25bc1,7,2017
32,81,22,10.0,Britton Rob,4,Rally Cycling,\u25b26,7,2017
25,136,21,8.0,Morton Lachlan,5,Team Dimension Data,\u25b23,7,2017
27,62,20,4.0,Bennett George,6,Team LottoNL-Jumbo,\u25bc2,7,2017
26,92,18,5.0,Boswell Ian,7,Team Sky,\u25bc2,7,2017
27,138,16,6.0,Thwaites Scott,8,Team Dimension Data,\u25bc2,7,2017
28,31,15,7.0,Talansky Andrew,9,Cannondale-Drapac Pro Cycling Team,\u25bc2,7,2017
25,146,14,9.0,Mannion Gavin,10,UnitedHealthcare Pro Cycling Team,\u25bc1,7,2017
33,11,8,11.0,Bookwalter Brent,11,BMC Racing Team,-,7,2017
21,116,7,12.0,Oomen Sam,12,Team Sunweb,-,7,2017
27,96,7,13.0,Kennaugh Peter,13,Team Sky,-,7,2017
31,42,6,14.0,Machado Tiago,14,Team Katusha - Alpecin,-,7,2017
22,115,6,15.0,Hofstede Lennard,15,Team Sunweb,-,7,2017
22,95,5,16.0,Geoghegan Hart Tao,16,Team Sky,-,7,2017
25,33,5,17.0,Brown Nathan,17,Cannondale-Drapac Pro Cycling Team,-,7,2017
27,21,5,18.0,Sagan Peter,18,BORA - hansgrohe,-,7,2017
29,71,4,,Edet Nicolas,19,"Cofidis, Solutions Cr\xe9dits",-,7,2017
25,148,4,19.0,Putt Tanner,20,UnitedHealthcare Pro Cycling Team,\u25bc1,7,2017
28,153,3,20.0,Lozano David,21,Team Novo Nordisk,\u25bc1,7,2017
27,7,3,21.0,Trentin Matteo,22,Quick-Step Floors,\u25bc1,7,2017
32,2,3,22.0,Bauer Jack,23,Quick-Step Floors,\u25bc1,7,2017
23,168,2,23.0,Wolfe Ben,24,Jelly Belly p/b Maxxis,\u25bc1,7,2017
21,162,1,24.0,Bennett Sean,25,Jelly Belly p/b Maxxis,\u25bc1,7,2017
