Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
26,112,7,+1:50,55.0,9.0,Bennett George,7,Team LottoNL-Jumbo,1:50 1:50,+0:05,60.0,\u25b22,8,2016
33,48,8,+1:53,50.0,10.0,Van den Broeck Jurgen,8,Team Katusha,1:53 1:53,+0:05,50.0,\u25b22,8,2016
19,138,9,+1:57,45.0,5.0,Powless Neilson,9,Axeon Hagens Berman,1:57 1:57,+0:49,40.0,\u25bc4,8,2016
35,108,10,+2:13,40.0,8.0,ten Dam Laurens,10,Team Giant - Alpecin,2:13 2:13,+0:49,35.0,\u25bc2,8,2016
31,172,11,+2:46,36.0,11.0,Britton Rob,11,Rally Cycling,2:46 2:46,+0:49,30.0,-,8,2016
21,131,12,+3:00,32.0,14.0,Geoghegan Hart Tao,12,Axeon Hagens Berman,3:00 3:00,+0:05,25.0,\u25b22,8,2016
21,135,13,+3:22,28.0,15.0,Guerreiro Ruben,13,Axeon Hagens Berman,3:22 3:22,+0:05,20.0,\u25b22,8,2016
32,164,14,+3:53,24.0,16.0,Megias Javier,14,Team Novo Nordisk,3:53 3:53,+0:35,15.0,\u25b22,8,2016
23,151,15,+5:03,20.0,17.0,Carpenter Robin,15,Holowesko-Citadel Racing Team,5:03 5:03,+0:05,10.0,\u25b22,8,2016
27,38,16,+5:11,16.0,18.0,Teklehaimanot Daniel,16,Team Dimension Data,5:11 5:11,+0:05,5.0,\u25b22,8,2016
26,158,17,+6:05,14.0,20.0,Squire Rob,17,Holowesko-Citadel Racing Team,6:05 6:05,+0:05,5.0,\u25b23,8,2016
32,121,18,+6:46,12.0,21.0,Brajkovi\u010d Janez,18,UnitedHealthcare Pro Cycling Team,6:46 6:46,+0:05,5.0,\u25b23,8,2016
26,154,19,+7:07,10.0,19.0,Hornbeck Jonathan,19,Holowesko-Citadel Racing Team,7:07 7:07,+1:12,5.0,-,8,2016
28,81,20,+7:17,8.0,13.0,Stetina Peter,20,Trek - Segafredo,7:17 7:17,+5:15,5.0,\u25bc7,8,2016
24,83,21,+7:35,6.0,22.0,Bernard Julien,21,Trek - Segafredo,7:35 7:35,+0:49,5.0,\u25b21,8,2016
21,116,22,+8:22,4.0,23.0,Vermeulen Alexey,22,Team LottoNL-Jumbo,8:22 8:22,+0:49,5.0,\u25b21,8,2016
21,47,23,+9:59,3.0,24.0,Restrepo Jhonatan,23,Team Katusha,9:59 9:59,+0:44,5.0,\u25b21,8,2016
36,126,24,+11:10,2.0,25.0,Jones Chris,24,UnitedHealthcare Pro Cycling Team,11:10 11:10,+0:40,5.0,\u25b21,8,2016
25,125,25,+12:12,1.0,26.0,Jaramillo Daniel Alexander,25,UnitedHealthcare Pro Cycling Team,12:12 12:12,+1:12,5.0,\u25b21,8,2016
31,57,26,+12:46,,27.0,Van Avermaet Greg,26,BMC Racing Team,12:46 12:46,+1:28,5.0,\u25b21,8,2016
30,45,27,+12:56,,28.0,Machado Tiago,27,Team Katusha,12:56 12:56,+1:00,5.0,\u25b21,8,2016
27,157,28,+13:26,,29.0,McCabe Travis,28,Holowesko-Citadel Racing Team,13:26 13:26,+0:00,5.0,\u25b21,8,2016
23,17,29,+17:42,,31.0,Vakoc Petr,29,Etixx - Quick Step,17:42 17:42,+0:05,5.0,\u25b22,8,2016
22,27,30,+18:21,,33.0,van Poppel Danny,30,Team Sky,18:21 18:21,+0:00,5.0,\u25b23,8,2016
31,94,31,+19:05,,30.0,Jeandesboz Fabrice,31,Direct Energie,19:05 19:05,+3:28,3.0,\u25bc1,8,2016
24,87,32,+19:39,,35.0,Stuyven Jasper,32,Trek - Segafredo,19:39 19:39,+0:05,3.0,\u25b23,8,2016
28,97,33,+21:36,,32.0,Sicard Romain,33,Direct Energie,21:36 21:36,+3:28,3.0,\u25bc1,8,2016
29,56,34,+22:01,,36.0,Schar Michael,34,BMC Racing Team,22:01 22:01,+0:05,3.0,\u25b22,8,2016
26,1,35,+22:21,,37.0,Sagan Peter,35,Tinkoff,22:21 22:21,+-1:54,3.0,\u25b22,8,2016
22,5,36,+23:21,,34.0,Gogl Michael,36,Tinkoff,23:21 23:21,+3:50,3.0,\u25bc2,8,2016
23,114,37,+23:22,,39.0,Teunissen Mike,37,Team LottoNL-Jumbo,23:22 23:22,+0:05,3.0,\u25b22,8,2016
29,147,38,+24:35,,38.0,Shelden Taylor,38,Jelly Belly p/b Maxxis,24:35 24:35,+1:36,3.0,-,8,2016
33,15,39,+27:17,,41.0,Richeze Ariel Maximiliano,39,Etixx - Quick Step,27:17 27:17,+0:00,3.0,\u25b22,8,2016
21,136,40,+27:47,,40.0,Neilands Krists,40,Axeon Hagens Berman,27:47 27:47,+1:00,3.0,-,8,2016
23,113,41,+28:42,,43.0,Roosen Timo,41,Team LottoNL-Jumbo,28:42 28:42,+0:05,,\u25b22,8,2016
24,93,42,+30:19,,44.0,Duchesne Antoine,42,Direct Energie,30:19 30:19,+0:57,,\u25b22,8,2016
24,77,43,+30:28,,42.0,Skuji\u0146\u0161 Toms,43,Cannondale Pro Cycling Team,30:28 30:28,+2:14,,\u25bc1,8,2016
31,123,44,+32:24,,46.0,Clarke Jonathan,44,UnitedHealthcare Pro Cycling Team,32:24 32:24,+1:04,,\u25b22,8,2016
29,13,45,+33:50,,45.0,Bouet Maxime,45,Etixx - Quick Step,33:50 33:50,+2:32,,-,8,2016
27,101,46,+33:52,,47.0,Degenkolb John,46,Team Giant - Alpecin,33:52 33:52,+0:00,,\u25b21,8,2016
31,46,47,+36:42,,51.0,M\xf8rk\xf8v Michael,47,Team Katusha,36:42 36:42,+0:03,,\u25b24,8,2016
23,107,48,+37:46,,48.0,Lunke Sindre Skj\xf8stad,48,Team Giant - Alpecin,37:46 37:46,+3:28,,-,8,2016
30,58,49,+39:55,,50.0,Wyss Danilo,49,BMC Racing Team,39:55 39:55,+3:50,,\u25b21,8,2016
30,74,50,+41:41,,52.0,Gaimon Phillip,50,Cannondale Pro Cycling Team,41:41 41:41,+3:50,,\u25b22,8,2016
28,36,51,+42:53,,53.0,Janse van Rensburg Jacques,51,Team Dimension Data,42:53 42:53,+2:43,,\u25b22,8,2016
21,134,52,+43:22,,54.0,Daniel Gregory,52,Axeon Hagens Berman,43:22 43:22,+0:49,,\u25b22,8,2016
33,104,53,+45:48,,55.0,de Kort Koen,53,Team Giant - Alpecin,45:48 45:48,+0:31,,\u25b22,8,2016
28,41,54,+46:26,,59.0,Kristoff Alexander,54,Team Katusha,46:26 46:26,+-1:56,,\u25b25,8,2016
25,98,55,+47:10,,60.0,Tulik Angelo,55,Direct Energie,47:10 47:10,+0:05,,\u25b25,8,2016
22,124,56,+47:32,,57.0,Eaton Daniel,56,UnitedHealthcare Pro Cycling Team,47:32 47:32,+1:54,,\u25b21,8,2016
29,86,57,+47:33,,58.0,Reijnen Kiel,57,Trek - Segafredo,47:33 47:33,+1:28,,\u25b21,8,2016
20,133,58,+47:57,,56.0,Curran Geoffrey,58,Axeon Hagens Berman,47:57 47:57,+2:25,,\u25bc2,8,2016
27,75,59,+48:19,,61.0,King Benjamin,59,Cannondale Pro Cycling Team,48:19 48:19,+0:55,,\u25b22,8,2016
24,91,60,+48:54,,64.0,Coquard Bryan,60,Direct Energie,48:54 48:54,+0:00,,\u25b24,8,2016
21,102,61,+50:24,,63.0,Andersen S\xf8ren Kragh,61,Team Giant - Alpecin,50:24 50:24,+1:44,,\u25b22,8,2016
22,24,62,+51:24,,65.0,Moscon Gianni,62,Team Sky,51:24 51:24,+1:58,,\u25b23,8,2016
27,122,63,+51:44,,70.0,Canola Marco,63,UnitedHealthcare Pro Cycling Team,51:44 51:44,+0:00,,\u25b27,8,2016
27,35,64,+52:22,,62.0,Haas Nathan,64,Team Dimension Data,52:22 52:22,+4:53,,\u25bc2,8,2016
25,145,65,+52:28,,67.0,Rathe Jacob,65,Jelly Belly p/b Maxxis,52:28 52:28,+1:28,,\u25b22,8,2016
39,28,66,+52:31,,66.0,Zandio Xabier,66,Team Sky,52:31 52:31,+2:18,,-,8,2016
35,12,67,+52:42,,71.0,Boonen Tom,67,Etixx - Quick Step,52:42 52:42,+0:05,,\u25b24,8,2016
25,153,68,+52:49,,68.0,Flaksis Andzs,68,Holowesko-Citadel Racing Team,52:49 52:49,+1:28,,-,8,2016
26,176,69,+53:58,,69.0,Oronte Emerson,69,Rally Cycling,53:58 53:58,+2:32,,-,8,2016
27,7,70,+54:17,,72.0,Sagan Juraj,70,Tinkoff,54:17 54:17,+1:39,,\u25b22,8,2016
25,54,71,+57:29,,74.0,Phinney Taylor,71,BMC Racing Team,57:29 57:29,+0:05,,\u25b23,8,2016
30,14,72,+58:28,,77.0,Maes Nikolas,72,Etixx - Quick Step,58:28 58:28,+0:13,,\u25b25,8,2016
27,155,73,+59:27,,75.0,Krasilnikau Andrei,73,Holowesko-Citadel Racing Team,59:27 59:27,+1:28,,\u25b22,8,2016
37,177,74,+1:00:33,,78.0,Pate Danny,74,Rally Cycling,1:00:33 1:00:33,+0:49,,\u25b24,8,2016
31,76,75,+1:00:52,,79.0,Marangoni Alan,75,Cannondale Pro Cycling Team,1:00:52 1:00:52,+0:53,,\u25b24,8,2016
34,118,76,+1:01:19,,80.0,Wynants Maarten,76,Team LottoNL-Jumbo,1:01:19 1:01:19,+0:35,,\u25b24,8,2016
22,173,77,+1:01:28,,76.0,De Vos Adam,77,Rally Cycling,1:01:28 1:01:28,+3:28,,\u25bc1,8,2016
24,162,78,+1:02:25,,73.0,Henttala Joonas,78,Team Novo Nordisk,1:02:25 1:02:25,+6:17,,\u25bc5,8,2016
31,18,79,+1:04:18,,82.0,Velits Martin,79,Etixx - Quick Step,1:04:18 1:04:18,+1:28,,\u25b23,8,2016
21,137,80,+1:04:40,,84.0,Owen Logan,80,Axeon Hagens Berman,1:04:40 1:04:40,+0:03,,\u25b24,8,2016
25,72,81,+1:05:05,,81.0,Bevin Patrick,81,Cannondale Pro Cycling Team,1:05:05 1:05:05,+3:50,,-,8,2016
30,16,82,+1:06:25,,85.0,Stybar Zdenek,82,Etixx - Quick Step,1:06:25 1:06:25,+0:21,,\u25b23,8,2016
25,96,83,+1:07:05,,86.0,Petit Adrien,83,Direct Energie,1:07:05 1:07:05,+0:03,,\u25b23,8,2016
26,174,84,+1:07:40,,83.0,Huffman Evan,84,Rally Cycling,1:07:40 1:07:40,+3:28,,\u25bc1,8,2016
25,43,85,+1:09:22,,87.0,Haller Marco,85,Team Katusha,1:09:22 1:09:22,+1:17,,\u25b22,8,2016
36,85,86,+1:09:37,,90.0,Irizar Markel,86,Trek - Segafredo,1:09:37 1:09:37,+0:05,,\u25b24,8,2016
34,23,87,+1:10:27,,88.0,Kiryienka Vasil,87,Team Sky,1:10:27 1:10:27,+2:18,,\u25b21,8,2016
20,132,88,+1:10:52,,89.0,Barta William,88,Axeon Hagens Berman,1:10:52 1:10:52,+1:46,,\u25b21,8,2016
24,146,89,+1:13:28,,93.0,Sheehan Michael,89,Jelly Belly p/b Maxxis,1:13:28 1:13:28,+0:49,,\u25b24,8,2016
28,42,90,+1:13:39,,94.0,Guarnieri Jacopo,90,Team Katusha,1:13:39 1:13:39,+0:17,,\u25b24,8,2016
27,163,91,+1:13:44,,91.0,Lozano David,91,Team Novo Nordisk,1:13:44 1:13:44,+3:28,,-,8,2016
23,63,92,+1:14:12,,92.0,Doull Owain,92,Team Wiggins,1:14:12 1:14:12,+3:01,,-,8,2016
22,84,93,+1:14:19,,95.0,Bonifazio Niccolo,93,Trek - Segafredo,1:14:19 1:14:19,+0:00,,\u25b22,8,2016
29,105,94,+1:17:15,,96.0,Fairly Caleb,94,Team Giant - Alpecin,1:17:15 1:17:15,+1:44,,\u25b22,8,2016
28,95,95,+1:17:34,,97.0,Nauleau Bryan,95,Direct Energie,1:17:34 1:17:34,+1:28,,\u25b22,8,2016
