Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
82,64.0,King Edward,28,Liquigas - Cannondale,,,82,+45:35,45:35 45:35,+45:35,2011,8
83,74.0,Haedo Lucas Sebastian,28,Saxo Bank - Sungard,,,83,+45:49,45:49 45:49,+45:49,2011,8
84,151.0,van Ulden Bernard,31,Jelly Belly presented by Kenda,,,84,+46:27,46:27 46:27,+46:27,2011,8
85,166.0,Donald Jason,31,Kelly Benefit Strategies - OptumHealth,,,85,+47:03,47:03 47:03,+47:03,2011,8
86,177.0,Rytlewski Jake,28,Kenda Presented By Gear Grinder,,,86,+47:22,47:22 47:22,+47:22,2011,8
87,163.0,Bowman Dan,29,Kelly Benefit Strategies - OptumHealth,,,87,+47:44,47:44 47:44,+47:44,2011,8
88,27.0,Velits Martin,26,HTC - High Road,,,88,+48:49,48:49 48:49,+48:49,2011,8
89,77.0,Jorgensen Jonas Aaen,25,Saxo Bank - Sungard,,,89,+49:54,49:54 49:54,+49:54,2011,8
90,176.0,Milne Shawn,29,Kenda Presented By Gear Grinder,,,90,+50:59,50:59 50:59,+50:59,2011,8
91,112.0,B\xe1rta Jan,26,Team Netapp,,,91,+54:12,54:12 54:12,+54:12,2011,8
92,158.0,Powers Jeremy,27,Jelly Belly presented by Kenda,,,92,+56:50,56:50 56:50,+56:50,2011,8
93,48.0,Phinney Taylor,20,BMC Racing Team,,,93,+57:50,57:50 57:50,+57:50,2011,8
94,173.0,Gaimon Phillip,25,Kenda Presented By Gear Grinder,,,94,+58:52,58:52 58:52,+58:52,2011,8
95,53.0,Mortensen Martin,26,Leopard Trek,,,95,+59:17,59:17 59:17,+59:17,2011,8
96,83.0,Vermeltfoort Coen,23,Rabobank Cycling Team,,,96,+59:24,59:24 59:24,+59:24,2011,8
97,123.0,Bell Zach,28,Spidertech Powered by C10,,,97,+59:26,59:26 59:26,+59:26,2011,8
98,121.0,Tuft Svein,34,Spidertech Powered by C10,,,98,+1:00:16,1:00:16 1:00:16,+60:16,2011,8
99,143.0,Borrajo Anibal Andres,28,Jamis - Sutter Home presented by Colavita,,,99,+1:01:08,1:01:08 1:01:08,+61:08,2011,8
100,96.0,Pinfold Andrew,32,UnitedHealthcare Presented by Maxxis,,,100,+1:01:26,1:01:26 1:01:26,+61:26,2011,8
101,52.0,Denifl Stefan,23,Leopard Trek,,,101,+1:01:49,1:01:49 1:01:49,+61:49,2011,8
102,144.0,Driscoll James,24,Jamis - Sutter Home presented by Colavita,,,102,+1:01:54,1:01:54 1:01:54,+61:54,2011,8
103,113.0,Seubert Timon,24,Team Netapp,,,103,+1:01:57,1:01:57 1:01:57,+61:57,2011,8
104,107.0,Kocjan Jure,26,Team Type 1 - SANOFI,,,104,+1:02:07,1:02:07 1:02:07,+62:07,2011,8
105,154.0,Hanson Ken,29,Jelly Belly presented by Kenda,,,105,+1:02:17,1:02:17 1:02:17,+62:17,2011,8
106,72.0,Cooke Baden,32,Saxo Bank - Sungard,,,106,+1:02:26,1:02:26 1:02:26,+62:26,2011,8
107,146.0,Guptill Andy,28,Jamis - Sutter Home presented by Colavita,,,107,+1:02:32,1:02:32 1:02:32,+62:32,2011,8
108,4.0,McCartney Jason,37,RadioShack,,,108,+1:03:22,1:03:22 1:03:22,+63:22,2011,8
109,178.0,Stemper James,25,Kenda Presented By Gear Grinder,,,109,+1:03:33,1:03:33 1:03:33,+63:33,2011,8
110,73.0,Haedo Juan Jose,30,Saxo Bank - Sungard,,,110,+1:04:07,1:04:07 1:04:07,+64:07,2011,8
111,134.0,Jacques-Maynes Andy,32,Bissell Pro Cycling,,,111,+1:05:29,1:05:29 1:05:29,+65:29,2011,8
112,175.0,Kilun Roman,29,Kenda Presented By Gear Grinder,,,112,+1:06:54,1:06:54 1:06:54,+66:54,2011,8
113,128.0,Routley Will,27,Spidertech Powered by C10,,,113,+1:07:44,1:07:44 1:07:44,+67:44,2011,8
114,92.0,F\xf6rster Robert,33,UnitedHealthcare Presented by Maxxis,,,114,+1:08:21,1:08:21 1:08:21,+68:21,2011,8
115,105.0,Ile\u0161i\u010d Aldo Ino,26,Team Type 1 - SANOFI,,,115,+1:09:56,1:09:56 1:09:56,+69:56,2011,8
116,95.0,Menzies Karl,33,UnitedHealthcare Presented by Maxxis,,,116,+1:10:09,1:10:09 1:10:09,+70:09,2011,8
117,126.0,Lacombe Keven,25,Spidertech Powered by C10,,,117,+1:10:48,1:10:48 1:10:48,+70:48,2011,8
118,122.0,Anderson Ryan,23,Spidertech Powered by C10,,,118,+1:12:06,1:12:06 1:12:06,+72:06,2011,8
119,125.0,Gilbert Martin,28,Spidertech Powered by C10,,,119,+1:12:17,1:12:17 1:12:17,+72:17,2011,8
120,,White Bradley,29,,,,120,+1:13:44,1:13:44 1:13:44,+73:44,2011,8
121,167.0,Friedman Michael,28,Kelly Benefit Strategies - OptumHealth,,,121,+1:13:50,1:13:50 1:13:50,+73:50,2011,8
122,147.0,Antogna Jose Fernando,34,Jamis - Sutter Home presented by Colavita,,,122,+1:15:13,1:15:13 1:15:13,+75:13,2011,8
123,172.0,Damiani Luca,26,Kenda Presented By Gear Grinder,,,123,+1:16:27,1:16:27 1:16:27,+76:27,2011,8
124,111.0,Del Nero Jes\xfas,29,Team Netapp,,,124,+1:19:33,1:19:33 1:19:33,+79:33,2011,8
125,157.0,Dickeson William,28,Jelly Belly presented by Kenda,,,125,+1:22:14,1:22:14 1:22:14,+82:14,2011,8
126,152.0,Hagman Alex,27,Jelly Belly presented by Kenda,,,126,+1:23:31,1:23:31 1:23:31,+83:31,2011,8
