Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
30,50.107,174,53,+0:21,,Etxebarria Unai,53,Euskaltel - Euskadi,",, 0:21",0,2003
30,50.107,133,54,+0:21,,Casero Angel Luis,54,Team Bianchi,",, 0:21",0,2003
29,50.107,111,55,+0:22,,Bettini Paolo,55,Quickstep - Davitamon,",, 0:21",0,2003
28,50.0,79,56,+0:22,,S\xf8rensen Nicki,56,CSC ProTeam,0:22 0:22,0,2003
25,50.0,38,57,+0:22,,Petrov Evgeni,57,Ibanesto.com,",, 0:22",0,2003
34,50.0,201,58,+0:22,,Dufaux Laurent,58,Alessio,",, 0:22",0,2003
29,50.0,127,59,+0:22,,O'Grady Stuart,59,Cr\xe9dit Agricole,",, 0:22",0,2003
32,50.0,115,60,+0:23,,Knaven Servais,60,Quickstep - Davitamon,",, 0:22",0,2003
30,50.0,154,61,+0:23,,Chaurreau I\xf1igo,61,AG2R Pr\xe9voyance,",, 0:22",0,2003
32,49.893,107,62,+0:23,,Pascual Javier,62,Kelme - Costa Blanca,0:23 0:23,0,2003
27,49.893,218,63,+0:23,,Lefevre Laurent,63,Jean Delatour,",, 0:23",0,2003
28,49.893,84,64,+0:24,,Gonzalez Jimenez Aitor,64,Fassa Bortolo,",, 0:23",0,2003
28,49.787,26,65,+0:24,,Kl\xf6den Andr\xe9as,65,Team Telekom,0:24 0:24,0,2003
29,49.787,89,66,+0:24,,Velo Marco,66,Fassa Bortolo,",, 0:24",0,2003
31,49.787,42,67,+0:24,,Boogerd Michael,67,Rabobank ProTeam,",, 0:24",0,2003
30,49.787,168,68,+0:24,,Vainsteins Romans,68,Vini Calderola - So.di,",, 0:24",0,2003
25,49.681999999999995,98,69,+0:25,,Vogondy Nicolas,69,Fdjeux.com,0:25 0:25,0,2003
29,49.681999999999995,167,70,+0:25,,Rodriguez Fred,70,Vini Calderola - So.di,",, 0:25",0,2003
29,49.681999999999995,28,71,+0:25,,Vinokourov Alexandre,71,Team Telekom,",, 0:25",0,2003
27,49.681999999999995,35,72,+0:25,,Lastras Pablo,72,Ibanesto.com,",, 0:25",0,2003
25,49.576,32,73,+0:26,,Flecha Juan Antonio,73,Ibanesto.com,0:26 0:26,0,2003
30,49.576,157,74,+0:26,,Oriol Christophe,74,AG2R Pr\xe9voyance,",, 0:26",0,2003
