Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,182,89,+1:24:54,13.0,Bettiol Alberto,12,Cannondale-Drapac Pro Cycling Team,1:22:41 1:22:41,\u25b21,12,2017
23,128,93,+1:26:12,12.0,Politt Nils,13,Team Katusha - Alpecin,1:23:59 1:23:59,\u25bc1,12,2017
24,116,97,+1:28:21,9.0,McCarthy Jay,14,BORA - hansgrohe,1:26:08 1:26:08,\u25bc5,12,2017
25,189,98,+1:29:19,14.0,van Baarle Dylan,15,Cannondale-Drapac Pro Cycling Team,1:27:06 1:27:06,\u25bc1,12,2017
22,214,103,+1:34:24,16.0,Gesbert Elie,16,Fortuneo - Oscaro,1:32:11 1:32:11,-,12,2017
25,56,108,+1:34:58,22.0,Kozhatayev Bakhtiyar,17,Astana Pro Team,1:32:45 1:32:45,\u25b25,12,2017
24,167,118,+1:40:29,20.0,Roosen Timo,18,Team LottoNL-Jumbo,1:38:16 1:38:16,\u25b22,12,2017
23,129,128,+1:47:44,17.0,Zabel Rick,19,Team Katusha - Alpecin,1:45:31 1:45:31,\u25bc2,12,2017
24,207,135,+1:48:57,18.0,Smith Dion,20,Wanty - Groupe Gobert,1:46:44 1:46:44,\u25bc2,12,2017
24,148,138,+1:49:22,19.0,Teunissen Mike,21,Team Sunweb,1:47:09 1:47:09,\u25bc2,12,2017
24,28,140,+1:52:07,23.0,S\xfctterlin Jasha,22,Movistar Team,1:49:54 1:49:54,\u25b21,12,2017
23,35,142,+1:53:07,21.0,Gogl Michael,23,Trek - Segafredo,1:50:54 1:50:54,\u25bc2,12,2017
23,172,154,+2:01:39,28.0,Boudat Thomas,24,Direct Energie,1:59:26 1:59:26,\u25b24,12,2017
24,163,156,+2:02:53,24.0,Groenewegen Dylan,25,Team LottoNL-Jumbo,2:00:40 2:00:40,\u25bc1,12,2017
24,154,161,+2:03:51,25.0,Laporte Christophe,26,"Cofidis, Solutions Cr\xe9dits",2:01:38 2:01:38,\u25bc1,12,2017
24,158,166,+2:07:36,27.0,S\xe9n\xe9chal Florian,27,"Cofidis, Solutions Cr\xe9dits",2:05:23 2:05:23,-,12,2017
25,211,168,+2:08:45,26.0,McLay Daniel,28,Fortuneo - Oscaro,2:06:32 2:06:32,\u25bc2,12,2017
23,76,177,+2:20:44,29.0,Le Gac Olivier,29,FDJ,2:18:31 2:18:31,-,12,2017
24,89,7,+2:04,1.0,Yates Simon,1,ORICA-Scott,55:32:10 55:32:10,-,13,2017
25,61,9,+4:51,2.0,Meintjes Louis,2,UAE Team Emirates,2:47 2:47,-,13,2017
23,17,13,+10:33,3.0,Latour Pierre,3,AG2R La Mondiale,8:29 8:29,-,13,2017
24,113,17,+16:34,4.0,Buchmann Emanuel,4,BORA - hansgrohe,14:30 14:30,-,13,2017
24,201,19,+21:47,5.0,Martin Guillaume,5,Wanty - Groupe Gobert,19:43 19:43,-,13,2017
23,133,22,+35:33,6.0,Benoot Tiesj,6,Lotto Soudal,33:29 33:29,-,13,2017
24,173,35,+1:00:22,7.0,Calmejane Lilian,7,Direct Energie,58:18 58:18,-,13,2017
25,58,66,+1:25:34,8.0,Valgren Michael,8,Astana Pro Team,1:23:30 1:23:30,-,13,2017
24,85,75,+1:32:51,10.0,Howson Damien,9,ORICA-Scott,1:30:47 1:30:47,\u25b21,13,2017
23,44,80,+1:36:16,11.0,K\xfcng Stefan,10,BMC Racing Team,1:34:12 1:34:12,\u25b21,13,2017
24,57,81,+1:36:22,9.0,Lutsenko Alexey,11,Astana Pro Team,1:34:18 1:34:18,\u25bc2,13,2017
23,182,85,+1:37:26,12.0,Bettiol Alberto,12,Cannondale-Drapac Pro Cycling Team,1:35:22 1:35:22,-,13,2017
23,128,91,+1:40:05,13.0,Politt Nils,13,Team Katusha - Alpecin,1:38:01 1:38:01,-,13,2017
24,116,95,+1:42:14,14.0,McCarthy Jay,14,BORA - hansgrohe,1:40:10 1:40:10,-,13,2017
25,189,96,+1:43:12,15.0,van Baarle Dylan,15,Cannondale-Drapac Pro Cycling Team,1:41:08 1:41:08,-,13,2017
22,214,104,+1:48:17,16.0,Gesbert Elie,16,Fortuneo - Oscaro,1:46:13 1:46:13,-,13,2017
25,56,107,+1:48:51,17.0,Kozhatayev Bakhtiyar,17,Astana Pro Team,1:46:47 1:46:47,-,13,2017
24,167,114,+1:54:22,18.0,Roosen Timo,18,Team LottoNL-Jumbo,1:52:18 1:52:18,-,13,2017
23,129,124,+2:01:37,19.0,Zabel Rick,19,Team Katusha - Alpecin,1:59:33 1:59:33,-,13,2017
24,207,129,+2:02:50,20.0,Smith Dion,20,Wanty - Groupe Gobert,2:00:46 2:00:46,-,13,2017
24,148,130,+2:03:15,21.0,Teunissen Mike,21,Team Sunweb,2:01:11 2:01:11,-,13,2017
24,28,133,+2:06:00,22.0,S\xfctterlin Jasha,22,Movistar Team,2:03:56 2:03:56,-,13,2017
23,35,139,+2:07:00,23.0,Gogl Michael,23,Trek - Segafredo,2:04:56 2:04:56,-,13,2017
23,172,149,+2:15:47,24.0,Boudat Thomas,24,Direct Energie,2:13:43 2:13:43,-,13,2017
24,154,154,+2:17:44,26.0,Laporte Christophe,25,"Cofidis, Solutions Cr\xe9dits",2:15:40 2:15:40,\u25b21,13,2017
24,163,160,+2:22:10,25.0,Groenewegen Dylan,26,Team LottoNL-Jumbo,2:20:06 2:20:06,\u25bc1,13,2017
24,158,165,+2:26:53,27.0,S\xe9n\xe9chal Florian,27,"Cofidis, Solutions Cr\xe9dits",2:24:49 2:24:49,-,13,2017
25,211,167,+2:28:02,28.0,McLay Daniel,28,Fortuneo - Oscaro,2:25:58 2:25:58,-,13,2017
23,76,175,+2:38:20,29.0,Le Gac Olivier,29,FDJ,2:36:16 2:36:16,-,13,2017
24,89,7,+2:02,1.0,Yates Simon,1,ORICA-Scott,59:54:11 59:54:11,-,14,2017
25,61,9,+5:09,2.0,Meintjes Louis,2,UAE Team Emirates,3:07 3:07,-,14,2017
23,17,12,+10:56,3.0,Latour Pierre,3,AG2R La Mondiale,8:54 8:54,-,14,2017
24,113,17,+16:52,4.0,Buchmann Emanuel,4,BORA - hansgrohe,14:50 14:50,-,14,2017
24,201,19,+22:13,5.0,Martin Guillaume,5,Wanty - Groupe Gobert,20:11 20:11,-,14,2017
23,133,22,+35:31,6.0,Benoot Tiesj,6,Lotto Soudal,33:29 33:29,-,14,2017
24,173,32,+1:00:35,7.0,Calmejane Lilian,7,Direct Energie,58:33 58:33,-,14,2017
25,58,63,+1:27:45,8.0,Valgren Michael,8,Astana Pro Team,1:25:43 1:25:43,-,14,2017
23,44,79,+1:38:36,10.0,K\xfcng Stefan,9,BMC Racing Team,1:36:34 1:36:34,\u25b21,14,2017
23,182,83,+1:40:28,12.0,Bettiol Alberto,10,Cannondale-Drapac Pro Cycling Team,1:38:26 1:38:26,\u25b22,14,2017
23,128,84,+1:41:08,13.0,Politt Nils,11,Team Katusha - Alpecin,1:39:06 1:39:06,\u25b22,14,2017
24,116,87,+1:42:08,14.0,McCarthy Jay,12,BORA - hansgrohe,1:40:06 1:40:06,\u25b22,14,2017
24,57,88,+1:42:43,11.0,Lutsenko Alexey,13,Astana Pro Team,1:40:41 1:40:41,\u25bc2,14,2017
24,85,92,+1:46:01,9.0,Howson Damien,14,ORICA-Scott,1:43:59 1:43:59,\u25bc5,14,2017
25,189,95,+1:51:05,15.0,van Baarle Dylan,15,Cannondale-Drapac Pro Cycling Team,1:49:03 1:49:03,-,14,2017
24,167,113,+2:00:43,18.0,Roosen Timo,16,Team LottoNL-Jumbo,1:58:41 1:58:41,\u25b22,14,2017
22,214,116,+2:01:27,16.0,Gesbert Elie,17,Fortuneo - Oscaro,1:59:25 1:59:25,\u25bc1,14,2017
25,56,117,+2:02:01,17.0,Kozhatayev Bakhtiyar,18,Astana Pro Team,1:59:59 1:59:59,\u25bc1,14,2017
24,207,118,+2:03:35,20.0,Smith Dion,19,Wanty - Groupe Gobert,2:01:33 2:01:33,\u25b21,14,2017
24,148,134,+2:14:13,21.0,Teunissen Mike,20,Team Sunweb,2:12:11 2:12:11,\u25b21,14,2017
