Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
26,33,1,+0:00,,,Cancellara Fabian,1,CSC ProTeam,8:50 8:50,+0:00,9.0,,0,2007
32,196,2,+0:13,,,Kl\xf6den Andr\xe9as,2,Astana,0:13 0:13,+0:13,,,0,2007
34,114,3,+0:23,,,Hincapie George,3,Discovery Channel,0:23 0:23,+0:23,,,0,2007
27,149,4,+0:23,,,Wiggins Bradley,4,Cofidis,",, 0:23",+0:23,,,0,2007
25,113,5,+0:25,,,Gusev Vladimir,5,Discovery Channel,0:25 0:25,+0:25,,,0,2007
26,15,6,+0:26,,,Karpets Vladimir,6,Caisse d'Epargne,0:26 0:26,+0:26,,,0,2007
33,191,7,+0:30,,,Vinokourov Alexandre,7,Astana,0:30 0:30,+0:30,,,0,2007
22,54,8,+0:31,,,Dekker Thomas,8,Rabobank ProTeam,0:31 0:31,+0:31,,,0,2007
27,157,9,+0:32,,,Quinziato Manuel,9,Liquigas,0:32 0:32,+0:32,,,0,2007
25,169,10,+0:32,,,Vaugrenard Benoit,10,Fran\xe7aise des Jeux,",, 0:32",+0:32,10.0,,0,2007
28,39,11,+0:32,,,Zabriskie David,11,CSC ProTeam,",, 0:32",+0:32,11.0,,0,2007
28,14,12,+0:33,,,Guti\xe9rrez Jos\xe9 Iv\xe1n,12,Caisse d'Epargne,0:33 0:33,+0:33,,,0,2007
30,201,13,+0:33,,,Millar David,13,Saunier Duval,",, 0:33",+0:33,13.0,,0,2007
27,73,14,+0:33,,,Astarloza Mikel,14,Euskaltel - Euskadi,",, 0:33",+0:33,,,0,2007
24,112,15,+0:35,,,Contador Alberto,15,Discovery Channel,0:35 0:35,+0:35,,,0,2007
27,195,16,+0:35,,,Kashechkin Andrey,16,Astana,",, 0:35",+0:35,,,0,2007
30,41,17,+0:36,,,Evans Cadel,17,Predictor - Lotto,0:36 0:36,+0:36,,,0,2007
25,102,18,+0:36,,,Bonnet William,18,Cr\xe9dit Agricole,",, 0:36",+0:36,18.0,,0,2007
28,141,19,+0:36,,,Chavanel Sylvain,19,Cofidis,",, 0:36",+0:36,,,0,2007
27,21,20,+0:37,,,Rogers Michael,20,T-Mobile Team,0:37 0:37,+0:37,,,0,2007
29,11,21,+0:37,,,Pereiro Oscar,21,Caisse d'Epargne,",, 0:37",+0:37,,,0,2007
24,25,22,+0:38,,,Gerdemann Linus,22,T-Mobile Team,0:38 0:38,+0:38,,,0,2007
34,199,23,+0:38,,,Savoldelli Paolo,23,Astana,",, 0:38",+0:38,,,0,2007
25,175,24,+0:39,,,Rosseler Sebastien,24,Quickstep - Innergetic,0:39 0:39,+0:39,,,0,2007
32,148,25,+0:39,,,Verbrugghe Rik,25,Cofidis,",, 0:39",+0:39,,,0,2007
33,111,26*,+0:40,,,Leipheimer Levi,26*,Discovery Channel,0:40 0:40,+0:40,,,0,2007
29,51,26,+0:40,,,Menchov Denis,26,Rabobank ProTeam,",, 0:40",+0:40,,,0,2007
29,101,27,+0:41,,,Hushovd Thor,27,Cr\xe9dit Agricole,0:41 0:41,+0:41,,,0,2007
25,119,28,+0:42,,,Vaitkus Tomas,28,Discovery Channel,0:42 0:42,+0:42,,,0,2007
25,151,29,+0:43,,,Pozzato Filippo,29,Liquigas,0:43 0:43,+0:43,,,0,2007
25,93,30,+0:43,,,Fothen Markus,30,Gerolsteiner,",, 0:43",+0:43,,,0,2007
27,18,31,+0:43,,,Valverde Alejandro,31,Caisse d'Epargne,",, 0:43",+0:43,,,0,2007
26,82,32,+0:43,,,Bennati Daniele,32,Lampre-Fondital,",, 0:43",+0:43,,,0,2007
29,192,33,+0:43,,,Colom Antonio,33,Astana,",, 0:43",+0:43,,,0,2007
23,184,34,+0:43,,,Grivko Andrei,34,Milram,",, 0:43",+0:43,,,0,2007
25,95,35,+0:44,,,Kohl Bernhard,35,Gerolsteiner,0:44 0:44,+0:44,,,0,2007
27,117,36,+0:44,,,Paulinho S\xe9rgio,36,Discovery Channel,",, 0:44",+0:44,,,0,2007
25,91,37,+0:45,,,Schumacher Stefan,37,Gerolsteiner,0:45 0:45,+0:45,,,0,2007
34,144,38,+0:45,,,Moreni Cristian,38,Cofidis,",, 0:45",+0:45,,,0,2007
29,97,39,+0:45,,,Scholz Ronny,39,Gerolsteiner,",, 0:45",+0:45,,,0,2007
26,171,40,+0:46,,,Boonen Tom,40,Quickstep - Innergetic,0:46 0:46,+0:46,,,0,2007
27,186,41,+0:46,,,Lancaster Brett,41,Milram,",, 0:46",+0:46,,,0,2007
25,165,42,+0:46,,,Gilbert Philippe,42,Fran\xe7aise des Jeux,",, 0:46",+0:46,,,0,2007
31,125,43,+0:46,,,Lefevre Laurent,43,Bouygues Telecom,",, 0:46",+0:46,,,0,2007
21,215,44,+0:47,,,Thomas Geraint,44,Barloworld,0:47 0:47,+0:47,,,0,2007
24,122,45,+0:47,,,Clement Stef,45,Bouygues Telecom,",, 0:47",+0:47,,,0,2007
26,172,46,+0:47,,,Barredo Carlos,46,Quickstep - Innergetic,",, 0:47",+0:47,,,0,2007
29,115,47,+0:47,,,Martinez Egoi,47,Discovery Channel,",, 0:47",+0:47,,,0,2007
26,193,48,+0:48,,,Iglinskiy Maxim,48,Astana,0:48 0:48,+0:48,,,0,2007
27,118,49,+0:48,,,Popovych Yaroslav,49,Discovery Channel,",, 0:48",+0:48,,,0,2007
23,168,50,+0:48,,,L\xf6fkvist Thomas,50,Fran\xe7aise des Jeux,",, 0:48",+0:48,,,0,2007
25,127,51,+0:48,,,Sprick Matthieu,51,Bouygues Telecom,",, 0:48",+0:48,,,0,2007
29,27,52,+0:48,,,Kirchen Kim,52,T-Mobile Team,",, 0:48",+0:48,,,0,2007
35,38,53,+0:48,,,Voigt Jens,53,CSC ProTeam,",, 0:48",+0:48,,,0,2007
25,77,54,+0:48,,,Perez Ruben,54,Euskaltel - Euskadi,",, 0:48",+0:48,,,0,2007
36,61,55,+0:49,,,Moreau Christophe,55,AG2R Pr\xe9voyance,0:49 0:49,+0:49,,,0,2007
34,137,56,+0:49,,,Jalabert Nicolas,56,Agritubel,",, 0:49",+0:49,,,0,2007
27,145,57,+0:49,,,Nuyens Nick,57,Cofidis,",, 0:49",+0:49,,,0,2007
31,174,58,+0:49,,,Garate Juan Manuel,58,Quickstep - Innergetic,",, 0:49",+0:49,,,0,2007
37,181,59,+0:50,,,Zabel Erik,59,Milram,0:50 0:50,+0:50,,,0,2007
24,96,60,+0:50,,,Krauss Sven,60,Gerolsteiner,",, 0:50",+0:50,,,0,2007
30,216,61,+0:51,,,Hunter Robert,61,Barloworld,0:51 0:51,+0:51,,,0,2007
28,161,62,+0:51,,,Casar Sandy,62,Fran\xe7aise des Jeux,",, 0:51",+0:51,,,0,2007
29,45,63,+0:51,,,Hoste Leif,63,Predictor - Lotto,",, 0:51",+0:51,,,0,2007
33,84,64,+0:51,,,Bruseghin Marzio,64,Lampre-Fondital,",, 0:51",+0:51,,,0,2007
28,129,65,+0:52,,,Voeckler Thomas,65,Bouygues Telecom,0:52 0:52,+0:52,,,0,2007
28,16,66,+0:52,,,Perez Francisco,66,Caisse d'Epargne,",, 0:52",+0:52,,,0,2007
26,48,67,+0:52,,,Vansummeren Johan,67,Predictor - Lotto,",, 0:52",+0:52,,,0,2007
22,23,68,+0:52,,,Cavendish Mark,68,T-Mobile Team,",, 0:52",+0:52,,,0,2007
32,26,69,+0:53,,,Grabsch Bert,69,T-Mobile Team,0:53 0:53,+0:53,,,0,2007
35,44,70,+0:53,,,Horner Chris,70,Predictor - Lotto,",, 0:53",+0:53,,,0,2007
28,116,71,+0:53,,,Noval Benjamin,71,Discovery Channel,",, 0:53",+0:53,,,0,2007
36,179,72,+0:53,,,Vasseur C\xe9dric,72,Quickstep - Innergetic,",, 0:53",+0:53,,,0,2007
28,65,73,+0:53,,,Elmiger Martin,73,AG2R Pr\xe9voyance,",, 0:53",+0:53,,,0,2007
31,37,74,+0:53,,,Vande Velde Christian,74,CSC ProTeam,",, 0:53",+0:53,,,0,2007
27,98,75,+0:53,,,Wegmann Fabian,75,Gerolsteiner,",, 0:53",+0:53,,,0,2007
32,53,76,+0:54,,,de Groot Bram,76,Rabobank ProTeam,0:54 0:54,+0:54,,,0,2007
29,139,77,+0:54,,,Vogondy Nicolas,77,Agritubel,",, 0:54",+0:54,,,0,2007
26,29,78,+0:54,,,Sinkewitz Patrik,78,T-Mobile Team,",, 0:54",+0:54,,,0,2007
28,79,79,+0:54,,,Verdugo Gorka,79,Euskaltel - Euskadi,",, 0:54",+0:54,,,0,2007
30,88,80,+0:54,,,Valjavec Tadej,80,Lampre-Fondital,",, 0:54",+0:54,,,0,2007
34,28,81,+0:54,,,Merckx Axel,81,T-Mobile Team,",, 0:54",+0:54,,,0,2007
32,194,82,+0:55,,,Ivanov Serguei,82,Astana,0:55 0:55,+0:55,,,0,2007
27,159,83,+0:55,,,Willems Frederik,83,Liquigas,",, 0:55",+0:55,,,0,2007
26,24,84,+0:55,,,Eisel Bernhard,84,T-Mobile Team,",, 0:55",+0:55,,,0,2007
33,107,85,+0:55,,,Halgand Patrice,85,Cr\xe9dit Agricole,",, 0:55",+0:55,,,0,2007
27,81,86,+0:55,,,Ballan Alessandro,86,Lampre-Fondital,",, 0:55",+0:55,,,0,2007
31,56,87,+0:55,,,Freire Oscar,87,Rabobank ProTeam,",, 0:55",+0:55,,,0,2007
34,13,88,+0:55,,,Garcia Jose Vicente,88,Caisse d'Epargne,",, 0:55",+0:55,,,0,2007
28,202,89,+0:55,,,Cama\xf1o Iker,89,Saunier Duval,",, 0:55",+0:55,,,0,2007
29,158,90,+0:56,,,Wegelius Charles,90,Liquigas,0:56 0:56,+0:56,,,0,2007
32,31,91,+0:56,,,Sastre Carlos,91,CSC ProTeam,",, 0:56",+0:56,,,0,2007
26,152,92,+0:56,,,Albasini Michael,92,Liquigas,",, 0:56",+0:56,,,0,2007
33,178,93,+0:56,,,Tosatto Matteo,93,Quickstep - Innergetic,",, 0:56",+0:56,,,0,2007
27,36,94,+0:57,,,Schleck Fr\xe4nk,94,CSC ProTeam,0:57 0:57,+0:57,,,0,2007
30,71,95,+0:57,,,Zubeldia Haimar,95,Euskaltel - Euskadi,",, 0:57",+0:57,,,0,2007
32,43,96,+0:57,,,Cioni Dario,96,Predictor - Lotto,",, 0:57",+0:57,,,0,2007
27,123,97,+0:57,,,Florencio Xavier,97,Bouygues Telecom,",, 0:57",+0:57,,,0,2007
23,197,98,+0:57,,,Navarro Daniel,98,Astana,",, 0:57",+0:57,,,0,2007
25,128,99,+0:58,,,Tschopp Johann,99,Bouygues Telecom,0:58 0:58,+0:58,,,0,2007
29,55,100,+0:58,,,Flecha Juan Antonio,100,Rabobank ProTeam,",, 0:58",+0:58,,,0,2007
28,177,101,+0:58,,,Tankink Bram,101,Quickstep - Innergetic,",, 0:58",+0:58,,,0,2007
28,155,102,+0:58,,,Fischer Murilo Antonio,102,Liquigas,",, 0:58",+0:58,,,0,2007
32,32,103,+0:58,,,Arvesen Kurt-Asle,103,CSC ProTeam,",, 0:58",+0:58,,,0,2007
31,146,104,+1:00,,,Parra Ivan Ramiro,104,Cofidis,1:00 1:00,+1:00,,,0,2007
26,133,105,+1:00,,,Duenas Moises,105,Agritubel,",, 1:00",+1:00,,,0,2007
26,185,106,+1:00,,,Knees Christian,106,Milram,",, 1:00",+1:00,,,0,2007
23,94,107,+1:00,,,Haussler Heinrich,107,Gerolsteiner,",, 1:00",+1:00,,,0,2007
29,207,108,+1:00,,,Mayo Iban,108,Saunier Duval,",, 1:00",+1:00,,,0,2007
