BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -7:13,,1,Sky Procycling,22:13 22:13,,0,2012
,,+ -7:13,,2,RadioShack - Nissan,0:04 0:04,,0,2012
,,+ -7:13,,3,BMC Racing Team,0:06 0:06,,0,2012
,,+ -7:13,,4,Omega Pharma - Quick-Step,0:13 0:13,,0,2012
,,+ -7:13,,5,Orica GreenEDGE,0:19 0:19,,0,2012
,,+ -7:13,,6,Garmin Sharp,0:23 0:23,,0,2012
,,+ -7:13,,7,Argos - Shimano,0:26 0:26,,0,2012
,,+ -7:13,,8,Astana Pro Team,0:29 0:29,,0,2012
,,+ -7:13,,9,Liquigas - Cannondale,0:30 0:30,,0,2012
,,+ -7:13,,10,FDJ - BigMat,0:33 0:33,,0,2012
,,+ -7:13,,11,Vacansoleil - DCM,",, 0:33",,0,2012
,,+ -7:13,,12,Team Saxo Bank - Tinkoff Bank,0:34 0:34,,0,2012
,,+ -7:13,,13,Movistar Team,0:37 0:37,,0,2012
,,+ -7:13,,14,Lotto Belisol Team,",, 0:37",,0,2012
,,+ -7:13,,15,Rabobank Cycling Team,0:38 0:38,,0,2012
,,+ -7:13,,16,Team Katusha,",, 0:38",,0,2012
,,+ -7:13,,17,AG2R La Mondiale,0:42 0:42,,0,2012
,,+ -7:13,,18,Saur - Sojasun,0:52 0:52,,0,2012
,,+ -7:13,,19,Euskaltel - Euskadi,0:57 0:57,,0,2012
,,+ -7:13,,20,Cofidis Le Credit en Ligne,0:58 0:58,,0,2012
,,+ -7:13,,21,Lampre - ISD,1:07 1:07,,0,2012
,,+ -7:13,,22,Team Europcar,1:13 1:13,,0,2012
,,+ -5:05:32,1.0,1,Sky Procycling,15:17:10 15:17:10,-,1,2012
,,+ -5:05:32,2.0,2,RadioShack - Nissan,0:04 0:04,-,1,2012
,,+ -5:05:32,3.0,3,BMC Racing Team,0:06 0:06,-,1,2012
,,+ -5:05:32,4.0,4,Omega Pharma - Quick-Step,0:13 0:13,-,1,2012
,,+ -5:05:32,6.0,5,Garmin Sharp,0:23 0:23,\u25b21,1,2012
,,+ -5:05:32,9.0,6,Liquigas - Cannondale,0:30 0:30,\u25b23,1,2012
,,+ -5:05:32,5.0,7,Orica GreenEDGE,0:33 0:33,\u25bc2,1,2012
,,+ -5:05:32,16.0,8,Team Katusha,0:38 0:38,\u25b28,1,2012
,,+ -5:05:32,17.0,9,AG2R La Mondiale,0:42 0:42,\u25b28,1,2012
,,+ -5:05:32,11.0,10,Vacansoleil - DCM,0:50 0:50,\u25b21,1,2012
,,+ -5:05:32,8.0,11,Astana Pro Team,0:52 0:52,\u25bc3,1,2012
,,+ -5:05:32,15.0,12,Rabobank Cycling Team,1:01 1:01,\u25b23,1,2012
,,+ -5:05:32,10.0,13,FDJ - BigMat,1:13 1:13,\u25bc3,1,2012
,,+ -5:05:32,13.0,14,Movistar Team,1:17 1:17,\u25bc1,1,2012
,,+ -5:05:32,22.0,15,Team Europcar,1:36 1:36,\u25b27,1,2012
,,+ -5:05:32,19.0,16,Euskaltel - Euskadi,1:51 1:51,\u25b23,1,2012
,,+ -5:05:32,20.0,17,Cofidis Le Credit en Ligne,2:23 2:23,\u25b23,1,2012
,,+ -5:05:32,7.0,18,Argos - Shimano,2:27 2:27,\u25bc11,1,2012
,,+ -5:05:32,21.0,19,Lampre - ISD,2:47 2:47,\u25b22,1,2012
,,+ -5:05:32,12.0,20,Team Saxo Bank - Tinkoff Bank,3:27 3:27,\u25bc8,1,2012
,,+ -5:05:32,14.0,21,Lotto Belisol Team,3:38 3:38,\u25bc7,1,2012
,,+ -5:05:32,18.0,22,Saur - Sojasun,4:38 4:38,\u25bc4,1,2012
,,+ - 10:02:31,1.0,1,Sky Procycling,30:08:07 30:08:07,-,2,2012
,,+ - 10:02:31,2.0,2,RadioShack - Nissan,0:04 0:04,-,2,2012
,,+ - 10:02:31,3.0,3,BMC Racing Team,0:06 0:06,-,2,2012
,,+ - 10:02:31,4.0,4,Omega Pharma - Quick-Step,0:13 0:13,-,2,2012
,,+ - 10:02:31,5.0,5,Garmin Sharp,0:23 0:23,-,2,2012
