Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
1,,-,67,Stuyven Jasper,24,Trek - Segafredo,4.0,2016,2
2,1.0,\u25bc1,139,Voss Paul,30,Bora - Argon 18,2.0,2016,2
3,,-,212,Breen Vegard,26,Fortuneo - Vital Concept,1.0,2016,2
4,,-,36,Kreuziger Roman,30,Tinkoff,1.0,2016,2
1,1.0,-,67,Stuyven Jasper,24,Trek - Segafredo,4.0,2016,3
2,2.0,-,139,Voss Paul,30,Bora - Argon 18,2.0,2016,3
3,,-,215,Fonseca Armindo,27,Fortuneo - Vital Concept,1.0,2016,3
4,3.0,\u25bc1,212,Breen Vegard,26,Fortuneo - Vital Concept,1.0,2016,3
5,4.0,\u25bc1,36,Kreuziger Roman,30,Tinkoff,1.0,2016,3
1,1.0,-,67,Stuyven Jasper,24,Trek - Segafredo,4.0,2016,4
2,2.0,-,139,Voss Paul,30,Bora - Argon 18,2.0,2016,4
3,3.0,-,215,Fonseca Armindo,27,Fortuneo - Vital Concept,1.0,2016,4
4,,-,63,Irizar Markel,36,Trek - Segafredo,1.0,2016,4
5,4.0,\u25bc1,212,Breen Vegard,26,Fortuneo - Vital Concept,1.0,2016,4
6,5.0,\u25bc1,36,Kreuziger Roman,30,Tinkoff,1.0,2016,4
1,,-,163,De Gendt Thomas,29,Lotto Soudal,13.0,2016,5
2,,-,98,Van Avermaet Greg,31,BMC Racing Team,11.0,2016,5
3,1.0,\u25bc2,67,Stuyven Jasper,24,Trek - Segafredo,5.0,2016,5
4,,-,24,Grivko Andrei,32,Astana Pro Team,5.0,2016,5
5,2.0,\u25bc3,139,Voss Paul,30,Bora - Argon 18,2.0,2016,5
6,,-,37,Majka Rafa\u0142,26,Tinkoff,2.0,2016,5
7,3.0,\u25bc4,215,Fonseca Armindo,27,Fortuneo - Vital Concept,1.0,2016,5
8,5.0,\u25bc3,212,Breen Vegard,26,Fortuneo - Vital Concept,1.0,2016,5
9,4.0,\u25bc5,63,Irizar Markel,36,Trek - Segafredo,1.0,2016,5
10,6.0,\u25bc4,36,Kreuziger Roman,30,Tinkoff,1.0,2016,5
1,1.0,-,163,De Gendt Thomas,29,Lotto Soudal,13.0,2016,6
2,2.0,-,98,Van Avermaet Greg,31,BMC Racing Team,11.0,2016,6
3,3.0,-,67,Stuyven Jasper,24,Trek - Segafredo,5.0,2016,6
4,4.0,-,24,Grivko Andrei,32,Astana Pro Team,5.0,2016,6
5,,-,133,B\xe1rta Jan,31,Bora - Argon 18,4.0,2016,6
6,,-,152,Arashiro Yukiya,31,Lampre - Merida,3.0,2016,6
7,5.0,\u25bc2,139,Voss Paul,30,Bora - Argon 18,2.0,2016,6
8,6.0,\u25bc2,37,Majka Rafa\u0142,26,Tinkoff,2.0,2016,6
9,7.0,\u25bc2,215,Fonseca Armindo,27,Fortuneo - Vital Concept,1.0,2016,6
10,9.0,\u25bc1,63,Irizar Markel,36,Trek - Segafredo,1.0,2016,6
11,8.0,\u25bc3,212,Breen Vegard,26,Fortuneo - Vital Concept,1.0,2016,6
12,10.0,\u25bc2,36,Kreuziger Roman,30,Tinkoff,1.0,2016,6
1,1.0,-,163,De Gendt Thomas,29,Lotto Soudal,13.0,2016,7
2,2.0,-,98,Van Avermaet Greg,31,BMC Racing Team,13.0,2016,7
3,,-,104,Cummings Stephen,35,Team Dimension Data,10.0,2016,7
4,,-,191,Navarro Daniel,32,"Cofidis, Solutions Cr\xe9dits",8.0,2016,7
5,,-,205,Impey Daryl,31,ORICA-BikeExchange,6.0,2016,7
