Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
28,,31,1,+0:00,100.0,Valverde Alejandro,1,Caisse d'Epargne,4:36:07 4:36:07,1,2008
26,,165,2,+0:01,70.0,Gilbert Philippe,2,Fran\xe7aise des Jeux,0:01 0:01,1,2008
28,,145,3,+0:01,50.0,Pineau J\xe9rome,3,Bouygues Telecom,",, 0:01",1,2008
30,,41,4,+0:01,40.0,Kirchen Kim,4,Team Columbia,",, 0:01",1,2008
24,,171,5*,+0:01,,Ricco Riccardo,5*,Scott - American Beef,",, 0:01",1,2008
31,,1,5,+0:01,32.0,Evans Cadel,5,Silence - Lotto,",, 0:01",1,2008
28,,17,6,+0:01,26.0,Schleck Fr\xe4nk,6,CSC ProTeam,",, 0:01",1,2008
26,,61,7,+0:01,22.0,Pozzato Filippo,7,Liquigas,",, 0:01",1,2008
32,,133,8,+0:01,18.0,Freire Oscar,8,Rabobank ProTeam,",, 0:01",1,2008
30,,37,9,+0:01,14.0,Pereiro Oscar,9,Caisse d'Epargne,",, 0:01",1,2008
31,,198,10,+0:01,10.0,Millar David,10,Team Garmin - Chipotle,",, 0:01",1,2008
27,,173,11,+0:01,8.0,Cobo Juan Jose,11,Scott - American Beef,",, 0:01",1,2008
29,,93,12,+0:01,6.0,Carrara Matteo,12,Quickstep - Innergetic,",, 0:01",1,2008
33,,11,13,+0:07,4.0,Sastre Carlos,13,CSC ProTeam,0:07 0:07,1,2008
30,,81,14,+0:07,2.0,Hushovd Thor,14,Cr\xe9dit Agricole,",, 0:07",1,2008
27,,13,15,+0:07,1.0,Cancellara Fabian,15,CSC ProTeam,",, 0:07",1,2008
23,,16,16,+0:07,,Schleck Andy,16,CSC ProTeam,",, 0:07",1,2008
32,,191,17,+0:07,,Vande Velde Christian,17,Team Garmin - Chipotle,",, 0:07",1,2008
30,,27,18,+0:07,,S\xe1nchez Samuel,18,Euskaltel - Euskadi,",, 0:07",1,2008
26,,111,19,+0:07,,Schumacher Stefan,19,Gerolsteiner,",, 0:07",1,2008
26,,71,20,+0:07,,Cunego Damiano,20,Lampre,",, 0:07",1,2008
37,,151,21,+0:07,,Zabel Erik,21,Milram,",, 0:07",1,2008
27,,92,22,+0:07,,Barredo Carlos,23*,Quickstep - Innergetic,",, 0:07",1,2008
28,,22,23,+0:07,,Astarloza Mikel,22,Euskaltel - Euskadi,",, 0:07",1,2008
37,,62,24,+0:07,,Beltran Manuel,23,Liquigas,",, 0:07",1,2008
30,,131,25,+0:07,,Menchov Denis,24,Rabobank ProTeam,",, 0:07",1,2008
27,,153,26,+0:07,,Knees Christian,25,Milram,",, 0:07",1,2008
