Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
25,141.0,9.0,,van Garderen Tejay,29,BMC Racing Team,-,2,2014
31,174.0,9.0,,Lemoine Cyril,30,"Cofidis, Solutions Cr\xe9dits",-,2,2014
28,209.0,8.0,17.0,Voss Paul,31,Team NetApp \u2013 Endura,\u25bc14,2,2014
23,82.0,7.0,,Bardet Romain,32,AG2R La Mondiale,-,2,2014
25,59.0,7.0,22.0,Viviani Elia,33,Cannondale,\u25bc11,2,2014
40,76.0,7.0,19.0,Petacchi Alessandro,34,Omega Pharma - Quick-Step,\u25bc15,2,2014
31,131.0,6.0,,Van den Broeck Jurgen,35,Lotto Belisol,-,2,2014
29,52.0,6.0,21.0,Bodnar Maciej,36,Cannondale,\u25bc15,2,2014
29,42.0,5.0,,Fuglsang Jakob,37,Astana Pro Team,-,2,2014
29,58.0,5.0,24.0,Sabatini Fabio,38,Cannondale,\u25bc14,2,2014
31,31.0,4.0,,Contador Alberto,39,Tinkoff - Saxo,-,2,2014
35,193.0,4.0,23.0,Elmiger Martin,40,IAM Cycling,\u25bc17,2,2014
27,111.0,3.0,,Costa Rui,41,Lampre - Merida,-,2,2014
29,138.0,3.0,25.0,Roelandts Jurgen,42,Lotto Belisol,\u25bc17,2,2014
28,25.0,3.0,,Porsev Alexander,43,Team Katusha,-,2,2014
37,169.0,2.0,,Zubeldia Haimar,44,Trek Factory Racing,-,2,2014
33,84.0,2.0,26.0,Dumoulin Samuel,45,AG2R La Mondiale,\u25bc19,2,2014
37,137.0,2.0,27.0,Henderson Gregory,46,Lotto Belisol,\u25bc19,2,2014
34,132.0,1.0,28.0,Bak Lars Ytting,47,Lotto Belisol,\u25bc19,2,2014
24,51.0,117.0,1.0,Sagan Peter,1,Cannondale,-,3,2014
26,101.0,90.0,3.0,Kittel Marcel,2,Team Giant - Shimano,\u25b21,3,2014
22,153.0,88.0,2.0,Coquard Bryan,3,Team Europcar,\u25bc1,3,2014
27,23.0,47.0,8.0,Kristoff Alexander,4,Team Katusha,\u25b24,3,2014
29,148.0,40.0,4.0,Van Avermaet Greg,5,BMC Racing Team,\u25bc1,3,2014
26,97.0,38.0,6.0,Navardauskas Ramunas,6,Garmin Sharp,-,3,2014
29,41.0,30.0,5.0,Nibali Vincenzo,7,Astana Pro Team,\u25bc2,3,2014
29,18.0,30.0,21.0,Rojas Jos\xe9 Joaqu\xedn,8,Movistar Team,\u25b213,3,2014
31,77.0,30.0,,Renshaw Mark,9,Omega Pharma - Quick-Step,-,3,2014
33,182.0,29.0,7.0,Albasini Michael,10,Orica GreenEDGE,\u25bc3,3,2014
24,74.0,22.0,9.0,Kwiatkowski Michal,11,Omega Pharma - Quick-Step,\u25bc2,3,2014
34,38.0,22.0,10.0,Rogers Michael,12,Tinkoff - Saxo,\u25bc2,3,2014
30,212.0,20.0,,Bideau Jean Marc,13,Bretagne - S\xe9ch\xe9 Environnement,-,3,2014
27,86.0,20.0,11.0,Kadri Blel,14,AG2R La Mondiale,\u25bc3,3,2014
42,168.0,20.0,12.0,Voigt Jens,15,Trek Factory Racing,\u25bc3,3,2014
29,1.0,20.0,13.0,Froome Christopher,16,Team Sky,\u25bc3,3,2014
20,167.0,20.0,,van Poppel Danny,17,Trek Factory Racing,-,3,2014
30,194.0,18.0,,Haussler Heinrich,18,IAM Cycling,-,3,2014
26,158.0,18.0,24.0,R\xe9za K\xe9vin,19,Team Europcar,\u25b25,3,2014
25,59.0,18.0,33.0,Viviani Elia,20,Cannondale,\u25b213,3,2014
26,134.0,17.0,14.0,Gallopin Tony,21,Lotto Belisol,\u25bc7,3,2014
29,202.0,17.0,,B\xe1rta Jan,22,Team NetApp \u2013 Endura,-,3,2014
