Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
30,156,60,+ 75:13:36,,59,Pascual Javier,41,Kelme - Costa Blanca,69:24:19 69:24:19,+4:02,\u25b218,16,2001
28,8,42,+ 74:51:30,,41,Rubiera Jos\xe9 Luis,42,US Postal Service,",, 69:24:19",+26:08,\u25bc1,16,2001
32,35,43,+ 74:52:02,,43,Garc\xeda Felix Manuel,43,Festina,69:24:51 69:24:51,+26:08,-,16,2001
30,201,44,+ 74:55:10,,61,Heulot Stephane,44,BigMat - Auber 93,69:27:59 69:27:59,+3:44,\u25b217,16,2001
25,79,45,+ 74:58:27,,45,Trentin Guido,45,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",69:31:16 69:31:16,+26:08,-,16,2001
26,77,46,+ 74:58:57,,46,Moncouti\xe9 David,46,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",69:31:46 69:31:46,+26:08,-,16,2001
28,147,47,+ 74:59:46,,47,Roux Laurent,47,Jean Delatour,69:32:35 69:32:35,+26:08,-,16,2001
34,12,48,+ 75:01:01,,48,Bolts Udo,48,Team Telekom,69:33:50 69:33:50,+26:08,-,16,2001
26,138,49,+ 75:01:34,,66,S\xf8rensen Nicki,49,CSC ProTeam - Tiscali,69:34:23 69:34:23,+1:51,\u25b217,16,2001
23,96,50,+ 75:02:38,,49,Menchov Denis,50,Ibanesto.com,69:35:27 69:35:27,+26:08,\u25bc1,16,2001
31,143,51,+ 75:03:20,,50,Bouvard Gilles,51,Jean Delatour,69:36:09 69:36:09,+25:45,\u25bc1,16,2001
27,145,52,+ 75:04:27,,51,Halgand Patrice,52,Jean Delatour,69:37:16 69:37:16,+25:45,\u25bc1,16,2001
29,109,53,+ 75:04:47,,71,Voigt Jens,53,Cr\xe9dit Agricole,69:37:36 69:37:36,+-1:38,\u25b218,16,2001
25,177,54,+ 75:06:16,,53,Pinotti Marco,54,Lampre - Daikin,69:39:05 69:39:05,+26:08,\u25bc1,16,2001
27,107,55,+ 75:07:34,,55,O'Grady Stuart,55,Cr\xe9dit Agricole,69:40:23 69:40:23,+25:45,-,16,2001
31,168,56,+ 75:07:35,,54,Robin Jean-Cyril,56,Bonjour,69:40:24 69:40:24,+26:08,\u25bc2,16,2001
28,81,57,+ 75:09:21,,56,Nardello Daniele,57,Mapei - Quickstep,69:42:10 69:42:10,+26:08,\u25bc1,16,2001
25,57,58,+ 75:10:50,,57,Niermann Grischa,58,Rabobank ProTeam,69:43:39 69:43:39,+26:44,\u25bc1,16,2001
27,49,59,+ 75:12:36,,58,Tosatto Matteo,59,Fassa Bortolo,69:45:25 69:45:25,+26:08,\u25bc1,16,2001
30,156,60,+ 75:13:36,,59,Pascual Javier,60,Kelme - Costa Blanca,69:46:25 69:46:25,+26:08,\u25bc1,16,2001
27,66,61,+ 75:14:10,,60,Mikhailov Guennady,61,Lotto - Adecco,69:46:59 69:46:59,+26:08,\u25bc1,16,2001
28,152,62,+ 75:21:53,,62,Rafael Cardenas F\xe9lix,62,Kelme - Costa Blanca,69:54:42 69:54:42,+26:05,-,16,2001
32,73,63,+ 75:23:49,,63,Cuesta \xcd\xf1igo,63,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",69:56:38 69:56:38,+26:08,-,16,2001
26,27,64,+ 75:25:07,,64,Pradera Mikel,64,O.N.C.E. - Eroski,69:57:56 69:57:56,+26:08,-,16,2001
22,25,65,+ 75:25:39,,65,Guti\xe9rrez Jos\xe9 Iv\xe1n,65,O.N.C.E. - Eroski,69:58:28 69:58:28,+26:08,-,16,2001
27,188,66,+ 75:26:59,,67,Schnider Daniel,66,La Fran\xe7aise des Jeux,69:59:48 69:59:48,+26:08,\u25b21,16,2001
28,199,67,+ 75:29:51,,68,Wadecki Piotr,67,Domo - Farm Frites,70:02:40 70:02:40,+26:08,\u25b21,16,2001
33,75,68,+ 75:30:42,,69,Lelli Massimiliano,68,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",70:03:31 70:03:31,+26:08,\u25b21,16,2001
27,83,69,+ 75:31:13,,70,Bettini Paolo,69,Mapei - Quickstep,70:04:02 70:04:02,+26:08,\u25b21,16,2001
22,164,70,+ 75:31:29,,72,Chavanel Sylvain,70,Bonjour,70:04:18 70:04:18,+26:08,\u25b22,16,2001
27,163,71,+ 75:32:12,,73,Bouyer Franck,71,Bonjour,70:05:01 70:05:01,+26:08,\u25b22,16,2001
24,119,72,+ 75:33:05,,74,Zubeldia Haimar,72,Euskaltel - Euskadi,70:05:54 70:05:54,+26:08,\u25b22,16,2001
28,58,73,+ 75:33:55,,76,Verheyen Geert,73,Rabobank ProTeam,70:06:44 70:06:44,+26:08,\u25b23,16,2001
28,5,74,+ 75:34:14,,75,Hincapie George,74,US Postal Service,70:07:03 70:07:03,+26:37,\u25b21,16,2001
29,118,75,+ 75:34:17,,78,Lopez De Munain Alberto,75,Euskaltel - Euskadi,70:07:06 70:07:06,+26:08,\u25b23,16,2001
32,55,76,+ 75:34:43,,77,den Bakker Maarten,76,Rabobank ProTeam,70:07:32 70:07:32,+26:44,\u25b21,16,2001
26,129,77,+ 75:35:12,,79,Turpin Ludovic,77,AG2R Pr\xe9voyance,70:08:01 70:08:01,+26:08,\u25b22,16,2001
30,97,78,+ 75:35:23,,80,Odriozola Jon,78,Ibanesto.com,70:08:12 70:08:12,+26:08,\u25b22,16,2001
27,158,79,+ 75:39:24,,82,Tauler Toni,79,Kelme - Costa Blanca,70:12:13 70:12:13,+26:08,\u25b23,16,2001
33,42,80,+ 75:40:57,,83,Baldato Fabio,80,Fassa Bortolo,70:13:46 70:13:46,+26:08,\u25b23,16,2001
28,39,81,+ 75:41:51,,85,Teutenberg Sven,81,Festina,70:14:40 70:14:40,+26:08,\u25b24,16,2001
27,7,82,+ 75:42:02,,84,Pe\xf1a Victor Hugo,82,US Postal Service,70:14:51 70:14:51,+26:37,\u25b22,16,2001
25,186,83,+ 75:45:20,,110,McGee Bradley,83,La Fran\xe7aise des Jeux,70:18:09 70:18:09,+-1:47,\u25b227,16,2001
35,3,84,+ 75:46:34,,87,Ekimov Viatcheslav,84,US Postal Service,70:19:23 70:19:23,+26:05,\u25b23,16,2001
31,159,85,+ 75:49:32,,88,Vidal Jos\xe9 Angel,85,Kelme - Costa Blanca,70:22:21 70:22:21,+26:08,\u25b23,16,2001
34,36,86,+ 75:50:42,,89,Lino Pascal,86,Festina,70:23:31 70:23:31,+26:37,\u25b23,16,2001
31,63,87,+ 75:51:46,,90,Baguet Serge,87,Lotto - Adecco,70:24:35 70:24:35,+26:08,\u25b23,16,2001
23,189,88,+ 75:54:46,,91,Vogondy Nicolas,88,La Fran\xe7aise des Jeux,70:27:35 70:27:35,+26:08,\u25b23,16,2001
28,132,89,+ 75:55:07,,92,Blaudzun Michael,89,CSC ProTeam - Tiscali,70:27:56 70:27:56,+26:08,\u25b23,16,2001
28,115,90,+ 75:56:42,,93,Etxebarria Unai,90,Euskaltel - Euskadi,70:29:31 70:29:31,+26:08,\u25b23,16,2001
30,193,91,+ 75:57:05,,94,Knaven Servais,91,Domo - Farm Frites,70:29:54 70:29:54,+26:08,\u25b23,16,2001
27,47,92,+ 75:58:23,,95,Petacchi Alessandro,92,Fassa Bortolo,70:31:12 70:31:12,+25:45,\u25b23,16,2001
27,56,93,+ 75:58:58,,96,Lotz Marc,93,Rabobank ProTeam,70:31:47 70:31:47,+26:08,\u25b23,16,2001
30,54,94,+ 75:59:13,,97,Dekker Erik,94,Rabobank ProTeam,70:32:02 70:32:02,+26:08,\u25b23,16,2001
29,68,95,+ 76:00:04,,98,Van Hyfte Paul,95,Lotto - Adecco,70:32:53 70:32:53,+25:58,\u25b23,16,2001
32,187,96,+ 76:00:21,,99,Mengin Christophe,96,La Fran\xe7aise des Jeux,70:33:10 70:33:10,+26:08,\u25b23,16,2001
29,46,97,+ 76:01:58,,100,Loda Nicola,97,Fassa Bortolo,70:34:47 70:34:47,+26:08,\u25b23,16,2001
30,4,98,+ 76:02:29,,101,Hamilton Tyler,98,US Postal Service,70:35:18 70:35:18,+26:08,\u25b23,16,2001
28,6,99,+ 76:05:07,,103,Kjaergaard Steffen,99,US Postal Service,70:37:56 70:37:56,+27:17,\u25b24,16,2001
32,148,100,+ 76:05:31,,122,Seigneur Eddy,100,Jean Delatour,70:38:20 70:38:20,+6:37,\u25b222,16,2001
25,32,101,+ 76:06:42,,104,Brard Florent,101,Festina,70:39:31 70:39:31,+26:08,\u25b23,16,2001
31,23,102,+ 76:06:43,,105,Gonzalez Alvaro,102,O.N.C.E. - Eroski,70:39:32 70:39:32,+26:08,\u25b23,16,2001
30,76,103,+ 76:06:59,,106,Mattan Nico,103,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",70:39:48 70:39:48,+26:08,\u25b23,16,2001
31,19,104,+ 76:08:08,,108,Zabel Erik,104,Team Telekom,70:40:57 70:40:57,+25:45,\u25b24,16,2001
25,95,105,+ 76:08:30,,107,Jim\xe9nez Eladio,105,Ibanesto.com,70:41:19 70:41:19,+26:08,\u25b22,16,2001
29,112,106,+ 76:09:25,,109,Castresana Angel,106,Euskaltel - Euskadi,70:42:14 70:42:14,+26:08,\u25b23,16,2001
29,142,107,+ 76:12:04,,111,Bernard J\xe9r\xf4me,107,Jean Delatour,70:44:53 70:44:53,+26:08,\u25b24,16,2001
29,208,108,+ 76:13:44,,112,Sivakov Alexei,108,BigMat - Auber 93,70:46:33 70:46:33,+26:08,\u25b24,16,2001
27,126,109,+ 76:14:04,,113,Demarbaix Sebastien,109,AG2R Pr\xe9voyance,70:46:53 70:46:53,+26:08,\u25b24,16,2001
28,146,110,+ 76:16:07,,114,Oriol Christophe,110,Jean Delatour,70:48:56 70:48:56,+26:08,\u25b24,16,2001
27,165,111,+ 76:18:33,,115,Nazon Damien,111,Bonjour,70:51:22 70:51:22,+25:45,\u25b24,16,2001
33,34,112,+ 76:18:57,,116,Chanteur Pascal,112,Festina,70:51:46 70:51:46,+26:08,\u25b24,16,2001
27,106,113,+ 76:19:02,,117,Morin Anthony,113,Cr\xe9dit Agricole,70:51:51 70:51:51,+26:08,\u25b24,16,2001
27,61,114,+ 76:19:21,,118,Verbrugghe Rik,114,Lotto - Adecco,70:52:10 70:52:10,+26:08,\u25b24,16,2001
30,185,115,+ 76:20:38,,119,Magnien Emmanuel,115,La Fran\xe7aise des Jeux,70:53:27 70:53:27,+26:08,\u25b24,16,2001
25,172,116,+ 76:21:25,,120,Belohvosciks Raivis,116,Lampre - Daikin,70:54:14 70:54:14,+26:08,\u25b24,16,2001
28,135,117,+ 76:22:33,,121,Jalabert Nicolas,117,CSC ProTeam - Tiscali,70:55:22 70:55:22,+26:08,\u25b24,16,2001
27,167,118,+ 76:25:29,,123,Renier Franck,118,Bonjour,70:58:18 70:58:18,+26:08,\u25b25,16,2001
30,133,119,+ 76:27:03,,124,Cerezo Francisco,119,CSC ProTeam - Tiscali,70:59:52 70:59:52,+26:08,\u25b25,16,2001
30,134,120,+ 76:28:27,,126,Garcia Marcelino,120,CSC ProTeam - Tiscali,71:01:16 71:01:16,+26:08,\u25b26,16,2001
28,137,121,+ 76:28:31,,125,Piil Jakob,121,CSC ProTeam - Tiscali,71:01:20 71:01:20,+26:28,\u25b24,16,2001
29,102,122,+ 76:29:07,,127,Bessy Fr\xe9d\xe9ric,122,Cr\xe9dit Agricole,71:01:56 71:01:56,+25:45,\u25b25,16,2001
31,122,123,+ 76:31:04,,128,Agnolutto Christophe,123,AG2R Pr\xe9voyance,71:03:53 71:03:53,+26:08,\u25b25,16,2001
32,128,124,+ 76:33:08,,129,Maignan Gilles,124,AG2R Pr\xe9voyance,71:05:57 71:05:57,+26:08,\u25b25,16,2001
33,204,125,+ 76:35:48,,130,Capelle Christophe,125,BigMat - Auber 93,71:08:37 71:08:37,+26:08,\u25b25,16,2001
