Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
16,15.0,\u25bc1,104,Dekker Erik,31,Rabobank ProTeam,3.0,2002,10
17,16.0,\u25bc1,207,Goubert Stephane,32,Jean Delatour,2.0,2002,10
18,21.0,\u25b23,185,Flickinger Andy,23,AG2R Pr\xe9voyance,2.0,2002,10
19,,-,67,O'Grady Stuart,28,Cr\xe9dit Agricole,1.0,2002,10
20,,-,124,Horrillo Pedro,27,Mapei - Quickstep,1.0,2002,10
21,17.0,\u25bc4,81,Basso Ivan,24,Fassa Bortolo,1.0,2002,10
22,18.0,\u25bc4,71,Virenque Richard,32,Domo - Farm Frites,1.0,2002,10
23,19.0,\u25bc4,75,Konecny Tomas,28,Domo - Farm Frites,1.0,2002,10
24,20.0,\u25bc4,106,Kroon Karsten,26,Rabobank ProTeam,1.0,2002,10
25,22.0,\u25bc3,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,10
1,2.0,\u25b21,201,Halgand Patrice,28,Jean Delatour,57.0,2002,11
2,,-,51,Jalabert Laurent,33,CSC ProTeam - Tiscali,46.0,2002,11
3*,,-,1,Armstrong Lance,30,US Postal Service,,2002,11
4,1.0,\u25bc3,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,42.0,2002,11
5,,-,21,Beloki Joseba,28,O.N.C.E. - Eroski,36.0,2002,11
6,,-,161,Etxebarria David,28,Euskaltel - Euskadi,36.0,2002,11
7,,-,31,Sevilla Oscar,25,Kelme - Costa Blanca,30.0,2002,11
8,,-,97,McGee Bradley,26,La Fran\xe7aise des Jeux,26.0,2002,11
9,3.0,\u25bc6,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,11
10,22.0,\u25b212,71,Virenque Richard,32,Domo - Farm Frites,23.0,2002,11
11,,-,3,Heras Roberto,28,US Postal Service,22.0,2002,11
12,,-,137,Mancebo Francisco,26,Ibanesto.com,18.0,2002,11
13,4.0,\u25bc9,155,Dierckxsens Ludo,37,Lampre - Daikin,18.0,2002,11
14,21.0,\u25b27,81,Basso Ivan,24,Fassa Bortolo,17.0,2002,11
15,,-,41,Kivilev Andrei,28,Cofidis,16.0,2002,11
16,,-,8,Pe\xf1a Victor Hugo,28,US Postal Service,16.0,2002,11
17,,-,158,Rumsas Raimondas,30,Lampre - Daikin,14.0,2002,11
18,,-,61,Moreau Christophe,31,Cr\xe9dit Agricole,13.0,2002,11
19,5.0,\u25bc14,118,Renier Franck,28,Bonjour,13.0,2002,11
20,6.0,\u25bc14,152,Belohvosciks Raivis,26,Lampre - Daikin,10.0,2002,11
21,7.0,\u25bc14,66,Morin Anthony,28,Cr\xe9dit Agricole,8.0,2002,11
22,11.0,\u25bc11,208,Lefevre Laurent,26,Jean Delatour,7.0,2002,11
23,8.0,\u25bc15,91,Vogondy Nicolas,24,La Fran\xe7aise des Jeux,6.0,2002,11
24,9.0,\u25bc15,114,Chavanel Sylvain,23,Bonjour,6.0,2002,11
25,10.0,\u25bc15,78,van Bon L\xe9on,30,Domo - Farm Frites,6.0,2002,11
26,,-,115,Magnien Emmanuel,31,Bonjour,5.0,2002,11
27,12.0,\u25bc15,197,Ivanov Ruslan,28,Alessio,5.0,2002,11
28,,-,22,Azevedo Jos\xe9 Bento Carvalho,28,O.N.C.E. - Eroski,4.0,2002,11
29,,-,191,Dufaux Laurent,33,Alessio,4.0,2002,11
30,,-,43,Cuesta \xcd\xf1igo,33,Cofidis,3.0,2002,11
31,13.0,\u25bc18,72,Bruylandts Dave,26,Domo - Farm Frites,3.0,2002,11
32,14.0,\u25bc18,95,Durand Jacky,35,La Fran\xe7aise des Jeux,3.0,2002,11
33,16.0,\u25bc17,104,Dekker Erik,31,Rabobank ProTeam,3.0,2002,11
34,,-,24,Gonzalez De Galdeano Igor,28,O.N.C.E. - Eroski,2.0,2002,11
35,17.0,\u25bc18,207,Goubert Stephane,32,Jean Delatour,2.0,2002,11
36,18.0,\u25bc18,185,Flickinger Andy,23,AG2R Pr\xe9voyance,2.0,2002,11
37,,-,76,Merckx Axel,29,Domo - Farm Frites,1.0,2002,11
38,19.0,\u25bc19,67,O'Grady Stuart,28,Cr\xe9dit Agricole,1.0,2002,11
39,20.0,\u25bc19,124,Horrillo Pedro,27,Mapei - Quickstep,1.0,2002,11
40,23.0,\u25bc17,75,Konecny Tomas,28,Domo - Farm Frites,1.0,2002,11
41,24.0,\u25bc17,106,Kroon Karsten,26,Rabobank ProTeam,1.0,2002,11
42,25.0,\u25bc17,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,11
1,2,\u25b21,51,Jalabert Laurent,33,CSC ProTeam - Tiscali,142.0,2002,12
2*,3*,-,1,Armstrong Lance,30,US Postal Service,,2002,12
3,5,\u25b22,21,Beloki Joseba,28,O.N.C.E. - Eroski,66.0,2002,12
4,29,\u25b225,191,Dufaux Laurent,33,Alessio,66.0,2002,12
5,10,\u25b25,71,Virenque Richard,32,Domo - Farm Frites,59.0,2002,12
6,,-,26,Nozal Isidro,24,O.N.C.E. - Eroski,58.0,2002,12
7,11,\u25b24,3,Heras Roberto,28,US Postal Service,57.0,2002,12
8,1,\u25bc7,201,Halgand Patrice,28,Jean Delatour,57.0,2002,12
9,6,\u25bc3,161,Etxebarria David,28,Euskaltel - Euskadi,52.0,2002,12
10,7,\u25bc3,31,Sevilla Oscar,25,Kelme - Costa Blanca,50.0,2002,12
11,4,\u25bc7,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,42.0,2002,12
12,,-,188,Oriol Christophe,29,AG2R Pr\xe9voyance,40.0,2002,12
13,,-,178,Mazzoleni Eddy,28,Tacconi Sport,37.0,2002,12
14,17,\u25b23,158,Rumsas Raimondas,30,Lampre - Daikin,32.0,2002,12
15,,-,181,Botcharov Alexandre,27,AG2R Pr\xe9voyance,28.0,2002,12
16,,-,32,Botero Santiago,29,Kelme - Costa Blanca,26.0,2002,12
17,15,\u25bc2,41,Kivilev Andrei,28,Cofidis,26.0,2002,12
18,8,\u25bc10,97,McGee Bradley,26,La Fran\xe7aise des Jeux,26.0,2002,12
19,9,\u25bc10,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,12
20,34,\u25b214,24,Gonzalez De Galdeano Igor,28,O.N.C.E. - Eroski,24.0,2002,12
21,,-,57,Sastre Carlos,27,CSC ProTeam - Tiscali,24.0,2002,12
22,,-,109,Zberg Beat,31,Rabobank ProTeam,24.0,2002,12
23,,-,126,Martinez Miguel,26,Mapei - Quickstep,23.0,2002,12
24,16,\u25bc8,8,Pe\xf1a Victor Hugo,28,US Postal Service,20.0,2002,12
25,12,\u25bc13,137,Mancebo Francisco,26,Ibanesto.com,19.0,2002,12
26,13,\u25bc13,155,Dierckxsens Ludo,37,Lampre - Daikin,18.0,2002,12
27,14,\u25bc13,81,Basso Ivan,24,Fassa Bortolo,17.0,2002,12
28,37,\u25b29,76,Merckx Axel,29,Domo - Farm Frites,15.0,2002,12
29,,-,29,Serrano Marcos Antonio,29,O.N.C.E. - Eroski,14.0,2002,12
30,18,\u25bc12,61,Moreau Christophe,31,Cr\xe9dit Agricole,14.0,2002,12
31,19,\u25bc12,118,Renier Franck,28,Bonjour,13.0,2002,12
32,20,\u25bc12,152,Belohvosciks Raivis,26,Lampre - Daikin,10.0,2002,12
33,,-,5,Joachim Benoit,26,US Postal Service,8.0,2002,12
34,21,\u25bc13,66,Morin Anthony,28,Cr\xe9dit Agricole,8.0,2002,12
35,22,\u25bc13,208,Lefevre Laurent,26,Jean Delatour,7.0,2002,12
36,,-,48,Moncouti\xe9 David,27,Cofidis,6.0,2002,12
37,23,\u25bc14,91,Vogondy Nicolas,24,La Fran\xe7aise des Jeux,6.0,2002,12
38,24,\u25bc14,114,Chavanel Sylvain,23,Bonjour,6.0,2002,12
39,25,\u25bc14,78,van Bon L\xe9on,30,Domo - Farm Frites,6.0,2002,12
40,26,\u25bc14,115,Magnien Emmanuel,31,Bonjour,5.0,2002,12
41,28,\u25bc13,22,Azevedo Jos\xe9 Bento Carvalho,28,O.N.C.E. - Eroski,4.0,2002,12
42*,,-,101,Leipheimer Levi,28,Rabobank ProTeam,,2002,12
43,35,\u25bc8,207,Goubert Stephane,32,Jean Delatour,4.0,2002,12
44,,-,53,Peron Andrea,30,CSC ProTeam - Tiscali,4.0,2002,12
45,40,\u25bc5,75,Konecny Tomas,28,Domo - Farm Frites,4.0,2002,12
46,30,\u25bc16,43,Cuesta \xcd\xf1igo,33,Cofidis,3.0,2002,12
47,31,\u25bc16,72,Bruylandts Dave,26,Domo - Farm Frites,3.0,2002,12
48,33,\u25bc15,104,Dekker Erik,31,Rabobank ProTeam,3.0,2002,12
49,,-,35,Gutierrez Jose Enrique,28,Kelme - Costa Blanca,2.0,2002,12
50,,-,134,Bruseghin Marzio,28,Ibanesto.com,2.0,2002,12
51,36,\u25bc15,185,Flickinger Andy,23,AG2R Pr\xe9voyance,2.0,2002,12
52,,-,6,Landis Floyd,26,US Postal Service,1.0,2002,12
53,38,\u25bc15,67,O'Grady Stuart,28,Cr\xe9dit Agricole,1.0,2002,12
54,,-,13,Bolts Udo,35,Team Telekom,1.0,2002,12
55,39,\u25bc16,124,Horrillo Pedro,27,Mapei - Quickstep,1.0,2002,12
56,41,\u25bc15,106,Kroon Karsten,26,Rabobank ProTeam,1.0,2002,12
57,42,\u25bc15,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,12
1,1,-,51,Jalabert Laurent,33,CSC ProTeam - Tiscali,167.0,2002,13
2*,2*,-,1,Armstrong Lance,30,US Postal Service,,2002,13
3,3,-,21,Beloki Joseba,28,O.N.C.E. - Eroski,66.0,2002,13
4,4,-,191,Dufaux Laurent,33,Alessio,66.0,2002,13
5,5,-,71,Virenque Richard,32,Domo - Farm Frites,59.0,2002,13
6,6,-,26,Nozal Isidro,24,O.N.C.E. - Eroski,58.0,2002,13
7,7,-,3,Heras Roberto,28,US Postal Service,57.0,2002,13
8,8,-,201,Halgand Patrice,28,Jean Delatour,57.0,2002,13
9,13,\u25b24,178,Mazzoleni Eddy,28,Tacconi Sport,54.0,2002,13
10,9,\u25bc1,161,Etxebarria David,28,Euskaltel - Euskadi,52.0,2002,13
11,10,\u25bc1,31,Sevilla Oscar,25,Kelme - Costa Blanca,50.0,2002,13
12,11,\u25bc1,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,42.0,2002,13
13,12,\u25bc1,188,Oriol Christophe,29,AG2R Pr\xe9voyance,40.0,2002,13
14,14,-,158,Rumsas Raimondas,30,Lampre - Daikin,32.0,2002,13
15,15,-,181,Botcharov Alexandre,27,AG2R Pr\xe9voyance,28.0,2002,13
16,16,-,32,Botero Santiago,29,Kelme - Costa Blanca,26.0,2002,13
17,17,-,41,Kivilev Andrei,28,Cofidis,26.0,2002,13
18,18,-,97,McGee Bradley,26,La Fran\xe7aise des Jeux,26.0,2002,13
19,19,-,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,13
20,20,-,24,Gonzalez De Galdeano Igor,28,O.N.C.E. - Eroski,24.0,2002,13
21,21,-,57,Sastre Carlos,27,CSC ProTeam - Tiscali,24.0,2002,13
22,22,-,109,Zberg Beat,31,Rabobank ProTeam,24.0,2002,13
23,23,-,126,Martinez Miguel,26,Mapei - Quickstep,24.0,2002,13
24,24,-,8,Pe\xf1a Victor Hugo,28,US Postal Service,20.0,2002,13
25,25,-,137,Mancebo Francisco,26,Ibanesto.com,19.0,2002,13
26,26,-,155,Dierckxsens Ludo,37,Lampre - Daikin,18.0,2002,13
27,27,-,81,Basso Ivan,24,Fassa Bortolo,17.0,2002,13
28,28,-,76,Merckx Axel,29,Domo - Farm Frites,15.0,2002,13
29,29,-,29,Serrano Marcos Antonio,29,O.N.C.E. - Eroski,14.0,2002,13
30,30,-,61,Moreau Christophe,31,Cr\xe9dit Agricole,14.0,2002,13
31,31,-,118,Renier Franck,28,Bonjour,13.0,2002,13
32,,-,102,Boogerd Michael,30,Rabobank ProTeam,11.0,2002,13
33,32,\u25bc1,152,Belohvosciks Raivis,26,Lampre - Daikin,10.0,2002,13
34,33,\u25bc1,5,Joachim Benoit,26,US Postal Service,8.0,2002,13
35,34,\u25bc1,66,Morin Anthony,28,Cr\xe9dit Agricole,8.0,2002,13
36,35,\u25bc1,208,Lefevre Laurent,26,Jean Delatour,7.0,2002,13
37,36,\u25bc1,48,Moncouti\xe9 David,27,Cofidis,6.0,2002,13
38,37,\u25bc1,91,Vogondy Nicolas,24,La Fran\xe7aise des Jeux,6.0,2002,13
39,,-,47,Millar David,25,Cofidis,6.0,2002,13
40,38,\u25bc2,114,Chavanel Sylvain,23,Bonjour,6.0,2002,13
41,39,\u25bc2,78,van Bon L\xe9on,30,Domo - Farm Frites,6.0,2002,13
42,40,\u25bc2,115,Magnien Emmanuel,31,Bonjour,5.0,2002,13
43,41,\u25bc2,22,Azevedo Jos\xe9 Bento Carvalho,28,O.N.C.E. - Eroski,4.0,2002,13
44*,42*,-,101,Leipheimer Levi,28,Rabobank ProTeam,,2002,13
45,43,\u25bc2,207,Goubert Stephane,32,Jean Delatour,4.0,2002,13
46,44,\u25bc2,53,Peron Andrea,30,CSC ProTeam - Tiscali,4.0,2002,13
47,45,\u25bc2,75,Konecny Tomas,28,Domo - Farm Frites,4.0,2002,13
48,46,\u25bc2,43,Cuesta \xcd\xf1igo,33,Cofidis,3.0,2002,13
49,47,\u25bc2,72,Bruylandts Dave,26,Domo - Farm Frites,3.0,2002,13
50,48,\u25bc2,104,Dekker Erik,31,Rabobank ProTeam,3.0,2002,13
51,49,\u25bc2,35,Gutierrez Jose Enrique,28,Kelme - Costa Blanca,2.0,2002,13
52,50,\u25bc2,134,Bruseghin Marzio,28,Ibanesto.com,2.0,2002,13
53,51,\u25bc2,185,Flickinger Andy,23,AG2R Pr\xe9voyance,2.0,2002,13
54,,-,17,Julich Bobby,30,Team Telekom,1.0,2002,13
55,52,\u25bc3,6,Landis Floyd,26,US Postal Service,1.0,2002,13
56,53,\u25bc3,67,O'Grady Stuart,28,Cr\xe9dit Agricole,1.0,2002,13
57,54,\u25bc3,13,Bolts Udo,35,Team Telekom,1.0,2002,13
58,55,\u25bc3,124,Horrillo Pedro,27,Mapei - Quickstep,1.0,2002,13
59,56,\u25bc3,106,Kroon Karsten,26,Rabobank ProTeam,1.0,2002,13
60,57,\u25bc3,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,13
1,1,-,51,Jalabert Laurent,33,CSC ProTeam - Tiscali,167.0,2002,14
2*,2*,-,1,Armstrong Lance,30,US Postal Service,,2002,14
3,5,\u25b22,71,Virenque Richard,32,Domo - Farm Frites,99.0,2002,14
4,3,\u25bc1,21,Beloki Joseba,28,O.N.C.E. - Eroski,80.0,2002,14
5,4,\u25bc1,191,Dufaux Laurent,33,Alessio,66.0,2002,14
6,15,\u25b29,181,Botcharov Alexandre,27,AG2R Pr\xe9voyance,63.0,2002,14
7,7,-,3,Heras Roberto,28,US Postal Service,58.0,2002,14
8,6,\u25bc2,26,Nozal Isidro,24,O.N.C.E. - Eroski,58.0,2002,14
9,8,\u25bc1,201,Halgand Patrice,28,Jean Delatour,57.0,2002,14
10,14,\u25b24,158,Rumsas Raimondas,30,Lampre - Daikin,54.0,2002,14
11,9,\u25bc2,178,Mazzoleni Eddy,28,Tacconi Sport,54.0,2002,14
12,10,\u25bc2,161,Etxebarria David,28,Euskaltel - Euskadi,52.0,2002,14
