Rnk,Team,GC,GC-Time,Time,year,stage
1,Cantina Tollo - Alexia Alluminio,,+ - 35:22:40,106:30:04 106:30:04,1999,9
2,Saeco - Cannondale,,+ - 35:22:40,3:24 3:24,1999,9
3,Post Swiss Team,,+ - 35:22:40,3:57 3:57,1999,9
4,Rabobank ProTeam,,+ - 35:22:40,15:35 15:35,1999,9
5,Mapei - Quickstep,,+ - 35:22:40,16:09 16:09,1999,9
6,Polti,,+ - 35:22:40,19:29 19:29,1999,9
7,Team Telekom,,+ - 35:22:40,20:24 20:24,1999,9
8,Lampre - Daikin - Colnago,,+ - 35:22:40,21:38 21:38,1999,9
9,Amica Chips - Costa de Almeria,,+ - 35:22:40,29:11 29:11,1999,9
10,O.N.C.E. - Deutsche Bank,,+ - 35:22:40,36:25 36:25,1999,9
11,Vini Caldirola - Sidermec,,+ - 35:22:40,40:53 40:53,1999,9
12,Mobilvetta Design - Northwave,,+ - 35:22:40,57:43 57:43,1999,9
13,Alessio - Ballan,,+ - 35:22:40,58:48 58:48,1999,9
14,Cofidis,,+ - 35:22:40,1:34:06 1:34:06,1999,9
15,Team Ericsson-Villiger,,+ - 35:22:40,2:06:13 2:06:13,1999,9
16,La Fran\xe7aise des Jeux,,+ - 35:22:40,2:50:12 2:50:12,1999,9
17,Amore & Vita - Beretta,,+ - 35:22:40,3:24:04 3:24:04,1999,9
