Rnk,Rider,Age,Team,Pnt,year,stage
1,Albasini Michael,25,Liquigas,61,2006,9
2,Montgomery Sven,30,Gerolsteiner,40,2006,9
3,Bellotti Francesco,26,Cr\xe9dit Agricole,29,2006,9
4,Contador Alberto,23,Astana - W\xfcrth Team,23,2006,9
5,Fertonani Marco,29,Caisse d'Epargne - Illes Balears,23,2006,9
6,Moos Alexandre,33,Phonak Hearing Systems,23,2006,9
7,Gil Fernandez Koldo,28,,22,2006,9
8,Elmiger Martin,27,Phonak Hearing Systems,15,2006,9
9,Ullrich Jan,32,T-Mobile Team,15,2006,9
10,Redondo Jose Antonio,21,Astana - W\xfcrth Team,14,2006,9
11,Jaksche Jorg,29,Astana - W\xfcrth Team,13,2006,9
12,G\xf3mez Marchante Jose Angel,26,Saunier Duval - Prodir,11,2006,9
13,Gerrans Simon,26,AG2R Pr\xe9voyance,10,2006,9
14,Zampieri Steve,29,Phonak Hearing Systems,8,2006,9
15,Herrero Llorente David,26,Euskaltel - Euskadi,8,2006,9
16,van Goolen Jurgen,25,Discovery Channel,8,2006,9
17,Perez Alan,23,Euskaltel - Euskadi,7,2006,9
18,Gerdemann Linus,23,T-Mobile Team,6,2006,9
19,Ca\xf1ada David,31,Saunier Duval - Prodir,6,2006,9
20,Guerini Giuseppe,36,T-Mobile Team,6,2006,9
21,Garzelli Stefano,32,Liquigas,6,2006,9
22,Rast Gregory,26,Phonak Hearing Systems,6,2006,9
23,Perez Ruben,24,Euskaltel - Euskadi,6,2006,9
24,White Matthew,32,Discovery Channel,6,2006,9
25,Carlstr\xf6m Kjell,29,Liquigas,6,2006,9
26,Monfort Maxime,23,Cofidis,5,2006,9
27,Vicioso \xc1ngel,29,Astana - W\xfcrth Team,4,2006,9
28,Rogers Michael,26,T-Mobile Team,4,2006,9
29,Calzati Sylvain,26,AG2R Pr\xe9voyance,2,2006,9
30,Usov Alexandre,28,AG2R Pr\xe9voyance,2,2006,9
31,Evans Cadel,29,Davitamon - Lotto,1,2006,9
32,De La Fuente David,25,Saunier Duval - Prodir,1,2006,9
33,Lowe Trent,21,Discovery Channel,1,2006,9
34,Zberg Beat,35,Gerolsteiner,1,2006,9
35,de Groot Bram,31,Rabobank ProTeam,1,2006,9
