Rnk,Rider,Age,Team,Pnt,year,stage
1,McGee Bradley,29,Fran\xe7aise des Jeux,42,2005,9
2,Haselbacher Rene,27,Gerolsteiner,39,2005,9
3,Clerc Aur\xe9lien,25,Phonak Hearing Systems,35,2005,9
4,Rogers Michael,25,Quickstep - Innergetic,32,2005,9
5,Horner Chris,33,Saunier Duval - Prodir,31,2005,9
6,Colli Daniele,23,Liquigas,31,2005,9
7,Gonzalez Jimenez Aitor,30,Euskaltel - Euskadi,29,2005,9
8,Schleck Fr\xe4nk,25,CSC ProTeam,26,2005,9
9,Gerdemann Linus,22,CSC ProTeam,25,2005,9
10,Albasini Michael,24,Liquigas,25,2005,9
11,Gil Fernandez Koldo,27,,24,2005,9
12,Ullrich Jan,31,T-Mobile Team,23,2005,9
13,Rast Gregory,25,Phonak Hearing Systems,20,2005,9
14,Wegmann Fabian,24,Gerolsteiner,18,2005,9
15,Cancellara Fabian,24,Fassa Bortolo,18,2005,9
16,Valjavec Tadej,28,Phonak Hearing Systems,16,2005,9
17,Wrolich Peter,31,Gerolsteiner,16,2005,9
18,Lastras Pablo,29,Illes Balears - Caisse d'Epargne,15,2005,9
19,Gusev Vladimir,22,CSC ProTeam,15,2005,9
20,Atienza Daniel,30,Cofidis,14,2005,9
21,Sinkewitz Patrik,24,Quickstep - Innergetic,14,2005,9
22,Hinault S\xe9bastien,31,Cr\xe9dit Agricole,14,2005,9
23,Piepoli Leonardo,33,Saunier Duval - Prodir,13,2005,9
24,Kroon Karsten,29,Rabobank ProTeam,13,2005,9
25,Zberg Beat,34,Gerolsteiner,11,2005,9
26,Larsson Gustav,24,Fassa Bortolo,11,2005,9
27,Talabardon Yannick,23,Cr\xe9dit Agricole,10,2005,9
28,Elmiger Martin,26,Phonak Hearing Systems,10,2005,9
29,Totschnig Georg,34,Gerolsteiner,9,2005,9
30,Righi Daniele,29,Lampre-Caffita,9,2005,9
31,den Bakker Maarten,36,Rabobank ProTeam,9,2005,9
32,Schnider Daniel,31,Phonak Hearing Systems,8,2005,9
33,Jeker Fabian,36,Saunier Duval - Prodir,8,2005,9
34,Beneteau Walter,32,Bouygues Telecom,8,2005,9
35,Hammond Roger,31,Discovery Channel,8,2005,9
36,Loosli David,25,Lampre-Caffita,7,2005,9
37,Frigo Dario,31,Fassa Bortolo,7,2005,9
38,Voigt Jens,33,CSC ProTeam,6,2005,9
39,Mayo Iban,27,Euskaltel - Euskadi,6,2005,9
40,Moos Alexandre,32,Phonak Hearing Systems,5,2005,9
41,Julich Bobby,33,CSC ProTeam,5,2005,9
42,Pagliarini Luciano Andr\xe9,27,Liquigas,4,2005,9
43,Guerini Giuseppe,35,T-Mobile Team,1,2005,9
44,Bodrogi Laszlo,28,Cr\xe9dit Agricole,1,2005,9
