Rnk,Rider,Age,Team,Pnt,year,stage
1,Vinokourov Alexandre,29,Team Telekom,73,2003,9
2,Moos Alexandre,30,Phonak Hearing Systems,56,2003,9
3,Kirchen Kim,24,Fassa Bortolo,51,2003,9
4,Dean Julian,28,CSC ProTeam,47,2003,9
5,O'Grady Stuart,29,Cr\xe9dit Agricole,46,2003,9
6,Pereiro Oscar,25,Phonak Hearing Systems,42,2003,9
7,Cooke Baden,24,Fdjeux.com,36,2003,9
8,McGee Bradley,27,Fdjeux.com,35,2003,9
9,Zberg Markus,28,Gerolsteiner,32,2003,9
10,Yakovlev Serguei,27,Team Telekom,25,2003,9
11,Commesso Salvatore,28,Saeco,24,2003,9
12,Ullrich Jan,29,Team Bianchi,22,2003,9
13,Teutenberg Sven,30,Team Bianchi,20,2003,9
14,Cancellara Fabian,22,Fassa Bortolo,19,2003,9
15,Guerini Giuseppe,33,Team Telekom,19,2003,9
16,Montgomery Sven,27,Fassa Bortolo,17,2003,9
17,Valjavec Tadej,26,Fassa Bortolo,16,2003,9
18,Derganc Martin,26,Domina Vacanze - Elitron,16,2003,9
19,Julich Bobby,31,Team Telekom,15,2003,9
20,Schnider Daniel,29,Phonak Hearing Systems,13,2003,9
21,F\xf6rster Robert,25,Gerolsteiner,13,2003,9
22,Steinhauser Tobias,32,Team Bianchi,11,2003,9
23,Leblacher Eric,25,Cr\xe9dit Agricole,11,2003,9
24,Simeoni Filippo,31,Domina Vacanze - Elitron,10,2003,9
25,Hammond Roger,29,Palmans - Collstrop,10,2003,9
26,Z\xfclle Alex,34,Team Bianchi,9,2003,9
27,Belli Wladimir,32,Lampre,9,2003,9
28,Valoti Paolo,32,Domina Vacanze - Elitron,9,2003,9
29,Camenzind Oscar,31,Phonak Hearing Systems,8,2003,9
30,Missaglia Gabriele,32,Lampre,8,2003,9
31,Urban Malte,28,Team Bianchi,8,2003,9
32,Sosenka Ond\u0159ej,27,,7,2003,9
33,Giunti Massimo,28,Domina Vacanze - Elitron,7,2003,9
34,Lang Sebastian,23,Gerolsteiner,7,2003,9
35,Dominguez Juan Carlos,32,Phonak Hearing Systems,7,2003,9
36,Vierhouten Aart,33,Lotto - Domo,7,2003,9
37,Christensen Bekim leif,29,Team Bianchi,6,2003,9
38,Kolobnev Alexandr,22,Domina Vacanze - Elitron,6,2003,9
39,Wuyts Peter,30,Palmans - Collstrop,5,2003,9
40,van Goolen Jurgen,22,Quickstep - Davitamon,5,2003,9
41,Loder Thierry,27,AG2R Pr\xe9voyance,5,2003,9
42,De Waele Fabian,28,Palmans - Collstrop,5,2003,9
43,Casper Jimmy,25,Fdjeux.com,5,2003,9
44,Sinkewitz Patrik,22,Quickstep - Davitamon,4,2003,9
45,Kohut Seweryn Zenon,27,,4,2003,9
46,Milesi Marco,33,Vini Calderola - So.di,4,2003,9
47,Larsson Gustav,22,Fassa Bortolo,3,2003,9
48,Gentili Massimiliano,31,Domina Vacanze - Elitron,3,2003,9
49,Facci Mauro,21,Fassa Bortolo,3,2003,9
50,Hiekmann Torsten,23,Team Telekom,1,2003,9
51,Jegou Lilian,27,Cr\xe9dit Agricole,1,2003,9
52,De Clercq Hans,34,Lotto - Domo,1,2003,9
