Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
6,14,\u25b28,,Team Cannondale - Garmin,,+ - 17:42:01,25:42 25:42,2015,5
7,11,\u25b24,,AG2R La Mondiale,,+ - 17:42:01,26:51 26:51,2015,5
8,10,\u25b22,,FDJ,,+ - 17:42:01,28:26 28:26,2015,5
9,13,\u25b24,,Team Giant - Alpecin,,+ - 17:42:01,28:33 28:33,2015,5
10,6,\u25bc4,,Lampre - Merida,,+ - 17:42:01,29:39 29:39,2015,5
11,15,\u25b24,,CCC Sprandi Polkowice,,+ - 17:42:01,31:37 31:37,2015,5
12,5,\u25bc7,,Orica GreenEDGE,,+ - 17:42:01,33:04 33:04,2015,5
13,16,\u25b23,,Team LottoNL-Jumbo,,+ - 17:42:01,35:05 35:05,2015,5
14,8,\u25bc6,,Wanty - Groupe Gobert,,+ - 17:42:01,35:18 35:18,2015,5
15,7,\u25bc8,,Movistar Team,,+ - 17:42:01,36:49 36:49,2015,5
16,17,\u25b21,,Team Katusha,,+ - 17:42:01,48:12 48:12,2015,5
17,19,\u25b22,,Lotto Soudal,,+ - 17:42:01,55:03 55:03,2015,5
18,12,\u25bc6,,Tinkoff - Saxo,,+ - 17:42:01,56:27 56:27,2015,5
19,18,\u25bc1,,Etixx - Quick Step,,+ - 17:42:01,1:05:37 1:05:37,2015,5
1,1,-,,Team Sky,,+ - 22:16:51,66:59:32 66:59:32,2015,6
2,2,-,,Astana Pro Team,,+ - 22:16:51,10:05 10:05,2015,6
3,3,-,,Trek Factory Racing,,+ - 22:16:51,13:05 13:05,2015,6
4,4,-,,IAM Cycling,,+ - 22:16:51,15:00 15:00,2015,6
5,5,-,,BMC Racing Team,,+ - 22:16:51,21:13 21:13,2015,6
6,6,-,,Team Cannondale - Garmin,,+ - 22:16:51,25:47 25:47,2015,6
7,7,-,,AG2R La Mondiale,,+ - 22:16:51,26:56 26:56,2015,6
8,8,-,,FDJ,,+ - 22:16:51,28:31 28:31,2015,6
9,9,-,,Team Giant - Alpecin,,+ - 22:16:51,28:38 28:38,2015,6
10,10,-,,Lampre - Merida,,+ - 22:16:51,29:44 29:44,2015,6
11,11,-,,CCC Sprandi Polkowice,,+ - 22:16:51,32:12 32:12,2015,6
12,12,-,,Orica GreenEDGE,,+ - 22:16:51,33:09 33:09,2015,6
13,13,-,,Team LottoNL-Jumbo,,+ - 22:16:51,35:05 35:05,2015,6
14,14,-,,Wanty - Groupe Gobert,,+ - 22:16:51,35:23 35:23,2015,6
15,15,-,,Movistar Team,,+ - 22:16:51,37:33 37:33,2015,6
16,16,-,,Team Katusha,,+ - 22:16:51,48:10 48:10,2015,6
17,17,-,,Lotto Soudal,,+ - 22:16:51,55:31 55:31,2015,6
18,18,-,,Tinkoff - Saxo,,+ - 22:16:51,56:18 56:18,2015,6
19,19,-,,Etixx - Quick Step,,+ - 22:16:51,1:05:37 1:05:37,2015,6
1,1,-,,Team Sky,,+ - 25:55:03,77:54:03 77:54:03,2015,7
2,2,-,,Astana Pro Team,,+ - 25:55:03,10:05 10:05,2015,7
3,3,-,,Trek Factory Racing,,+ - 25:55:03,13:49 13:49,2015,7
4,4,-,,IAM Cycling,,+ - 25:55:03,15:00 15:00,2015,7
5,5,-,,BMC Racing Team,,+ - 25:55:03,21:36 21:36,2015,7
6,6,-,,Team Cannondale - Garmin,,+ - 25:55:03,26:04 26:04,2015,7
7,7,-,,AG2R La Mondiale,,+ - 25:55:03,27:28 27:28,2015,7
8,8,-,,FDJ,,+ - 25:55:03,28:31 28:31,2015,7
9,9,-,,Team Giant - Alpecin,,+ - 25:55:03,28:38 28:38,2015,7
10,10,-,,Lampre - Merida,,+ - 25:55:03,29:53 29:53,2015,7
11,11,-,,CCC Sprandi Polkowice,,+ - 25:55:03,32:26 32:26,2015,7
12,12,-,,Orica GreenEDGE,,+ - 25:55:03,33:09 33:09,2015,7
13,13,-,,Team LottoNL-Jumbo,,+ - 25:55:03,34:55 34:55,2015,7
14,14,-,,Wanty - Groupe Gobert,,+ - 25:55:03,35:23 35:23,2015,7
15,15,-,,Movistar Team,,+ - 25:55:03,38:17 38:17,2015,7
16,16,-,,Team Katusha,,+ - 25:55:03,48:10 48:10,2015,7
17,18,\u25b21,,Tinkoff - Saxo,,+ - 25:55:03,56:18 56:18,2015,7
18,17,\u25bc1,,Lotto Soudal,,+ - 25:55:03,56:35 56:35,2015,7
19,19,-,,Etixx - Quick Step,,+ - 25:55:03,1:05:58 1:05:58,2015,7
1,1,-,,Team Sky,,+ - 29:25:28,88:25:37 88:25:37,2015,8
2,3,\u25b21,,Trek Factory Racing,,+ - 29:25:28,11:45 11:45,2015,8
3,4,\u25b21,,IAM Cycling,,+ - 29:25:28,14:42 14:42,2015,8
4,2,\u25bc2,,Astana Pro Team,,+ - 29:25:28,15:32 15:32,2015,8
5,5,-,,BMC Racing Team,,+ - 29:25:28,19:32 19:32,2015,8
6,9,\u25b23,,Team Giant - Alpecin,,+ - 29:25:28,26:19 26:19,2015,8
7,7,-,,AG2R La Mondiale,,+ - 29:25:28,26:28 26:28,2015,8
8,8,-,,FDJ,,+ - 29:25:28,29:12 29:12,2015,8
9,12,\u25b23,,Orica GreenEDGE,,+ - 29:25:28,29:24 29:24,2015,8
10,11,\u25b21,,CCC Sprandi Polkowice,,+ - 29:25:28,33:36 33:36,2015,8
11,6,\u25bc5,,Team Cannondale - Garmin,,+ - 29:25:28,34:31 34:31,2015,8
12,14,\u25b22,,Wanty - Groupe Gobert,,+ - 29:25:28,34:57 34:57,2015,8
13,13,-,,Team LottoNL-Jumbo,,+ - 29:25:28,35:03 35:03,2015,8
14,15,\u25b21,,Movistar Team,,+ - 29:25:28,37:43 37:43,2015,8
15,10,\u25bc5,,Lampre - Merida,,+ - 29:25:28,38:34 38:34,2015,8
16,16,-,,Team Katusha,,+ - 29:25:28,45:35 45:35,2015,8
17,17,-,,Tinkoff - Saxo,,+ - 29:25:28,54:04 54:04,2015,8
18,18,-,,Lotto Soudal,,+ - 29:25:28,1:02:34 1:02:34,2015,8
19,19,-,,Etixx - Quick Step,,+ - 29:25:28,1:05:03 1:05:03,2015,8
