Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
34,156,+14:24,154,Wilson Matthew,156,Orica GreenEDGE,14:24 14:24,+13:34,\u25bc2,1,2012
30,157,+14:25,155,Sohrabi Mehdi,157,Lotto Belisol Team,14:25 14:25,+13:34,\u25bc2,1,2012
22,158,+18:37,153,Blythe Adam,158,BMC Racing Team,18:37 18:37,+17:51,\u25bc5,1,2012
24,159,+19:11,149,Anderson Ryan,159,Spidertech Powered by C10,19:11 19:11,+18:28,\u25bc10,1,2012
29,160,+19:42,160,Routley Will,160,Spidertech Powered by C10,19:42 19:42,+18:28,-,1,2012
25,1,+0:00,1,Costa Rui,1,Movistar Team,11:06:57 11:06:57,+0:00,-,2,2012
32,2,+0:08,2,Schleck Fr\xe4nk,2,RadioShack - Nissan,0:08 0:08,+0:00,-,2,2012
26,3,+0:15,3,Kreuziger Roman,3,Astana Pro Team,0:15 0:15,+0:00,-,2,2012
22,4,+0:19,4,Pinot Thibaut,4,FDJ - BigMat,0:19 0:19,+0:00,-,2,2012
27,5,+0:21,5,Roche Nicolas,5,AG2R La Mondiale,0:21 0:21,+0:00,-,2,2012
28,6,+0:21,6,L\xf6fkvist Thomas,6,Sky Procycling,",, 0:21",+0:00,-,2,2012
32,7,+0:23,7,Valverde Alejandro,7,Movistar Team,0:23 0:23,+0:00,-,2,2012
33,8,+0:24,8,Gadret John,8,AG2R La Mondiale,0:24 0:24,+0:00,-,2,2012
28,9,+0:26,9,Nieve Mikel,9,Euskaltel - Euskadi,0:26 0:26,+0:00,-,2,2012
34,10,+0:29,10,Danielson Thomas,10,Team Garmin - Barracuda,0:29 0:29,+0:00,-,2,2012
25,11,+0:32,11,Ki\u0161erlovski Robert,11,Astana Pro Team,0:32 0:32,+0:00,-,2,2012
27,12,+0:33,12,Fuglsang Jakob,12,RadioShack - Nissan,0:33 0:33,+0:00,-,2,2012
38,13,+0:37,13,Leipheimer Levi,13,Omega Pharma - Quick-Step,0:37 0:37,+0:00,-,2,2012
27,14,+0:40,14,S\xf8rensen Chris Anker,14,Team Saxo Bank - Tinkoff Bank,0:40 0:40,+0:00,-,2,2012
31,15*,+0:41,15*,Caruso Giampaolo,15*,Team Katusha,0:41 0:41,+0:00,-,2,2012
25,16,+0:47,16,Kruijswijk Steven,16,Rabobank Cycling Team,0:47 0:47,+0:00,-,2,2012
