Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
31,15*,+0:41,15*,Caruso Giampaolo,15*,Team Katusha,0:41 0:41,+0:00,-,3,2012
25,16,+0:47,16,Kruijswijk Steven,16,Rabobank Cycling Team,0:47 0:47,+0:00,-,3,2012
30,17,+0:57,17,Cunego Damiano,17,Lampre - ISD,0:57 0:57,+0:00,-,3,2012
29,18,+0:58,18,Gusev Vladimir,18,Team Katusha,0:58 0:58,+0:00,-,3,2012
21,19,+1:01,19,Moser Moreno,19,Liquigas - Cannondale,1:01 1:01,+0:00,-,3,2012
26,20,+1:09,20,Gesink Robert,20,Rabobank Cycling Team,1:09 1:09,+0:00,-,3,2012
27,21,+1:15,21,Cataldo Dario,21,Omega Pharma - Quick-Step,1:15 1:15,+0:00,-,3,2012
25,22,+1:37,23,Frank Mathias,22,BMC Racing Team,1:37 1:37,+0:00,\u25b21,3,2012
24,23,+1:39,24,Izagirre Gorka,23,Euskaltel - Euskadi,1:39 1:39,+0:00,\u25b21,3,2012
24,24,+1:43,25,Poels Wout,24,Vacansoleil - DCM,1:43 1:43,+0:00,\u25b21,3,2012
33,25,+1:45,26,Bertogliati Rubens,25,Team Type 1 - SANOFI,1:45 1:45,+0:00,\u25b21,3,2012
25,26,+1:47,27,Kangert Tanel,26,Astana Pro Team,1:47 1:47,+0:00,\u25b21,3,2012
32,27,+1:55,28,Astarloza Mikel,27,Euskaltel - Euskadi,1:55 1:55,+0:00,\u25b21,3,2012
25,28,+1:59,29,De Clercq Bart,28,Lotto Belisol Team,1:59 1:59,+0:00,\u25b21,3,2012
22,29,+1:59,30,Slagter Tom-Jelte,29,Rabobank Cycling Team,",, 1:59",+0:00,\u25b21,3,2012
29,30,+2:13,33,Gerdemann Linus,30,RadioShack - Nissan,2:13 2:13,+0:00,\u25b23,3,2012
32,31,+2:15,34,Muravyev Dmitriy,31,Astana Pro Team,2:15 2:15,+0:00,\u25b23,3,2012
27,32,+2:33,40,El Fares Julien,32,Team Type 1 - SANOFI,2:33 2:33,+0:00,\u25b28,3,2012
21,33,+2:44,42,Preidler Georg,33,Team Type 1 - SANOFI,2:44 2:44,+0:00,\u25b29,3,2012
29,34,+2:46,43,Monfort Maxime,34,RadioShack - Nissan,2:46 2:46,+0:00,\u25b29,3,2012
31,35,+2:46,44,ten Dam Laurens,35,Rabobank Cycling Team,",, 2:46",+0:00,\u25b29,3,2012
36,36,+3:02,45,Barry Michael,36,Sky Procycling,3:02 3:02,+0:00,\u25b29,3,2012
25,37,+3:18,46,Peterson Tom,37,Team Garmin - Barracuda,3:18 3:18,+0:00,\u25b29,3,2012
28,38,+4:12,50,Burghardt Marcus,38,BMC Racing Team,4:12 4:12,+0:00,\u25b212,3,2012
29,39,+4:25,52,Hoogerland Johnny,39,Vacansoleil - DCM,4:25 4:25,+0:00,\u25b213,3,2012
27,40,+4:58,59,Rojas Jos\xe9 Joaqu\xedn,40,Movistar Team,4:58 4:58,+-1:54,\u25b219,3,2012
27,41,+5:03,58,Gavazzi Francesco,41,Astana Pro Team,5:03 5:03,+0:00,\u25b217,3,2012
31,42,+5:47,61,Albasini Michael,42,Orica GreenEDGE,5:47 5:47,+-1:56,\u25b219,3,2012
36,43,+5:56,62,Kl\xf6den Andr\xe9as,43,RadioShack - Nissan,5:56 5:56,+0:00,\u25b219,3,2012
26,44,+6:21,66,Kohler Martin,44,BMC Racing Team,6:21 6:21,+-1:58,\u25b222,3,2012
26,45,+6:26,67,Cusin Remi,45,Team Type 1 - SANOFI,6:26 6:26,+0:00,\u25b222,3,2012
35,46,+6:26,22,Gustov Volodymyr,46,Team Saxo Bank - Tinkoff Bank,",, 6:26",+4:53,\u25bc24,3,2012
32,47,+7:14,72,Paulinho S\xe9rgio,47,Team Saxo Bank - Tinkoff Bank,7:14 7:14,+0:20,\u25b225,3,2012
22,48,+7:35,41,Juul-Jensen Christopher,48,Team Saxo Bank - Tinkoff Bank,7:35 7:35,+4:53,\u25bc7,3,2012
28,49,+8:26,47,Euser Lucas,49,,8:26 8:26,+4:53,\u25bc2,3,2012
28,50,+8:39,48,Roy J\xe9r\xe9my,50,FDJ - BigMat,8:39 8:39,+4:53,\u25bc2,3,2012
26,51,+8:40,78,Stybar Zdenek,51,Omega Pharma - Quick-Step,8:40 8:40,+0:00,\u25b227,3,2012
27,52,+8:47,80,Van Avermaet Greg,52,BMC Racing Team,8:47 8:47,+-1:59,\u25b228,3,2012
36,53,+8:54,82,Freire Oscar,53,Team Katusha,8:54 8:54,+0:00,\u25b229,3,2012
24,54,+9:15,89,Howes Alex,54,Team Garmin - Barracuda,9:15 9:15,+0:00,\u25b235,3,2012
32,55,+9:27,87,Rast Gregory,55,RadioShack - Nissan,9:27 9:27,+0:21,\u25b232,3,2012
27,56,+9:30,53,Dekker Thomas,56,Team Garmin - Barracuda,9:30 9:30,+4:53,\u25bc3,3,2012
29,57,+9:34,54,Duggan Timothy,57,Liquigas - Cannondale,9:34 9:34,+4:53,\u25bc3,3,2012
28,58,+9:36,55,Marcato Marco,58,Vacansoleil - DCM,9:36 9:36,+4:53,\u25bc3,3,2012
33,59,+9:53,94,Elmiger Martin,59,AG2R La Mondiale,9:53 9:53,+-1:58,\u25b235,3,2012
27,60,+10:08,95,Possoni Morris,60,Lampre - ISD,10:08 10:08,+0:00,\u25b235,3,2012
32,61,+10:30,60,Velasco Ivan,61,Euskaltel - Euskadi,10:30 10:30,+4:53,\u25bc1,3,2012
28,62,+10:33,97,Montaguti Matteo,62,AG2R La Mondiale,10:33 10:33,+0:00,\u25b235,3,2012
28,63,+10:33,98,Haussler Heinrich,63,Team Garmin - Barracuda,",, 10:33",+0:00,\u25b235,3,2012
27,64,+10:44,103,Langeveld Sebastian,64,Orica GreenEDGE,10:44 10:44,+0:00,\u25b239,3,2012
31,65,+11:50,73,Mori Manuele,65,Lampre - ISD,11:50 11:50,+4:53,\u25b28,3,2012
31,66,+11:58,75,Kolobnev Alexandr,66,Team Katusha,11:58 11:58,+4:53,\u25b29,3,2012
22,67,+12:29,110,Sagan Peter,67,Liquigas - Cannondale,12:29 12:29,+-1:50,\u25b243,3,2012
24,68,+12:30,31,Valls Rafael,68,Vacansoleil - DCM,12:30 12:30,+10:26,\u25bc37,3,2012
28,69,+12:44,112,Megias Javier,69,Team Type 1 - SANOFI,12:44 12:44,+-1:57,\u25b243,3,2012
27,70,+12:56,32,Velits Peter,70,Omega Pharma - Quick-Step,12:56 12:56,+10:43,\u25bc38,3,2012
28,71,+13:04,36,Bookwalter Brent,71,BMC Racing Team,13:04 13:04,+10:43,\u25bc35,3,2012
31,72,+13:10,37,Cummings Stephen,72,BMC Racing Team,13:10 13:10,+10:43,\u25bc35,3,2012
21,73,+13:10,38,Herrada Jes\xfas,73,Movistar Team,",, 13:10",+10:43,\u25bc35,3,2012
22,74,+13:12,64,Puccio Salvatore,74,Sky Procycling,13:12 13:12,+7:15,\u25bc10,3,2012
31,75,+13:13,39,Karpets Vladimir,75,Movistar Team,13:13 13:13,+10:43,\u25bc36,3,2012
28,76,+13:21,113,Nordhaug Lars Petter,76,Sky Procycling,13:21 13:21,+0:24,\u25b237,3,2012
27,77,+13:41,81,Didier Laurent,77,RadioShack - Nissan,13:41 13:41,+4:53,\u25b24,3,2012
31,78,+13:50,83,Wegmann Fabian,78,Team Garmin - Barracuda,13:50 13:50,+4:53,\u25b25,3,2012
24,79,+13:56,86,Swift Ben,79,Sky Procycling,13:56 13:56,+4:53,\u25b27,3,2012
32,80,+14:14,91,Kessiakoff Fredrik,80,Astana Pro Team,14:14 14:14,+4:53,\u25b211,3,2012
24,81,+14:18,92,Bonnafond Guillaume,81,AG2R La Mondiale,14:18 14:18,+4:53,\u25b211,3,2012
25,82,+14:59,51,Mollema Bauke,82,Rabobank Cycling Team,14:59 14:59,+10:43,\u25bc31,3,2012
38,83,+16:40,63,Horrach Joan,83,Team Katusha,16:40 16:40,+10:43,\u25bc20,3,2012
33,84,+17:00,65,Guti\xe9rrez Jos\xe9 Iv\xe1n,84,Movistar Team,17:00 17:00,+10:43,\u25bc19,3,2012
30,85,+17:07,70,Minard S\xe9bastien,85,AG2R La Mondiale,17:07 17:07,+10:25,\u25bc15,3,2012
26,86,+17:24,69,Isaychev Vladimir,86,Team Katusha,17:24 17:24,+10:43,\u25bc17,3,2012
32,87,+17:31,71,Geslin Anthony,87,FDJ - BigMat,17:31 17:31,+10:43,\u25bc16,3,2012
34,88,+17:47,74,Bertagnolli Leonardo,88,Lampre - ISD,17:47 17:47,+10:43,\u25bc14,3,2012
37,89,+17:57,35,Bruseghin Marzio,89,Movistar Team,17:57 17:57,+15:40,\u25bc54,3,2012
34,90,+18:28,104,Hayman Mathew,90,Sky Procycling,18:28 18:28,+7:37,\u25b214,3,2012
30,91,+18:31,106,Perez Ruben,91,Euskaltel - Euskadi,18:31 18:31,+7:37,\u25b215,3,2012
30,92,+18:34,107,Vandborg Brian,92,Spidertech Powered by C10,18:34 18:34,+7:37,\u25b215,3,2012
25,93,+19:14,77,Oss Daniel,93,Liquigas - Cannondale,19:14 19:14,+10:43,\u25bc16,3,2012
36,94,+19:29,79,Niermann Grischa,94,Rabobank Cycling Team,19:29 19:29,+10:43,\u25bc15,3,2012
28,95,+19:42,84,Dall'Antonia Tiziano,95,Liquigas - Cannondale,19:42 19:42,+10:43,\u25bc11,3,2012
30,96,+19:42,85,Wynants Maarten,96,Rabobank Cycling Team,",, 19:42",+10:43,\u25bc11,3,2012
31,97,+19:50,49,Vansummeren Johan,97,Team Garmin - Barracuda,19:50 19:50,+15:40,\u25bc48,3,2012
32,98,+19:50,88,Nuyens Nick,98,Team Saxo Bank - Tinkoff Bank,",, 19:50",+10:43,\u25bc10,3,2012
31,99,+20:02,90,Davis Allan,99,Orica GreenEDGE,20:02 20:02,+10:43,\u25bc9,3,2012
28,100,+20:26,56,Chainel Steve,100,FDJ - BigMat,20:26 20:26,+15:40,\u25bc44,3,2012
33,101,+21:08,96,Cooke Baden,101,Orica GreenEDGE,21:08 21:08,+10:43,\u25bc5,3,2012
31,102,+21:17,99,Bazayev Assan,102,Astana Pro Team,21:17 21:17,+10:43,\u25bc3,3,2012
30,103,+21:18,100,Mondory Lloyd,103,AG2R La Mondiale,21:18 21:18,+10:43,\u25bc3,3,2012
35,104,+21:19,101,Zandio Xabier,104,Sky Procycling,21:19 21:19,+10:43,\u25bc3,3,2012
38,105,+21:22,102,Petacchi Alessandro,105,Lampre - ISD,21:22 21:22,+10:43,\u25bc3,3,2012
28,106,+21:59,109,Hutarovich Yauheni,106,FDJ - BigMat,21:59 21:59,+10:43,\u25b23,3,2012
30,107,+22:09,68,Reynes Vicente,107,Lotto Belisol Team,22:09 22:09,+15:40,\u25bc39,3,2012
30,108,+23:52,114,Efimkin Alexander,108,Team Type 1 - SANOFI,23:52 23:52,+10:43,\u25b26,3,2012
28,109,+24:06,76,Terpstra Niki,109,Omega Pharma - Quick-Step,24:06 24:06,+15:40,\u25bc33,3,2012
24,110,+24:10,142,Meyer Cameron,110,Orica GreenEDGE,24:10 24:10,+4:53,\u25b232,3,2012
31,111,+24:13,115,Cancellara Fabian,111,RadioShack - Nissan,24:13 24:13,+10:43,\u25b24,3,2012
36,112,+24:29,117,Kroon Karsten,112,Team Saxo Bank - Tinkoff Bank,24:29 24:29,+10:43,\u25b25,3,2012
27,113,+24:33,118,Breschel Matti,113,Rabobank Cycling Team,24:33 24:33,+10:43,\u25b25,3,2012
22,114,+24:36,119,Rowe Luke,114,Sky Procycling,24:36 24:36,+10:43,\u25b25,3,2012
29,115,+24:36,120,King Edward,115,Liquigas - Cannondale,",, 24:36",+10:43,\u25b25,3,2012
27,116,+24:46,122,Bazzana Alessandro,116,Team Type 1 - SANOFI,24:46 24:46,+10:43,\u25b26,3,2012
24,117,+24:56,125,Guarnieri Jacopo,117,Astana Pro Team,24:56 24:56,+10:43,\u25b28,3,2012
30,118,+24:59,126,Colli Daniele,118,Team Type 1 - SANOFI,24:59 24:59,+10:43,\u25b28,3,2012
27,119,+25:32,93,K\xfcnzli Raimond,119,Spidertech Powered by C10,25:32 25:32,+15:40,\u25bc26,3,2012
31,120,+26:32,105,Boonen Tom,120,Omega Pharma - Quick-Step,26:32 26:32,+15:40,\u25bc15,3,2012
24,121,+26:49,108,Sicard Romain,121,Euskaltel - Euskadi,26:49 26:49,+15:40,\u25bc13,3,2012
23,122,+27:04,130,Agostini Stefano,122,Liquigas - Cannondale,27:04 27:04,+10:43,\u25b28,3,2012
38,123,+28:51,137,O'Grady Stuart,123,Orica GreenEDGE,28:51 28:51,+10:43,\u25b214,3,2012
25,124,+29:19,116,Boeckmans Kris,124,Vacansoleil - DCM,29:19 29:19,+15:40,\u25bc8,3,2012
28,125,+29:42,121,Farrar Tyler,125,Team Garmin - Barracuda,29:42 29:42,+15:40,\u25bc4,3,2012
24,126,+29:46,123,Lodewyck Klaas,126,BMC Racing Team,29:46 29:46,+15:40,\u25bc3,3,2012
22,127,+29:50,124,Trentin Matteo,127,Omega Pharma - Quick-Step,29:50 29:50,+15:40,\u25bc3,3,2012
27,128,+30:08,127,M\xf8rk\xf8v Michael,128,Team Saxo Bank - Tinkoff Bank,30:08 30:08,+15:40,\u25bc1,3,2012
28,129,+31:00,128,Vigano Davide,129,Lampre - ISD,31:00 31:00,+15:40,\u25bc1,3,2012
26,130,+32:02,131,Konovalovas Ignatas,130,Movistar Team,32:02 32:02,+15:40,\u25b21,3,2012
29,131,+32:25,132,Bonnet William,131,FDJ - BigMat,32:25 32:25,+15:40,\u25b21,3,2012
27,132,+32:27,133,Mortensen Martin,132,Vacansoleil - DCM,32:27 32:27,+15:40,\u25b21,3,2012
29,133,+32:27,134,Kaisen Olivier,133,Lotto Belisol Team,",, 32:27",+15:40,\u25b21,3,2012
27,134,+32:29,135,Pineau C\xe9dric,134,FDJ - BigMat,32:29 32:29,+15:40,\u25b21,3,2012
22,135,+32:40,148,Boily David,135,Spidertech Powered by C10,32:40 32:40,+10:43,\u25b213,3,2012
26,136,+32:43,150,Bole Grega,136,Lampre - ISD,32:43 32:43,+10:43,\u25b214,3,2012
25,137,+33:01,136,Fairly Caleb,137,Spidertech Powered by C10,33:01 33:01,+15:40,\u25bc1,3,2012
25,138,+33:51,138,Vinther Troels,138,Team Saxo Bank - Tinkoff Bank,33:51 33:51,+15:40,-,3,2012
24,139,+33:52,139,B\xe9rard Julien,139,AG2R La Mondiale,33:52 33:52,+15:40,-,3,2012
38,140,+34:02,140,Hondo Danilo,140,Lampre - ISD,34:02 34:02,+15:40,-,3,2012
32,141,+35:36,143,Boucher David,141,FDJ - BigMat,35:36 35:36,+15:40,\u25b22,3,2012
23,142,+37:22,144,Viviani Elia,142,Liquigas - Cannondale,37:22 37:22,+15:40,\u25b22,3,2012
35,143,+37:34,145,Paolini Luca,143,Team Katusha,37:34 37:34,+15:40,\u25b22,3,2012
23,144,+37:37,147,Boivin Guillaume,144,Spidertech Powered by C10,37:37 37:37,+15:40,\u25b23,3,2012
31,145,+37:40,149,Steegmans Gert,145,Omega Pharma - Quick-Step,37:40 37:40,+15:40,\u25b24,3,2012
22,146,+40:43,151,Novikov Nikita,146,Vacansoleil - DCM,40:43 40:43,+15:40,\u25b25,3,2012
30,147,+41:02,152,Sohrabi Mehdi,147,Lotto Belisol Team,41:02 41:02,+15:40,\u25b25,3,2012
24,148,+42:33,153,Anderson Ryan,148,Spidertech Powered by C10,42:33 42:33,+15:40,\u25b25,3,2012
29,149,+42:51,154,Anton Igor,149,Euskaltel - Euskadi,42:51 42:51,+15:40,\u25b25,3,2012
32,150,+42:53,155,Urtasun Pablo,150,Euskaltel - Euskadi,42:53 42:53,+15:40,\u25b25,3,2012
23,151,+43:05,156,Robert Fr\xe9derique,151,Lotto Belisol Team,43:05 43:05,+15:40,\u25b25,3,2012
34,152,+43:24,157,Wilson Matthew,152,Orica GreenEDGE,43:24 43:24,+15:40,\u25b25,3,2012
25,1,+0:00,1,Costa Rui,1,Movistar Team,20:53:27 20:53:27,+0:00,-,4,2012
32,2,+0:08,2,Schleck Fr\xe4nk,2,RadioShack - Nissan,0:08 0:08,+0:00,-,4,2012
26,3,+0:15,3,Kreuziger Roman,3,Astana Pro Team,0:15 0:15,+0:00,-,4,2012
22,4,+0:19,4,Pinot Thibaut,4,FDJ - BigMat,0:19 0:19,+0:00,-,4,2012
27,5,+0:21,5,Roche Nicolas,5,AG2R La Mondiale,0:21 0:21,+0:00,-,4,2012
28,6,+0:21,6,L\xf6fkvist Thomas,6,Sky Procycling,",, 0:21",+0:00,-,4,2012
32,7,+0:23,7,Valverde Alejandro,7,Movistar Team,0:23 0:23,+0:00,-,4,2012
33,8,+0:24,8,Gadret John,8,AG2R La Mondiale,0:24 0:24,+0:00,-,4,2012
28,9,+0:26,9,Nieve Mikel,9,Euskaltel - Euskadi,0:26 0:26,+0:00,-,4,2012
34,10,+0:29,10,Danielson Thomas,10,Team Garmin - Barracuda,0:29 0:29,+0:00,-,4,2012
25,11,+0:32,11,Ki\u0161erlovski Robert,11,Astana Pro Team,0:32 0:32,+0:00,-,4,2012
27,12,+0:33,12,Fuglsang Jakob,12,RadioShack - Nissan,0:33 0:33,+0:00,-,4,2012
38,13,+0:37,13,Leipheimer Levi,13,Omega Pharma - Quick-Step,0:37 0:37,+0:00,-,4,2012
27,14,+0:40,14,S\xf8rensen Chris Anker,14,Team Saxo Bank - Tinkoff Bank,0:40 0:40,+0:00,-,4,2012
31,15*,+0:41,15*,Caruso Giampaolo,15*,Team Katusha,0:41 0:41,+0:00,-,4,2012
25,16,+0:47,16,Kruijswijk Steven,16,Rabobank Cycling Team,0:47 0:47,+0:00,-,4,2012
30,17,+0:57,17,Cunego Damiano,17,Lampre - ISD,0:57 0:57,+0:00,-,4,2012
29,18,+0:58,18,Gusev Vladimir,18,Team Katusha,0:58 0:58,+0:00,-,4,2012
21,19,+1:01,19,Moser Moreno,19,Liquigas - Cannondale,1:01 1:01,+0:00,-,4,2012
26,20,+1:09,20,Gesink Robert,20,Rabobank Cycling Team,1:09 1:09,+0:00,-,4,2012
27,21,+1:15,21,Cataldo Dario,21,Omega Pharma - Quick-Step,1:15 1:15,+0:00,-,4,2012
25,22,+1:37,22,Frank Mathias,22,BMC Racing Team,1:37 1:37,+0:00,-,4,2012
24,23,+1:39,23,Izagirre Gorka,23,Euskaltel - Euskadi,1:39 1:39,+0:00,-,4,2012
24,24,+1:43,24,Poels Wout,24,Vacansoleil - DCM,1:43 1:43,+0:00,-,4,2012
33,25,+1:45,25,Bertogliati Rubens,25,Team Type 1 - SANOFI,1:45 1:45,+0:00,-,4,2012
25,26,+1:47,26,Kangert Tanel,26,Astana Pro Team,1:47 1:47,+0:00,-,4,2012
32,27,+1:55,27,Astarloza Mikel,27,Euskaltel - Euskadi,1:55 1:55,+0:00,-,4,2012
25,28,+1:59,28,De Clercq Bart,28,Lotto Belisol Team,1:59 1:59,+0:00,-,4,2012
22,29,+1:59,29,Slagter Tom-Jelte,29,Rabobank Cycling Team,",, 1:59",+0:00,-,4,2012
22,30,+2:01,74,Puccio Salvatore,30,Sky Procycling,2:01 2:01,+-12:49,\u25b244,4,2012
29,31,+2:13,30,Gerdemann Linus,31,RadioShack - Nissan,2:13 2:13,+0:00,\u25bc1,4,2012
32,32,+2:15,31,Muravyev Dmitriy,32,Astana Pro Team,2:15 2:15,+0:00,\u25bc1,4,2012
27,33,+2:33,32,El Fares Julien,33,Team Type 1 - SANOFI,2:33 2:33,+0:00,\u25bc1,4,2012
21,34,+2:44,33,Preidler Georg,34,Team Type 1 - SANOFI,2:44 2:44,+0:00,\u25bc1,4,2012
29,35,+2:46,34,Monfort Maxime,35,RadioShack - Nissan,2:46 2:46,+0:00,\u25bc1,4,2012
31,36,+2:46,35,ten Dam Laurens,36,Rabobank Cycling Team,",, 2:46",+0:00,\u25bc1,4,2012
36,37,+3:02,36,Barry Michael,37,Sky Procycling,3:02 3:02,+0:00,\u25bc1,4,2012
25,38,+3:18,37,Peterson Tom,38,Team Garmin - Barracuda,3:18 3:18,+0:00,\u25bc1,4,2012
28,39,+4:12,38,Burghardt Marcus,39,BMC Racing Team,4:12 4:12,+0:00,\u25bc1,4,2012
29,40,+4:25,39,Hoogerland Johnny,40,Vacansoleil - DCM,4:25 4:25,+0:00,\u25bc1,4,2012
27,41,+4:58,40,Rojas Jos\xe9 Joaqu\xedn,41,Movistar Team,4:58 4:58,+0:00,\u25bc1,4,2012
27,42,+5:03,41,Gavazzi Francesco,42,Astana Pro Team,5:03 5:03,+0:00,\u25bc1,4,2012
31,43,+5:47,42,Albasini Michael,43,Orica GreenEDGE,5:47 5:47,+0:00,\u25bc1,4,2012
36,44,+5:56,43,Kl\xf6den Andr\xe9as,44,RadioShack - Nissan,5:56 5:56,+0:00,\u25bc1,4,2012
30,45,+5:59,85,Minard S\xe9bastien,45,AG2R La Mondiale,5:59 5:59,+-12:52,\u25b240,4,2012
26,46,+6:07,86,Isaychev Vladimir,46,Team Katusha,6:07 6:07,+-12:43,\u25b240,4,2012
26,47,+6:21,44,Kohler Martin,47,BMC Racing Team,6:21 6:21,+0:00,\u25bc3,4,2012
26,48,+6:26,45,Cusin Remi,48,Team Type 1 - SANOFI,6:26 6:26,+0:00,\u25bc3,4,2012
35,49,+6:26,46,Gustov Volodymyr,49,Team Saxo Bank - Tinkoff Bank,",, 6:26",+0:00,\u25bc3,4,2012
32,50,+7:14,47,Paulinho S\xe9rgio,50,Team Saxo Bank - Tinkoff Bank,7:14 7:14,+0:00,\u25bc3,4,2012
30,51,+7:14,91,Perez Ruben,51,Euskaltel - Euskadi,",, 7:14",+-12:43,\u25b240,4,2012
25,52,+8:11,93,Oss Daniel,52,Liquigas - Cannondale,8:11 8:11,+-12:57,\u25b241,4,2012
28,53,+8:26,49,Euser Lucas,53,,8:26 8:26,+0:00,\u25bc4,4,2012
28,54,+8:39,50,Roy J\xe9r\xe9my,54,FDJ - BigMat,8:39 8:39,+0:00,\u25bc4,4,2012
26,55,+8:40,51,Stybar Zdenek,55,Omega Pharma - Quick-Step,8:40 8:40,+0:00,\u25bc4,4,2012
27,56,+8:47,52,Van Avermaet Greg,56,BMC Racing Team,8:47 8:47,+0:00,\u25bc4,4,2012
24,57,+9:15,54,Howes Alex,57,Team Garmin - Barracuda,9:15 9:15,+0:00,\u25bc3,4,2012
32,58,+9:27,55,Rast Gregory,58,RadioShack - Nissan,9:27 9:27,+0:00,\u25bc3,4,2012
27,59,+9:30,56,Dekker Thomas,59,Team Garmin - Barracuda,9:30 9:30,+0:00,\u25bc3,4,2012
29,60,+9:34,57,Duggan Timothy,60,Liquigas - Cannondale,9:34 9:34,+0:00,\u25bc3,4,2012
28,61,+9:36,58,Marcato Marco,61,Vacansoleil - DCM,9:36 9:36,+0:00,\u25bc3,4,2012
36,62,+9:42,53,Freire Oscar,62,Team Katusha,9:42 9:42,+0:48,\u25bc9,4,2012
33,63,+9:53,59,Elmiger Martin,63,AG2R La Mondiale,9:53 9:53,+0:00,\u25bc4,4,2012
27,64,+10:08,60,Possoni Morris,64,Lampre - ISD,10:08 10:08,+0:00,\u25bc4,4,2012
28,65,+10:33,62,Montaguti Matteo,65,AG2R La Mondiale,10:33 10:33,+0:00,\u25bc3,4,2012
27,66,+11:32,64,Langeveld Sebastian,66,Orica GreenEDGE,11:32 11:32,+0:48,\u25bc2,4,2012
31,67,+11:50,65,Mori Manuele,67,Lampre - ISD,11:50 11:50,+0:00,\u25bc2,4,2012
31,68,+11:58,66,Kolobnev Alexandr,68,Team Katusha,11:58 11:58,+0:00,\u25bc2,4,2012
22,69,+12:29,67,Sagan Peter,69,Liquigas - Cannondale,12:29 12:29,+0:00,\u25bc2,4,2012
24,70,+12:30,68,Valls Rafael,70,Vacansoleil - DCM,12:30 12:30,+0:00,\u25bc2,4,2012
28,71,+12:44,69,Megias Javier,71,Team Type 1 - SANOFI,12:44 12:44,+0:00,\u25bc2,4,2012
27,72,+12:56,70,Velits Peter,72,Omega Pharma - Quick-Step,12:56 12:56,+0:00,\u25bc2,4,2012
28,73,+13:04,71,Bookwalter Brent,73,BMC Racing Team,13:04 13:04,+0:00,\u25bc2,4,2012
31,74,+13:13,75,Karpets Vladimir,74,Movistar Team,13:13 13:13,+0:00,\u25b21,4,2012
36,75,+13:19,112,Kroon Karsten,75,Team Saxo Bank - Tinkoff Bank,13:19 13:19,+-12:50,\u25b237,4,2012
28,76,+13:21,76,Nordhaug Lars Petter,76,Sky Procycling,13:21 13:21,+0:00,-,4,2012
21,77,+13:36,73,Herrada Jes\xfas,77,Movistar Team,13:36 13:36,+0:26,\u25bc4,4,2012
27,78,+13:41,77,Didier Laurent,78,RadioShack - Nissan,13:41 13:41,+0:00,\u25bc1,4,2012
31,79,+13:50,78,Wegmann Fabian,79,Team Garmin - Barracuda,13:50 13:50,+0:00,\u25bc1,4,2012
24,80,+13:56,79,Swift Ben,80,Sky Procycling,13:56 13:56,+0:00,\u25bc1,4,2012
31,81,+13:58,72,Cummings Stephen,81,BMC Racing Team,13:58 13:58,+0:48,\u25bc9,4,2012
32,82,+14:14,80,Kessiakoff Fredrik,82,Astana Pro Team,14:14 14:14,+0:00,\u25bc2,4,2012
24,83,+14:18,81,Bonnafond Guillaume,83,AG2R La Mondiale,14:18 14:18,+0:00,\u25bc2,4,2012
25,84,+14:59,82,Mollema Bauke,84,Rabobank Cycling Team,14:59 14:59,+0:00,\u25bc2,4,2012
33,85,+17:00,84,Guti\xe9rrez Jos\xe9 Iv\xe1n,85,Movistar Team,17:00 17:00,+0:00,\u25bc1,4,2012
38,86,+17:28,83,Horrach Joan,86,Team Katusha,17:28 17:28,+0:48,\u25bc3,4,2012
32,87,+17:31,87,Geslin Anthony,87,FDJ - BigMat,17:31 17:31,+0:00,-,4,2012
34,88,+17:47,88,Bertagnolli Leonardo,88,Lampre - ISD,17:47 17:47,+0:00,-,4,2012
34,89,+18:28,90,Hayman Mathew,89,Sky Procycling,18:28 18:28,+0:00,\u25b21,4,2012
30,90,+18:34,92,Vandborg Brian,90,Spidertech Powered by C10,18:34 18:34,+0:00,\u25b22,4,2012
37,91,+18:39,89,Bruseghin Marzio,91,Movistar Team,18:39 18:39,+0:42,\u25bc2,4,2012
36,92,+19:29,94,Niermann Grischa,92,Rabobank Cycling Team,19:29 19:29,+0:00,\u25b22,4,2012
28,93,+19:42,95,Dall'Antonia Tiziano,93,Liquigas - Cannondale,19:42 19:42,+0:00,\u25b22,4,2012
30,94,+19:42,96,Wynants Maarten,94,Rabobank Cycling Team,",, 19:42",+0:00,\u25b22,4,2012
31,95,+19:50,97,Vansummeren Johan,95,Team Garmin - Barracuda,19:50 19:50,+0:00,\u25b22,4,2012
32,96,+19:50,98,Nuyens Nick,96,Team Saxo Bank - Tinkoff Bank,",, 19:50",+0:00,\u25b22,4,2012
31,97,+20:02,99,Davis Allan,97,Orica GreenEDGE,20:02 20:02,+0:00,\u25b22,4,2012
24,98,+20:26,126,Lodewyck Klaas,98,BMC Racing Team,20:26 20:26,+-10:40,\u25b228,4,2012
28,99,+20:26,100,Chainel Steve,99,FDJ - BigMat,",, 20:26",+0:00,\u25b21,4,2012
33,100,+21:08,101,Cooke Baden,100,Orica GreenEDGE,21:08 21:08,+0:00,\u25b21,4,2012
30,101,+21:18,103,Mondory Lloyd,101,AG2R La Mondiale,21:18 21:18,+0:00,\u25b22,4,2012
35,102,+21:19,104,Zandio Xabier,102,Sky Procycling,21:19 21:19,+0:00,\u25b22,4,2012
38,103,+21:22,105,Petacchi Alessandro,103,Lampre - ISD,21:22 21:22,+0:00,\u25b22,4,2012
