Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
30.0,1,+0:00,,,Ullrich Jan,1,T-Mobile Team,4:07:46 4:07:46,+0:00,,1,2004
32.0,2,+0:02,,,Camenzind Oscar,2,Phonak Hearing Systems,0:02 0:02,+0:02,,1,2004
35.0,3,+0:06,,,Jeker Fabian,3,Saunier Duval - Prodir,0:06 0:06,+0:06,,1,2004
27.0,4,+0:07,,,Zampieri Steve,4,Vini Caldirola - Nobili Rubinetterie,0:07 0:07,+0:07,,1,2004
29.0,5,+0:08,,,Ca\xf1ada David,5,Saunier Duval - Prodir,0:08 0:08,+0:08,,1,2004
27.0,6,+0:22,,,Bodrogi Laszlo,6,Quickstep - Davitamon,0:22 0:22,+0:22,,1,2004
30.0,7,+0:24,,,Vinokourov Alexandre,7,T-Mobile Team,0:24 0:24,+0:24,,1,2004
32.0,8,+0:24,,,Julich Bobby,8,CSC ProTeam,",, 0:24",+0:24,,1,2004
31.0,9,+0:25,,,Moos Alexandre,9,Phonak Hearing Systems,0:25 0:25,+0:25,,1,2004
23.0,10,+0:25,,,Kolobnev Alexandr,10,Domina Vacanze,",, 0:25",+0:25,,1,2004
30.0,1,+0:00,,1.0,Ullrich Jan,1,T-Mobile Team,7:52:43 7:52:43,+0:00,-,2,2004
32.0,2,+0:02,,2.0,Camenzind Oscar,2,Phonak Hearing Systems,0:02 0:02,+0:00,-,2,2004
35.0,3,+0:06,,3.0,Jeker Fabian,3,Saunier Duval - Prodir,0:06 0:06,+0:00,-,2,2004
27.0,4,+0:07,,4.0,Zampieri Steve,4,Vini Caldirola - Nobili Rubinetterie,0:07 0:07,+0:00,-,2,2004
29.0,5,+0:08,,5.0,Ca\xf1ada David,5,Saunier Duval - Prodir,0:08 0:08,+0:00,-,2,2004
27.0,6,+0:22,,6.0,Bodrogi Laszlo,6,Quickstep - Davitamon,0:22 0:22,+0:00,-,2,2004
32.0,7,+0:24,,8.0,Julich Bobby,7,CSC ProTeam,0:24 0:24,+0:00,\u25b21,2,2004
23.0,8,+0:25,,10.0,Kolobnev Alexandr,8,Domina Vacanze,0:25 0:25,+0:00,\u25b22,2,2004
29.0,9,+0:25,,,Cioni Dario,9,Fassa Bortolo,",, 0:25",+248:11,-,2,2004
28.0,10,+0:25,,,Javier Vila Francisco,10,Lampre,",, 0:25",+248:11,-,2,2004
25.0,11,+0:25,,,Kirchen Kim,11,Fassa Bortolo,",, 0:25",+248:11,-,2,2004
30.0,1,+0:00,,1.0,Ullrich Jan,1,T-Mobile Team,12:01:49 12:01:49,+0:00,-,3,2004
32.0,2,+0:02,,2.0,Camenzind Oscar,2,Phonak Hearing Systems,0:02 0:02,+0:00,-,3,2004
35.0,3,+0:06,,3.0,Jeker Fabian,3,Saunier Duval - Prodir,0:06 0:06,+0:00,-,3,2004
27.0,4,+0:07,,4.0,Zampieri Steve,4,Vini Caldirola - Nobili Rubinetterie,0:07 0:07,+0:00,-,3,2004
29.0,5,+0:08,,5.0,Ca\xf1ada David,5,Saunier Duval - Prodir,0:08 0:08,+0:00,-,3,2004
32.0,6,+0:24,,7.0,Julich Bobby,6,CSC ProTeam,0:24 0:24,+0:00,\u25b21,3,2004
23.0,7,+0:25,,8.0,Kolobnev Alexandr,7,Domina Vacanze,0:25 0:25,+0:00,\u25b21,3,2004
29.0,8,+0:25,,9.0,Cioni Dario,8,Fassa Bortolo,",, 0:25",+0:00,\u25b21,3,2004
25.0,9,+0:25,,11.0,Kirchen Kim,9,Fassa Bortolo,",, 0:25",+0:00,\u25b22,3,2004
33.0,10,+0:25,,,Totschnig Georg,10,Gerolsteiner,",, 0:25",+473:08,-,3,2004
30.0,1,+0:00,,1.0,Ullrich Jan,1,T-Mobile Team,16:53:39 16:53:39,+0:00,-,4,2004
32.0,2,+0:02,,2.0,Camenzind Oscar,2,Phonak Hearing Systems,0:02 0:02,+0:00,-,4,2004
35.0,3,+0:06,,3.0,Jeker Fabian,3,Saunier Duval - Prodir,0:06 0:06,+0:00,-,4,2004
27.0,4,+0:07,,4.0,Zampieri Steve,4,Vini Caldirola - Nobili Rubinetterie,0:07 0:07,+0:00,-,4,2004
29.0,5,+0:08,,5.0,Ca\xf1ada David,5,Saunier Duval - Prodir,0:08 0:08,+0:00,-,4,2004
32.0,6,+0:24,,6.0,Julich Bobby,6,CSC ProTeam,0:24 0:24,+0:00,-,4,2004
25.0,7,+0:25,,9.0,Kirchen Kim,7,Fassa Bortolo,0:25 0:25,+0:00,\u25b22,4,2004
29.0,8,+0:25,,8.0,Cioni Dario,8,Fassa Bortolo,",, 0:25",+0:00,-,4,2004
23.0,9,+0:25,,7.0,Kolobnev Alexandr,9,Domina Vacanze,",, 0:25",+0:00,\u25bc2,4,2004
31.0,10,+0:25,,,Moos Alexandre,10,Phonak Hearing Systems,",, 0:25",+722:14,-,4,2004
33.0,11,+0:25,,10.0,Totschnig Georg,11,Gerolsteiner,",, 0:25",+0:00,\u25bc1,4,2004
30.0,1,+0:00,,1.0,Ullrich Jan,1,T-Mobile Team,20:43:25 20:43:25,+0:00,-,5,2004
32.0,2,+0:02,,2.0,Camenzind Oscar,2,Phonak Hearing Systems,0:02 0:02,+0:00,-,5,2004
35.0,3,+0:06,,3.0,Jeker Fabian,3,Saunier Duval - Prodir,0:06 0:06,+0:00,-,5,2004
27.0,4,+0:07,,4.0,Zampieri Steve,4,Vini Caldirola - Nobili Rubinetterie,0:07 0:07,+0:00,-,5,2004
29.0,5,+0:08,,5.0,Ca\xf1ada David,5,Saunier Duval - Prodir,0:08 0:08,+0:00,-,5,2004
32.0,6,+0:24,,6.0,Julich Bobby,6,CSC ProTeam,0:24 0:24,+0:00,-,5,2004
25.0,7,+0:25,,7.0,Kirchen Kim,7,Fassa Bortolo,0:25 0:25,+0:00,-,5,2004
23.0,8,+0:25,,9.0,Kolobnev Alexandr,8,Domina Vacanze,",, 0:25",+0:00,\u25b21,5,2004
29.0,9,+0:25,,8.0,Cioni Dario,9,Fassa Bortolo,",, 0:25",+0:00,\u25bc1,5,2004
33.0,10,+0:25,,11.0,Totschnig Georg,10,Gerolsteiner,",, 0:25",+0:00,\u25b21,5,2004
31.0,11,+0:25,,10.0,Moos Alexandre,11,Phonak Hearing Systems,",, 0:25",+0:00,\u25bc1,5,2004
30.0,1,+0:00,,1.0,Ullrich Jan,1,T-Mobile Team,25:50:32 25:50:32,+0:00,-,6,2004
35.0,2,+0:06,,3.0,Jeker Fabian,2,Saunier Duval - Prodir,0:06 0:06,+0:00,\u25b21,6,2004
33.0,3,+0:25,,10.0,Totschnig Georg,3,Gerolsteiner,0:25 0:25,+0:00,\u25b27,6,2004
29.0,4,+0:25,,9.0,Cioni Dario,4,Fassa Bortolo,",, 0:25",+0:00,\u25b25,6,2004
,5,+0:25,,,Del Olmo Jose Maria,5,,",, 0:25",+1243:50,-,6,2004
34.0,6,+1:00,,,Guerini Giuseppe,6,T-Mobile Team,1:00 1:00,+1244:25,-,6,2004
32.0,7,+1:15,,2.0,Camenzind Oscar,7,Phonak Hearing Systems,1:15 1:15,+1:13,\u25bc5,6,2004
29.0,8,+1:21,,5.0,Ca\xf1ada David,8,Saunier Duval - Prodir,1:21 1:21,+1:13,\u25bc3,6,2004
31.0,9,+1:38,,11.0,Moos Alexandre,9,Phonak Hearing Systems,1:38 1:38,+1:13,\u25b22,6,2004
23.0,10,+1:38,,,Sinkewitz Patrik,10,Quickstep - Davitamon,",, 1:38",+1245:03,-,6,2004
35.0,1,+0:00,,2.0,Jeker Fabian,1,Saunier Duval - Prodir,29:13:24 29:13:24,+0:00,\u25b21,7,2004
33.0,2,+0:08,,3.0,Totschnig Georg,2,Gerolsteiner,0:08 0:08,+-1:49,\u25b21,7,2004
30.0,3,+0:32,,1.0,Ullrich Jan,3,T-Mobile Team,0:32 0:32,+0:38,\u25bc2,7,2004
,4,+0:35,,5.0,Del Olmo Jose Maria,4,,0:35 0:35,+0:16,\u25b21,7,2004
29.0,5,+0:46,,4.0,Cioni Dario,5,Fassa Bortolo,0:46 0:46,+0:27,\u25bc1,7,2004
23.0,6,+2:14,,10.0,Sinkewitz Patrik,6,Quickstep - Davitamon,2:14 2:14,+0:42,\u25b24,7,2004
34.0,7,+2:15,,6.0,Guerini Giuseppe,7,T-Mobile Team,2:15 2:15,+1:21,\u25bc1,7,2004
26.0,8,+2:21,,,Petrov Evgeni,8,Saeco,2:21 2:21,+1552:59,-,7,2004
29.0,9,+2:36,,8.0,Ca\xf1ada David,9,Saunier Duval - Prodir,2:36 2:36,+1:21,\u25bc1,7,2004
32.0,10,+3:08,,7.0,Camenzind Oscar,10,Phonak Hearing Systems,3:08 3:08,+1:59,\u25bc3,7,2004
27.0,11,+3:26,,,Zampieri Steve,11,Vini Caldirola - Nobili Rubinetterie,3:26 3:26,+1554:04,-,7,2004
28.0,12,+4:14,,,Javier Vila Francisco,12,Lampre,4:14 4:14,+1554:52,-,7,2004
31.0,13,+4:42,,9.0,Moos Alexandre,13,Phonak Hearing Systems,4:42 4:42,+3:10,\u25bc4,7,2004
35.0,1,+0:00,,1.0,Jeker Fabian,1,Saunier Duval - Prodir,33:47:08 33:47:08,+0:00,-,8,2004
30.0,2,+0:41,,3.0,Ullrich Jan,2,T-Mobile Team,0:41 0:41,+0:09,\u25b21,8,2004
33.0,3,+0:50,,2.0,Totschnig Georg,3,Gerolsteiner,0:50 0:50,+0:42,\u25bc1,8,2004
29.0,4,+0:51,,5.0,Cioni Dario,4,Fassa Bortolo,0:51 0:51,+0:05,\u25b21,8,2004
,5,+0:53,,4.0,Del Olmo Jose Maria,5,,0:53 0:53,+0:18,\u25bc1,8,2004
23.0,6,+2:23,,6.0,Sinkewitz Patrik,6,Quickstep - Davitamon,2:23 2:23,+0:09,-,8,2004
26.0,7,+2:32,,8.0,Petrov Evgeni,7,Saeco,2:32 2:32,+0:11,\u25b21,8,2004
34.0,8,+2:33,,7.0,Guerini Giuseppe,8,T-Mobile Team,2:33 2:33,+0:18,\u25bc1,8,2004
32.0,9,+3:19,,10.0,Camenzind Oscar,9,Phonak Hearing Systems,3:19 3:19,+0:11,\u25b21,8,2004
29.0,10,+3:28,,9.0,Ca\xf1ada David,10,Saunier Duval - Prodir,3:28 3:28,+0:52,\u25bc1,8,2004
30.0,1,+0:00,250.0,1.0,Ullrich Jan,1,T-Mobile Team,34:19:25 34:19:25,+0:00,-,9,2004
35.0,2,+0:01,190.0,2.0,Jeker Fabian,2,Saunier Duval - Prodir,0:01 0:01,+0:00,-,9,2004
29.0,3,+1:20,160.0,3.0,Cioni Dario,3,Fassa Bortolo,1:20 1:20,+0:00,-,9,2004
33.0,4,+1:26,140.0,4.0,Totschnig Georg,4,Gerolsteiner,1:26 1:26,+0:00,-,9,2004
26.0,5,+2:14,120.0,5.0,Petrov Evgeni,5,Saeco,2:14 2:14,+0:00,-,9,2004
,6,+2:17,110.0,6.0,Del Olmo Jose Maria,6,,2:17 2:17,+0:00,-,9,2004
23.0,7,+3:18,100.0,7.0,Sinkewitz Patrik,7,Quickstep - Davitamon,3:18 3:18,+0:00,-,9,2004
34.0,8,+3:20,90.0,8.0,Guerini Giuseppe,8,T-Mobile Team,3:20 3:20,+0:00,-,9,2004
32.0,9,+4:38,80.0,9.0,Camenzind Oscar,9,Phonak Hearing Systems,4:38 4:38,+0:00,-,9,2004
29.0,10,+4:46,70.0,10.0,Ca\xf1ada David,10,Saunier Duval - Prodir,4:46 4:46,+0:00,-,9,2004
28.0,11,+5:41,60.0,,Javier Vila Francisco,11,Lampre,5:41 5:41,+2065:06,-,9,2004
27.0,12,+6:23,55.0,,Zampieri Steve,12,Vini Caldirola - Nobili Rubinetterie,6:23 6:23,+2065:48,-,9,2004
32.0,13,+6:30,50.0,,Julich Bobby,13,CSC ProTeam,6:30 6:30,+2065:55,-,9,2004
31.0,14,+6:44,45.0,,Moos Alexandre,14,Phonak Hearing Systems,6:44 6:44,+2066:09,-,9,2004
23.0,15,+7:13,40.0,,Kolobnev Alexandr,15,Domina Vacanze,7:13 7:13,+2066:38,-,9,2004
33.0,16,+7:16,36.0,,Lavarinhas Rui,16,Milaneza Maia,7:16 7:16,+2066:41,-,9,2004
28.0,17,+8:55,32.0,,Niermann Grischa,17,Rabobank ProTeam,8:55 8:55,+2068:20,-,9,2004
31.0,18,+9:07,28.0,,Merckx Axel,18,Lotto - Domo,9:07 9:07,+2068:32,-,9,2004
27.0,19,+10:18,24.0,,Gustov Volodymyr,19,Fassa Bortolo,10:18 10:18,+2069:43,-,9,2004
35.0,20,+10:53,20.0,,Tonkov Pavel,20,Vini Caldirola - Nobili Rubinetterie,10:53 10:53,+2070:18,-,9,2004
25.0,21,+12:18,18.0,,Sabaliauskas Marius,21,Saeco,12:18 12:18,+2071:43,-,9,2004
24.0,22,+12:28,16.0,,Kashechkin Andrey,22,Cr\xe9dit Agricole,12:28 12:28,+2071:53,-,9,2004
32.0,23,+12:59,14.0,,Zintchenko Andrei,23,Milaneza Maia,12:59 12:59,+2072:24,-,9,2004
27.0,24,+13:42,12.0,,Bodrogi Laszlo,24,Quickstep - Davitamon,13:42 13:42,+2073:07,-,9,2004
30.0,25,+14:52,10.0,,Schnider Daniel,25,Phonak Hearing Systems,14:52 14:52,+2074:17,-,9,2004
25.0,26,+18:33,9.0,,Kirchen Kim,26,Fassa Bortolo,18:33 18:33,+2077:58,-,9,2004
