Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
1,1.0,-,,Lotto Soudal,,+ -4:42:56,14:09:28 14:09:28,2016,2
2,4.0,\u25b22,,Orica GreenEDGE,,+ -4:42:56,0:04 0:04,2016,2
3,2.0,\u25bc1,,Team LottoNL-Jumbo,,+ -4:42:56,0:08 0:08,2016,2
4,3.0,\u25bc1,,IAM Cycling,,+ -4:42:56,",, 0:08",2016,2
5,5.0,-,,Movistar Team,,+ -4:42:56,0:11 0:11,2016,2
6,6.0,-,,Trek - Segafredo,,+ -4:42:56,0:13 0:13,2016,2
7,7.0,-,,Etixx - Quick Step,,+ -4:42:56,0:14 0:14,2016,2
8,8.0,-,,Tinkoff,,+ -4:42:56,0:23 0:23,2016,2
9,9.0,-,,Team Sky,,+ -4:42:56,0:33 0:33,2016,2
10,10.0,-,,FDJ,,+ -4:42:56,0:34 0:34,2016,2
11,11.0,-,,CCC Sprandi Polkowice,,+ -4:42:56,0:35 0:35,2016,2
12,12.0,-,,Astana Pro Team,,+ -4:42:56,0:39 0:39,2016,2
13,13.0,-,,BMC Racing Team,,+ -4:42:56,0:42 0:42,2016,2
14,14.0,-,,Team Giant - Alpecin,,+ -4:42:56,0:44 0:44,2016,2
15,15.0,-,,AG2R La Mondiale,,+ -4:42:56,0:49 0:49,2016,2
16,16.0,-,,Team Katusha,,+ -4:42:56,0:53 0:53,2016,2
17,17.0,-,,Cannondale Pro Cycling Team,,+ -4:42:56,1:00 1:00,2016,2
18,18.0,-,,VERVA ActiveJet Pro Cycling Team,,+ -4:42:56,1:14 1:14,2016,2
19,19.0,-,,Team Dimension Data,,+ -4:42:56,1:15 1:15,2016,2
1,1.0,-,,Lotto Soudal,,+ -9:14:13,27:43:28 27:43:28,2016,3
2,2.0,-,,Orica GreenEDGE,,+ -9:14:13,0:01 0:01,2016,3
3,4.0,\u25b21,,IAM Cycling,,+ -9:14:13,0:22 0:22,2016,3
