Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
30.0,,1.0,+0:00,50.0,Ullrich Jan,1,T-Mobile Team,4:07:56 4:07:56,1,2004
32.0,,2.0,+0:02,30.0,Camenzind Oscar,2,Phonak Hearing Systems,",, ,,",1,2004
35.0,,3.0,+0:06,18.0,Jeker Fabian,3,Saunier Duval - Prodir,",, ,,",1,2004
27.0,,4.0,+0:07,13.0,Zampieri Steve,4,Vini Caldirola - Nobili Rubinetterie,",, ,,",1,2004
29.0,,5.0,+0:08,10.0,Ca\xf1ada David,5,Saunier Duval - Prodir,",, ,,",1,2004
31.0,,9.0,+0:25,7.0,Moos Alexandre,6,Phonak Hearing Systems,0:15 0:15,1,2004
30.0,,7.0,+0:24,4.0,Vinokourov Alexandre,7,T-Mobile Team,",, 0:15",1,2004
23.0,,10.0,+0:25,3.0,Kolobnev Alexandr,8,Domina Vacanze,",, 0:15",1,2004
28.0,,,+ -4:07:46,2.0,Niermann Grischa,9,Rabobank ProTeam,",, 0:15",1,2004
30.0,,,+ -4:07:46,1.0,Detilloux Christophe,10,Lotto - Domo,",, 0:15",1,2004
28.0,,,+ -4:07:46,,Javier Vila Francisco,11,Lampre,",, 0:15",1,2004
31.0,,,+ -4:07:46,,Merckx Axel,12,Lotto - Domo,",, 0:15",1,2004
32.0,,8.0,+0:24,,Julich Bobby,13,CSC ProTeam,",, 0:15",1,2004
29.0,,,+ -4:07:46,,Cioni Dario,14,Fassa Bortolo,",, 0:15",1,2004
29.0,,,+ -4:07:46,,Verbrugghe Rik,15,Lotto - Domo,",, 0:15",1,2004
27.0,,6.0,+0:22,,Bodrogi Laszlo,16,Quickstep - Davitamon,",, 0:15",1,2004
33.0,,,+ -4:07:46,,Totschnig Georg,17,Gerolsteiner,",, 0:15",1,2004
35.0,,,+ -4:07:46,,Barbero Sergio,18,Lampre,",, 0:15",1,2004
24.0,,,+ -4:07:46,,Joly S\xe9bastien,19,Cr\xe9dit Agricole,",, 0:15",1,2004
35.0,,,+ -4:07:46,,Tonkov Pavel,20,Vini Caldirola - Nobili Rubinetterie,",, 0:15",1,2004
30.0,,,+ -4:07:46,,Schnider Daniel,21,Phonak Hearing Systems,",, 0:15",1,2004
24.0,,,+ -4:07:46,,Kashechkin Andrey,22,Cr\xe9dit Agricole,",, 0:15",1,2004
37.0,,,+ -4:07:46,,Sunderland Scott,23,Alessio - Bianchi,",, 0:15",1,2004
32.0,,,+ -4:07:46,,Zintchenko Andrei,24,Milaneza Maia,",, 0:15",1,2004
26.0,,,+ -4:07:46,,Petrov Evgeni,25,Saeco,",, 0:15",1,2004
33.0,,,+ -4:07:46,,Wesemann Steffen,26,T-Mobile Team,",, 0:15",1,2004
31.0,,,+ -4:07:46,,Amorim Gon\xe7alo,27,Milaneza Maia,",, 0:15",1,2004
25.0,,,+ -4:07:46,,Kirchen Kim,28,Fassa Bortolo,",, 0:15",1,2004
25.0,,,+ -4:07:46,,Sabaliauskas Marius,29,Saeco,",, 0:15",1,2004
33.0,,,+ -4:07:46,,Lavarinhas Rui,30,Milaneza Maia,",, 0:15",1,2004
,,,+ -4:07:46,,Del Olmo Jose Maria,31,,",, 0:15",1,2004
26.0,,,+ -4:07:46,,Cortinovis Alessandro,32,Lampre,",, 0:15",1,2004
34.0,,,+ -4:07:46,,Guerini Giuseppe,33,T-Mobile Team,",, 0:15",1,2004
23.0,,,+ -4:07:46,,Sinkewitz Patrik,34,Quickstep - Davitamon,",, 0:15",1,2004
27.0,,,+ -4:07:46,,Gustov Volodymyr,35,Fassa Bortolo,",, 0:15",1,2004
23.0,,,+ -4:07:46,,Cancellara Fabian,36,Fassa Bortolo,2:30 2:30,1,2004
32.0,,,+ -4:07:46,,Castresana Angel,37,Mrbookmaker.com - Palmans,3:57 3:57,1,2004
31.0,,,+ -4:07:46,,Botero Santiago,38,T-Mobile Team,4:51 4:51,1,2004
30.0,,,+ -4:07:46,,Pollack Olaf,39,Gerolsteiner,5:21 5:21,1,2004
25.0,,,+ -4:07:46,,Lobato Ruben,40,Saunier Duval - Prodir,18:31 18:31,1,2004
25.0,,,+ -4:07:46,,Loddo Alberto,41,Saunier Duval - Prodir,",, 18:31",1,2004
30.0,,,+ -4:07:46,,Ivanov Ruslan,42,Alessio - Bianchi,",, 18:31",1,2004
27.0,,,+ -4:07:46,,Sousa Barbosa Rui Miguel,43,Milaneza Maia,",, 18:31",1,2004
27.0,,,+ -4:07:46,,Fuentes Juan,44,Saeco,",, 18:31",1,2004
24.0,,,+ -4:07:46,,Commeyne Davy,45,Mrbookmaker.com - Palmans,",, 18:31",1,2004
31.0,,,+ -4:07:46,,McEwen Robbie,46,Lotto - Domo,",, 18:31",1,2004
24.0,,,+ -4:07:46,,Schleck Fr\xe4nk,47,CSC ProTeam,",, 18:31",1,2004
25.0,,,+ -4:07:46,,Aranaga Andoni,48,Chocolade Jacques - Wincor Nixdorf,",, 18:31",1,2004
30.0,,,+ -4:07:46,,Cardoso Pedro,49,Milaneza Maia,",, 18:31",1,2004
27.0,,,+ -4:07:46,,Castanheira Bruno,50,Milaneza Maia,",, 18:31",1,2004
28.0,,,+ -4:07:46,,Ludewig Jorg,51,Saeco,",, 18:31",1,2004
38.0,,,+ -4:07:46,,Piatek Zbigniew,52,Chocolade Jacques - Wincor Nixdorf,",, 18:31",1,2004
29.0,,,+ -4:07:46,,Auge St\xe9phane,53,Cr\xe9dit Agricole,",, 18:31",1,2004
29.0,,,+ -4:07:46,,Bertoletti Simone,54,Lampre,",, 18:31",1,2004
29.0,,,+ -4:07:46,,Bernabeu David,55,Milaneza Maia,",, 18:31",1,2004
25.0,,,+ -4:07:46,,Gadret John,56,Chocolade Jacques - Wincor Nixdorf,",, 18:31",1,2004
27.0,,,+ -4:07:46,,Hunter Robert,57,Rabobank ProTeam,",, 18:31",1,2004
28.0,,,+ -4:07:46,,Garate Juan Manuel,58,Lampre,",, 18:31",1,2004
31.0,,,+ -4:07:46,,Codol Massimo,59,Fassa Bortolo,",, 18:31",1,2004
31.0,,,+ -4:07:46,,Wuyts Peter,60,Mrbookmaker.com - Palmans,",, 18:31",1,2004
25.0,,,+ -4:07:46,,Day Benjamin,61,Mrbookmaker.com - Palmans,",, 18:31",1,2004
28.0,,,+ -4:07:46,,Ongarato Alberto,62,Fassa Bortolo,",, 18:31",1,2004
31.0,,,+ -4:07:46,,Blaudzun Michael,63,CSC ProTeam,",, 18:31",1,2004
26.0,,,+ -4:07:46,,Danielson Thomas,64,Fassa Bortolo,",, 18:31",1,2004
26.0,,,+ -4:07:46,,Clinger David,65,Domina Vacanze,",, 18:31",1,2004
31.0,,,+ -4:07:46,,Aebersold Niki,66,Phonak Hearing Systems,",, 18:31",1,2004
25.0,,,+ -4:07:46,,Elmiger Martin,67,Phonak Hearing Systems,",, 18:31",1,2004
28.0,,,+ -4:07:46,,Caucchioli Pietro,68,Alessio - Bianchi,",, 18:31",1,2004
32.0,,,+ -4:07:46,,Guidi Fabrizio,69,CSC ProTeam,",, 18:31",1,2004
29.0,,,+ -4:07:46,,Ivanov Serguei,70,T-Mobile Team,",, 18:31",1,2004
35.0,,,+ -4:07:46,,Z\xfclle Alex,71,Phonak Hearing Systems,",, 18:31",1,2004
34.0,,,+ -4:07:46,,Hvastija Martin,72,Alessio - Bianchi,",, 18:31",1,2004
28.0,,,+ -4:07:46,,Jorgensen Rene,73,Alessio - Bianchi,",, 18:31",1,2004
29.0,,,+ -4:07:46,,D Hollander Glenn,74,Lotto - Domo,",, 18:31",1,2004
25.0,,,+ -4:07:46,,Tankink Bram,75,Quickstep - Davitamon,",, 18:31",1,2004
33.0,,,+ -4:07:46,,Casagrande Francesco,76,Vini Caldirola - Nobili Rubinetterie,",, 18:31",1,2004
23.0,,,+ -4:07:46,,Zaugg Oliver,77,Saunier Duval - Prodir,",, 18:31",1,2004
29.0,,,+ -4:07:46,,Gerosa Mauro,78,Vini Caldirola - Nobili Rubinetterie,",, 18:31",1,2004
29.0,,,+ -4:07:46,,Glomser Gerrit,79,Saeco,",, 18:31",1,2004
35.0,,,+ -4:07:46,,Bortolami Gianluca,80,Lampre,",, 18:31",1,2004
31.0,,,+ -4:07:46,,Luttenberger Peter,81,CSC ProTeam,",, 18:31",1,2004
24.0,,,+ -4:07:46,,Rast Gregory,82,Phonak Hearing Systems,",, 18:31",1,2004
26.0,,,+ -4:07:46,,Veneberg Thorwald,83,Rabobank ProTeam,",, 18:31",1,2004
24.0,,,+ -4:07:46,,Loosli David,84,Saeco,",, 18:31",1,2004
24.0,,,+ -4:07:46,,Clerc Aur\xe9lien,85,Quickstep - Davitamon,",, 18:31",1,2004
23.0,,,+ -4:07:46,,Chicchi Francesco,86,Fassa Bortolo,",, 18:31",1,2004
28.0,,,+ -4:07:46,,Nauduzs Andris,87,Domina Vacanze,",, 18:31",1,2004
27.0,,,+ -4:07:46,,Strauss Marcel,88,Gerolsteiner,",, 18:31",1,2004
32.0,,,+ -4:07:46,,Beuchat Roger,89,Vini Caldirola - Nobili Rubinetterie,",, 18:31",1,2004
22.0,,,+ -4:07:46,,Fothen Markus,90,Gerolsteiner,",, 18:31",1,2004
26.0,,,+ -4:07:46,,Leblacher Eric,91,Cr\xe9dit Agricole,",, 18:31",1,2004
21.0,,,+ -4:07:46,,Gusev Vladimir,92,CSC ProTeam,",, 18:31",1,2004
23.0,,,+ -4:07:46,,van Goolen Jurgen,93,Quickstep - Davitamon,",, 18:31",1,2004
29.0,,,+ -4:07:46,,Commesso Salvatore,94,Saeco,",, 18:31",1,2004
22.0,,,+ -4:07:46,,Bucciero Antonio,95,Saeco,",, 18:31",1,2004
30.0,,,+ -4:07:46,,Bettini Paolo,96,Quickstep - Davitamon,",, 18:31",1,2004
23.0,,,+ -4:07:46,,Bazhenov Alexandre,97,Domina Vacanze,",, 18:31",1,2004
35.0,,,+ -4:07:46,,Moller Claus Michael,98,Alessio - Bianchi,",, 18:31",1,2004
30.0,,,+ -4:07:46,,Hinault S\xe9bastien,99,Cr\xe9dit Agricole,",, 18:31",1,2004
30.0,,,+ -4:07:46,,Christensen Bekim leif,100,CSC ProTeam,",, 18:31",1,2004
26.0,,,+ -4:07:46,,Perez Santiago,101,Phonak Hearing Systems,",, 18:31",1,2004
30.0,,,+ -4:07:46,,Marichal Thierry,102,Lotto - Domo,",, 18:31",1,2004
32.0,,,+ -4:07:46,,Vansevenant Wim,103,Lotto - Domo,",, 18:31",1,2004
24.0,,,+ -4:07:46,,Fischer Murilo Antonio,104,Domina Vacanze,",, 18:31",1,2004
23.0,,,+ -4:07:46,,Van Impe Kevin,105,Lotto - Domo,",, 18:31",1,2004
33.0,,,+ -4:07:46,,Fagnini Gian-matteo,106,Domina Vacanze,",, 18:31",1,2004
30.0,,,+ -4:07:46,,Garzelli Stefano,107,Vini Caldirola - Nobili Rubinetterie,",, 18:31",1,2004
30.0,,,+ -4:07:46,,Zanotti Marco,108,Vini Caldirola - Nobili Rubinetterie,",, 18:31",1,2004
25.0,,,+ -4:07:46,,Coenen Johan,109,Mrbookmaker.com - Palmans,",, 18:31",1,2004
26.0,,,+ -4:07:46,,F\xf6rster Robert,110,Gerolsteiner,",, 18:31",1,2004
30.0,,,+ -4:07:46,,Hammond Roger,111,Mrbookmaker.com - Palmans,",, 18:31",1,2004
33.0,,,+ -4:07:46,,Steinhauser Tobias,112,T-Mobile Team,",, 18:31",1,2004
26.0,,,+ -4:07:46,,Calcagni Patrick,113,Vini Caldirola - Nobili Rubinetterie,",, 18:31",1,2004
23.0,,,+ -4:07:46,,Cobo Juan Jose,114,Saunier Duval - Prodir,",, 18:31",1,2004
34.0,,,+ -4:07:46,,Milesi Marco,115,Vini Caldirola - Nobili Rubinetterie,",, 18:31",1,2004
35.0,,,+ -4:07:46,,Bramati Davide,116,Quickstep - Davitamon,",, 18:31",1,2004
31.0,,,+ -4:07:46,,Nardello Daniele,117,T-Mobile Team,",, 18:31",1,2004
38.0,,,+ -4:07:46,,Faresin Gianni,118,Gerolsteiner,",, 18:31",1,2004
27.0,,,+ -4:07:46,,Ferrara Raffaele,119,Alessio - Bianchi,",, 18:31",1,2004
33.0,,,+ -4:07:46,,Belli Wladimir,120,Lampre,",, 18:31",1,2004
24.0,,,+ -4:07:46,,Wiggins Bradley,121,Cr\xe9dit Agricole,",, 18:31",1,2004
29.0,,,+ -4:07:46,,Dean Julian,122,Cr\xe9dit Agricole,",, 18:31",1,2004
28.0,,,+ -4:07:46,,Jones Timothy,123,Domina Vacanze,",, 18:31",1,2004
35.0,,,+ -4:07:46,,Wauters Marc,124,Rabobank ProTeam,",, 18:31",1,2004
31.0,,,+ -4:07:46,,Serpellini Marco,125,Gerolsteiner,",, 18:31",1,2004
32.0,,,+ -4:07:46,,Gentili Massimiliano,126,Domina Vacanze,",, 18:31",1,2004
32.0,,,+ -4:07:46,,Boven Jan,127,Rabobank ProTeam,",, 18:31",1,2004
26.0,,,+ -4:07:46,,Hayman Mathew,128,Rabobank ProTeam,",, 18:31",1,2004
35.0,,,+ -4:07:46,,Baldato Fabio,129,Alessio - Bianchi,",, 18:31",1,2004
23.0,,,+ -4:07:46,,Weening Pieter,130,Rabobank ProTeam,",, 18:31",1,2004
27.0,,,+ -4:07:46,,Paolini Luca,131,Quickstep - Davitamon,",, 18:31",1,2004
29.0,,,+ -4:07:46,,Zberg Markus,132,Gerolsteiner,",, 18:31",1,2004
33.0,,,+ -4:07:46,,Thijs Erwin,133,Mrbookmaker.com - Palmans,",, 18:31",1,2004
25.0,,,+ -4:07:46,,Bertogliati Rubens,134,Saunier Duval - Prodir,",, 18:31",1,2004
