Rnk,Team,GC,GC-Time,Time,year,stage
2,T-Mobile Team,,+ - 38:21:36,:13:05 :13:05,2006,9
3,Saunier Duval - Prodir,,+ - 38:21:36,:20:07 :20:07,2006,9
4,CSC ProTeam,,+ - 38:21:36,:26:43 :26:43,2006,9
5,Discovery Channel,,+ - 38:21:36,:30:02 :30:02,2006,9
6,Caisse d'Epargne - Illes Balears,,+ - 38:21:36,:32:25 :32:25,2006,9
7,Rabobank ProTeam,,+ - 38:21:36,:41:49 :41:49,2006,9
8,Phonak Hearing Systems,,+ - 38:21:36,:47:58 :47:58,2006,9
9,Gerolsteiner,,+ - 38:21:36,:50:06 :50:06,2006,9
10,Euskaltel - Euskadi,,+ - 38:21:36,:00:35 :00:35,2006,9
11,AG2R Pr\xe9voyance,,+ - 38:21:36,:05:25 :05:25,2006,9
12,Liquigas,,+ - 38:21:36,:30:35 :30:35,2006,9
13,Lampre-Fondital,,+ - 38:21:36,:30:59 :30:59,2006,9
14,Quickstep - Innergetic,,+ - 38:21:36,:31:51 :31:51,2006,9
15,Cr\xe9dit Agricole,,+ - 38:21:36,:32:04 :32:04,2006,9
16,Bouygues Telecom,,+ - 38:21:36,:39:59 :39:59,2006,9
17,Davitamon - Lotto,,+ - 38:21:36,:44:48 :44:48,2006,9
18,Milram,,+ - 38:21:36,:58:01 :58:01,2006,9
19,Cofidis,,+ - 38:21:36,:16:31 :16:31,2006,9
20,Fran\xe7aise des Jeux,,+ - 38:21:36,:55:01 :55:01,2006,9
