Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
82,83,\u25b21,116,Malori Adriano,27,Movistar Team,82,+19:03,19:03 19:03,+8:48,2015,3
83,92,\u25b29,64,Martens Paul,31,Team LottoNL-Jumbo,83,+19:13,19:13 19:13,+8:48,2015,3
84,93,\u25b29,165,Turgot S\xe9bastien,31,AG2R La Mondiale,84,+19:15,19:15 19:15,+8:48,2015,3
85,94,\u25b29,125,De Gendt Thomas,28,Lotto Soudal,85,+19:16,19:16 19:16,+8:48,2015,3
86,70,\u25bc16,82,Arndt Nikias,23,Team Giant - Alpecin,86,+20:37,20:37 20:37,+13:13,2015,3
87,71,\u25bc16,24,Devenyns Dries,31,IAM Cycling,87,+20:41,20:41 20:41,+13:13,2015,3
88,78,\u25bc10,44,Breschel Matti,30,Tinkoff - Saxo,88,+20:55,20:55 20:55,+13:13,2015,3
89,101,\u25b212,103,Clarke Simon,28,Orica GreenEDGE,89,+21:04,21:04 21:04,+10:30,2015,3
90,115,\u25b225,88,Preidler Georg,24,Team Giant - Alpecin,90,+22:23,22:23 22:23,+8:48,2015,3
91,62,\u25bc29,8,Costa M\xe1rio,29,Lampre - Merida,91,+23:06,23:06 23:06,+17:02,2015,3
92,89,\u25bc3,186,Marcato Marco,31,Wanty - Groupe Gobert,92,+23:30,23:30 23:30,+13:07,2015,3
93,85,\u25bc8,34,Drucker Jean-Pierre,28,BMC Racing Team,93,+23:31,23:31 23:31,+13:13,2015,3
94,87,\u25bc7,146,Stybar Zdenek,29,Etixx - Quick Step,94,+23:32,23:32 23:32,+13:13,2015,3
95,90,\u25bc5,164,Gaudin Damien,28,AG2R La Mondiale,95,+23:37,23:37 23:37,+13:13,2015,3
96,91,\u25bc5,81,Degenkolb John,26,Team Giant - Alpecin,96,+23:37,",, 23:37",+13:13,2015,3
97,96,\u25bc1,141,Kwiatkowski Michal,25,Etixx - Quick Step,97,+23:43,23:43 23:43,+13:13,2015,3
98,97,\u25bc1,154,Agnoli Valerio,30,Astana Pro Team,98,+23:43,",, 23:43",+13:13,2015,3
99,114,\u25b215,105,Hayman Mathew,37,Orica GreenEDGE,99,+24:17,24:17 24:17,+10:45,2015,3
100,76,\u25bc24,47,M\xf8rk\xf8v Michael,30,Tinkoff - Saxo,100,+24:40,24:40 24:40,+17:02,2015,3
101,77,\u25bc24,74,Kozonchuk Dmitry,31,Team Katusha,101,+24:41,24:41 24:41,+17:02,2015,3
102,134,\u25b232,18,Stuyven Jasper,23,Trek Factory Racing,102,+24:47,24:47 24:47,+8:48,2015,3
103,109,\u25b26,95,King Benjamin,26,Team Cannondale - Garmin,103,+26:38,26:38 26:38,+13:13,2015,3
104,116,\u25b212,124,de Buyst Jasper,21,Lotto Soudal,104,+26:48,26:48 26:48,+13:13,2015,3
105,120,\u25b215,84,de Kort Koen,32,Team Giant - Alpecin,105,+26:52,26:52 26:52,+13:13,2015,3
106,144,\u25b238,157,Malacarne Davide,27,Astana Pro Team,106,+26:56,26:56 26:56,+10:45,2015,3
107,129,\u25b222,96,Howes Alex,27,Team Cannondale - Garmin,107,+27:01,27:01 27:01,+13:13,2015,3
108,130,\u25b222,167,Minard S\xe9bastien,33,AG2R La Mondiale,108,+27:01,",, 27:01",+13:13,2015,3
109,86,\u25bc23,128,Roelandts Jurgen,29,Lotto Soudal,109,+27:20,27:20 27:20,+17:02,2015,3
110,88,\u25bc22,67,Vanmarcke Sep,26,Team LottoNL-Jumbo,110,+27:22,27:22 27:22,+17:02,2015,3
111,95,\u25bc16,16,Rast Gregory,35,Trek Factory Racing,111,+27:31,27:31 27:31,+17:02,2015,3
112,98,\u25bc14,183,Baugnies Jerome,28,Wanty - Groupe Gobert,112,+27:34,27:34 27:34,+17:02,2015,3
113,99,\u25bc14,73,Haller Marco,24,Team Katusha,113,+27:34,",, 27:34",+17:02,2015,3
114,100,\u25bc14,75,Kuznetsov Viacheslav,25,Team Katusha,114,+27:35,27:35 27:35,+17:02,2015,3
115,102,\u25bc13,92,Bettiol Alberto,21,Team Cannondale - Garmin,115,+27:36,27:36 27:36,+17:02,2015,3
116,103,\u25bc13,153,Fominykh Daniil,23,Astana Pro Team,116,+27:37,27:37 27:37,+17:02,2015,3
117,105,\u25bc12,173,Rutkiewicz Marek,34,CCC Sprandi Polkowice,117,+27:43,27:43 27:43,+17:02,2015,3
118,106,\u25bc12,87,Jones Carter,26,Team Giant - Alpecin,118,+27:44,27:44 27:44,+17:02,2015,3
119,148,\u25b229,54,Nordhaug Lars Petter,31,Team Sky,119,+29:30,29:30 29:30,+13:13,2015,3
120,149,\u25b229,155,Kozhatayev Bakhtiyar,23,Astana Pro Team,120,+29:31,29:31 29:31,+13:13,2015,3
121,108,\u25bc13,11,Cancellara Fabian,34,Trek Factory Racing,121,+30:19,30:19 30:19,+17:02,2015,3
122,111,\u25bc11,42,Bennati Daniele,34,Tinkoff - Saxo,122,+30:29,30:29 30:29,+17:02,2015,3
123,112,\u25bc11,142,Cavendish Mark,30,Etixx - Quick Step,123,+30:33,30:33 30:33,+17:02,2015,3
124,113,\u25bc11,68,Teunissen Mike,22,Team LottoNL-Jumbo,124,+30:33,",, 30:33",+17:02,2015,3
125,117,\u25bc8,145,Renshaw Mark,32,Etixx - Quick Step,125,+30:40,30:40 30:40,+17:02,2015,3
126,118,\u25bc8,63,Lindeman Bert-Jan,25,Team LottoNL-Jumbo,126,+30:40,",, 30:40",+17:02,2015,3
127,119,\u25bc8,45,Brutt Pavel,33,Tinkoff - Saxo,127,+30:40,",, 30:40",+17:02,2015,3
128,121,\u25bc7,43,Trusov Nikolay,29,Tinkoff - Saxo,128,+30:44,30:44 30:44,+17:02,2015,3
129,122,\u25bc7,133,Chavanel S\xe9bastien,32,FDJ,129,+30:45,30:45 30:45,+17:02,2015,3
130,123,\u25bc7,126,Dehaes Kenny,30,Lotto Soudal,130,+30:46,30:46 30:46,+17:02,2015,3
131,124,\u25bc7,166,Kadri Blel,28,AG2R La Mondiale,131,+30:48,30:48 30:48,+17:02,2015,3
132,125,\u25bc7,185,Antonini Simone,24,Wanty - Groupe Gobert,132,+30:48,",, 30:48",+17:02,2015,3
133,126,\u25bc7,2,Bonifazio Niccolo,21,Lampre - Merida,133,+30:49,30:49 30:49,+17:02,2015,3
134,127,\u25bc7,86,Fr\xf6hlinger Johannes,30,Team Giant - Alpecin,134,+30:49,",, 30:49",+17:02,2015,3
135,131,\u25bc4,27,Br\xe4ndle Matthias,25,IAM Cycling,135,+32:48,32:48 32:48,+17:02,2015,3
136,132,\u25bc4,71,Kristoff Alexander,27,Team Katusha,136,+33:00,33:00 33:00,+17:02,2015,3
137,133,\u25bc4,152,Bozic Borut,34,Astana Pro Team,137,+33:01,33:01 33:01,+17:02,2015,3
138,135,\u25bc3,106,Tuft Svein,38,Orica GreenEDGE,138,+33:01,",, 33:01",+17:02,2015,3
139,136,\u25bc3,58,Pate Danny,36,Team Sky,139,+33:01,",, 33:01",+17:02,2015,3
140,137,\u25bc3,134,D\xe9mare Arnaud,23,FDJ,140,+33:03,33:03 33:03,+17:02,2015,3
141,138,\u25bc3,13,Devolder Stijn,35,Trek Factory Racing,141,+33:03,",, 33:03",+17:02,2015,3
142,139,\u25bc3,132,Bonnet William,32,FDJ,142,+33:04,33:04 33:04,+17:02,2015,3
143,140,\u25bc3,72,Guarnieri Jacopo,27,Team Katusha,143,+33:10,33:10 33:10,+17:02,2015,3
144,141,\u25bc3,62,Leezer Tom,29,Team LottoNL-Jumbo,144,+33:12,33:12 33:12,+17:02,2015,3
145,142,\u25bc3,138,Vichot Arthur,26,FDJ,145,+33:12,",, 33:12",+17:02,2015,3
146,143,\u25bc3,76,Lagutin Sergey,34,Team Katusha,146,+33:13,33:13 33:13,+17:02,2015,3
147,145,\u25bc2,66,Van Asbroeck Tom,25,Team LottoNL-Jumbo,147,+33:14,33:14 33:14,+17:02,2015,3
148,146,\u25bc2,55,Eisel Bernhard,34,Team Sky,148,+33:15,33:15 33:15,+17:02,2015,3
149,147,\u25bc2,1,Cimolai Davide,25,Lampre - Merida,149,+33:17,33:17 33:17,+17:02,2015,3
150,150,-,122,Arm\xe9e Sander,29,Lotto Soudal,150,+33:21,33:21 33:21,+17:02,2015,3
151,151,-,3,Xu Gang,31,Lampre - Merida,151,+33:28,33:28 33:28,+17:02,2015,3
1,1,-,85,Dumoulin Tom,24,Team Giant - Alpecin,1,+0:00,11:19:09 11:19:09,+0:00,2015,4
2,3,\u25b21,41,Sagan Peter,25,Tinkoff - Saxo,2,+0:00,",, ,,",+-1:55,2015,4
3,2,\u25bc1,77,Moreno Daniel,33,Team Katusha,3,+0:08,0:08 0:08,+0:03,2015,4
4,4,-,52,Thomas Geraint,29,Team Sky,4,+0:09,0:09 0:09,+0:02,2015,4
5,5,-,131,Pinot Thibaut,25,FDJ,5,+0:15,0:15 0:15,+0:03,2015,4
6,6,-,151,Fuglsang Jakob,30,Astana Pro Team,6,+0:17,0:17 0:17,+0:03,2015,4
7,7,-,136,Morabito Steve,32,FDJ,7,+0:18,0:18 0:18,+0:03,2015,4
8,8,-,7,Durasek Kristijan,27,Lampre - Merida,8,+0:21,0:21 0:21,+0:03,2015,4
9,9,-,15,Jungels Bob,22,Trek Factory Racing,9,+0:22,0:22 0:22,+0:03,2015,4
10,10,-,78,Spilak Simon,28,Team Katusha,10,+0:22,",, 0:22",+0:03,2015,4
11,11,-,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,11,+0:22,",, 0:22",+0:03,2015,4
12,12,-,111,Anacona Winner,26,Movistar Team,12,+0:24,0:24 0:24,+0:03,2015,4
13,13,-,156,Lopez Miguel Angel,21,Astana Pro Team,13,+0:29,0:29 0:29,+0:03,2015,4
14,14,-,161,Pozzovivo Domenico,32,AG2R La Mondiale,14,+0:32,0:32 0:32,+0:03,2015,4
15,15,-,26,Reichenbach Sebastien,26,IAM Cycling,15,+0:32,",, 0:32",+0:03,2015,4
16,16,-,33,Hermans Ben,29,BMC Racing Team,16,+0:35,0:35 0:35,+0:03,2015,4
17,17,-,61,Gesink Robert,29,Team LottoNL-Jumbo,17,+0:35,",, 0:35",+0:03,2015,4
18,18,-,102,Chaves Johan Esteban,25,Orica GreenEDGE,18,+0:42,0:42 0:42,+0:03,2015,4
19,19,-,57,Siutsou Kanstantsin,32,Team Sky,19,+1:12,1:12 1:12,+0:03,2015,4
20,20,-,117,Rojas Jos\xe9 Joaqu\xedn,30,Movistar Team,20,+1:17,1:17 1:17,+0:03,2015,4
21,21,-,163,Bakelants Jan,29,AG2R La Mondiale,21,+1:17,",, 1:17",+0:03,2015,4
22,22,-,143,Brambilla Gianluca,27,Etixx - Quick Step,22,+1:20,1:20 1:20,+0:03,2015,4
23,23,-,51,Henao Sergio Luis,27,Team Sky,23,+1:22,1:22 1:22,+0:03,2015,4
24,24,-,121,Van den Broeck Jurgen,32,Lotto Soudal,24,+1:22,",, 1:22",+0:03,2015,4
25,25,-,46,Majka Rafa\u0142,25,Tinkoff - Saxo,25,+1:24,1:24 1:24,+0:03,2015,4
26,26,-,175,Rebellin Davide,43,CCC Sprandi Polkowice,26,+1:29,1:29 1:29,+0:03,2015,4
27,29,\u25b22,37,Van Avermaet Greg,30,BMC Racing Team,27,+2:22,2:22 2:22,+-1:59,2015,4
28,28,-,65,ten Dam Laurens,34,Team LottoNL-Jumbo,28,+2:29,2:29 2:29,+0:54,2015,4
29,30,\u25b21,158,Lutsenko Alexey,22,Astana Pro Team,29,+2:32,2:32 2:32,+0:00,2015,4
30,31,\u25b21,181,Gasparotto Enrico,33,Wanty - Groupe Gobert,30,+2:40,2:40 2:40,+0:03,2015,4
31,32,\u25b21,83,Barguil Warren,23,Team Giant - Alpecin,31,+2:41,2:41 2:41,+0:02,2015,4
32,33,\u25b21,184,de Greef Francis,30,Wanty - Groupe Gobert,32,+2:45,2:45 2:45,+0:03,2015,4
33,34,\u25b21,17,Schleck Fr\xe4nk,35,Trek Factory Racing,33,+2:46,2:46 2:46,+0:03,2015,4
34,27,\u25bc7,4,Conti Valerio,22,Lampre - Merida,34,+4:06,4:06 4:06,+2:40,2015,4
35,38,\u25b23,101,Albasini Michael,34,Orica GreenEDGE,35,+5:57,5:57 5:57,+1:21,2015,4
36,37,\u25b21,32,Atapuma John Darwin,27,BMC Racing Team,36,+6:51,6:51 6:51,+2:40,2015,4
37,42,\u25b25,94,Dombrowski Joe,24,Team Cannondale - Garmin,37,+7:33,7:33 7:33,+0:03,2015,4
38,40,\u25b22,104,Impey Daryl,30,Orica GreenEDGE,38,+7:56,7:56 7:56,+0:53,2015,4
39,46,\u25b27,28,Warbasse Larry,24,IAM Cycling,39,+8:48,8:48 8:48,+0:03,2015,4
40,48,\u25b28,187,Minnaard Marco,26,Wanty - Groupe Gobert,40,+9:05,9:05 9:05,+0:03,2015,4
41,51,\u25b210,107,Matthews Michael,24,Orica GreenEDGE,41,+10:10,10:10 10:10,+-1:53,2015,4
42,47,\u25b25,127,Monfort Maxime,32,Lotto Soudal,42,+11:36,11:36 11:36,+2:40,2015,4
43,44,\u25b21,22,Coppel J\xe9rome,28,IAM Cycling,43,+11:47,11:47 11:47,+4:11,2015,4
44,55,\u25b211,93,Cardoso Andr\xe9,30,Team Cannondale - Garmin,44,+11:48,11:48 11:48,+0:03,2015,4
45,49,\u25b24,21,Elmiger Martin,36,IAM Cycling,45,+12:34,12:34 12:34,+2:40,2015,4
46,45,\u25bc1,137,Roy J\xe9r\xe9my,31,FDJ,46,+13:36,13:36 13:36,+4:52,2015,4
47,53,\u25b26,6,Pibernik Luka,21,Lampre - Merida,47,+14:11,14:11 14:11,+2:40,2015,4
48,59,\u25b211,147,Trentin Matteo,25,Etixx - Quick Step,48,+14:34,14:34 14:34,+0:03,2015,4
49,61,\u25b212,144,Go\u0142a\u015b Micha\u0142,31,Etixx - Quick Step,49,+14:40,14:40 14:40,+0:03,2015,4
50,58,\u25b28,56,Knees Christian,34,Team Sky,50,+15:16,15:16 15:16,+2:40,2015,4
51,62,\u25b211,148,Vermote Julien,25,Etixx - Quick Step,51,+15:24,15:24 15:24,+0:43,2015,4
52,41,\u25bc11,172,Samoilau Branislau,30,CCC Sprandi Polkowice,52,+15:38,15:38 15:38,+8:18,2015,4
53,69,\u25b216,31,Dillier Silvan,24,BMC Racing Team,53,+15:44,15:44 15:44,+0:03,2015,4
54,54,-,91,Danielson Thomas,37,Team Cannondale - Garmin,54,+15:54,15:54 15:54,+4:11,2015,4
55,60,\u25b25,48,Valgren Michael,23,Tinkoff - Saxo,55,+17:14,17:14 17:14,+2:40,2015,4
56,63,\u25b27,25,Fumeaux Jonathan,27,IAM Cycling,56,+17:23,17:23 17:23,+2:40,2015,4
57,66,\u25b29,171,Szmyd Sylwester,37,CCC Sprandi Polkowice,57,+17:30,17:30 17:30,+2:40,2015,4
58,67,\u25b29,176,Hirt Jan,24,CCC Sprandi Polkowice,58,+17:36,17:36 17:36,+2:40,2015,4
59,70,\u25b211,188,Selvaggi Mirko,30,Wanty - Groupe Gobert,59,+18:38,18:38 18:38,+2:40,2015,4
60,35,\u25bc25,5,Niemiec Przemyslaw,35,Lampre - Merida,60,+19:38,19:38 19:38,+16:52,2015,4
61,36,\u25bc25,53,Lopez David,34,Team Sky,61,+19:38,",, 19:38",+16:52,2015,4
62,77,\u25b215,162,Bonnafond Guillaume,27,AG2R La Mondiale,62,+20:04,20:04 20:04,+3:24,2015,4
63,57,\u25bc6,118,Ventoso Francisco,33,Movistar Team,63,+20:46,20:46 20:46,+8:18,2015,4
64,79,\u25b215,112,Capecchi Eros,29,Movistar Team,64,+21:04,21:04 21:04,+2:40,2015,4
65,73,\u25b28,135,Ladagnous Matthieu,30,FDJ,65,+21:11,21:11 21:11,+4:52,2015,4
66,74,\u25b28,38,Wyss Danilo,29,BMC Racing Team,66,+21:43,21:43 21:43,+5:16,2015,4
67,78,\u25b211,123,Breen Vegard,25,Lotto Soudal,67,+22:26,22:26 22:26,+4:11,2015,4
68,39,\u25bc29,36,Senni Manuel,23,BMC Racing Team,68,+22:30,22:30 22:30,+16:52,2015,4
69,86,\u25b217,82,Arndt Nikias,23,Team Giant - Alpecin,69,+22:54,22:54 22:54,+2:17,2015,4
70,65,\u25bc5,98,Moser Moreno,24,Team Cannondale - Garmin,70,+23:07,23:07 23:07,+8:18,2015,4
71,83,\u25b212,64,Martens Paul,31,Team LottoNL-Jumbo,71,+23:24,23:24 23:24,+4:11,2015,4
72,96,\u25b224,81,Degenkolb John,26,Team Giant - Alpecin,72,+23:40,23:40 23:40,+0:03,2015,4
73,43,\u25bc30,174,Schumacher Stefan,33,CCC Sprandi Polkowice,73,+24:24,24:24 24:24,+16:52,2015,4
74,72,\u25bc2,168,Domont Axel,24,AG2R La Mondiale,74,+24:30,24:30 24:30,+8:18,2015,4
75,102,\u25b227,18,Stuyven Jasper,23,Trek Factory Racing,75,+24:50,24:50 24:50,+0:03,2015,4
76,76,-,14,Didier Laurent,30,Trek Factory Racing,76,+24:53,24:53 24:53,+8:18,2015,4
77,92,\u25b215,186,Marcato Marco,31,Wanty - Groupe Gobert,77,+25:37,25:37 25:37,+2:07,2015,4
78,97,\u25b219,141,Kwiatkowski Michal,25,Etixx - Quick Step,78,+26:23,26:23 26:23,+2:40,2015,4
79,98,\u25b219,154,Agnoli Valerio,30,Astana Pro Team,79,+26:23,",, 26:23",+2:40,2015,4
80,82,\u25b22,116,Malori Adriano,27,Movistar Team,80,+27:21,27:21 27:21,+8:18,2015,4
81,110,\u25b229,67,Vanmarcke Sep,26,Team LottoNL-Jumbo,81,+27:25,27:25 27:25,+0:03,2015,4
82,85,\u25b23,125,De Gendt Thomas,28,Lotto Soudal,82,+27:33,27:33 27:33,+8:17,2015,4
83,52,\u25bc31,113,Anton Igor,32,Movistar Team,83,+27:36,27:36 27:36,+16:52,2015,4
84,114,\u25b230,75,Kuznetsov Viacheslav,25,Team Katusha,84,+27:38,27:38 27:38,+0:03,2015,4
85,94,\u25b29,146,Stybar Zdenek,29,Etixx - Quick Step,85,+27:43,27:43 27:43,+4:11,2015,4
86,89,\u25b23,103,Clarke Simon,28,Orica GreenEDGE,86,+27:49,27:49 27:49,+6:45,2015,4
87,56,\u25bc31,23,Denifl Stefan,27,IAM Cycling,87,+28:38,28:38 28:38,+16:52,2015,4
88,100,\u25b212,47,M\xf8rk\xf8v Michael,30,Tinkoff - Saxo,88,+28:51,28:51 28:51,+4:11,2015,4
89,101,\u25b212,74,Kozonchuk Dmitry,31,Team Katusha,89,+28:52,28:52 28:52,+4:11,2015,4
90,113,\u25b223,73,Haller Marco,24,Team Katusha,90,+28:55,28:55 28:55,+1:21,2015,4
91,88,\u25bc3,44,Breschel Matti,30,Tinkoff - Saxo,91,+29:11,29:11 29:11,+8:16,2015,4
92,103,\u25b211,95,King Benjamin,26,Team Cannondale - Garmin,92,+29:18,29:18 29:18,+2:40,2015,4
93,71,\u25bc22,108,Meyer Cameron,27,Orica GreenEDGE,93,+29:46,29:46 29:46,+13:43,2015,4
94,90,\u25bc4,88,Preidler Georg,24,Team Giant - Alpecin,94,+30:41,30:41 30:41,+8:18,2015,4
95,64,\u25bc31,97,Mohoric Matej,20,Team Cannondale - Garmin,95,+31:37,31:37 31:37,+16:52,2015,4
96,95,\u25bc1,164,Gaudin Damien,28,AG2R La Mondiale,96,+31:55,31:55 31:55,+8:18,2015,4
97,68,\u25bc29,177,Honkisz Adrian,27,CCC Sprandi Polkowice,97,+31:56,31:56 31:56,+16:52,2015,4
98,122,\u25b224,42,Bennati Daniele,34,Tinkoff - Saxo,98,+33:09,33:09 33:09,+2:40,2015,4
99,50,\u25bc49,114,Izagirre Ion,26,Movistar Team,99,+33:10,33:10 33:10,+23:15,2015,4
100,75,\u25bc25,182,Backaert Frederik,25,Wanty - Groupe Gobert,100,+33:24,33:24 33:24,+16:52,2015,4
101,104,\u25b23,124,de Buyst Jasper,21,Lotto Soudal,101,+35:06,35:06 35:06,+8:18,2015,4
102,105,\u25b23,84,de Kort Koen,32,Team Giant - Alpecin,102,+35:10,35:10 35:10,+8:18,2015,4
103,108,\u25b25,167,Minard S\xe9bastien,33,AG2R La Mondiale,103,+35:19,35:19 35:19,+8:18,2015,4
104,137,\u25b233,152,Bozic Borut,34,Astana Pro Team,104,+35:41,35:41 35:41,+2:40,2015,4
105,80,\u25bc25,178,Bole Grega,29,CCC Sprandi Polkowice,105,+35:44,35:44 35:44,+16:52,2015,4
106,111,\u25b25,16,Rast Gregory,35,Trek Factory Racing,106,+35:49,35:49 35:49,+8:18,2015,4
107,146,\u25b239,76,Lagutin Sergey,34,Team Katusha,107,+35:53,35:53 35:53,+2:40,2015,4
108,115,\u25b27,92,Bettiol Alberto,21,Team Cannondale - Garmin,108,+35:54,35:54 35:54,+8:18,2015,4
109,84,\u25bc25,165,Turgot S\xe9bastien,31,AG2R La Mondiale,109,+36:07,36:07 36:07,+16:52,2015,4
110,87,\u25bc23,24,Devenyns Dries,31,IAM Cycling,110,+37:33,37:33 37:33,+16:52,2015,4
111,120,\u25b29,155,Kozhatayev Bakhtiyar,23,Astana Pro Team,111,+37:49,37:49 37:49,+8:18,2015,4
112,126,\u25b214,63,Lindeman Bert-Jan,26,Team LottoNL-Jumbo,112,+38:58,38:58 38:58,+8:18,2015,4
113,134,\u25b221,86,Fr\xf6hlinger Johannes,30,Team Giant - Alpecin,113,+39:07,39:07 39:07,+8:18,2015,4
114,91,\u25bc23,8,Costa M\xe1rio,29,Lampre - Merida,114,+39:58,39:58 39:58,+16:52,2015,4
115,93,\u25bc22,34,Drucker Jean-Pierre,28,BMC Racing Team,115,+40:23,40:23 40:23,+16:52,2015,4
116,135,\u25b219,27,Br\xe4ndle Matthias,25,IAM Cycling,116,+41:06,41:06 41:06,+8:18,2015,4
117,99,\u25bc18,105,Hayman Mathew,37,Orica GreenEDGE,117,+41:09,41:09 41:09,+16:52,2015,4
118,144,\u25b226,62,Leezer Tom,29,Team LottoNL-Jumbo,118,+41:30,41:30 41:30,+8:18,2015,4
119,150,\u25b231,122,Arm\xe9e Sander,29,Lotto Soudal,119,+41:39,41:39 41:39,+8:18,2015,4
120,106,\u25bc14,157,Malacarne Davide,27,Astana Pro Team,120,+43:48,43:48 43:48,+16:52,2015,4
121,107,\u25bc14,96,Howes Alex,27,Team Cannondale - Garmin,121,+43:50,43:50 43:50,+16:49,2015,4
122,121,\u25bc1,11,Cancellara Fabian,34,Trek Factory Racing,122,+44:02,44:02 44:02,+13:43,2015,4
123,109,\u25bc14,128,Roelandts Jurgen,29,Lotto Soudal,123,+44:12,44:12 44:12,+16:52,2015,4
124,116,\u25bc8,153,Fominykh Daniil,23,Astana Pro Team,124,+44:29,44:29 44:29,+16:52,2015,4
125,117,\u25bc8,173,Rutkiewicz Marek,34,CCC Sprandi Polkowice,125,+44:35,44:35 44:35,+16:52,2015,4
126,118,\u25bc8,87,Jones Carter,26,Team Giant - Alpecin,126,+44:36,44:36 44:36,+16:52,2015,4
127,119,\u25bc8,54,Nordhaug Lars Petter,31,Team Sky,127,+46:22,46:22 46:22,+16:52,2015,4
128,123,\u25bc5,142,Cavendish Mark,30,Etixx - Quick Step,128,+47:25,47:25 47:25,+16:52,2015,4
129,124,\u25bc5,68,Teunissen Mike,22,Team LottoNL-Jumbo,129,+47:25,",, 47:25",+16:52,2015,4
130,125,\u25bc5,145,Renshaw Mark,32,Etixx - Quick Step,130,+47:32,47:32 47:32,+16:52,2015,4
131,127,\u25bc4,45,Brutt Pavel,33,Tinkoff - Saxo,131,+47:32,",, 47:32",+16:52,2015,4
132,128,\u25bc4,43,Trusov Nikolay,29,Tinkoff - Saxo,132,+47:36,47:36 47:36,+16:52,2015,4
133,129,\u25bc4,133,Chavanel S\xe9bastien,32,FDJ,133,+47:37,47:37 47:37,+16:52,2015,4
134,130,\u25bc4,126,Dehaes Kenny,30,Lotto Soudal,134,+47:38,47:38 47:38,+16:52,2015,4
135,131,\u25bc4,166,Kadri Blel,28,AG2R La Mondiale,135,+47:40,47:40 47:40,+16:52,2015,4
136,132,\u25bc4,185,Antonini Simone,24,Wanty - Groupe Gobert,136,+47:40,",, 47:40",+16:52,2015,4
137,133,\u25bc4,2,Bonifazio Niccolo,21,Lampre - Merida,137,+48:01,48:01 48:01,+17:12,2015,4
138,136,\u25bc2,71,Kristoff Alexander,27,Team Katusha,138,+49:52,49:52 49:52,+16:52,2015,4
139,141,\u25b22,13,Devolder Stijn,35,Trek Factory Racing,139,+49:53,49:53 49:53,+16:50,2015,4
140,138,\u25bc2,106,Tuft Svein,38,Orica GreenEDGE,140,+49:53,",, 49:53",+16:52,2015,4
141,139,\u25bc2,58,Pate Danny,36,Team Sky,141,+49:53,",, 49:53",+16:52,2015,4
142,140,\u25bc2,134,D\xe9mare Arnaud,23,FDJ,142,+49:55,49:55 49:55,+16:52,2015,4
143,142,\u25bc1,132,Bonnet William,32,FDJ,143,+49:56,49:56 49:56,+16:52,2015,4
144,143,\u25bc1,72,Guarnieri Jacopo,27,Team Katusha,144,+50:02,50:02 50:02,+16:52,2015,4
145,145,-,138,Vichot Arthur,26,FDJ,145,+50:04,50:04 50:04,+16:52,2015,4
146,147,\u25b21,66,Van Asbroeck Tom,25,Team LottoNL-Jumbo,146,+50:06,50:06 50:06,+16:52,2015,4
147,148,\u25b21,55,Eisel Bernhard,34,Team Sky,147,+50:07,50:07 50:07,+16:52,2015,4
148,149,\u25b21,1,Cimolai Davide,25,Lampre - Merida,148,+50:09,50:09 50:09,+16:52,2015,4
149,112,\u25bc37,183,Baugnies Jerome,28,Wanty - Groupe Gobert,149,+50:49,50:49 50:49,+23:15,2015,4
1,5,\u25b24,131,Pinot Thibaut,25,FDJ,1,+0:00,17:42:01 17:42:01,+0:00,2015,5
2,4,\u25b22,52,Thomas Geraint,29,Team Sky,2,+0:47,0:47 0:47,+0:53,2015,5
3,10,\u25b27,78,Spilak Simon,28,Team Katusha,3,+0:50,0:50 0:50,+0:43,2015,5
4,14,\u25b210,161,Pozzovivo Domenico,32,AG2R La Mondiale,4,+0:55,0:55 0:55,+0:38,2015,5
5,13,\u25b28,156,Lopez Miguel Angel,21,Astana Pro Team,5,+1:07,1:07 1:07,+0:53,2015,5
6,6,-,151,Fuglsang Jakob,30,Astana Pro Team,6,+1:27,1:27 1:27,+1:25,2015,5
7,1,\u25bc6,85,Dumoulin Tom,24,Team Giant - Alpecin,7,+1:32,1:32 1:32,+1:47,2015,5
8,7,\u25bc1,136,Morabito Steve,32,FDJ,8,+2:29,2:29 2:29,+2:26,2015,5
9,15,\u25b26,26,Reichenbach Sebastien,26,IAM Cycling,9,+2:43,2:43 2:43,+2:26,2015,5
10,23,\u25b213,51,Henao Sergio Luis,27,Team Sky,10,+2:46,2:46 2:46,+1:39,2015,5
11,17,\u25b26,61,Gesink Robert,29,Team LottoNL-Jumbo,11,+2:57,2:57 2:57,+2:37,2015,5
12,25,\u25b213,46,Majka Rafa\u0142,25,Tinkoff - Saxo,12,+2:59,2:59 2:59,+1:50,2015,5
13,18,\u25b25,102,Chaves Johan Esteban,25,Orica GreenEDGE,13,+3:12,3:12 3:12,+2:45,2015,5
14,8,\u25bc6,7,Durasek Kristijan,27,Lampre - Merida,14,+3:21,3:21 3:21,+3:15,2015,5
15,9,\u25bc6,15,Jungels Bob,22,Trek Factory Racing,15,+3:22,3:22 3:22,+3:15,2015,5
16,28,\u25b212,65,ten Dam Laurens,34,Team LottoNL-Jumbo,16,+3:49,3:49 3:49,+1:35,2015,5
17,16,\u25bc1,33,Hermans Ben,29,BMC Racing Team,17,+4:27,4:27 4:27,+4:07,2015,5
