Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
54,50,\u25bc4,137,Roy J\xe9r\xe9my,31,FDJ,54,+5:48,5:48 5:48,+5:31,2015,2
55,54,\u25bc1,144,Go\u0142a\u015b Micha\u0142,31,Etixx - Quick Step,55,+5:49,5:49 5:49,+5:31,2015,2
56,55,\u25bc1,28,Warbasse Larry,24,IAM Cycling,56,+5:49,",, 5:49",+5:31,2015,2
57,62,\u25b25,113,Anton Igor,32,Movistar Team,57,+5:50,5:50 5:50,+5:31,2015,2
58,78,\u25b220,148,Vermote Julien,25,Etixx - Quick Step,58,+5:53,5:53 5:53,+5:31,2015,2
59,91,\u25b232,25,Fumeaux Jonathan,27,IAM Cycling,59,+5:55,5:55 5:55,+5:31,2015,2
60,116,\u25b256,172,Samoilau Branislau,30,CCC Sprandi Polkowice,60,+6:01,6:01 6:01,+5:31,2015,2
61,124,\u25b263,171,Szmyd Sylwester,37,CCC Sprandi Polkowice,61,+6:02,6:02 6:02,+5:31,2015,2
62,136,\u25b274,8,Costa M\xe1rio,29,Lampre - Merida,62,+6:04,6:04 6:04,+5:31,2015,2
63,140,\u25b277,187,Minnaard Marco,26,Wanty - Groupe Gobert,63,+6:06,6:06 6:06,+5:31,2015,2
64,144,\u25b280,94,Dombrowski Joe,24,Team Cannondale - Garmin,64,+6:08,6:08 6:08,+5:31,2015,2
65,145,\u25b280,176,Hirt Jan,24,CCC Sprandi Polkowice,65,+6:08,",, 6:08",+5:31,2015,2
66,150,\u25b284,177,Honkisz Adrian,27,CCC Sprandi Polkowice,66,+6:16,6:16 6:16,+5:31,2015,2
67,152,\u25b285,31,Dillier Silvan,24,BMC Racing Team,67,+6:53,6:53 6:53,+5:31,2015,2
68,14,\u25bc54,22,Coppel J\xe9rome,28,IAM Cycling,68,+7:23,7:23 7:23,+7:14,2015,2
69,17,\u25bc52,118,Ventoso Francisco,33,Movistar Team,69,+7:24,7:24 7:24,+7:14,2015,2
70,19,\u25bc51,82,Arndt Nikias,23,Team Giant - Alpecin,70,+7:24,",, 7:24",+7:14,2015,2
71,31,\u25bc40,24,Devenyns Dries,31,IAM Cycling,71,+7:28,7:28 7:28,+7:14,2015,2
72,37,\u25bc35,123,Breen Vegard,25,Lotto Soudal,72,+7:30,7:30 7:30,+7:14,2015,2
73,47,\u25bc26,135,Ladagnous Matthieu,30,FDJ,73,+7:31,7:31 7:31,+7:14,2015,2
74,57,\u25bc17,56,Knees Christian,34,Team Sky,74,+7:32,7:32 7:32,+7:14,2015,2
75,70,\u25bc5,127,Monfort Maxime,32,Lotto Soudal,75,+7:34,7:34 7:34,+7:14,2015,2
76,92,\u25b216,47,M\xf8rk\xf8v Michael,30,Tinkoff - Saxo,76,+7:38,7:38 7:38,+7:14,2015,2
77,94,\u25b217,74,Kozonchuk Dmitry,31,Team Katusha,77,+7:39,7:39 7:39,+7:14,2015,2
78,104,\u25b226,44,Breschel Matti,30,Tinkoff - Saxo,78,+7:42,7:42 7:42,+7:14,2015,2
79,114,\u25b235,23,Denifl Stefan,27,IAM Cycling,79,+7:43,7:43 7:43,+7:14,2015,2
80,117,\u25b237,182,Backaert Frederik,25,Wanty - Groupe Gobert,80,+7:44,7:44 7:44,+7:14,2015,2
81,133,\u25b252,14,Didier Laurent,30,Trek Factory Racing,81,+7:47,7:47 7:47,+7:14,2015,2
82,146,\u25b264,162,Bonnafond Guillaume,27,AG2R La Mondiale,82,+7:52,7:52 7:52,+7:14,2015,2
83,9,\u25bc74,116,Malori Adriano,27,Movistar Team,83,+10:15,10:15 10:15,+10:09,2015,2
