Rnk,Rider,Age,Team,Pnt,year,stage
1,Laiseka jaio Roberto,36,Euskaltel - Euskadi,58,2005,9
2,Horner Chris,33,Saunier Duval - Prodir,27,2005,9
3,Gil Fernandez Koldo,27,,27,2005,9
4,Atienza Daniel,30,Cofidis,27,2005,9
5,Perez Luis,31,Cofidis,26,2005,9
6,Gonzalez Jimenez Aitor,30,Euskaltel - Euskadi,24,2005,9
7,Loosli David,25,Lampre-Caffita,20,2005,9
8,Rast Gregory,25,Phonak Hearing Systems,16,2005,9
9,Lastras Pablo,29,Illes Balears - Caisse d'Epargne,14,2005,9
10,Dockx Bart,23,Davitamon - Lotto,10,2005,9
11,Rogers Michael,25,Quickstep - Innergetic,10,2005,9
12,Piepoli Leonardo,33,Saunier Duval - Prodir,10,2005,9
13,Montgomery Sven,29,Gerolsteiner,10,2005,9
14,Kirchen Kim,26,Fassa Bortolo,10,2005,9
15,Schnider Daniel,31,Phonak Hearing Systems,8,2005,9
16,Righi Daniele,29,Lampre-Caffita,6,2005,9
17,Zberg Beat,34,Gerolsteiner,6,2005,9
18,Moos Alexandre,32,Phonak Hearing Systems,6,2005,9
19,Bellotti Francesco,25,Cr\xe9dit Agricole,5,2005,9
20,Albizu lizaso Joseba,26,Euskaltel - Euskadi,5,2005,9
21,Aebersold Niki,32,Phonak Hearing Systems,5,2005,9
22,Albasini Michael,24,Liquigas,5,2005,9
23,Elmiger Martin,26,Phonak Hearing Systems,4,2005,9
24,Gerdemann Linus,22,CSC ProTeam,4,2005,9
25,Wegmann Fabian,24,Gerolsteiner,4,2005,9
26,Veneberg Thorwald,27,Rabobank ProTeam,4,2005,9
27,Talabardon Yannick,23,Cr\xe9dit Agricole,3,2005,9
28,McGee Bradley,29,Fran\xe7aise des Jeux,2,2005,9
29,Larsson Gustav,24,Fassa Bortolo,2,2005,9
30,den Bakker Maarten,36,Rabobank ProTeam,2,2005,9
31,Haselbacher Rene,27,Gerolsteiner,2,2005,9
32,Schleck Fr\xe4nk,25,CSC ProTeam,1,2005,9
33,Gusev Vladimir,22,CSC ProTeam,1,2005,9
34,Mayo Iban,27,Euskaltel - Euskadi,1,2005,9
35,Beneteau Walter,32,Bouygues Telecom,1,2005,9
36,Carlstr\xf6m Kjell,28,Liquigas,1,2005,9
37,Scholz Ronny,27,Gerolsteiner,1,2005,9
