Rnk,Rider,Age,Team,Pnt,year,stage
1,Jalabert Laurent,30,O.N.C.E. - Deutsche Bank,95,1999,9
2,Casagrande Francesco,28,Vini Caldirola - Sidermec,89,1999,9
3,Simoni Gilberto,27,,70,1999,9
4,Camenzind Oscar,27,Lampre - Daikin - Colnago,68,1999,9
5,Dufaux Laurent,30,Saeco - Cannondale,62,1999,9
6,Petito Roberto,28,Saeco - Cannondale,59,1999,9
7,Zberg Markus,24,Rabobank ProTeam,47,1999,9
8,Ekimov Viatcheslav,33,Amica Chips - Costa de Almeria,46,1999,9
9,White Matthew,25,Vini Caldirola - Sidermec,46,1999,9
10,Zarrabeitia Mikel,29,O.N.C.E. - Deutsche Bank,39,1999,9
11,Meier Armin,29,Saeco - Cannondale,37,1999,9
12,Martinello Silvio,36,Polti,34,1999,9
13,Tonkov Pavel,30,Mapei - Quickstep,31,1999,9
14,Richard Pascal,35,Mobilvetta Design - Northwave,30,1999,9
15,Traversoni Mario,27,Saeco - Cannondale,30,1999,9
16,Guerini Giuseppe,29,Team Telekom,30,1999,9
17,Vetsch Patrick,28,,27,1999,9
18,De Pasquale Maurizio,30,,25,1999,9
19,Hvastija Martin,29,,23,1999,9
20,Lombardi Giovanni,30,Team Telekom,22,1999,9
21,Tosatto Matteo,25,,21,1999,9
22,Dierckxsens Ludo,34,Lampre - Daikin - Colnago,19,1999,9
23,Zberg Beat,28,Rabobank ProTeam,18,1999,9
24,Montgomery Sven,23,,18,1999,9
25,Gasperoni Cristian,28,Cantina Tollo - Alexia Alluminio,17,1999,9
26,Schnider Daniel,25,,16,1999,9
27,Tronca Amilcare,27,Amica Chips - Costa de Almeria,16,1999,9
28,Mondini Gianpaolo,26,Cantina Tollo - Alexia Alluminio,16,1999,9
29,Roscioli Fabio,33,Amica Chips - Costa de Almeria,16,1999,9
30,Valoti Paolo,28,Mobilvetta Design - Northwave,13,1999,9
31,Sgambelluri Roberto,25,Cantina Tollo - Alexia Alluminio,13,1999,9
32,Elli Alberto,35,Team Telekom,12,1999,9
33,Nardello Daniele,26,Mapei - Quickstep,11,1999,9
34,Lelli Massimiliano,31,Cofidis,11,1999,9
35,Lelekin Sergue\xef,26,Mobilvetta Design - Northwave,11,1999,9
36,Wauters Marc,30,Rabobank ProTeam,10,1999,9
37,Buschor Philipp,28,Post Swiss Team,10,1999,9
38,Bertoletti Simone,24,Lampre - Daikin - Colnago,9,1999,9
39,Heule Christian,24,,9,1999,9
40,Atienza Daniel,24,Polti,9,1999,9
41,Commesso Salvatore,24,Saeco - Cannondale,8,1999,9
42,Von Flue Daniel,29,,8,1999,9
43,Celestino Mirko,26,Polti,8,1999,9
44,Loda Nicola,27,,7,1999,9
45,Sacchi Fabio,25,Polti,7,1999,9
46,Serpellini Marco,26,Lampre - Daikin - Colnago,6,1999,9
47,Casagrande Stefano,36,,6,1999,9
48,Christen Josef,28,,6,1999,9
49,Sciandri Maximilian,32,La Fran\xe7aise des Jeux,5,1999,9
50,Zucchi Simone,28,Polti,5,1999,9
51,Boogerd Michael,27,Rabobank ProTeam,5,1999,9
52,Jaksche Jorg,22,Team Telekom,4,1999,9
53,den Bakker Maarten,30,Rabobank ProTeam,2,1999,9
54,Piovaccari Giusvan,25,Cantina Tollo - Alexia Alluminio,1,1999,9
55,Aebersold Niki,26,Rabobank ProTeam,1,1999,9
56,Mazzanti Luca,25,Cantina Tollo - Alexia Alluminio,1,1999,9
