Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
33,17,+11:32,32.0,,Voigt Jens,17,CSC ProTeam,11:32 11:32,+2000:23,-,9,2005
30,18,+16:11,28.0,,Osa Unai,18,Illes Balears - Caisse d'Epargne,16:11 16:11,+2005:02,-,9,2005
29,19,+16:20,24.0,,Barry Michael,19,Discovery Channel,16:20 16:20,+2005:11,-,9,2005
37,20,+16:55,20.0,,Brochard Laurent,20,Bouygues Telecom,16:55 16:55,+2005:46,-,9,2005
31,21,+18:14,18.0,,Schnider Daniel,21,Phonak Hearing Systems,18:14 18:14,+2007:05,-,9,2005
32,22,+18:19,16.0,,Baranowski Dariusz,22,Liberty Seguros - W\xfcrth Team,18:19 18:19,+2007:10,-,9,2005
23,23,+18:22,14.0,,Hern\xe1ndez Jes\xfas,23,Liberty Seguros - W\xfcrth Team,18:22 18:22,+2007:13,-,9,2005
27,24,+19:20,12.0,,Pellizotti Franco,24,Liquigas,19:20 19:20,+2008:11,-,9,2005
29,25,+19:40,10.0,,Montgomery Sven,25,Gerolsteiner,19:40 19:40,+2008:31,-,9,2005
29,26,+19:54,9.0,,Ludewig Jorg,26,Domina Vacanze,19:54 19:54,+2008:45,-,9,2005
36,27,+21:22,8.0,,Jeker Fabian,27,Saunier Duval - Prodir,21:22 21:22,+2010:13,-,9,2005
22,28,+24:38,7.0,,Gusev Vladimir,28,CSC ProTeam,24:38 24:38,+2013:29,-,9,2005
29,29,+25:38,6.0,,Javier Vila Francisco,29,Lampre-Caffita,25:38 25:38,+2014:29,-,9,2005
24,30,+28:10,5.0,,Sinkewitz Patrik,30,Quickstep - Innergetic,28:10 28:10,+2017:01,-,9,2005
29,31,+28:40,5.0,,Lastras Pablo,31,Illes Balears - Caisse d'Epargne,28:40 28:40,+2017:31,-,9,2005
33,32,+29:15,5.0,,Julich Bobby,32,CSC ProTeam,29:15 29:15,+2018:06,-,9,2005
26,33,+30:10,5.0,,Kirchen Kim,33,Fassa Bortolo,30:10 30:10,+2019:01,-,9,2005
24,34,+30:33,5.0,,Gonzalez Jonathan,34,Illes Balears - Caisse d'Epargne,30:33 30:33,+2019:24,-,9,2005
27,35,+30:48,5.0,,Mayo Iban,35,Euskaltel - Euskadi,30:48 30:48,+2019:39,-,9,2005
23,36,+31:41,5.0,,Talabardon Yannick,36,Cr\xe9dit Agricole,31:41 31:41,+2020:32,-,9,2005
22,37,+31:57,5.0,,Raisin Saul,37,Cr\xe9dit Agricole,31:57 31:57,+2020:48,-,9,2005
29,38,+33:05,5.0,,Niermann Grischa,38,Rabobank ProTeam,33:05 33:05,+2021:56,-,9,2005
25,39,+34:16,5.0,,Loosli David,39,Lampre-Caffita,34:16 34:16,+2023:07,-,9,2005
32,40,+34:32,5.0,,Nardello Daniele,40,T-Mobile Team,34:32 34:32,+2023:23,-,9,2005
26,41,+34:37,5.0,,Elmiger Martin,41,Phonak Hearing Systems,34:37 34:37,+2023:28,-,9,2005
34,42,+37:28,5.0,,Vasseur C\xe9dric,42,Cofidis,37:28 37:28,+2026:19,-,9,2005
32,43,+37:33,5.0,,Beneteau Walter,43,Bouygues Telecom,37:33 37:33,+2026:24,-,9,2005
31,44,+37:59,5.0,,Perez Luis,44,Cofidis,37:59 37:59,+2026:50,-,9,2005
22,45,+38:07,5.0,,Van den Broeck Jurgen,45,Discovery Channel,38:07 38:07,+2026:58,-,9,2005
28,46,+39:30,5.0,,Carlstr\xf6m Kjell,46,Liquigas,39:30 39:30,+2028:21,-,9,2005
36,47,+41:29,5.0,,Laiseka jaio Roberto,47,Euskaltel - Euskadi,41:29 41:29,+2030:20,-,9,2005
30,48,+41:30,5.0,,Glomser Gerrit,48,Lampre-Caffita,41:30 41:30,+2030:21,-,9,2005
31,49,+41:49,5.0,,Frigo Dario,49,Fassa Bortolo,41:49 41:49,+2030:40,-,9,2005
23,50,+42:08,5.0,,Sprick Matthieu,50,Bouygues Telecom,42:08 42:08,+2030:59,-,9,2005
22,51,+47:22,5.0,,Gerdemann Linus,51,CSC ProTeam,47:22 47:22,+2036:13,-,9,2005
24,52,+47:41,5.0,,Wegmann Fabian,52,Gerolsteiner,47:41 47:41,+2036:32,-,9,2005
27,53,+48:43,5.0,,Veneberg Thorwald,53,Rabobank ProTeam,48:43 48:43,+2037:34,-,9,2005
32,54,+49:29,5.0,,Aebersold Niki,54,Phonak Hearing Systems,49:29 49:29,+2038:20,-,9,2005
27,55,+49:38,5.0,,Martinez Egoi,55,Euskaltel - Euskadi,49:38 49:38,+2038:29,-,9,2005
27,56,+50:32,5.0,,Scholz Ronny,56,Gerolsteiner,50:32 50:32,+2039:23,-,9,2005
25,57,+52:15,5.0,,Marzano Marco,57,Lampre-Caffita,52:15 52:15,+2041:06,-,9,2005
29,58,+53:22,5.0,,Righi Daniele,58,Lampre-Caffita,53:22 53:22,+2042:13,-,9,2005
31,59,+55:41,5.0,,Horrach Joan,59,Illes Balears - Caisse d'Epargne,55:41 55:41,+2044:32,-,9,2005
31,60,+55:43,5.0,,Wrolich Peter,60,Gerolsteiner,55:43 55:43,+2044:34,-,9,2005
30,61,+57:49,5.0,,Commesso Salvatore,61,Lampre-Caffita,57:49 57:49,+2046:40,-,9,2005
26,62,+58:47,5.0,,Albizu lizaso Joseba,62,Euskaltel - Euskadi,58:47 58:47,+2047:38,-,9,2005
32,63,+1:00:24,5.0,,Moreni Cristian,63,Quickstep - Innergetic,1:00:24 1:00:24,+2049:15,-,9,2005
23,64,+1:03:14,5.0,,Colli Daniele,64,Liquigas,1:03:14 1:03:14,+2052:05,-,9,2005
31,65,+1:03:57,5.0,,Yus Unai Emillio,65,Bouygues Telecom,1:03:57 1:03:57,+2052:48,-,9,2005
24,66,+1:04:56,5.0,,Larsson Gustav,66,Fassa Bortolo,1:04:56 1:04:56,+2053:47,-,9,2005
28,67,+1:05:03,5.0,,Bodrogi Laszlo,67,Cr\xe9dit Agricole,1:05:03 1:05:03,+2053:54,-,9,2005
26,68,+1:05:37,5.0,,Bertogliati Rubens,68,Saunier Duval - Prodir,1:05:37 1:05:37,+2054:28,-,9,2005
23,69,+1:06:28,5.0,,Coyot Arnaud,69,Cofidis,1:06:28 1:06:28,+2055:19,-,9,2005
25,70,+1:07:35,5.0,,Voeckler Thomas,70,Bouygues Telecom,1:07:35 1:07:35,+2056:26,-,9,2005
36,71,+1:07:37,5.0,,Aldag Rolf,71,T-Mobile Team,1:07:37 1:07:37,+2056:28,-,9,2005
24,72,+1:08:10,5.0,,Cancellara Fabian,72,Fassa Bortolo,1:08:10 1:08:10,+2057:01,-,9,2005
25,73,+1:09:56,5.0,,Clerc Aur\xe9lien,73,Phonak Hearing Systems,1:09:56 1:09:56,+2058:47,-,9,2005
36,74,+1:10:07,5.0,,den Bakker Maarten,74,Rabobank ProTeam,1:10:07 1:10:07,+2058:58,-,9,2005
27,75,+1:10:33,5.0,,Haselbacher Rene,75,Gerolsteiner,1:10:33 1:10:33,+2059:24,-,9,2005
33,76,+1:10:56,5.0,,Vansevenant Wim,76,Davitamon - Lotto,1:10:56 1:10:56,+2059:47,-,9,2005
24,77,+1:11:47,5.0,,Urweider Sascha,77,Phonak Hearing Systems,1:11:47 1:11:47,+2060:38,-,9,2005
23,78,+1:12:17,5.0,,Dockx Bart,78,Davitamon - Lotto,1:12:17 1:12:17,+2061:08,-,9,2005
25,79,+1:12:52,5.0,,Rast Gregory,79,Phonak Hearing Systems,1:12:52 1:12:52,+2061:43,-,9,2005
31,80,+1:14:03,5.0,,Hammond Roger,80,Discovery Channel,1:14:03 1:14:03,+2062:54,-,9,2005
26,81,+1:14:13,5.0,,Scheirlinckx Staf,81,Cofidis,1:14:13 1:14:13,+2063:04,-,9,2005
31,82,+1:14:51,5.0,,Hinault S\xe9bastien,82,Cr\xe9dit Agricole,1:14:51 1:14:51,+2063:42,-,9,2005
30,83,+1:15:42,5.0,,Ivanov Serguei,83,T-Mobile Team,1:15:42 1:15:42,+2064:33,-,9,2005
24,84,+1:16:32,5.0,,Albasini Michael,84,Liquigas,1:16:32 1:16:32,+2065:23,-,9,2005
25,85,+1:21:07,5.0,,Bichot Freddy,85,Fran\xe7aise des Jeux,1:21:07 1:21:07,+2069:58,-,9,2005
29,86,+1:21:32,5.0,,Kroon Karsten,86,Rabobank ProTeam,1:21:32 1:21:32,+2070:23,-,9,2005
31,87,+1:25:55,5.0,,McCartney Jason,87,Discovery Channel,1:25:55 1:25:55,+2074:46,-,9,2005
27,88,+1:28:53,5.0,,Pagliarini Luciano Andr\xe9,88,Liquigas,1:28:53 1:28:53,+2077:44,-,9,2005
34,89,+1:29:10,5.0,,Valoti Paolo,89,Domina Vacanze,1:29:10 1:29:10,+2078:01,-,9,2005
20,90,+1:29:19,5.0,,Gerard Arnaud,90,Fran\xe7aise des Jeux,1:29:19 1:29:19,+2078:10,-,9,2005
33,91,+1:31:14,5.0,,Gates Nick,91,Davitamon - Lotto,1:31:14 1:31:14,+2080:05,-,9,2005
24,92,+1:54:14,5.0,,Lopez David,92,Euskaltel - Euskadi,1:54:14 1:54:14,+2103:05,-,9,2005
