Rnk,Rider,Age,Team,Pnt,year,stage
1,Konishev Dimitri,35,Fassa Bortolo,94,2001,9
2,Garzelli Stefano,27,Mapei - Quickstep,42,2001,9
3,Simoni Gilberto,29,Lampre - Daikin,38,2001,9
4,Jalabert Nicolas,28,CSC ProTeam - Tiscali,38,2001,9
5,Buxhofer Matthias,27,Phonak Hearing Systems,34,2001,9
6,Aldag Rolf,32,Team Telekom,30,2001,9
7,Bartoli Michele,31,Mapei - Quickstep,28,2001,9
8,Belli Wladimir,30,Fassa Bortolo,21,2001,9
9,Totschnig Georg,30,Gerolsteiner,14,2001,9
10,Grabsch Bert,26,Phonak Hearing Systems,12,2001,9
11,Heule Christian,26,,12,2001,9
12,Garate Juan Manuel,25,Lampre - Daikin,12,2001,9
13,Beltran Manuel,30,Mapei - Quickstep,12,2001,9
14,Vinokourov Alexandre,27,Team Telekom,11,2001,9
15,Atienza Daniel,26,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",11,2001,9
16,Bettini Paolo,27,Mapei - Quickstep,10,2001,9
17,Zumsteg Lukas,29,Phonak Hearing Systems,10,2001,9
18,Huser Rolf,30,Team Coast,8,2001,9
19,McEwen Robbie,29,Domo - Farm Frites,8,2001,9
20,Hamilton Tyler,30,US Postal Service,8,2001,9
21,Elmiger Martin,22,,7,2001,9
22,Armstrong Lance,29,US Postal Service,6,2001,9
23,Zberg Markus,27,Rabobank ProTeam,6,2001,9
24,Aebersold Niki,28,Team Coast,5,2001,9
25,Zberg Beat,30,Rabobank ProTeam,4,2001,9
26,Magnien Emmanuel,30,La Fran\xe7aise des Jeux,3,2001,9
27,Camenzind Oscar,29,Lampre - Daikin,3,2001,9
28,Poos Christian,23,,3,2001,9
29,Gianetti Mauro,37,Team Coast,2,2001,9
30,Stadelmann Ren\xe9,27,Phonak Hearing Systems,2,2001,9
31,Haselbacher Rene,23,Gerolsteiner,2,2001,9
32,Wadecki Piotr,28,Domo - Farm Frites,1,2001,9
33,Z\xfclle Alex,32,Team Coast,1,2001,9
34,Vande Velde Christian,25,US Postal Service,1,2001,9
35,Pozzi Oscar,29,Fassa Bortolo,1,2001,9
36,Calcagni Patrick,23,Tacconi Sport - Vini Caldirola,1,2001,9
