Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
29,51.038000000000004,,+0:00,50.0,Jalabert Laurent,1,O.N.C.E.,6:35 6:35,0,1998
25,50.781000000000006,,+0:00,30.0,Gaumont Philippe,2,Cofidis,0:02 0:02,0,1998
24,50.653,,+0:00,18.0,Ullrich Jan,3,Team Telekom - ARD,0:03 0:03,0,1998
27,50.526,,+0:00,13.0,Dekker Erik,4,Rabobank ProTeam,0:04 0:04,0,1998
28,50.4,,+0:00,10.0,Boscardin Bruno,5,Festina - Lotus,0:05 0:05,0,1998
29,50.4,,+0:00,7.0,Dufaux Laurent,6,Festina - Lotus,",, 0:05",0,1998
21,50.148999999999994,,+0:00,4.0,Millar David,7,Cofidis,0:07 0:07,0,1998
30,50.148999999999994,,+0:00,3.0,Meier Roland,8,Cofidis,",, 0:07",0,1998
27,50.025,,+0:00,2.0,Zberg Beat,9,Rabobank ProTeam,0:08 0:08,0,1998
25,50.025,,+0:00,1.0,Nardello Daniele,10,Mapei - Bricobi,",, 0:08",0,1998
26,49.901,,+0:00,,Streel Marc,11,Casino - AG2R,0:09 0:09,0,1998
29,49.778,,+0:00,,Wauters Marc,12,Rabobank ProTeam,0:10 0:10,0,1998
29,49.778,,+0:00,,Borgheresi Simone,13,Mercatone Uno,",, 0:10",0,1998
33,49.655,,+0:00,,Diaz Herminio,14,O.N.C.E.,0:11 0:11,0,1998
27,49.533,,+0:00,,Aus Lauri,15,Casino - AG2R,0:12 0:12,0,1998
24,49.533,,+0:00,,Garzelli Stefano,16,Mercatone Uno,",, 0:12",0,1998
33,49.412,,+0:00,,Bruyneel Johan,17,O.N.C.E.,0:13 0:13,0,1998
34,49.291000000000004,,+0:00,,Riis Bjarne,18,Team Telekom - ARD,0:14 0:14,0,1998
26,49.17100000000001,,+0:00,,Peron Andrea,19,La Fran\xe7aise des Jeux,0:15 0:15,0,1998
27,49.051,,+0:00,,Padrnos Pavel,20,Saeco Macchine da Caffe' - Cannondale,0:16 0:16,0,1998
21,49.051,,+0:00,,Malberti Fabio,21,Asics - CGA,",, 0:16",0,1998
34,49.051,,+0:00,,Vanzella Flavio,22,La Fran\xe7aise des Jeux,",, 0:16",0,1998
25,49.051,,+0:00,,Diaz Rafael,23,O.N.C.E.,",, 0:16",0,1998
27,48.931999999999995,,+0:00,,Petito Roberto,24,Saeco Macchine da Caffe' - Cannondale,0:17 0:17,0,1998
24,48.931999999999995,,+0:00,,Tosatto Matteo,25,Ballan,",, 0:17",0,1998
23,48.931999999999995,,+0:00,,Ca\xf1ada David,26,O.N.C.E.,",, 0:17",0,1998
28,49.051,,+0:00,,Cali Vincent,27,Casino - AG2R,0:16 0:16,0,1998
27,49.051,,+0:00,,Belli Wladimir,28,Festina - Lotus,",, 0:16",0,1998
29,48.931999999999995,,+0:00,,Bortolami Gianluca,29,Festina - Lotus,0:17 0:17,0,1998
29,48.81399999999999,,+0:00,,De Pasquale Maurizio,30,,0:18 0:18,0,1998
29,48.81399999999999,,+0:00,,Garc\xeda Felix Manuel,31,,",, 0:18",0,1998
24,48.81399999999999,,+0:00,,Sacchi Fabio,32,Polti,",, 0:18",0,1998
25,48.81399999999999,,+0:00,,Luttenberger Peter,33,Rabobank ProTeam,",, 0:18",0,1998
32,48.696000000000005,,+0:00,,Jaermann Rolf,34,Casino - AG2R,0:19 0:19,0,1998
24,48.696000000000005,,+0:00,,Etxebarria David,35,O.N.C.E.,",, 0:19",0,1998
24,48.81399999999999,,+0:00,,Bassons Christophe,36,Festina - Lotus,0:18 0:18,0,1998
30,48.81399999999999,,+0:00,,Finco Carlo,37,Ballan,",, 0:18",0,1998
27,48.696000000000005,,+0:00,,Magnien Emmanuel,38,La Fran\xe7aise des Jeux,0:19 0:19,0,1998
26,48.696000000000005,,+0:00,,Shefer Alexandre,39,Asics - CGA,",, 0:19",0,1998
26,48.696000000000005,,+0:00,,Javier Hernandez Jaime,40,Festina - Lotus,",, 0:19",0,1998
28,48.696000000000005,,+0:00,,Berzin Yewgeni,41,La Fran\xe7aise des Jeux,",, 0:19",0,1998
25,48.696000000000005,,+0:00,,Codol Massimo,42,Mapei - Bricobi,",, 0:19",0,1998
29,48.696000000000005,,+0:00,,Noe Andrea,43,Asics - CGA,",, 0:19",0,1998
29,48.578,,+0:00,,Aldag Rolf,44,Team Telekom - ARD,0:20 0:20,0,1998
25,48.578,,+0:00,,van Heeswijk Max,45,,",, 0:20",0,1998
26,48.461999999999996,,+0:00,,Guesdon Fr\xe9d\xe9ric,46,La Fran\xe7aise des Jeux,0:21 0:21,0,1998
30,48.461999999999996,,+0:00,,Cattai Stefano,47,Ballan,",, 0:21",0,1998
29,48.461999999999996,,+0:00,,Mengin Christophe,48,La Fran\xe7aise des Jeux,",, 0:21",0,1998
33,48.345,,+0:00,,Heppner Jens,49,Team Telekom - ARD,0:22 0:22,0,1998
29,48.345,,+0:00,,den Bakker Maarten,50,Rabobank ProTeam,",, 0:22",0,1998
21,48.23,,+0:00,,Jaksche Jorg,51,Polti,0:23 0:23,0,1998
26,48.345,,+0:00,,Crepaldi Mirco,52,Polti,0:22 0:22,0,1998
26,48.345,,+0:00,,van Bon L\xe9on,53,Rabobank ProTeam,",, 0:22",0,1998
27,48.23,,+0:00,,Buschor Philipp,54,Saeco Macchine da Caffe' - Cannondale,0:23 0:23,0,1998
27,48.23,,+0:00,,Vetsch Patrick,55,,",, 0:23",0,1998
27,48.23,,+0:00,,Wesemann Steffen,56,Team Telekom - ARD,",, 0:23",0,1998
