Rnk,Rider,Age,Team,Pnt,Time won/lost,year,stage
1,Boonen Tom,25,Quickstep - Innergetic,100.0,+0:00,2006,5
2,Zabel Erik,35,Milram,70.0,+0:00,2006,5
3,Clerc Aur\xe9lien,26,Phonak Hearing Systems,50.0,+0:00,2006,5
4,Hunter Robert,28,Phonak Hearing Systems,36.0,+0:00,2006,5
5,Guidi Fabrizio,33,Phonak Hearing Systems,28.0,+0:00,2006,5
6,Breschel Matti,21,CSC ProTeam,24.0,+0:00,2006,5
7,de Jongh Steven,32,Quickstep - Innergetic,20.0,+0:00,2006,5
8,Jalabert Nicolas,32,Phonak Hearing Systems,18.0,+0:00,2006,5
9,Ingels Nick,21,Davitamon - Lotto,16.0,+0:00,2006,5
10,Vierhouten Aart,35,Skil - Shimano,14.0,+0:00,2006,5
11,Lang Sebastian,26,Gerolsteiner,12.0,+0:00,2006,5
12,van Hummel Kenny,23,Skil - Shimano,10.0,+0:00,2006,5
13,Tjallingii Maarten,28,Skil - Shimano,8.0,+0:00,2006,5
14,Cancellara Fabian,24,CSC ProTeam,7.0,+0:00,2006,5
15,Trenti Guido,33,Quickstep - Innergetic,6.0,+0:00,2006,5
16,O'Grady Stuart,32,CSC ProTeam,5.0,+0:00,2006,5
17,Detilloux Christophe,31,Fran\xe7aise des Jeux,4.0,+0:00,2006,5
18,van Bon L\xe9on,34,Davitamon - Lotto,3.0,+0:00,2006,5
19,Dekker Erik,35,Rabobank ProTeam,2.0,+0:00,2006,5
20,Tosatto Matteo,31,Quickstep - Innergetic,1.0,+0:00,2006,5
21,Sieberg Marcel,23,Team Wiesenhof Akud,,+0:00,2006,5
22,Poitschke Enrico,36,Milram,,+0:00,2006,5
23,Siedler Sebastian,28,Milram,,+0:00,2006,5
24,Hulsmans Kevin,27,Quickstep - Innergetic,,+0:00,2006,5
25,Cretskens Wilfried,29,Quickstep - Innergetic,,+0:00,2006,5
26,Knaven Servais,34,Quickstep - Innergetic,,+0:00,2006,5
27,Roberts Luke,29,CSC ProTeam,,+0:00,2006,5
28,Schr\xf6der Bjorn,25,Milram,,+0:00,2006,5
