Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,year,stage
1,Boonen Tom,24.0,Quickstep - Innergetic,20.0,1.0,+0:00,3:45:17 3:45:17,2005,1
2,Cipollini Mario,37.0,Liquigas,12.0,2.0,+0:04,",, ,,",2005,1
3,Hunter Robert,27.0,Phonak Hearing Systems,7.0,3.0,+0:04,",, ,,",2005,1
4,Clerc Aur\xe9lien,25.0,Phonak Hearing Systems,5.0,6.0,+0:10,",, ,,",2005,1
5,Cadamuro Simone,28.0,Domina Vacanze,4.0,7.0,+0:10,",, ,,",2005,1
6,Korff Andre,31.0,T-Mobile Team,3.0,8.0,+0:10,",, ,,",2005,1
7,Ventoso Francisco,22.0,Saunier Duval - Prodir,2.0,9.0,+0:10,",, ,,",2005,1
8,Siedler Sebastian,27.0,Team Wiesenhof,1.0,10.0,+0:10,",, ,,",2005,1
9,Mondory Lloyd,22.0,AG2R Pr\xe9voyance,,11.0,+0:10,",, ,,",2005,1
10,McEwen Robbie,32.0,Davitamon - Lotto,,12.0,+0:10,",, ,,",2005,1
11,Rodriguez Fred,31.0,Davitamon - Lotto,,13.0,+0:10,",, ,,",2005,1
12,van Speybroeck Wesley,26.0,Chocolade Jacques - T Interim,,14.0,+0:10,",, ,,",2005,1
13,Kemna Rudi,37.0,Shimano - Memory Corp,,15.0,+0:10,",, ,,",2005,1
14,Usov Alexandre,27.0,AG2R Pr\xe9voyance,,16.0,+0:10,",, ,,",2005,1
15,van Mechelen Wouter,23.0,Chocolade Jacques - T Interim,,17.0,+0:10,",, ,,",2005,1
16,Greipel Andr\xe9,22.0,Team Wiesenhof,,18.0,+0:10,",, ,,",2005,1
17,Hammond Roger,31.0,Discovery Channel,,19.0,+0:10,",, ,,",2005,1
18,Guidi Fabrizio,32.0,CSC ProTeam,,20.0,+0:10,",, ,,",2005,1
19,Baumann Eric,24.0,T-Mobile Team,,21.0,+0:10,",, ,,",2005,1
20,Zanotti Marco,31.0,Liquigas,,22.0,+0:10,",, ,,",2005,1
21,Vierhouten Aart,34.0,Davitamon - Lotto,,23.0,+0:10,",, ,,",2005,1
22,Caethoven Steven,23.0,Chocolade Jacques - T Interim,,24.0,+0:10,",, ,,",2005,1
23,Jalabert Nicolas,31.0,Phonak Hearing Systems,,25.0,+0:10,",, ,,",2005,1
24,Michaelsen Lars,35.0,CSC ProTeam,,26.0,+0:10,",, ,,",2005,1
25,Quinziato Manuel,25.0,Saunier Duval - Prodir,,27.0,+0:10,",, ,,",2005,1
26,Rast Gregory,25.0,Phonak Hearing Systems,,28.0,+0:10,",, ,,",2005,1
27,Flickinger Andy,26.0,AG2R Pr\xe9voyance,,29.0,+0:10,",, ,,",2005,1
28,van Katwijk Alain,25.0,Shimano - Memory Corp,,30.0,+0:10,",, ,,",2005,1
29,Nardello Daniele,32.0,T-Mobile Team,,31.0,+0:10,",, ,,",2005,1
30,Trentin Guido,29.0,Cofidis,,32.0,+0:10,",, ,,",2005,1
31,van der Wal Eelke,24.0,Shimano - Memory Corp,,33.0,+0:10,",, ,,",2005,1
32,Bos Marco,25.0,Shimano - Memory Corp,,34.0,+0:10,",, ,,",2005,1
33,Giling Bas,22.0,T-Mobile Team,,35.0,+0:10,",, ,,",2005,1
