Rnk,Rider,Age,Team,Pnt,Time won/lost,year,stage
91,Jur\u010do Matej,23,Milram,,+0:00,2008,6
92,Tolleson Taylor,22,BMC Racing Team,,+0:00,2008,6
93,Bates Gene Michael,26,Drapac - Porsche Development Program,,+0:00,2008,6
94,Nuyens Nick,27,Cofidis,,+0:00,2008,6
95,Williams Robert,22,Drapac - Porsche Development Program,,+0:00,2008,6
96,Klimov Sergey,27,Tinkoff Credit Systems,,+0:00,2008,6
97,Vanheule Bart,24,Chocolade Jacques / Topsport Vlaanderen,,+0:00,2008,6
98,Haddou Sa\xefd,25,Bouygues Telecom,,+0:00,2008,6
99,Saeidi Tanha Abbas,27,,,+0:00,2008,6
100,Bertogliati Rubens,28,Scott - American Beef,,+0:00,2008,6
101,Capelli Ermano,22,Scott - American Beef,,+0:00,2008,6
102,Khatuntsev Alexander,22,Tinkoff Credit Systems,,+0:00,2008,6
103,Alarc\xf3n Ra\xfal,21,Scott - American Beef,,+0:00,2008,6
104,Seyed Rezaei Khormizi Seyed Mostafa,23,,,+0:00,2008,6
105,Stewart Jackson,27,BMC Racing Team,,+0:00,2008,6
106,Simon Jean-Paul,25,Josan Mercedes Benz Aalst CT,,+0:00,2008,6
107,Mizbani Ghader,32,,,+0:00,2008,6
108,Bono Matteo,24,Lampre,,+0:00,2008,6
109,Gaudin Damien,21,Bouygues Telecom,,+0:00,2008,6
110,Sohrabi Mehdi,26,,,+0:00,2008,6
111,Roesems Bert,35,Silence - Lotto,,+0:00,2008,6
112,Trenti Guido,35,Liquigas,,+0:00,2008,6
113,Nateghi Hossein,20,,,+0:00,2008,6
114,Jahanbanian Hossein,31,,,+0:00,2008,6
115,Scheirlinckx Staf,28,Cofidis,,+0:00,2008,6
116,Patour Kilian,25,Team Garmin - Chipotle,,+0:00,2008,6
117,Said Moosa,19,Doha Team,,+0:00,2008,6
118,Minard S\xe9bastien,25,Cofidis,,+0:00,2008,6
119,Zargari Amir,27,,,+0:00,2008,6
120,Esmaeili Tareq,30,Doha Team,,+0:00,2008,6
121,Afif Hamad,19,Doha Team,,+0:00,2008,6
122,Abduljanan Khalil,24,Doha Team,,+0:00,2008,6
