Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
24,,85,55.0,+0:35,,Sbaragli Kristian,55,MTN - Qhubeka,0:25 0:25,,1,2015
28,,132,56.0,+0:35,,Docker Mitchell,56,Orica GreenEDGE,",, 0:25",,1,2015
27,,81,57.0,+0:35,,Boasson Hagen Edvald,57,MTN - Qhubeka,",, 0:25",,1,2015
29,,156,58.0,+0:35,,Kluge Roger,58,IAM Cycling,",, 0:25",,1,2015
27,,68,59.0,+0:35,,Smukulis Gatis,59,Team Katusha,",, 0:25",,1,2015
38,,67,62.0,+0:43,,Paolini Luca,60,Team Katusha,0:33 0:33,,1,2015
23,,62,63.0,+0:43,,Bystr\xf8m Sven Erik,61,Team Katusha,",, 0:33",,1,2015
33,,141,64.0,+0:43,,Pozzato Filippo,62,Lampre - Merida,",, 0:33",,1,2015
23,,12,60.0,+0:39,,Arndt Nikias,63,Team Giant - Alpecin,",, 0:33",,1,2015
26,,11,65.0,+0:43,,Kittel Marcel,64,Team Giant - Alpecin,",, 0:33",,1,2015
32,,58,66.0,+0:43,,Ventoso Francisco,65,Movistar Team,",, 0:33",,1,2015
21,,48,67.0,+0:43,,Zabel Rick,66,BMC Racing Team,",, 0:33",,1,2015
27,,128,68.0,+0:43,,Vanspeybrouck Pieter,67,Topsport Vlaanderen - Baloise,",, 0:33",,1,2015
28,,52,69.0,+0:43,,Amador Andrey,68,Movistar Team,",, 0:33",,1,2015
23,,6,70.0,+0:43,,van Keirsbulck Guillaume,69,Etixx - Quick Step,",, 0:33",,1,2015
25,,131,71.0,+0:43,,Blythe Adam,70,Orica GreenEDGE,0:00 0:00,,1,2015
32,,76,72.0,+0:43,,Rollin Dominique,71,"Cofidis, Solutions Cr\xe9dits",0:33 0:33,,1,2015
22,,57,73.0,+0:43,,S\xfctterlin Jasha,72,Movistar Team,",, 0:33",,1,2015
35,,32,74.0,+0:43,,Irizar Markel,73,Trek Factory Racing,",, 0:33",,1,2015
29,,8,75.0,+0:43,,Velits Martin,74,Etixx - Quick Step,",, 0:33",,1,2015
25,,15,76.0,+0:43,,Sinkeldam Ramon,75,Team Giant - Alpecin,",, 0:33",,1,2015
27,,145,77.0,+0:43,,Modolo Sacha,76,Lampre - Merida,",, 0:33",,1,2015
35,,115,78.0,+0:43,,Fischer Murilo Antonio,77,FDJ,",, 0:33",,1,2015
30,,107,79.0,+0:43,,Sutton Chris,78,Team Sky,",, 0:33",,1,2015
31,,53,80.0,+0:43,,Erviti Imanol,79,Movistar Team,",, 0:33",,1,2015
34,,101,81.0,+0:43,,Wiggins Bradley,80,Team Sky,",, 0:33",,1,2015
32,,112,82.0,+0:43,,Bonnet William,81,FDJ,",, 0:33",,1,2015
39,,54,83.0,+0:43,,Lastras Pablo,82,Movistar Team,",, 0:33",,1,2015
35,,136,84.0,+0:43,,Lancaster Brett,83,Orica GreenEDGE,",, 0:33",,1,2015
28,,95,85.0,+0:43,,Gruzdev Dmitriy,84,Astana Pro Team,",, 0:33",,1,2015
25,,121,86.0,+0:43,,Wallays Jelle,85,Topsport Vlaanderen - Baloise,",, 0:33",,1,2015
32,,3,87.0,+0:43,,Keisse Iljo,86,Etixx - Quick Step,",, 0:33",,1,2015
