Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
6,53,Cantwell Jonathan,31,Team Saxo - Tinkoff,5.0,3.0,131.0,+19:57,",, ,,",2013,4
7,41,Bouhanni Nacer,22,FDJ.fr,4.0,2.0,86.0,+16:57,",, ,,",2013,4
8,111,Kruopis Aidis,26,Orica GreenEDGE,2.0,1.0,19.0,+0:31,",, ,,",2013,4
9,11,Boasson Hagen Edvald,25,Sky Procycling,,,9.0,+0:16,",, ,,",2013,4
10,102,Appollonio Davide,23,AG2R La Mondiale,,,82.0,+16:47,",, ,,",2013,4
11,71,Haussler Heinrich,28,IAM Cycling,,,39.0,+0:49,",, ,,",2013,4
12,128,van Hummel Kenny,30,Vacansoleil - DCM,,,44.0,+1:03,",, ,,",2013,4
13,131,Kluge Roger,27,Team NetApp \u2013 Endura,,,37.0,+0:45,",, ,,",2013,4
14,32,Blythe Adam,23,BMC Racing Team,,,4.0,+0:09,",, ,,",2013,4
15,81,Degenkolb John,24,Team Argos - Shimano,,,29.0,+0:40,",, ,,",2013,4
16,48,Soupe Geoffrey,24,FDJ.fr,,,74.0,+16:37,",, ,,",2013,4
17,103,Bagdonas Gediminas,27,AG2R La Mondiale,,,81.0,+16:47,",, ,,",2013,4
18,174,Nishitani Taiji,32,Japan,,,105.0,+18:02,",, ,,",2013,4
19,168,Pasqualon Andrea,25,Bardiani Valvole - CSF Inox,,,91.0,+17:13,",, ,,",2013,4
20,165,Delle Stelle Cristian,24,Bardiani Valvole - CSF Inox,,,127.0,+19:26,",, ,,",2013,4
21,135,Jarc Bla\u017e,24,Team NetApp \u2013 Endura,,,80.0,+16:47,",, ,,",2013,4
22,164,Coledan Marco,24,Bardiani Valvole - CSF Inox,,,92.0,+17:13,",, ,,",2013,4
23,114,Cooke Baden,34,Orica GreenEDGE,,,21.0,+0:35,",, ,,",2013,4
24,4,Terpstra Niki,28,Omega Pharma - Quick-Step,,,12.0,+0:22,",, ,,",2013,4
25,91,Viviani Elia,23,Cannondale Pro Cycling Team,,,24.0,+0:36,",, ,,",2013,4
26,52,Breschel Matti,28,Team Saxo - Tinkoff,,,26.0,+0:38,",, ,,",2013,4
27,15,Rowe Luke,22,Sky Procycling,,,11.0,+0:17,",, ,,",2013,4
28,143,Haller Marco,21,Team Katusha,,,16.0,+0:27,",, ,,",2013,4
