BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ - 13:30:59,12.0,11,Astana Pro Team,0:49 0:49,\u25b21,5,2013
,,+ - 13:30:59,13.0,12,Vacansoleil - DCM,0:51 0:51,\u25b21,5,2013
,,+ - 13:30:59,10.0,13,Team Saxo - Tinkoff,1:00 1:00,\u25bc3,5,2013
,,+ - 13:30:59,14.0,14,AG2R La Mondiale,1:03 1:03,-,5,2013
,,+ - 13:30:59,15.0,15,Cannondale Pro Cycling Team,16:26 16:26,-,5,2013
,,+ - 13:30:59,16.0,16,Champion System Pro Cycling Team,33:57 33:57,-,5,2013
,,+ - 13:30:59,17.0,17,Bardiani Valvole - CSF Inox,49:05 49:05,-,5,2013
,,+ - 13:30:59,18.0,18,Japan,49:54 49:54,-,5,2013
,,+ - 15:55:20,1.0,1,BMC Racing Team,47:15:31 47:15:31,-,6,2013
,,+ - 15:55:20,2.0,2,Sky Procycling,0:05 0:05,-,6,2013
,,+ - 15:55:20,3.0,3,Omega Pharma - Quick-Step,0:10 0:10,-,6,2013
,,+ - 15:55:20,4.0,4,Team Katusha,0:15 0:15,-,6,2013
,,+ - 15:55:20,5.0,5,Orica GreenEDGE,0:23 0:23,-,6,2013
,,+ - 15:55:20,6.0,6,FDJ.fr,",, 0:23",-,6,2013
,,+ - 15:55:20,7.0,7,Team Argos - Shimano,0:30 0:30,-,6,2013
,,+ - 15:55:20,8.0,8,RadioShack - Leopard,0:32 0:32,-,6,2013
,,+ - 15:55:20,9.0,9,Team NetApp \u2013 Endura,0:44 0:44,-,6,2013
,,+ - 15:55:20,10.0,10,IAM Cycling,0:48 0:48,-,6,2013
,,+ - 15:55:20,12.0,11,Vacansoleil - DCM,0:51 0:51,\u25b21,6,2013
,,+ - 15:55:20,13.0,12,Team Saxo - Tinkoff,1:00 1:00,\u25b21,6,2013
,,+ - 15:55:20,11.0,13,Astana Pro Team,1:02 1:02,\u25bc2,6,2013
,,+ - 15:55:20,14.0,14,AG2R La Mondiale,1:03 1:03,-,6,2013
,,+ - 15:55:20,15.0,15,Cannondale Pro Cycling Team,16:26 16:26,-,6,2013
,,+ - 15:55:20,16.0,16,Champion System Pro Cycling Team,33:57 33:57,-,6,2013
,,+ - 15:55:20,17.0,17,Bardiani Valvole - CSF Inox,49:05 49:05,-,6,2013
,,+ - 15:55:20,18.0,18,Japan,49:54 49:54,-,6,2013
