Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
26,89,+2:46,90.0,Wyss Danilo,89,BMC Racing Team,",, 2:46",+1:35,,\u25b21,3,2012
25,90,+2:46,89.0,Schar Michael,90,BMC Racing Team,",, 2:46",+1:35,,\u25bc1,3,2012
30,91,+2:49,93.0,Shimizu Miyataka,91,Team Bridgestone Anchor,2:49 2:49,+1:35,,\u25b22,3,2012
26,92,+2:49,94.0,Lebas Thomas,92,Team Bridgestone Anchor,",, 2:49",+1:35,,\u25b22,3,2012
33,93,+2:56,98.0,Hulsmans Kevin,93,Farnese Vini-Neri-Sottoli,2:56 2:56,+1:35,,\u25b25,3,2012
31,94,+2:58,99.0,Davis Allan,94,Orica GreenEDGE,2:58 2:58,+1:35,,\u25b25,3,2012
25,95,+3:03,115.0,Maes Nikolas,95,Omega Pharma - Quick-Step,3:03 3:03,+0:45,,\u25b220,3,2012
38,96,+3:12,100.0,McCann David,96,RTS Racing Team,3:12 3:12,+1:35,,\u25b24,3,2012
20,97,+3:23,106.0,Rathe Jacob,97,Team Garmin - Barracuda,3:23 3:23,+1:35,,\u25b29,3,2012
37,98,+3:25,107.0,Hunt Jeremy,98,Sky Procycling,3:25 3:25,+1:35,,\u25b29,3,2012
32,99,+3:30,112.0,Rast Gregory,99,RadioShack - Nissan,3:30 3:30,+1:27,,\u25b213,3,2012
32,100,+3:31,109.0,Popovych Yaroslav,100,RadioShack - Nissan,3:31 3:31,+1:35,,\u25b29,3,2012
30,101,+3:31,110.0,Posthuma Joost,101,RadioShack - Nissan,",, 3:31",+1:35,,\u25b29,3,2012
25,102,+3:37,111.0,Klemme Dominic,102,Argos - Shimano,3:37 3:37,+1:35,,\u25b29,3,2012
27,103,+3:47,113.0,Vandenbergh Stijn,103,Omega Pharma - Quick-Step,3:47 3:47,+1:35,,\u25b210,3,2012
25,104,+3:58,116.0,van Genechten Jonas,104,Lotto Belisol Team,3:58 3:58,+1:35,,\u25b212,3,2012
29,105,+4:17,117.0,Benenati Cristian,105,Farnese Vini-Neri-Sottoli,4:17 4:17,+1:35,,\u25b212,3,2012
24,106,+4:44,119.0,Galimzyanov Denis,106,Team Katusha,4:44 4:44,+1:35,,\u25b213,3,2012
22,107,+5:31,120.0,Debusschere Jens,107,Lotto Belisol Team,5:31 5:31,+1:35,,\u25b213,3,2012
34,108,+11:22,40.0,Hushovd Thor,108,BMC Racing Team,11:22 11:22,+11:03,,\u25bc68,3,2012
21,109,+11:22,43.0,Phinney Taylor,109,BMC Racing Team,",, 11:22",+11:03,,\u25bc66,3,2012
24,110,+11:23,52.0,van Winden Dennis,110,Rabobank Cycling Team,11:23 11:23,+11:03,,\u25bc58,3,2012
26,111,+12:17,96.0,Sonnery Blaise,111,Team Bridgestone Anchor,12:17 12:17,+11:03,,\u25bc15,3,2012
28,112,+12:31,12.0,Rabon Frantisek,112,Omega Pharma - Quick-Step,12:31 12:31,+12:21,,\u25bc100,3,2012
28,113,+12:40,101.0,Crawford Jai,113,Genesys Wealth Advisers,12:40 12:40,+11:03,,\u25bc12,3,2012
28,114,+12:40,102.0,Coutts Alex,114,RTS Racing Team,",, 12:40",+11:03,,\u25bc12,3,2012
39,115,+12:40,103.0,Rodgers Lee,115,CCN Cycling Team,",, 12:40",+11:03,,\u25bc12,3,2012
30,116,+13:35,97.0,Inoue Kazuo,116,Team Bridgestone Anchor,13:35 13:35,+12:21,,\u25bc19,3,2012
22,117,+14:06,105.0,Yoshida Hayato,117,Team Bridgestone Anchor,14:06 14:06,+12:21,,\u25bc12,3,2012
25,118,+14:12,108.0,Sys Klaas,118,Team Bridgestone Anchor,14:12 14:12,+12:21,,\u25bc10,3,2012
25,119,+15:09,118.0,Jiao Pengda,119,Champion System Pro Cycling Team,15:09 15:09,+12:21,,\u25bc1,3,2012
24,120,+15:11,121.0,Nishizono Ryota,120,Team Bridgestone Anchor,15:11 15:11,+11:03,,\u25b21,3,2012
23,121,+15:58,122.0,Huang Chin-lung,121,RTS Racing Team,15:58 15:58,+11:03,,\u25b21,3,2012
28,122,+17:52,123.0,Xu Gang,122,Champion System Pro Cycling Team,17:52 17:52,+12:21,,\u25b21,3,2012
26,123,+26:36,124.0,Chang Wei Kei,123,RTS Racing Team,26:36 26:36,+12:21,,\u25b21,3,2012
33,124,+26:51,125.0,Kudentsov Sergei,124,,26:51 26:51,+12:21,,\u25b21,3,2012
31,1,+0:00,1.0,Boonen Tom,1,Omega Pharma - Quick-Step,9:50:50 9:50:50,+0:00,10.0,-,4,2012
27,2,+0:31,2.0,Farrar Tyler,2,Team Garmin - Barracuda,0:31 0:31,+0:25,,-,4,2012
34,3,+0:34,16.0,Flecha Juan Antonio,3,Sky Procycling,0:34 0:34,+0:13,,\u25b213,4,2012
31,4,+0:36,11.0,Steegmans Gert,4,Omega Pharma - Quick-Step,0:36 0:36,+0:17,,\u25b27,4,2012
30,5,+0:45,8.0,Eisel Bernhard,5,Sky Procycling,0:45 0:45,+0:27,,\u25b23,4,2012
