Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
33,13,+1:20,14.0,Cooke Baden,13,Orica GreenEDGE,1:20 1:20,+0:00,,\u25b21,5,2012
29,14,+1:32,15.0,Renshaw Mark,14,Rabobank Cycling Team,1:32 1:32,+0:00,,\u25b21,5,2012
23,15,+1:33,16.0,Gallopin Tony,15,RadioShack - Nissan,1:33 1:33,+0:00,,\u25b21,5,2012
23,16,+1:40,17.0,Degenkolb John,16,Argos - Shimano,1:40 1:40,+0:00,,\u25b21,5,2012
32,17,+1:45,18.0,Willems Frederik,17,Lotto Belisol Team,1:45 1:45,+0:00,,\u25b21,5,2012
27,18,+1:56,13.0,Dekker Thomas,18,Team Garmin - Barracuda,1:56 1:56,+0:37,,\u25bc5,5,2012
26,19,+2:15,20.0,Ignatyev Mikhail,19,Team Katusha,2:15 2:15,+0:00,,\u25b21,5,2012
22,20,+2:16,21.0,Selig R\xfcdiger,20,Team Katusha,2:16 2:16,+0:00,,\u25b21,5,2012
20,21,+2:17,22.0,van Keirsbulck Guillaume,21,Omega Pharma - Quick-Step,2:17 2:17,+0:00,,\u25b21,5,2012
27,22,+2:19,23.0,Friedemann Matthias,22,Champion System Pro Cycling Team,2:19 2:19,+0:00,,\u25b21,5,2012
29,23,+2:23,25.0,Gilbert Philippe,23,BMC Racing Team,2:23 2:23,+0:00,,\u25b22,5,2012
23,24,+2:27,19.0,Sinkeldam Ramon,24,Argos - Shimano,2:27 2:27,+0:25,,\u25bc5,5,2012
25,25,+2:28,27.0,Offredo Yoann,25,FDJ - BigMat,2:28 2:28,+0:00,,\u25b22,5,2012
31,26,+2:30,28.0,Boucher David,26,FDJ - BigMat,2:30 2:30,+0:00,,\u25b22,5,2012
29,27,+2:45,26.0,Wynants Maarten,27,Rabobank Cycling Team,2:45 2:45,+0:18,,\u25bc1,5,2012
24,28,+2:47,30.0,Stannard Ian,28,Sky Procycling,2:47 2:47,+0:00,,\u25b22,5,2012
25,29,+2:52,34.0,Oss Daniel,29,Liquigas - Cannondale,2:52 2:52,+-1:54,,\u25b25,5,2012
34,30,+2:55,32.0,Tuft Svein,30,Orica GreenEDGE,2:55 2:55,+0:00,,\u25b22,5,2012
23,31,+2:59,35.0,Nizzolo Giacomo,31,RadioShack - Nissan,2:59 2:59,+0:00,,\u25b24,5,2012
23,32,+3:01,36.0,Lodewyck Klaas,32,BMC Racing Team,3:01 3:01,+0:00,,\u25b24,5,2012
29,33,+3:02,37.0,Sieberg Marcel,33,Lotto Belisol Team,3:02 3:02,+0:00,,\u25b24,5,2012
35,34,+3:02,38.0,Henderson Gregory,34,Lotto Belisol Team,",, 3:02",+0:00,,\u25b24,5,2012
20,35,+3:08,39.0,D\xe9mare Arnaud,35,FDJ - BigMat,3:08 3:08,+0:00,,\u25b24,5,2012
29,36,+3:08,40.0,Rollin Dominique,36,FDJ - BigMat,",, 3:08",+0:00,,\u25b24,5,2012
29,37,+3:09,41.0,de Kort Koen,37,Argos - Shimano,3:09 3:09,+0:00,,\u25b24,5,2012
26,38,+3:20,45.0,Timmer Albert,38,Argos - Shimano,3:20 3:20,+0:00,,\u25b27,5,2012
25,39,+3:27,46.0,Maes Nikolas,39,Omega Pharma - Quick-Step,3:27 3:27,+0:00,,\u25b27,5,2012
34,40,+3:29,47.0,Hunter Robert,40,Team Garmin - Barracuda,3:29 3:29,+0:00,,\u25b27,5,2012
32,41,+3:36,48.0,Fischer Murilo Antonio,41,Team Garmin - Barracuda,3:36 3:36,+0:00,,\u25b27,5,2012
22,42,+3:41,53.0,Sagan Peter,42,Liquigas - Cannondale,3:41 3:41,+-1:56,,\u25b211,5,2012
22,43,+3:43,49.0,Appollonio Davide,43,Sky Procycling,3:43 3:43,+0:00,,\u25b26,5,2012
20,44,+3:43,50.0,Haller Marco,44,Team Katusha,",, 3:43",+0:00,,\u25b26,5,2012
26,45,+3:44,42.0,Leezer Tom,45,Rabobank Cycling Team,3:44 3:44,+0:33,,\u25bc3,5,2012
24,46,+3:45,52.0,Kristoff Alexander,46,Team Katusha,3:45 3:45,+0:00,,\u25b26,5,2012
26,47,+3:49,55.0,Sabatini Fabio,47,Liquigas - Cannondale,3:49 3:49,+0:00,,\u25b28,5,2012
27,48,+3:49,56.0,Marangoni Alan,48,Liquigas - Cannondale,",, 3:49",+0:00,,\u25b28,5,2012
32,49,+3:50,57.0,Bak Lars Ytting,49,Lotto Belisol Team,3:50 3:50,+0:00,,\u25b28,5,2012
32,50,+3:50,58.0,Irizar Markel,50,RadioShack - Nissan,",, 3:50",+0:00,,\u25b28,5,2012
28,51,+3:52,59.0,Beppu Fumiyuki,51,Orica GreenEDGE,3:52 3:52,+0:00,,\u25b28,5,2012
31,52,+3:52,61.0,Mouris Jens,52,Orica GreenEDGE,",, 3:52",+0:00,,\u25b29,5,2012
26,53,+3:52,60.0,Kohler Martin,53,BMC Racing Team,",, 3:52",+0:00,,\u25b27,5,2012
25,54,+3:53,63.0,Schar Michael,54,BMC Racing Team,3:53 3:53,+0:00,,\u25b29,5,2012
26,55,+3:53,62.0,Wyss Danilo,55,BMC Racing Team,",, 3:53",+0:00,,\u25b27,5,2012
39,56,+3:56,44.0,McEwen Robbie,56,Orica GreenEDGE,3:56 3:56,+0:37,,\u25bc12,5,2012
23,57,+3:59,65.0,Soupe Geoffrey,57,FDJ - BigMat,3:59 3:59,+0:00,,\u25b28,5,2012
35,58,+3:59,66.0,Rasch Gabriel,58,FDJ - BigMat,",, 3:59",+0:00,,\u25b28,5,2012
30,59,+4:00,54.0,Knees Christian,59,Sky Procycling,4:00 4:00,+0:15,,\u25bc5,5,2012
31,60,+4:05,68.0,Davis Allan,60,Orica GreenEDGE,4:05 4:05,+0:00,,\u25b28,5,2012
22,61,+4:07,69.0,Guardini Andrea,61,Farnese Vini-Neri-Sottoli,4:07 4:07,+0:00,,\u25b28,5,2012
30,62,+4:14,71.0,Sohrabi Mehdi,62,Lotto Belisol Team,4:14 4:14,+0:00,,\u25b29,5,2012
26,63,+4:16,51.0,Brammeier Matthew,63,Omega Pharma - Quick-Step,4:16 4:16,+0:33,,\u25bc12,5,2012
27,64,+4:21,67.0,Ladagnous Matthieu,64,FDJ - BigMat,4:21 4:21,+0:22,,\u25b23,5,2012
26,65,+4:21,73.0,Kluge Roger,65,Argos - Shimano,",, 4:21",+0:00,,\u25b28,5,2012
34,66,+4:26,29.0,Tjallingii Maarten,66,Rabobank Cycling Team,4:26 4:26,+1:52,,\u25bc37,5,2012
25,67,+4:30,75.0,De Negri Pier Paolo,67,Farnese Vini-Neri-Sottoli,4:30 4:30,+0:00,,\u25b28,5,2012
32,68,+4:30,64.0,Brown Graeme,68,Rabobank Cycling Team,",, 4:30",+0:37,,\u25bc4,5,2012
30,69,+4:33,76.0,Da Dalto Mauro,69,Liquigas - Cannondale,4:33 4:33,+0:00,,\u25b27,5,2012
28,70,+4:39,78.0,Kemps Aaron,70,Champion System Pro Cycling Team,4:39 4:39,+0:00,,\u25b28,5,2012
26,71,+4:39,79.0,van Emden Jos,71,Rabobank Cycling Team,",, 4:39",+0:00,,\u25b28,5,2012
31,72,+4:44,81.0,Longo Borghini Paolo,72,Liquigas - Cannondale,4:44 4:44,+0:00,,\u25b29,5,2012
30,73,+4:46,70.0,Caccia Diego,73,Farnese Vini-Neri-Sottoli,4:46 4:46,+0:39,,\u25bc3,5,2012
26,74,+4:49,83.0,Delage Micka\xebl,74,FDJ - BigMat,4:49 4:49,+0:00,,\u25b29,5,2012
26,75,+4:53,72.0,Bauer Jack,75,Team Garmin - Barracuda,4:53 4:53,+0:33,,\u25bc3,5,2012
33,76,+4:54,84.0,Hulsmans Kevin,76,Farnese Vini-Neri-Sottoli,4:54 4:54,+0:00,,\u25b28,5,2012
20,77,+5:03,77.0,Rathe Jacob,77,Team Garmin - Barracuda,5:03 5:03,+0:27,,-,5,2012
25,78,+5:05,85.0,van Genechten Jonas,78,Lotto Belisol Team,5:05 5:05,+0:00,,\u25b27,5,2012
25,79,+5:05,86.0,Isaychev Vladimir,79,Team Katusha,",, 5:05",+0:00,,\u25b27,5,2012
38,80,+5:10,87.0,McCann David,80,RTS Racing Team,5:10 5:10,+0:00,,\u25b27,5,2012
32,81,+5:22,88.0,Curvers Roy,81,Argos - Shimano,5:22 5:22,+0:00,,\u25b27,5,2012
32,82,+5:28,90.0,Rast Gregory,82,RadioShack - Nissan,5:28 5:28,+0:00,,\u25b28,5,2012
27,83,+5:44,92.0,Vandenbergh Stijn,83,Omega Pharma - Quick-Step,5:44 5:44,+0:00,,\u25b29,5,2012
37,84,+5:56,89.0,Hunt Jeremy,84,Sky Procycling,5:56 5:56,+0:33,,\u25b25,5,2012
26,85,+6:17,82.0,Lebas Thomas,85,Team Bridgestone Anchor,6:17 6:17,+1:30,,\u25bc3,5,2012
32,86,+6:33,24.0,Kuchynski Aliaksandr,86,Team Katusha,6:33 6:33,+4:14,,\u25bc62,5,2012
24,87,+6:42,93.0,Galimzyanov Denis,87,Team Katusha,6:42 6:42,+0:00,,\u25b26,5,2012
28,88,+6:48,94.0,Ascani Luca,88,Farnese Vini-Neri-Sottoli,6:48 6:48,+0:00,,\u25b26,5,2012
30,89,+6:59,91.0,Posthuma Joost,89,RadioShack - Nissan,6:59 6:59,+1:30,,\u25b22,5,2012
27,90,+7:14,33.0,Langeveld Sebastian,90,Orica GreenEDGE,7:14 7:14,+4:19,,\u25bc57,5,2012
30,91,+7:17,95.0,Hansen Adam,91,Lotto Belisol Team,7:17 7:17,+0:00,,\u25b24,5,2012
23,92,+7:31,74.0,Bertolini Thomas,92,Farnese Vini-Neri-Sottoli,7:31 7:31,+3:03,,\u25bc18,5,2012
30,93,+8:12,97.0,Ojavee Mart,93,Champion System Pro Cycling Team,8:12 8:12,+0:00,,\u25b24,5,2012
22,94,+8:30,96.0,Debusschere Jens,94,Lotto Belisol Team,8:30 8:30,+1:01,,\u25b22,5,2012
31,95,+8:42,102.0,Vanotti Alessandro,95,Liquigas - Cannondale,8:42 8:42,+0:00,,\u25b27,5,2012
23,96,+9:50,98.0,Lemair Alexandre,96,Team Bridgestone Anchor,9:50 9:50,+1:30,,\u25b22,5,2012
30,97,+11:08,103.0,Shimizu Miyataka,97,Team Bridgestone Anchor,11:08 11:08,+1:30,,\u25b26,5,2012
32,98,+11:37,104.0,Popovych Yaroslav,98,RadioShack - Nissan,11:37 11:37,+0:00,,\u25b26,5,2012
21,99,+12:29,106.0,Phinney Taylor,99,BMC Racing Team,12:29 12:29,+0:00,,\u25b27,5,2012
29,100,+12:33,107.0,Benenati Cristian,100,Farnese Vini-Neri-Sottoli,12:33 12:33,+0:00,,\u25b27,5,2012
28,101,+12:45,99.0,Wagner Robert,101,RadioShack - Nissan,12:45 12:45,+4:16,,\u25bc2,5,2012
26,102,+12:59,101.0,Bodnar Maciej,102,Liquigas - Cannondale,12:59 12:59,+4:17,,\u25bc1,5,2012
34,103,+13:20,108.0,Hushovd Thor,103,BMC Racing Team,13:20 13:20,+0:00,,\u25b25,5,2012
24,104,+14:11,100.0,Smukulis Gatis,104,Team Katusha,14:11 14:11,+5:33,,\u25bc4,5,2012
24,105,+15:13,109.0,van Winden Dennis,105,Rabobank Cycling Team,15:13 15:13,+1:52,,\u25b24,5,2012
25,106,+16:02,105.0,Klemme Dominic,106,Argos - Shimano,16:02 16:02,+4:19,,\u25bc1,5,2012
28,107,+16:08,110.0,Crawford Jai,107,Genesys Wealth Advisers,16:08 16:08,+1:30,,\u25b23,5,2012
25,108,+17:40,111.0,Sys Klaas,108,Team Bridgestone Anchor,17:40 17:40,+1:30,,\u25b23,5,2012
30,109,+20:26,116.0,Inoue Kazuo,109,Team Bridgestone Anchor,20:26 20:26,+0:00,,\u25b27,5,2012
39,110,+20:58,114.0,Rodgers Lee,110,CCN Cycling Team,20:58 20:58,+1:30,,\u25b24,5,2012
28,111,+21:01,115.0,Coutts Alex,111,RTS Racing Team,21:01 21:01,+1:30,,\u25b24,5,2012
28,112,+21:20,113.0,Rabon Frantisek,112,Omega Pharma - Quick-Step,21:20 21:20,+1:58,,\u25b21,5,2012
22,113,+22:27,117.0,Yoshida Hayato,113,Team Bridgestone Anchor,22:27 22:27,+1:30,,\u25b24,5,2012
25,114,+23:30,118.0,Jiao Pengda,114,Champion System Pro Cycling Team,23:30 23:30,+1:30,,\u25b24,5,2012
24,115,+25:00,119.0,Nishizono Ryota,115,Team Bridgestone Anchor,25:00 25:00,+2:58,,\u25b24,5,2012
28,116,+25:12,120.0,Xu Gang,116,Champion System Pro Cycling Team,25:12 25:12,+0:29,,\u25b24,5,2012
23,117,+29:35,121.0,Huang Chin-lung,117,RTS Racing Team,29:35 29:35,+0:00,,\u25b24,5,2012
26,118,+40:13,122.0,Chang Wei Kei,118,RTS Racing Team,40:13 40:13,+0:00,,\u25b24,5,2012
33,119,+44:47,123.0,Kudentsov Sergei,119,,44:47 44:47,+4:19,,\u25b24,5,2012
