BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -3:28:31,,1,BMC Racing Team,10:26:18 10:26:18,,1,2016
,,+ -3:28:31,,2,Team Katusha,",, ,,",,1,2016
,,+ -3:28:31,,3,Bora - Argon 18,0:05 0:05,,1,2016
,,+ -3:28:31,,4,Team Dimension Data,1:43 1:43,,1,2016
,,+ -3:28:31,,5,Astana Pro Team,3:26 3:26,,1,2016
,,+ -3:28:31,,6,Fortuneo - Vital Concept,",, 3:26",,1,2016
,,+ -3:28:31,,7,Topsport Vlaanderen - Baloise,5:09 5:09,,1,2016
,,+ -3:28:31,,8,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 5:09",,1,2016
,,+ -3:28:31,,9,Team LottoNL-Jumbo,",, 5:09",,1,2016
,,+ -3:28:31,,10,UnitedHealthcare Pro Cycling Team,",, 5:09",,1,2016
,,+ -3:28:31,,11,Wanty - Groupe Gobert,",, 5:09",,1,2016
,,+ -3:28:31,,12,Team Giant - Alpecin,11:01 11:01,,1,2016
,,+ -3:28:31,,13,AG2R La Mondiale,11:18 11:18,,1,2016
,,+ -3:28:31,,14,Lampre - Merida,13:36 13:36,,1,2016
,,+ -3:28:31,,15,CCC Sprandi Polkowice,17:27 17:27,,1,2016
,,+ -3:28:31,,16,St\xf6lting Service Group,21:28 21:28,,1,2016
,,+ -3:28:31,,17,Roompot - Oranje Peloton,35:39 35:39,,1,2016
,,+ -3:28:31,,18,Drapac Professional Cycling,",, 35:39",,1,2016
,,+ -6:39:51,2.0,1,Team Katusha,20:00:36 20:00:36,\u25b21,2,2016
,,+ -6:39:51,1.0,2,BMC Racing Team,",, ,,",\u25bc1,2,2016
,,+ -6:39:51,3.0,3,Bora - Argon 18,0:18 0:18,-,2,2016
,,+ -6:39:51,4.0,4,Team Dimension Data,1:43 1:43,-,2,2016
,,+ -6:39:51,5.0,5,Astana Pro Team,3:26 3:26,-,2,2016
,,+ -6:39:51,6.0,6,Fortuneo - Vital Concept,",, 3:26",-,2,2016
,,+ -6:39:51,8.0,7,Skydive Dubai Pro Cycling Team - Al Ahli Club,5:09 5:09,\u25b21,2,2016
,,+ -6:39:51,7.0,8,Topsport Vlaanderen - Baloise,",, 5:09",\u25bc1,2,2016
,,+ -6:39:51,9.0,9,Team LottoNL-Jumbo,",, 5:09",-,2,2016
,,+ -6:39:51,10.0,10,UnitedHealthcare Pro Cycling Team,",, 5:09",-,2,2016
,,+ -6:39:51,11.0,11,Wanty - Groupe Gobert,",, 5:09",-,2,2016
,,+ -6:39:51,12.0,12,Team Giant - Alpecin,11:01 11:01,-,2,2016
,,+ -6:39:51,13.0,13,AG2R La Mondiale,11:18 11:18,-,2,2016
,,+ -6:39:51,14.0,14,Lampre - Merida,13:36 13:36,-,2,2016
,,+ -6:39:51,15.0,15,CCC Sprandi Polkowice,17:27 17:27,-,2,2016
,,+ -6:39:51,16.0,16,St\xf6lting Service Group,21:28 21:28,-,2,2016
,,+ -6:39:51,17.0,17,Roompot - Oranje Peloton,35:39 35:39,-,2,2016
,,+ -6:39:51,18.0,18,Drapac Professional Cycling,",, 35:39",-,2,2016
,,+ -6:53:35,2.0,1,BMC Racing Team,20:42:42 20:42:42,\u25b21,3,2016
,,+ -6:53:35,1.0,2,Team Katusha,1:00 1:00,\u25bc1,3,2016
,,+ -6:53:35,3.0,3,Bora - Argon 18,1:36 1:36,-,3,2016
,,+ -6:53:35,4.0,4,Team Dimension Data,1:59 1:59,-,3,2016
,,+ -6:53:35,5.0,5,Astana Pro Team,3:52 3:52,-,3,2016
,,+ -6:53:35,6.0,6,Fortuneo - Vital Concept,5:42 5:42,-,3,2016
,,+ -6:53:35,9.0,7,Team LottoNL-Jumbo,5:50 5:50,\u25b22,3,2016
,,+ -6:53:35,8.0,8,Topsport Vlaanderen - Baloise,7:50 7:50,-,3,2016
,,+ -6:53:35,10.0,9,UnitedHealthcare Pro Cycling Team,7:56 7:56,\u25b21,3,2016
,,+ -6:53:35,11.0,10,Wanty - Groupe Gobert,8:00 8:00,\u25b21,3,2016
,,+ -6:53:35,7.0,11,Skydive Dubai Pro Cycling Team - Al Ahli Club,8:23 8:23,\u25bc4,3,2016
,,+ -6:53:35,13.0,12,AG2R La Mondiale,12:29 12:29,\u25b21,3,2016
,,+ -6:53:35,12.0,13,Team Giant - Alpecin,13:11 13:11,\u25bc1,3,2016
,,+ -6:53:35,14.0,14,Lampre - Merida,16:18 16:18,-,3,2016
,,+ -6:53:35,15.0,15,CCC Sprandi Polkowice,20:36 20:36,-,3,2016
,,+ -6:53:35,16.0,16,St\xf6lting Service Group,23:51 23:51,-,3,2016
,,+ -6:53:35,18.0,17,Drapac Professional Cycling,37:16 37:16,\u25b21,3,2016
,,+ -6:53:35,17.0,18,Roompot - Oranje Peloton,38:04 38:04,\u25bc1,3,2016
,,+ - 10:51:13,1.0,1,BMC Racing Team,32:34:27 32:34:27,-,4,2016
,,+ - 10:51:13,2.0,2,Team Katusha,0:57 0:57,-,4,2016
,,+ - 10:51:13,3.0,3,Bora - Argon 18,2:03 2:03,-,4,2016
,,+ - 10:51:13,4.0,4,Team Dimension Data,3:55 3:55,-,4,2016
,,+ - 10:51:13,5.0,5,Astana Pro Team,6:09 6:09,-,4,2016
,,+ - 10:51:13,7.0,6,Team LottoNL-Jumbo,6:26 6:26,\u25b21,4,2016
,,+ - 10:51:13,6.0,7,Fortuneo - Vital Concept,7:31 7:31,\u25bc1,4,2016
,,+ - 10:51:13,10.0,8,Wanty - Groupe Gobert,9:30 9:30,\u25b22,4,2016
,,+ - 10:51:13,8.0,9,Topsport Vlaanderen - Baloise,9:56 9:56,\u25bc1,4,2016
,,+ - 10:51:13,9.0,10,UnitedHealthcare Pro Cycling Team,10:13 10:13,\u25bc1,4,2016
,,+ - 10:51:13,11.0,11,Skydive Dubai Pro Cycling Team - Al Ahli Club,10:39 10:39,-,4,2016
,,+ - 10:51:13,12.0,12,AG2R La Mondiale,14:46 14:46,-,4,2016
,,+ - 10:51:13,13.0,13,Team Giant - Alpecin,15:22 15:22,-,4,2016
,,+ - 10:51:13,14.0,14,Lampre - Merida,17:53 17:53,-,4,2016
,,+ - 10:51:13,15.0,15,CCC Sprandi Polkowice,26:58 26:58,-,4,2016
,,+ - 10:51:13,16.0,16,St\xf6lting Service Group,29:10 29:10,-,4,2016
,,+ - 10:51:13,18.0,17,Roompot - Oranje Peloton,39:36 39:36,\u25b21,4,2016
,,+ - 10:51:13,17.0,18,Drapac Professional Cycling,40:35 40:35,\u25bc1,4,2016
,,+ - 13:47:23,1.0,1,BMC Racing Team,41:23:15 41:23:15,-,5,2016
,,+ - 13:47:23,2.0,2,Team Katusha,0:57 0:57,-,5,2016
,,+ - 13:47:23,3.0,3,Bora - Argon 18,2:03 2:03,-,5,2016
,,+ - 13:47:23,4.0,4,Team Dimension Data,4:03 4:03,-,5,2016
,,+ - 13:47:23,5.0,5,Astana Pro Team,6:17 6:17,-,5,2016
,,+ - 13:47:23,6.0,6,Team LottoNL-Jumbo,6:26 6:26,-,5,2016
,,+ - 13:47:23,7.0,7,Fortuneo - Vital Concept,7:31 7:31,-,5,2016
,,+ - 13:47:23,8.0,8,Wanty - Groupe Gobert,9:49 9:49,-,5,2016
,,+ - 13:47:23,9.0,9,Topsport Vlaanderen - Baloise,9:56 9:56,-,5,2016
,,+ - 13:47:23,10.0,10,UnitedHealthcare Pro Cycling Team,10:21 10:21,-,5,2016
,,+ - 13:47:23,11.0,11,Skydive Dubai Pro Cycling Team - Al Ahli Club,10:47 10:47,-,5,2016
,,+ - 13:47:23,12.0,12,AG2R La Mondiale,14:46 14:46,-,5,2016
,,+ - 13:47:23,13.0,13,Team Giant - Alpecin,16:09 16:09,-,5,2016
,,+ - 13:47:23,14.0,14,Lampre - Merida,18:01 18:01,-,5,2016
,,+ - 13:47:23,15.0,15,CCC Sprandi Polkowice,26:58 26:58,-,5,2016
,,+ - 13:47:23,16.0,16,St\xf6lting Service Group,29:18 29:18,-,5,2016
,,+ - 13:47:23,17.0,17,Roompot - Oranje Peloton,39:44 39:44,-,5,2016
,,+ - 13:47:23,18.0,18,Drapac Professional Cycling,40:57 40:57,-,5,2016
