Rnk,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,219,Porte Richie,25,Saxo Bank,7,+7:22,87:51:23 87:51:23,2010,21
2,136,Ki\u0161erlovski Robert,23,Liquigas - Doimo,10,+14:51,7:29 7:29,2010,21
3,167,Mollema Bauke,23,Rabobank ProTeam,12,+19:41,12:19 12:19,2010,21
4,161,Kruijswijk Steven,22,Rabobank ProTeam,18,+37:27,30:05 30:05,2010,21
5,144,de Greef Francis,25,Omega Pharma-Lotto,21,+50:08,42:46 42:46,2010,21
6,133,Agnoli Valerio,25,Liquigas - Doimo,32,+1:27:52,1:20:30 1:20:30,2010,21
7,68,Uran Rigoberto,23,Caisse d'Epargne,35,+1:37:06,1:29:44 1:29:44,2010,21
8,142,Bakelants Jan,24,Omega Pharma-Lotto,36,+1:37:40,1:30:18 1:30:18,2010,21
9,77,Wyss Marcel,23,Cervelo Test Team,38,+1:44:55,1:37:33 1:37:33,2010,21
10,156,Samoilau Branislau,25,Quickstep - Innergetic,39,+1:46:02,1:38:40 1:38:40,2010,21
11,62,Amador Andrey,23,Caisse d'Epargne,41,+1:50:40,1:43:18 1:43:18,2010,21
12,19,Sarmiento Jose Cayetano,23,Acqua & Sapone,47,+2:03:49,1:56:27 1:56:27,2010,21
13,37,Rodriguez Jackson,25,Androni Giocattoli - Serramenti PVC Diquigiovanni,51,+2:13:32,2:06:10 2:06:10,2010,21
14,117,Martin Daniel,23,Team Garmin - Transitions,57,+2:20:53,2:13:31 2:13:31,2010,21
15,211,Lund Anders,25,Saxo Bank,64,+2:30:43,2:23:21 2:23:21,2010,21
16,98,Stortoni Simone,24,Colnago - CSF Inox,73,+2:45:07,2:37:45 2:37:45,2010,21
17,94,Bisolti Alessandro,25,Colnago - CSF Inox,74,+2:45:11,2:37:49 2:37:49,2010,21
18,186,Lewis Craig,25,Team HTC - Columbia,78,+3:04:01,2:56:39 2:56:39,2010,21
19,84,Cusin Remi,24,Cofidis Le Credit en Ligne,82,+3:09:45,3:02:23 3:02:23,2010,21
20,46,Kireyev Roman,23,Astana,87,+3:13:47,3:06:25 3:06:25,2010,21
21,102,Br\xe4ndle Matthias,20,Footon-Servetto,90,+3:18:09,3:10:47 3:10:47,2010,21
22,9,Wyss Danilo,24,BMC Racing Team,97,+3:32:33,3:25:11 3:25:11,2010,21
23,7,Schar Michael,23,BMC Racing Team,99,+3:34:30,3:27:08 3:27:08,2010,21
24,137,Sabatini Fabio,25,Liquigas - Doimo,101,+3:34:42,3:27:20 3:27:20,2010,21
25,75,Konovalovas Ignatas,24,Cervelo Test Team,106,+3:40:16,3:32:54 3:32:54,2010,21
26,166,Stamsnijder Tom,25,Rabobank ProTeam,109,+3:41:45,3:34:23 3:34:23,2010,21
27,57,Le Floch Guillaume,25,Bbox Bouygues Telecom,110,+3:44:23,3:37:01 3:37:01,2010,21
28,168,van Emden Jos,25,Rabobank ProTeam,116,+3:53:24,3:46:02 3:46:02,2010,21
29,86,Fouchard Julien,23,Cofidis Le Credit en Ligne,119,+3:57:49,3:50:27 3:50:27,2010,21
30,99,Pirazzi Stefano,23,Colnago - CSF Inox,120,+3:58:45,3:51:23 3:51:23,2010,21
31,134,Bodnar Maciej,25,Liquigas - Doimo,127,+4:05:53,3:58:31 3:58:31,2010,21
32,218,M\xf8rk\xf8v Michael,25,Saxo Bank,129,+4:11:06,4:03:44 4:03:44,2010,21
33,196,Ignatyev Mikhail,25,Katyusha,131,+4:13:51,4:06:29 4:06:29,2010,21
34,56,Gaudin Damien,23,Bbox Bouygues Telecom,136,+4:25:58,4:18:36 4:18:36,2010,21
35,118,Meyer Cameron,22,Team Garmin - Transitions,137,+4:26:16,4:18:54 4:18:54,2010,21
36,96,Frapporti Marco,25,Colnago - CSF Inox,138,+4:42:07,4:34:45 4:34:45,2010,21
37,107,Corti Marco,24,Footon-Servetto,139,+4:48:55,4:41:33 4:41:33,2010,21
