Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,1,Garzelli Stefano,35,Acqua & Sapone,61.0,2009,21
2*,121,Di Luca Danilo,33,LPR Brakes - Farnese Vini,,2009,21
3,141,Menchov Denis,31,Rabobank ProTeam,41.0,2009,21
4,95,Grivko Andrei,25,ISD Cycling Team,40.0,2009,21
5*,115,Pellizotti Franco,31,Liquigas,,2009,21
6,61,Sastre Carlos,34,Cervelo Test Team,30.0,2009,21
7,153,Scarponi Michele,29,Serramenti PVC Diquigiovanni-Androni Giocattoli,24.0,2009,21
8,91,Visconti Giovanni,26,ISD Cycling Team,24.0,2009,21
9,63,Gerrans Simon,29,Cervelo Test Team,15.0,2009,21
10,101,Cunego Damiano,27,Lampre - NGC,14.0,2009,21
11,157,de Bonis Francesco,27,Serramenti PVC Diquigiovanni-Androni Giocattoli,13.0,2009,21
12,111,Basso Ivan,31,Liquigas,12.0,2009,21
13,156,Bertogliati Rubens,30,Serramenti PVC Diquigiovanni-Androni Giocattoli,12.0,2009,21
14,76,Gonzalez Baeza Hector,23,Fuji-Servetto,11.0,2009,21
15,158,Ochoa Carlos Jos\xe9,28,Serramenti PVC Diquigiovanni-Androni Giocattoli,11.0,2009,21
16,24,Leipheimer Levi,35,Astana,8.0,2009,21
17,122,Bosisio Gabriele,28,LPR Brakes - Farnese Vini,8.0,2009,21
18,53,Kiryienka Vasil,27,Caisse d'Epargne,8.0,2009,21
19,27,Popovych Yaroslav,29,Astana,7.0,2009,21
20,187,Petrov Evgeni,31,Team Katusha,7.0,2009,21
21,19,Bonnafond Guillaume,21,AG2R La Mondiale,7.0,2009,21
22*,152,Bertagnolli Leonardo,31,Serramenti PVC Diquigiovanni-Androni Giocattoli,,2009,21
22,135,Facci Mauro,27,Quickstep - Innergetic,6.0,2009,21
23,21,Armstrong Lance,37,Astana,6.0,2009,21
24,174,L\xf6fkvist Thomas,25,Team Columbia - HTC,6.0,2009,21
25,93,Cioni Dario,34,ISD Cycling Team,6.0,2009,21
26,106,Gavazzi Francesco,24,Lampre - NGC,6.0,2009,21
27,33,Bellotti Francesco,29,Barloworld - Bianchi,6.0,2009,21
28,4,Donati Alessandro,30,Acqua & Sapone,5.0,2009,21
29,107,Marzano Marco,28,Lampre - NGC,5.0,2009,21
30,109,Tiralongo Paolo,31,Lampre - NGC,4.0,2009,21
31,52,Jeannesson Arnold,23,Caisse d'Epargne,4.0,2009,21
32,132,Cataldo Dario,24,Quickstep - Innergetic,4.0,2009,21
33,35,Rafael Cardenas F\xe9lix,36,Barloworld - Bianchi,4.0,2009,21
34,199,Schr\xf6der Bjorn,28,Milram,4.0,2009,21
35,37,Froome Christopher,24,Barloworld - Bianchi,4.0,2009,21
36,118,Szmyd Sylwester,31,Liquigas,3.0,2009,21
37,184,Ignatyev Mikhail,24,Team Katusha,3.0,2009,21
38,69,Pauwels Serge,25,Cervelo Test Team,3.0,2009,21
39,62,Deignan Philip,25,Cervelo Test Team,3.0,2009,21
40,113,Carlstr\xf6m Kjell,32,Liquigas,3.0,2009,21
41,49,Voeckler Thomas,29,Bbox Bouygues Telekom,3.0,2009,21
42,14,Krivtsov Yuriy,30,AG2R La Mondiale,3.0,2009,21
43,207,Bak Lars Ytting,29,Saxo Bank,3.0,2009,21
44,151,Simoni Gilberto,37,Serramenti PVC Diquigiovanni-Androni Giocattoli,2.0,2009,21
45,97,Huzarski Bartosz,28,ISD Cycling Team,2.0,2009,21
46,169,Wegelius Charles,31,Silence - Lotto,2.0,2009,21
47,116,Quinziato Manuel,29,Liquigas,2.0,2009,21
48,92,Gatto Oscar,24,ISD Cycling Team,2.0,2009,21
49,138,Seeldraeyers Kevin,22,Quickstep - Innergetic,2.0,2009,21
50,219,Vorganov Eduard,26,Xacobeo-Galicia,1.0,2009,21
51,175,Pinotti Marco,33,Team Columbia - HTC,1.0,2009,21
52,202,Voigt Jens,37,Saxo Bank,1.0,2009,21
53,209,Klostergaard Kasper,26,Saxo Bank,1.0,2009,21
54,98,Scarselli Leonardo,34,ISD Cycling Team,1.0,2009,21
