Rnk,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,138,Seeldraeyers Kevin,22,Quickstep - Innergetic,10,+16:15,86:19:26 86:19:26,2009,21
2,8,Masciarelli Francesco,23,Acqua & Sapone,13,+19:10,2:55 2:55,2009,21
3,162,de Greef Francis,24,Silence - Lotto,17,+33:18,17:03 17:03,2009,21
4,174,L\xf6fkvist Thomas,25,Team Columbia - HTC,21,+48:00,31:45 31:45,2009,21
5,159,Rodriguez Jackson,24,Serramenti PVC Diquigiovanni-Androni Giocattoli,22,+50:52,34:37 34:37,2009,21
6,29,Zeits Andrey,22,Astana,31,+1:14:56,58:41 58:41,2009,21
7,37,Froome Christopher,24,Barloworld - Bianchi,32,+1:15:21,59:06 59:06,2009,21
8,218,Garc\xeda Marcos,22,Xacobeo-Galicia,47,+1:42:25,1:26:10 1:26:10,2009,21
9,52,Jeannesson Arnold,23,Caisse d'Epargne,52,+1:58:10,1:41:55 1:41:55,2009,21
10,132,Cataldo Dario,24,Quickstep - Innergetic,54,+2:00:24,1:44:09 1:44:09,2009,21
11,112,Agnoli Valerio,24,Liquigas,56,+2:08:06,1:51:51 1:51:51,2009,21
12,18,Sonnery Blaise,24,AG2R La Mondiale,59,+2:12:00,1:55:45 1:55:45,2009,21
13,96,Grabovskyy Dmytro,23,ISD Cycling Team,62,+2:13:08,1:56:53 1:56:53,2009,21
14,106,Gavazzi Francesco,24,Lampre - NGC,64,+2:17:52,2:01:37 2:01:37,2009,21
15,57,Perget Mathieu,24,Caisse d'Epargne,67,+2:22:50,2:06:35 2:06:35,2009,21
16,32,Augustyn John Lee,22,Barloworld - Bianchi,72,+2:30:38,2:14:23 2:14:23,2009,21
17,147,Kozonchuk Dmitry,25,Rabobank ProTeam,74,+2:34:17,2:18:02 2:18:02,2009,21
18,172,Boasson Hagen Edvald,22,Team Columbia - HTC,77,+2:39:36,2:23:21 2:23:21,2009,21
19,176,Possoni Morris,24,Team Columbia - HTC,78,+2:40:36,2:24:21 2:24:21,2009,21
20,19,Bonnafond Guillaume,21,AG2R La Mondiale,82,+2:46:48,2:30:33 2:30:33,2009,21
21,67,Konovalovas Ignatas,23,Cervelo Test Team,85,+2:48:57,2:32:42 2:32:42,2009,21
22,76,Gonzalez Baeza Hector,23,Fuji-Servetto,98,+3:06:57,2:50:42 2:50:42,2009,21
23,215,Rabunal Rios Gonzalo,24,Xacobeo-Galicia,110,+3:22:51,3:06:36 3:06:36,2009,21
24,123,Chiarini Riccardo,25,LPR Brakes - Farnese Vini,113,+3:24:59,3:08:44 3:08:44,2009,21
25,216,Fernandez Delio,23,Xacobeo-Galicia,119,+3:30:08,3:13:53 3:13:53,2009,21
26,45,Le Floch Guillaume,24,Bbox Bouygues Telekom,124,+3:36:01,3:19:46 3:19:46,2009,21
27,165,Jacobs Pieter,22,Silence - Lotto,125,+3:39:47,3:23:32 3:23:32,2009,21
28,208,Goss Matthew,22,Saxo Bank,126,+3:42:59,3:26:44 3:26:44,2009,21
29,189,Swift Ben,21,Team Katusha,127,+3:45:35,3:29:20 3:29:20,2009,21
30,148,Stamsnijder Tom,24,Rabobank ProTeam,129,+3:51:16,3:35:01 3:35:01,2009,21
31,191,Barla Luca,21,Milram,136,+3:57:43,3:41:28 3:41:28,2009,21
32,211,Martinez Serafin,25,Xacobeo-Galicia,137,+4:01:28,3:45:13 3:45:13,2009,21
33,126,Montaguti Matteo,25,LPR Brakes - Farnese Vini,138,+4:01:48,3:45:33 3:45:33,2009,21
34,17,Senac Jean-Charles,24,AG2R La Mondiale,141,+4:03:12,3:46:57 3:46:57,2009,21
35,92,Gatto Oscar,24,ISD Cycling Team,144,+4:06:10,3:49:55 3:49:55,2009,21
36,203,Lund Anders,24,Saxo Bank,150,+4:14:23,3:58:08 3:58:08,2009,21
37,73,Vigano Davide,24,Fuji-Servetto,151,+4:15:18,3:59:03 3:59:03,2009,21
38,94,Stannard Ian,22,ISD Cycling Team,155,+4:18:47,4:02:32 4:02:32,2009,21
39,214,Isaychev Vladimir,23,Xacobeo-Galicia,159,+4:27:04,4:10:49 4:10:49,2009,21
40,77,Fernandez Alberto,24,Fuji-Servetto,160,+4:29:27,4:13:12 4:13:12,2009,21
41,144,van Emden Jos,24,Rabobank ProTeam,161,+4:30:09,4:13:54 4:13:54,2009,21
42,184,Ignatyev Mikhail,24,Team Katusha,162,+4:32:23,4:16:08 4:16:08,2009,21
43,46,Sokolov Evgeny,24,Bbox Bouygues Telekom,164,+4:59:11,4:42:56 4:42:56,2009,21
