Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,Time won/lost,stage,year
34,,131,,+0:00,,Bettini Paolo,72,Quickstep - Innergetic,",, 0:54",,2,2008
21,,137,,+0:00,,Seeldraeyers Kevin,73,Quickstep - Innergetic,1:00 1:00,,2,2008
27,,168,,+0:00,,Ochoa Carlos Jos\xe9,74,Serramenti PVC Diquigiovanni-Androni Giocattoli,1:03 1:03,,2,2008
33,,155,,+0:00,,Ca\xf1ada David,75,Saunier Duval,1:12 1:12,,2,2008
26,,152,,+0:00,,Benitez Jos\xe9 Alberto,76,Saunier Duval,",, 1:12",,2,2008
32,,41,,+0:00,,Perez Marlon Alirio,77,Caisse d'Epargne,",, 1:12",,2,2008
29,,45,,+0:00,,Perez Francisco,78,Caisse d'Epargne,",, 1:12",,2,2008
35,,53,,+0:00,,Fernandez Bingen,79,Cofidis,",, 1:12",,2,2008
28,,204,,+0:00,,Ghisalberti Sergio,80,Milram,",, 1:12",,2,2008
28,,64,,+0:00,,Laverde Luis Felipe,81,CSF Group - Navigare,",, 1:12",,2,2008
28,,76,,+0:00,,Irizar Markel,82,Euskaltel - Euskadi,",, 1:12",,2,2008
27,,43,,+0:00,,Karpets Vladimir,83,Caisse d'Epargne,1:19 1:19,,2,2008
25,,139,,+0:00,,Visconti Giovanni,84,Quickstep - Innergetic,",, 1:19",,2,2008
28,,58,,+0:00,,Nuyens Nick,85,Cofidis,",, 1:19",,2,2008
22,,93,,+0:00,,Fr\xf6hlinger Johannes,86,Gerolsteiner,",, 1:19",,2,2008
37,,166,,+0:00,,Missaglia Gabriele,87,Serramenti PVC Diquigiovanni-Androni Giocattoli,1:39 1:39,,2,2008
37,,201,,+0:00,,Zabel Erik,88,Milram,",, 1:39",,2,2008
27,,128,,+0:00,,Vanotti Alessandro,89,Liquigas,1:51 1:51,,2,2008
34,,163,,+0:00,,Hondo Danilo,90,Serramenti PVC Diquigiovanni-Androni Giocattoli,2:03 2:03,,2,2008
35,,197,,+0:00,,Blaudzun Michael,91,CSC ProTeam,",, 2:03",,2,2008
34,,165,,+0:00,,Ivanov Ruslan,92,Serramenti PVC Diquigiovanni-Androni Giocattoli,2:04 2:04,,2,2008
22,,81,,+0:00,,Ch\xe9rel Micka\xebl,93,Fran\xe7aise des Jeux,",, 2:04",,2,2008
22,,86,,+0:00,,Levarlet Guillaume,94,Fran\xe7aise des Jeux,",, 2:04",,2,2008
30,,15,,+0:00,,Nocentini Rinaldo,95,AG2R La Mondiale,",, 2:04",,2,2008
23,,17,,+0:00,,Sonnery Blaise,96,AG2R La Mondiale,",, 2:04",,2,2008
32,,44,,+0:00,,Lastras Pablo,97,Caisse d'Epargne,",, 2:04",,2,2008
35,,167,,+0:00,,Nardello Daniele,98,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 2:04",,2,2008
30,,6,,+0:00,,Gol\u010der Jure,99,Team LPR Brakes,",, 2:04",,2,2008
33,,9,,+0:00,,Spezialetti Alessandro,100,Team LPR Brakes,",, 2:04",,2,2008
27,,25,,+0:00,,Iglinskiy Maxim,101,Astana,0:00 0:00,,2,2008
31,,184,,+0:00,,Millar David,102,,",, 0:00",,2,2008
34,,42,,+0:00,,Horrach Joan,103,Caisse d'Epargne,2:54 2:54,,2,2008
23,,54,,+0:00,,Hartmann Nicolas,104,Cofidis,2:57 2:57,,2,2008
27,,183,,+0:00,,Hesjedal Ryder,105,,3:03 3:03,,2,2008
34,,209,,+0:00,,Velo Marco,106,Milram,3:16 3:16,,2,2008
27,,5,,+0:00,,Ermeti Giairo,107,Team LPR Brakes,",, 3:16",,2,2008
23,,119,,+0:00,,Gavazzi Francesco,108,Lampre,",, 3:16",,2,2008
32,,84,,+0:00,,Jegou Lilian,109,Fran\xe7aise des Jeux,3:34 3:34,,2,2008
30,,133,,+0:00,,Engels Addy,110,Quickstep - Innergetic,3:53 3:53,,2,2008
24,,37,,+0:00,,Scognamiglio Carlo,111,Barloworld,4:39 4:39,,2,2008
30,,32,,+0:00,,Calcagni Patrick,112,Barloworld,",, 4:39",,2,2008
31,,122,,+0:00,,Carlstr\xf6m Kjell,113,Liquigas,",, 4:39",,2,2008
26,,217,,+0:00,,Brutt Pavel,114,Tinkoff Credit Systems,",, 4:39",,2,2008
23,,205,,+0:00,,Jur\u010do Matej,115,Milram,4:51 4:51,,2,2008
28,,51,,+0:00,,Buffaz Mickael,116,Cofidis,",, 4:51",,2,2008
34,,199,,+0:00,,O'Grady Stuart,117,CSC ProTeam,5:24 5:24,,2,2008
26,,134,,+0:00,,Facci Mauro,118,Quickstep - Innergetic,5:37 5:37,,2,2008
24,,107,,+0:00,,Rabon Frantisek,119,Team Highroad,",, 5:37",,2,2008
26,,67,,+0:00,,Priamo Matteo,120,CSF Group - Navigare,",, 5:37",,2,2008
34,,195,,+0:00,,McCartney Jason,121,CSC ProTeam,",, 5:37",,2,2008
26,,144,,+0:00,,Eltink Theo,122,Rabobank ProTeam,",, 5:37",,2,2008
26,,171,,+0:00,,Steurs Geert,123,Silence - Lotto,",, 5:37",,2,2008
26,,71,,+0:00,,Agirre Josu,124,Euskaltel - Euskadi,",, 5:37",,2,2008
31,,77,,+0:00,,Landaluze Inigo,125,Euskaltel - Euskadi,",, 5:37",,2,2008
30,,147,,+0:00,,L\xf6wik Gerben,126,Rabobank ProTeam,",, 5:37",,2,2008
24,,146,,+0:00,,Kozonchuk Dmitry,127,Rabobank ProTeam,",, 5:37",,2,2008
24,,4,,+0:00,,Chiarini Riccardo,128,Team LPR Brakes,",, 5:37",,2,2008
28,,74,,+0:00,,Galdos Aitor,129,Euskaltel - Euskadi,",, 5:37",,2,2008
23,,191,,+0:00,,Lund Anders,130,CSC ProTeam,",, 5:37",,2,2008
24,,56,,+0:00,,Huguet Yann,131,Cofidis,",, 5:37",,2,2008
23,,208,,+0:00,,Sabatini Fabio,132,Milram,7:46 7:46,,2,2008
34,,97,,+0:00,,Ordowski Volker,133,Gerolsteiner,",, 7:46",,2,2008
24,,87,,+0:00,,Roy J\xe9r\xe9my,134,Fran\xe7aise des Jeux,",, 7:46",,2,2008
27,,103,,+0:00,,Hansen Adam,135,Team Highroad,",, 7:46",,2,2008
21,,39,,+0:00,,Thomas Geraint,136,Barloworld,",, 7:46",,2,2008
25,,92,,+0:00,,Fothen Thomas,137,Gerolsteiner,7:55 7:55,,2,2008
27,,34,,+0:00,,Cummings Stephen,138,Barloworld,",, 7:55",,2,2008
30,,65,,+0:00,,Perez Cuapio Julio Alberto,139,CSF Group - Navigare,",, 7:55",,2,2008
26,,203,,+0:00,,Eichler Markus,140,Milram,",, 7:55",,2,2008
31,,112,,+0:00,,Bossoni Paolo,141,Lampre,",, 7:55",,2,2008
23,,118,,+0:00,,Santambrogio Mauro,142,Lampre,",, 7:55",,2,2008
31,,164,,+0:00,,Illiano Raffaele,143,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 7:55",,2,2008
33,,182,,+0:00,,Dean Julian,144,,",, 7:55",,2,2008
27,,29,,+0:00,,Bazayev Assan,145,Astana,",, 7:55",,2,2008
36,,162,,+0:00,,Bertolini Alessandro,146,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 7:55",,2,2008
26,,73,,+0:00,,Fern\xe1ndez Koldo,147,Euskaltel - Euskadi,11:01 11:01,,2,2008
29,,214,,+0:00,,Loddo Alberto,148,Tinkoff Credit Systems,11:40 11:40,,2,2008
23,,173,,+0:00,,de Greef Francis,149,Silence - Lotto,",, 11:40",,2,2008
22,,216,,+0:00,,Trusov Nikolay,150,Tinkoff Credit Systems,",, 11:40",,2,2008
24,,148,,+0:00,,Martens Paul,151,Rabobank ProTeam,",, 11:40",,2,2008
33,,143,,+0:00,,de Groot Bram,152,Rabobank ProTeam,",, 11:40",,2,2008
22,,101,,+0:00,,Cavendish Mark,153,Team Highroad,",, 11:40",,2,2008
23,,46,,+0:00,,Perget Mathieu,154,Caisse d'Epargne,",, 11:40",,2,2008
23,,66,,+0:00,,Savini Filippo,155,CSF Group - Navigare,",, 11:40",,2,2008
29,,19,,+0:00,,Krivtsov Yuriy,156,AG2R La Mondiale,",, 11:40",,2,2008
30,,55,,+0:00,,Zampieri Steve,157,Cofidis,",, 11:40",,2,2008
28,,109,,+0:00,,Wiggins Bradley,158,Team Highroad,",, 11:40",,2,2008
36,,175,,+0:00,,Gates Nick,159,Silence - Lotto,",, 11:40",,2,2008
35,,177,,+0:00,,McEwen Robbie,160,Silence - Lotto,",, 11:40",,2,2008
23,,94,,+0:00,,Gatto Oscar,161,Gerolsteiner,",, 11:40",,2,2008
26,,14,,+0:00,,Mangel Laurent,162,AG2R La Mondiale,",, 11:40",,2,2008
25,,72,,+0:00,,Aperribay Lander,163,Euskaltel - Euskadi,",, 11:40",,2,2008
25,,57,,+0:00,,Monier Damien,164,Cofidis,",, 11:40",,2,2008
30,,158,,+0:00,,Pagliarini Luciano Andr\xe9,165,Saunier Duval,",, 11:40",,2,2008
30,,91,,+0:00,,F\xf6rster Robert,166,Gerolsteiner,",, 11:40",,2,2008
32,,206,,+0:00,,Ongarato Alberto,167,Milram,",, 11:40",,2,2008
26,,117,,+0:00,,Lorenzetto Mirco,168,Lampre,",, 11:40",,2,2008
25,,219,,+0:00,,Serov Alexander,169,Tinkoff Credit Systems,",, 11:40",,2,2008
25,,95,,+0:00,,Krauss Sven,170,Gerolsteiner,",, 11:40",,2,2008
38,,207,,+0:00,,Poitschke Enrico,171,Milram,",, 11:40",,2,2008
28,,114,,+0:00,,Loosli David,172,Lampre,",, 11:40",,2,2008
24,,68,,+0:00,,Dall'Antonia Tiziano,173,CSF Group - Navigare,",, 11:40",,2,2008
24,,83,,+0:00,,Hutarovich Yauheni,174,Fran\xe7aise des Jeux,",, 11:40",,2,2008
30,,18,,+0:00,,Usov Alexandre,175,AG2R La Mondiale,",, 11:40",,2,2008
23,,104,,+0:00,,Martin Tony,176,Team Highroad,",, 11:40",,2,2008
24,,82,,+0:00,,Gudsell Timothy,177,Fran\xe7aise des Jeux,",, 11:40",,2,2008
39,,113,,+0:00,,Baldato Fabio,178,Lampre,",, 11:40",,2,2008
25,,16,,+0:00,,Rousseau Nicolas,179,AG2R La Mondiale,",, 11:40",,2,2008
25,,102,,+0:00,,Greipel Andr\xe9,180,Team Highroad,",, 11:40",,2,2008
25,,52,,+0:00,,De Weert Kevin,181,Cofidis,",, 11:40",,2,2008
33,,181,,+0:00,,B\xe4ckstedt Magnus,182,,",, 11:40",,2,2008
23,,156,,+0:00,,Capelli Ermano,183,Saunier Duval,",, 11:40",,2,2008
32,,153,,+0:00,,Belohvosciks Raivis,184,Saunier Duval,",, 11:40",,2,2008
30,,145,,+0:00,,Hayman Mathew,185,Rabobank ProTeam,",, 11:40",,2,2008
26,,88,,+0:00,,Stubbe Tom,186,Fran\xe7aise des Jeux,",, 11:40",,2,2008
33,,59,,+0:00,,Verbrugghe Rik,187,Cofidis,",, 11:40",,2,2008
23,,187,,+0:00,,Sutton Chris,188,,",, 11:40",,2,2008
29,,75,,+0:00,,Galparsoro Dionisio,189,Euskaltel - Euskadi,",, 11:40",,2,2008
23,,215,,+0:00,,Ignatyev Mikhail,190,Tinkoff Credit Systems,",, 11:40",,2,2008
26,,185,,+0:00,,Mccarty Jonathan Patrick,191,,",, 11:40",,2,2008
22,,172,,+0:00,,Cornu Dominique,192,Silence - Lotto,",, 11:40",,2,2008
25,,26,,+0:00,,Morabito Steve,193,Astana,",, 11:40",,2,2008
29,,186,,+0:00,,Pate Danny,194,,",, 11:40",,2,2008
29,,142,,+0:00,,Brown Graeme,195,Rabobank ProTeam,12:52 12:52,,2,2008
27,,121,,+0:00,80.0,Bennati Daniele,1,Liquigas,5:37:01 5:37:01,,3,2008
37,,201,,+0:00,50.0,Zabel Erik,2,Milram,",, ,,",,3,2008
34,,163,,+0:00,35.0,Hondo Danilo,3,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2008
25,,92,,+0:00,25.0,Fothen Thomas,4,Gerolsteiner,",, ,,",,3,2008
29,,214,,+0:00,18.0,Loddo Alberto,5,Tinkoff Credit Systems,",, ,,",,3,2008
26,,73,,+0:00,15.0,Fern\xe1ndez Koldo,6,Euskaltel - Euskadi,",, ,,",,3,2008
24,,68,,+0:00,12.0,Dall'Antonia Tiziano,7,CSF Group - Navigare,",, ,,",,3,2008
32,,41,,+0:00,10.0,Perez Marlon Alirio,8,Caisse d'Epargne,",, ,,",,3,2008
22,,101,,+0:00,8.0,Cavendish Mark,9,Team Highroad,",, ,,",,3,2008
23,,94,,+0:00,6.0,Gatto Oscar,10,Gerolsteiner,",, ,,",,3,2008
30,,158,,+0:00,5.0,Pagliarini Luciano Andr\xe9,11,Saunier Duval,",, ,,",,3,2008
30,,91,,+0:00,4.0,F\xf6rster Robert,12,Gerolsteiner,",, ,,",,3,2008
24,,83,,+0:00,3.0,Hutarovich Yauheni,13,Fran\xe7aise des Jeux,",, ,,",,3,2008
25,,219,,+0:00,2.0,Serov Alexander,14,Tinkoff Credit Systems,",, ,,",,3,2008
22,,81,,+0:00,1.0,Ch\xe9rel Micka\xebl,15,Fran\xe7aise des Jeux,",, ,,",,3,2008
30,,145,,+0:00,,Hayman Mathew,16,Rabobank ProTeam,",, ,,",,3,2008
32,,84,,+0:00,,Jegou Lilian,17,Fran\xe7aise des Jeux,",, ,,",,3,2008
27,,183,,+0:00,,Hesjedal Ryder,18,,",, ,,",,3,2008
22,,86,,+0:00,,Levarlet Guillaume,19,Fran\xe7aise des Jeux,",, ,,",,3,2008
28,,49,,+0:00,,Pasamontes Luis,20,Caisse d'Epargne,",, ,,",,3,2008
24,,13,,+0:00,,Mandri Ren\xe9,21,AG2R La Mondiale,",, ,,",,3,2008
31,,188,,+0:00,,Vande Velde Christian,22,,",, ,,",,3,2008
27,,29,,+0:00,,Bazayev Assan,23,Astana,",, ,,",,3,2008
34,,209,,+0:00,,Velo Marco,24,Milram,",, ,,",,3,2008
32,,135,,+0:00,,Garate Juan Manuel,25,Quickstep - Innergetic,",, ,,",,3,2008
24,,12,,+0:00,,Deignan Philip,26,AG2R La Mondiale,",, ,,",,3,2008
30,,18,,+0:00,,Usov Alexandre,27,AG2R La Mondiale,",, ,,",,3,2008
27,,7,,+0:00,,Pietropolli Daniele,28,Team LPR Brakes,",, ,,",,3,2008
35,,177,,+0:00,,McEwen Robbie,29,Silence - Lotto,",, ,,",,3,2008
34,,131,,+0:00,,Bettini Paolo,30,Quickstep - Innergetic,",, ,,",,3,2008
34,,213,,+0:00,,Mazzanti Luca,31,Tinkoff Credit Systems,",, ,,",,3,2008
28,,76,,+0:00,,Irizar Markel,32,Euskaltel - Euskadi,",, ,,",,3,2008
33,,111,,+0:00,,Bruseghin Marzio,33,Lampre,",, ,,",,3,2008
24,,176,,+0:00,,Lloyd Matthew,34,Silence - Lotto,",, ,,",,3,2008
32,,44,,+0:00,,Lastras Pablo,35,Caisse d'Epargne,",, ,,",,3,2008
29,,211,,+0:00,,Petrov Evgeni,36,Tinkoff Credit Systems,",, ,,",,3,2008
23,,106,,+0:00,,Possoni Morris,37,Team Highroad,",, ,,",,3,2008
35,,8,,+0:00,,Savoldelli Paolo,38,Team LPR Brakes,",, ,,",,3,2008
25,,178,,+0:00,,Van den Broeck Jurgen,39,Silence - Lotto,",, ,,",,3,2008
31,,184,,+0:00,,Millar David,40,,",, ,,",,3,2008
21,,116,,+0:00,,Spilak Simon,41,Lampre,",, ,,",,3,2008
30,,127,1.0,+0:00,,Pellizotti Franco,42,Liquigas,",, ,,",,3,2008
27,,61,,+0:00,,Sella Emanuele,43,CSF Group - Navigare,",, ,,",,3,2008
26,,67,,+0:00,,Priamo Matteo,44,CSF Group - Navigare,",, ,,",,3,2008
28,,64,,+0:00,,Laverde Luis Felipe,45,CSF Group - Navigare,",, ,,",,3,2008
27,,3,,+0:00,,Bosisio Gabriele,46,Team LPR Brakes,",, ,,",,3,2008
23,,125,,+0:00,,Nibali Vincenzo,47,Liquigas,",, ,,",,3,2008
29,,169,,+0:00,,Serpa Jose Rodolfo,48,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2008
24,,82,,+0:00,,Gudsell Timothy,49,Fran\xe7aise des Jeux,",, ,,",,3,2008
30,,133,,+0:00,,Engels Addy,50,Quickstep - Innergetic,",, ,,",,3,2008
39,,126,,+0:00,,Noe Andrea,51,Liquigas,",, ,,",,3,2008
30,,115,,+0:00,,Szmyd Sylwester,52,Lampre,",, ,,",,3,2008
32,,1,,+0:00,,Di Luca Danilo,53,Team LPR Brakes,",, ,,",,3,2008
34,,124,,+0:00,,Miholjevic Vladimir,54,Liquigas,",, ,,",,3,2008
27,,103,,+0:00,,Hansen Adam,55,Team Highroad,",, ,,",,3,2008
27,,194,,+0:00,,Larsson Gustav,56,CSC ProTeam,",, ,,",,3,2008
32,,28,,+0:00,,Kl\xf6den Andr\xe9as,57,Astana,",, ,,",,3,2008
36,,162,,+0:00,,Bertolini Alessandro,58,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2008
34,,21,,+0:00,,Leipheimer Levi,59,Astana,",, ,,",,3,2008
25,,22,,+0:00,,Contador Alberto,60,Astana,",, ,,",,3,2008
25,,108,,+0:00,,Siutsou Kanstantsin,61,Team Highroad,",, ,,",,3,2008
26,,132,,+0:00,,Efimkin Alexander,62,Quickstep - Innergetic,",, ,,",,3,2008
25,,57,,+0:00,,Monier Damien,63,Cofidis,",, ,,",,3,2008
29,,19,,+0:00,,Krivtsov Yuriy,64,AG2R La Mondiale,",, ,,",,3,2008
26,,48,,+0:00,,Rujano Jos\xe9 Humberto,65,Caisse d'Epargne,",, ,,",,3,2008
23,,46,,+0:00,,Perget Mathieu,66,Caisse d'Epargne,",, ,,",,3,2008
31,,11,,+0:00,,Valjavec Tadej,67,AG2R La Mondiale,",, ,,",,3,2008
25,,139,,+0:00,,Visconti Giovanni,68,Quickstep - Innergetic,",, ,,",,3,2008
27,,89,,+0:00,,Veikkanen Jussi,69,Fran\xe7aise des Jeux,",, ,,",,3,2008
31,,112,,+0:00,,Bossoni Paolo,70,Lampre,",, ,,",,3,2008
30,,24,,+0:00,,Colom Antonio,71,Astana,",, ,,",,3,2008
30,,141,,+0:00,,Menchov Denis,72,Rabobank ProTeam,",, ,,",,3,2008
32,,198,,+0:00,,S\xf8rensen Nicki,73,CSC ProTeam,",, ,,",,3,2008
27,,2,,+0:00,,Bailetti Paolo,74,Team LPR Brakes,",, ,,",,3,2008
26,,144,,+0:00,,Eltink Theo,75,Rabobank ProTeam,",, ,,",,3,2008
37,,166,,+0:00,,Missaglia Gabriele,76,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2008
24,,99,,+0:00,,Russ Matthias,77,Gerolsteiner,",, ,,",,3,2008
24,,107,,+0:00,,Rabon Frantisek,78,Team Highroad,",, ,,",,3,2008
23,,119,,+0:00,,Gavazzi Francesco,79,Lampre,",, ,,",,3,2008
36,,98,,+0:00,,Rebellin Davide,80,Gerolsteiner,",, ,,",,3,2008
29,,157,,+0:00,,Cama\xf1o Iker,81,Saunier Duval,",, ,,",,3,2008
22,,93,,+0:00,,Fr\xf6hlinger Johannes,82,Gerolsteiner,",, ,,",,3,2008
36,,161,,+0:00,,Simoni Gilberto,83,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2008
32,,105,,+0:00,,Pinotti Marco,84,Team Highroad,",, ,,",,3,2008
24,,151,,+0:00,,Ricco Riccardo,85,Saunier Duval,",, ,,",,3,2008
31,,164,,+0:00,,Illiano Raffaele,86,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2008
29,,47,,+0:00,,Rodr\xedguez Joaquim,87,Caisse d'Epargne,",, ,,",,3,2008
21,,154,,+0:00,,Capecchi Eros,88,Saunier Duval,",, ,,",,3,2008
23,,208,,+0:00,,Sabatini Fabio,89,Milram,",, ,,",,3,2008
36,,159,,+0:00,,Piepoli Leonardo,90,Saunier Duval,",, ,,",,3,2008
33,,155,,+0:00,,Ca\xf1ada David,91,Saunier Duval,",, ,,",,3,2008
29,,45,,+0:00,,Perez Francisco,92,Caisse d'Epargne,",, ,,",,3,2008
35,,167,,+0:00,,Nardello Daniele,93,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2008
21,,39,,+0:00,,Thomas Geraint,94,Barloworld,",, ,,",,3,2008
25,,38,,+0:00,,Soler Juan Mauricio,95,Barloworld,",, ,,",,3,2008
28,,31,,+0:00,,Bellotti Francesco,96,Barloworld,",, ,,",,3,2008
33,,9,,+0:00,,Spezialetti Alessandro,97,Team LPR Brakes,",, ,,",,3,2008
