Rnk,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,151,Ricco Riccardo,24,Saunier Duval,2,+1:57,89:58:46 89:58:46,2008,21
2,178,Van den Broeck Jurgen,25,Silence - Lotto,7,+6:30,4:33 4:33,2008,21
3,125,Nibali Vincenzo,23,Liquigas,11,+20:14,18:17 18:17,2008,21
4,193,S\xf8rensen Chris Anker,23,CSC ProTeam,28,+1:04:09,1:02:12 1:02:12,2008,21
5,176,Lloyd Matthew,25,Silence - Lotto,30,+1:05:52,1:03:55 1:03:55,2008,21
6,173,de Greef Francis,23,Silence - Lotto,40,+1:21:04,1:19:07 1:19:07,2008,21
7,139,Visconti Giovanni,25,Quickstep - Innergetic,42,+1:30:17,1:28:20 1:28:20,2008,21
8,106,Possoni Morris,23,Team Highroad,44,+1:32:33,1:30:36 1:30:36,2008,21
9,116,Spilak Simon,21,Lampre,48,+1:39:46,1:37:49 1:37:49,2008,21
10,93,Fr\xf6hlinger Johannes,22,Gerolsteiner,51,+1:41:30,1:39:33 1:39:33,2008,21
11,146,Kozonchuk Dmitry,24,Rabobank ProTeam,59,+1:59:20,1:57:23 1:57:23,2008,21
12,137,Seeldraeyers Kevin,21,Quickstep - Innergetic,73,+2:28:50,2:26:53 2:26:53,2008,21
13,148,Martens Paul,24,Rabobank ProTeam,78,+2:39:22,2:37:25 2:37:25,2008,21
14,12,Deignan Philip,24,AG2R La Mondiale,79,+2:40:19,2:38:22 2:38:22,2008,21
15,87,Roy J\xe9r\xe9my,24,Fran\xe7aise des Jeux,82,+2:46:19,2:44:22 2:44:22,2008,21
16,119,Gavazzi Francesco,23,Lampre,84,+2:46:41,2:44:44 2:44:44,2008,21
17,17,Sonnery Blaise,23,AG2R La Mondiale,91,+2:49:07,2:47:10 2:47:10,2008,21
18,68,Dall'Antonia Tiziano,24,CSF Group - Navigare,98,+3:04:09,3:02:12 3:02:12,2008,21
19,154,Capecchi Eros,21,Saunier Duval,99,+3:04:26,3:02:29 3:02:29,2008,21
20,107,Rabon Frantisek,24,Team Highroad,101,+3:12:35,3:10:38 3:10:38,2008,21
21,191,Lund Anders,23,CSC ProTeam,102,+3:12:55,3:10:58 3:10:58,2008,21
22,46,Perget Mathieu,23,Caisse d'Epargne,112,+3:19:02,3:17:05 3:17:05,2008,21
23,86,Levarlet Guillaume,22,Fran\xe7aise des Jeux,113,+3:21:41,3:19:44 3:19:44,2008,21
24,216,Trusov Nikolay,22,Tinkoff Credit Systems,114,+3:21:52,3:19:55 3:19:55,2008,21
25,174,Devenyns Dries,24,Silence - Lotto,117,+3:23:18,3:21:21 3:21:21,2008,21
26,39,Thomas Geraint,22,Barloworld,118,+3:23:38,3:21:41 3:21:41,2008,21
27,16,Rousseau Nicolas,25,AG2R La Mondiale,122,+3:28:57,3:27:00 3:27:00,2008,21
28,4,Chiarini Riccardo,24,Team LPR Brakes,125,+3:35:42,3:33:45 3:33:45,2008,21
29,37,Scognamiglio Carlo,25,Barloworld,126,+3:37:06,3:35:09 3:35:09,2008,21
30,54,Hartmann Nicolas,23,Cofidis,127,+3:37:48,3:35:51 3:35:51,2008,21
31,104,Martin Tony,23,Team Highroad,128,+3:39:14,3:37:17 3:37:17,2008,21
32,205,Jur\u010do Matej,23,Milram,129,+3:44:32,3:42:35 3:42:35,2008,21
33,95,Krauss Sven,25,Gerolsteiner,131,+3:49:58,3:48:01 3:48:01,2008,21
34,101,Cavendish Mark,23,Team Highroad,132,+3:55:37,3:53:40 3:53:40,2008,21
35,56,Huguet Yann,24,Cofidis,135,+4:00:55,3:58:58 3:58:58,2008,21
36,82,Gudsell Timothy,24,Fran\xe7aise des Jeux,136,+4:07:00,4:05:03 4:05:03,2008,21
37,215,Ignatyev Mikhail,23,Tinkoff Credit Systems,140,+4:09:51,4:07:54 4:07:54,2008,21
