Rnk,BIB,Rider,Age,Team,UCI,Pnt,Avg,GC,GC-Time,Time,year,stage
133,44,Selvaggi Mirko,27,Vacansoleil - DCM,,,44.861000000000004,123,+4:11:33,4:37 4:37,2012,20
134,142,Santambrogio Mauro,27,BMC Racing Team,,,44.841,86,+3:09:36,4:38 4:38,2012,20
135,133,Failli Francesco,28,Farnese Vini-Neri-Sottoli,,,44.821000000000005,58,+2:26:42,4:39 4:39,2012,20
136,171,Saez De Arregi Adrian,26,Euskaltel - Euskadi,,,44.762,156,+5:16:13,4:42 4:42,2012,20
137,13,Dietziker Andreas,29,Team Netapp,,,44.762,109,+3:41:49,",, 4:42",2012,20
138,93,Lund Anders,27,Team Saxo Bank - Tinkoff Bank,,,44.703,112,+3:47:04,4:45 4:45,2012,20
139,177,Cabedo Victor,22,Euskaltel - Euskadi,,,44.683,129,+4:19:04,4:46 4:46,2012,20
140,113,Perget Mathieu,27,AG2R La Mondiale,,,44.605,53,+2:10:03,4:50 4:50,2012,20
141,33,Losada Alberto,30,Team Katusha,,,44.585,54,+2:13:50,4:51 4:51,2012,20
142,144,Santaromita Ivan,28,BMC Racing Team,,,44.565,52,+2:04:38,4:52 4:52,2012,20
143,52,Bandiera Marco,27,Omega Pharma - Quick-Step,,,44.54600000000001,140,+4:33:00,4:53 4:53,2012,20
144,74,Zeits Andrey,25,Astana Pro Team,,,44.351000000000006,85,+3:07:46,5:03 5:03,2012,20
145,88,Herrada Jos\xe9,26,Movistar Team,,,44.273999999999994,44,+1:39:30,5:07 5:07,2012,20
146,106,Eisel Bernhard,31,Sky Procycling,,,44.196999999999996,152,+4:58:38,5:11 5:11,2012,20
147,111,B\xe9rard Julien,24,AG2R La Mondiale,,,44.138999999999996,110,+3:42:04,5:14 5:14,2012,20
148,122,Salerno Cristiano,27,Liquigas - Cannondale,,,44.043,105,+3:30:41,5:19 5:19,2012,20
149,176,Cazaux Pierre,27,Euskaltel - Euskadi,,,43.986000000000004,122,+4:11:33,5:22 5:22,2012,20
150,27,Meier Christian,27,Orica GreenEDGE,,,43.948,135,+4:23:03,5:24 5:24,2012,20
151,1,Pagani Angelo,23,Colnago CSF Bardiani,,,43.91,97,+3:21:50,5:26 5:26,2012,20
152,161,Vanendert Dennis,23,Lotto Belisol Team,,,43.702,133,+4:21:02,5:37 5:37,2012,20
153,38,Kristoff Alexander,24,Team Katusha,,,43.608000000000004,149,+4:52:44,5:42 5:42,2012,20
154,151,Rubiano Miguel Angel,27,Androni Giocattoli - Venezuela,,,42.998999999999995,62,+2:31:16,6:15 6:15,2012,20
155,135,Mazzanti Luca,38,Farnese Vini-Neri-Sottoli,,,42.961999999999996,116,+3:59:51,6:17 6:17,2012,20
156,12,Benedetti Cesare,24,Team Netapp,,,42.727,107,+3:38:44,6:30 6:30,2012,20
157,64,Bono Matteo,28,Lampre - ISD,,,40.27,99,+3:27:26,8:55 8:55,2012,20
