Rnk,BIB,Rider,Age,Team,year,stage
1,132.0,Strazzer Massimo,31,,2001,21
2,195.0,Hondo Danilo,27,Team Telekom,2001,21
3,151.0,Cipollini Mario,34,Saeco,2001,21
4,91.0,Simoni Gilberto,29,Lampre - Daikin,2001,21
5,27.0,Quaranta Ivan,26,Alexia Alluminio,2001,21
6,,Zanotti Marco,27,,2001,21
7,179.0,Hauptman Andrej,26,Tacconi Sport - Vini Caldirola,2001,21
8,77.0,Osa Unai,25,Ibanesto.com,2001,21
9,141.0,Olano Abraham,31,O.N.C.E. - Eroski,2001,21
10,51.0,Figueras Giuliano,25,Panaria - Fiordo,2001,21
11,9.0,Zanini Stefano,32,Mapei - Quickstep,2001,21
12,13.0,Caucchioli Pietro,25,Alessio,2001,21
13,68.0,Tosatto Matteo,27,Fassa Bortolo,2001,21
14,143.0,Azevedo Jos\xe9 Bento Carvalho,27,O.N.C.E. - Eroski,2001,21
15,102.0,Honchar Serhiy,30,Liquigas - Pata,2001,21
16,99.0,Missaglia Gabriele,30,Lampre - Daikin,2001,21
17,53.0,Duma Vladimir,29,Panaria - Fiordo,2001,21
18,133.0,Di Biase Moreno,25,,2001,21
19,198.0,Lombardi Giovanni,31,Team Telekom,2001,21
20,176.0,Gerosa Mauro,26,Tacconi Sport - Vini Caldirola,2001,21
21,71.0,Arrieta Jose Luis,29,Ibanesto.com,2001,21
22,95.0,Piccoli Mariano,30,Lampre - Daikin,2001,21
23,163.0,Alberto Contreras Carlos,27,Selle Italia - Pacific,2001,21
24,157.0,Savoldelli Paolo,28,Saeco,2001,21
25,41.0,Di Luca Danilo,25,Cantina Tollo - Acqua e Sapone,2001,21
26,161.0,Buenahora Hernan,34,Selle Italia - Pacific,2001,21
27,166.0,Baliani Fortunato,26,Selle Italia - Pacific,2001,21
28,196.0,Kessler Matthias,22,Team Telekom,2001,21
29,56.0,Perez Cuapio Julio Alberto,23,Panaria - Fiordo,2001,21
30,191.0,Ullrich Jan,27,Team Telekom,2001,21
31,8.0,Noe Andrea,32,Mapei - Quickstep,2001,21
32,26.0,Manzoni Mario,31,Alexia Alluminio,2001,21
33,14.0,Gotti Ivan,32,Alessio,2001,21
34,124.0,Velo Marco,27,Mercatone Uno - Stream TV,2001,21
35,83.0,Rodriguez Alexis,24,Kelme - Costa Blanca,2001,21
36,104.0,Zanette Denis,31,Liquigas - Pata,2001,21
37,47.0,Trenti Guido,28,Cantina Tollo - Acqua e Sapone,2001,21
38,73.0,Lastras Pablo,25,Ibanesto.com,2001,21
39,134.0,Murn Uros,26,,2001,21
40,131.0,Ongarato Alberto,25,,2001,21
41,42.0,Colombo Gabriele,29,Cantina Tollo - Acqua e Sapone,2001,21
42,65.0,Konishev Dimitri,35,Fassa Bortolo,2001,21
43,113.0,Blijlevens Jeroen,29,Lotto - Adecco,2001,21
44,107.0,Rastelli Ellis,26,Liquigas - Pata,2001,21
45,164.0,Gonzalez Fredy,22,Selle Italia - Pacific,2001,21
46,11.0,Casagranda Stefano,28,Alessio,2001,21
