Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,28,Piepoli Leonardo,35,Saunier Duval,79,2007,21
2,86,Baliani Fortunato,32,Ceramica Panaria - Navigare,46,2007,21
3,151,Di Luca Danilo,31,Liquigas,45,2007,21
4,21,Simoni Gilberto,35,Saunier Duval,41,2007,21
5,29,Ricco Riccardo,23,Saunier Duval,36,2007,21
6,66,le Boulanger Yoann,31,Bouygues Telecom,24,2007,21
7,82,Laverde Luis Felipe,27,Ceramica Panaria - Navigare,23,2007,21
8,183,Schleck Andy,21,CSC ProTeam,20,2007,21
9,31,Cunego Damiano,25,Lampre-Fondital,17,2007,21
10,33,Bruseghin Marzio,32,Lampre-Fondital,15,2007,21
11,58,Riblon Christophe,26,AG2R Pr\xe9voyance,15,2007,21
12,81,Sella Emanuele,26,Ceramica Panaria - Navigare,14,2007,21
13,91,Parra Ivan Ramiro,31,Cofidis,13,2007,21
14,16,Mazzoleni Eddy,33,Astana,9,2007,21
15,83,Perez Cuapio Julio Alberto,29,Ceramica Panaria - Navigare,9,2007,21
16,171,Rasmussen Michael,33,Rabobank ProTeam,9,2007,21
17,207,Brutt Pavel,25,Tinkoff Credit Systems,8,2007,21
18,217,Pinotti Marco,31,T-Mobile Team,8,2007,21
19,5,Schwab Hubert,25,Quickstep - Innergetic,8,2007,21
20,101,Caucchioli Pietro,31,Cr\xe9dit Agricole,7,2007,21
21,163,Jufre Josep,31,Predictor - Lotto,6,2007,21
22,11,Savoldelli Paolo,34,Astana,5,2007,21
23,41,Garzelli Stefano,33,Acqua & Sapone - Caff\xe8 Mokambo,5,2007,21
24,92,Bessy Fr\xe9d\xe9ric,35,Cofidis,4,2007,21
25,37,Szmyd Sylwester,29,Lampre-Fondital,4,2007,21
26,182,Zabriskie David,28,CSC ProTeam,4,2007,21
27,27,Mayo Iban,29,Saunier Duval,3,2007,21
28,156,Pellizotti Franco,29,Liquigas,3,2007,21
29,162,Cioni Dario,32,Predictor - Lotto,3,2007,21
30,3,Facci Mauro,25,Quickstep - Innergetic,3,2007,21
31,203,Contrini Daniele,32,Tinkoff Credit Systems,3,2007,21
32,107,Kern Christophe,26,Cr\xe9dit Agricole,3,2007,21
33,39,Javier Vila Francisco,31,Lampre-Fondital,2,2007,21
34,74,Lastras Pablo,31,Caisse d'Epargne,2,2007,21
35,212,Bernucci Lorenzo,27,T-Mobile Team,2,2007,21
36,125,Irizar Markel,27,Euskaltel - Euskadi,2,2007,21
37,42,Andriotto Dario,34,Acqua & Sapone - Caff\xe8 Mokambo,2,2007,21
38,138,Patanchon Fabien,23,Fran\xe7aise des Jeux,2,2007,21
39,45,Codol Massimo,34,Acqua & Sapone - Caff\xe8 Mokambo,1,2007,21
40,116,Rubiera Jos\xe9 Luis,34,Discovery Channel,1,2007,21
41,1,Bettini Paolo,33,Quickstep - Innergetic,1,2007,21
42,201,Commesso Salvatore,32,Tinkoff Credit Systems,1,2007,21
43,178,Walker William,21,Rabobank ProTeam,1,2007,21
44,75,Losada Alberto,25,Caisse d'Epargne,1,2007,21
45,53,Krivtsov Yuriy,28,AG2R Pr\xe9voyance,1,2007,21
46,9,Visconti Giovanni,24,Quickstep - Innergetic,1,2007,21
47,72,Berthou Eric,27,Caisse d'Epargne,1,2007,21
48,208,Aggiano Elio,35,Tinkoff Credit Systems,1,2007,21
