Rnk,BIB,Rider,Age,Team,year,stage
1,151,Simoni Gilberto,31,Saeco,2003,21
2,185,Garzelli Stefano,29,Sidermec,2003,21
3,118,Svorada Jan,34,Lampre,2003,21
4,164,B\xe4ckstedt Magnus,28,Team Fakta,2003,21
5,188,Mazzoleni Eddy,29,Sidermec,2003,21
6,64,Frigo Dario,29,Fassa Bortolo,2003,21
7,127,Popovych Yaroslav,23,Landbouwkrediet - Colnago,2003,21
8,54,Lombardi Giovanni,33,Domina Vacanze - Elitron,2003,21
9,65,Gonzalez Jimenez Aitor,28,Fassa Bortolo,2003,21
10,41,Honchar Serhiy,32,De Nardi - Colpack,2003,21
11,76,Eisel Bernhard,22,Fdjeux.com,2003,21
12,8,Noe Andrea,34,Alessio,2003,21
13,117,Rumsas Raimondas,31,Lampre,2003,21
14,98,Totschnig Georg,32,Gerolsteiner,2003,21
15,9,Pellizotti Franco,25,Alessio,2003,21
16,21,Figueras Giuliano,27,Panaria - Fiordo,2003,21
17,44,Gasparre Graziano,24,De Nardi - Colpack,2003,21
18,72,Casar Sandy,24,Fdjeux.com,2003,21
19,109,Zaballa Constantino,25,Kelme - Costa Blanca,2003,21
20,25,Lanfranchi Paolo,34,Panaria - Fiordo,2003,21
21,141,Pantani Marco,33,Mercatone Uno - Scanavino,2003,21
22,69,Velo Marco,29,Fassa Bortolo,2003,21
23,124,Duma Vladimir,31,Landbouwkrediet - Colnago,2003,21
24,53,Colombo Gabriele,31,Domina Vacanze - Elitron,2003,21
25,1,Baldato Fabio,34,Alessio,2003,21
26,82,Baliani Fortunato,28,Formaggi Pinzolo Fiav\xe8,2003,21
27,113,Belli Wladimir,32,Lampre,2003,21
28,63,Kirchen Kim,24,Fassa Bortolo,2003,21
29,61,Bruseghin Marzio,28,Fassa Bortolo,2003,21
30*,155,Bertagnolli Leonardo,25,Saeco,2003,21
30,57,Scarponi Michele,23,Domina Vacanze - Elitron,2003,21
31,99,Trampusch Gerhard,24,Gerolsteiner,2003,21
32,122,Bernucci Lorenzo,23,Landbouwkrediet - Colnago,2003,21
33,85,Hamburger Bo,33,Formaggi Pinzolo Fiav\xe8,2003,21
34,32,Gonzalez Fredy,24,Colombia-selle Italia,2003,21
35,144,Fontanelli Fabiano,38,Mercatone Uno - Scanavino,2003,21
36,46,Gobbi Michele,25,De Nardi - Colpack,2003,21
37,149,Manzoni Mario,33,Mercatone Uno - Scanavino,2003,21
38,104,Gutierrez Ignacio,25,Kelme - Costa Blanca,2003,21
39,38,Illiano Raffaele,26,Colombia-selle Italia,2003,21
40,169,Winn Julian,30,Team Fakta,2003,21
41,6,Miholjevic Vladimir,29,Alessio,2003,21
42,154,Sabaliauskas Marius,24,Saeco,2003,21
43,92,Faresin Gianni,37,Gerolsteiner,2003,21
44,15,Chmielewski Piotr,32,,2003,21
45,12,Baranowski Dariusz,30,,2003,21
46,116,Quinziato Manuel,23,Lampre,2003,21
47,142,Codol Massimo,30,Mercatone Uno - Scanavino,2003,21
48,165,Sunderland Scott,36,Team Fakta,2003,21
49,4,Lunghi Denis,27,Alessio,2003,21
50,89,Nocentini Rinaldo,25,Formaggi Pinzolo Fiav\xe8,2003,21
51,108,Usano martinez Julian,26,Kelme - Costa Blanca,2003,21
52,86,Laverde Luis Felipe,23,Formaggi Pinzolo Fiav\xe8,2003,21
53,146,Gasperoni Cristian,32,Mercatone Uno - Scanavino,2003,21
54,171,Frattini Cristiano,30,Tenax,2003,21
55,177,Pozzi Oscar,31,Tenax,2003,21
56,112,Barbero Sergio,34,Lampre,2003,21
57,186,Gerosa Mauro,28,Sidermec,2003,21
58,35,De Angeli Luca,27,Colombia-selle Italia,2003,21
59,13,Brozyna Tomasz,32,,2003,21
60,121,Adyeyev Sergiy,26,,2003,21
61,102,Garcia Quesada Adolfo,23,Kelme - Costa Blanca,2003,21
62,119,Javier Vila Francisco,27,Lampre,2003,21
63,74,Da Cruz Carlos,28,Fdjeux.com,2003,21
